Team A,Team B,Score A,Score B,Date,Competition,Event,Venue
Chelsea 15B,RSLAZ Southern 15B Rayados White,3.0,4.0,2024-11-09,Arizona Select Clubs Showcase,Arizona Select Clubs Showcase 2024,Tucson Kino South Complex (ASA)
Chelsea 15B,Pima Surf Academy Boys 15,5.0,1.0,2024-11-02,PCJSL League Play 2024/25,PCJSL 2024/25 - Fall Session U9 - U19,Himmel
Phoenix United 2015 Elite,Tuzos Academy Mesa 2015,2.0,8.0,2025-10-05,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
Phoenix Premier FC 15B Black,Phoenix United 2015 Elite,0.0,6.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
CDO 15B Premier,Phoenix United 2015 Elite,0.0,0.0,2025-09-27,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,
BRAZAS FC 2015 Boys Black,Phoenix United 2015 Elite,3.0,8.0,2025-09-27,The Derby 2025,The Derby 2025,Reata Sports Complex
15B AChacon Pre-MLS Next,Phoenix United 2015 Elite,0.0,0.0,2025-09-26,The Derby 2025,The Derby 2025,Reata Sports Complex
PRFC West Valley 15B Pre-Academy,Phoenix United 2015 Elite,4.0,1.0,2025-09-21,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
14B GSA,Phoenix United 2015 Elite,3.0,4.0,2025-09-07,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Dynamos SC 14B SC,Phoenix United 2015 Elite,1.0,5.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Royals 2014,0.0,1.0,2025-09-06,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
14 Pre-MLSN #2,Phoenix United 2015 Elite,4.0,1.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
14B GSA,Phoenix United 2015 Elite,2.0,4.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 14B Pre-Academy,Phoenix United 2015 Elite,5.0,3.0,2025-08-29,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Juaritos MX,Phoenix United 2015 Elite,0.0,9.0,2025-05-24,Copa Univision,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Mesa A,8.0,2.0,2025-05-24,Copa Univision,2025 Copa Univision Arizona,West Valley Events Complex - Field
Arizona Brown's A,Phoenix United 2015 Elite,4.0,0.0,2025-05-24,Copa Univision,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Academy GTA 2016,6.0,2.0,2025-05-24,Copa Univision,2025 Copa Univision Arizona,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Legends,7.0,0.0,2025-05-24,Copa Univision,2025 Copa Univision Arizona,West Valley Events Complex - Field
Huracan,Phoenix United 2015 Elite,3.0,1.0,2025-05-24,Copa Univision,2025 Copa Univision Arizona,West Valley Events Complex - Field
Excel Soccer Academy 14 Red,Phoenix United 2015 Elite,2.0,1.0,2025-03-30,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
2014 Tuzos Academy FV,Phoenix United 2015 Elite,0.0,3.0,2025-03-29,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Phoenix United 2015 Elite,Tuzos Academy Mesa 2014,0.0,1.0,2025-03-29,Tuzos Challenge,Tuzos Challenge 2025,West Valley Events Complex - Field
Madison FC 14 Gold Boys Storm,Phoenix United 2015 Elite,0.0,4.0,2025-03-23,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
2014 Boys Red,Phoenix United 2015 Elite,3.0,3.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Eastside FC B14 White,Phoenix United 2015 Elite,2.0,2.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Next Level Soccer Northwest 2015 Boys Black,Phoenix United 2015 Elite,3.0,4.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 15 Boys Orange PEO,Phoenix United 2015 Elite,0.0,2.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC North Valley 14B PreAcademy,Phoenix United 2015 Elite,3.0,3.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
AZ Inferno 14 Boys Black,Phoenix United 2015 Elite,9.0,0.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix United 2015 Elite,7.0,4.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
FC Hawaii 14B Red,Phoenix United 2015 Elite,5.0,0.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
15B Chacon,Phoenix United 2015 Elite,2.0,3.0,2025-01-04,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
BVB 14B Puma (F: AYSES 14B Black),Phoenix United 2015 Elite,1.0,8.0,2025-01-04,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
14B Velasco Pre-MLS Next,Phoenix United 2015 Elite,1.0,0.0,2025-01-03,New Year's Futures Cup,New Year's Futures Cup 2025,Reach 11 Sports Complex
Albion SC Santa Ana B15 Academy,Phoenix United 2015 Elite,2.0,2.0,2024-12-07,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Phoenix United 2015 Elite,TFA-SELA B2015 Red,1.0,5.0,2024-12-07,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
Phoenix United 2015 Elite,Premier Touch FC IE B15,8.0,0.0,2024-12-06,The Open,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
CCV STARS 15 Boys Orange PEO,Phoenix United 2015 Elite,4.0,0.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
Phoenix United 2015 Elite,Real 2015 Boys National,0.0,2.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
14B GSA,Southeast 2015 Boys Red,2.0,1.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
Excel Soccer Academy 14B Red,Southeast 2015 Boys Red,2.0,1.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
Southeast 2015 Boys Red,Tuzos Royals 2014,3.0,0.0,2025-09-27,The Derby 2025,The Derby 2025,Reata Sports Complex
Playmaker Futbol Academy PRE-ECNL B14,Southeast 2015 Boys Red,1.0,7.0,2025-09-27,The Derby 2025,The Derby 2025,Reata Sports Complex
14B Velasco,Southeast 2015 Boys Red,3.0,0.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B AChacon Pre-MLS Next,Southeast 2015 Boys Red,1.0,1.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
East Valley NSFC 14 Boys Aguirre,Southeast 2015 Boys Red,0.0,9.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
CCV Stars 14 Boys South Pre-ECNL,Southeast 2015 Boys Red,4.0,2.0,2025-09-12,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
14 Cityzens,Southeast 2015 Boys Red,7.0,1.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
AZ Arsenal 14 Boys AYDP,Southeast 2015 Boys Red,0.0,7.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
