Team A,Team B,Score A,Score B,Date,Competition,Event,Venue
Scottsdale 15 Sandsharks Select,West Valley 2015 Boys Valencia Pre-Elite 64,3.0,1.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
Northwest 2015 Boys Red,West Valley 15/16B,11.0,0.0,2025-09-28,The Derby 2025,The Derby 2025,Reata Sports Complex
Northwest 2015 Boys Red,PRFC North Valley 15B Predator,0.0,9.0,2025-09-27,The Derby 2025,The Derby 2025,Reata Sports Complex
Northwest 2015 Boys Red,PRFC Scottsdale 15B Predator,3.0,1.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Northwest 2015 Boys Red,PRFC Scottsdale 16B Predator,2.0,3.0,2025-08-29,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Northwest 2015 Boys Red,West Valley 2014 Boys Martinez Pre-Elite64,2.0,5.0,2025-04-27,AZFC Select Challenge,AZFC Select Challenge 2025,West Valley Events Complex - Field
Northwest 2015 Boys Red,Tuzos Halcones 2014,2.0,3.0,2025-04-26,AZFC Select Challenge,AZFC Select Challenge 2025,West Valley Events Complex - Field
FC Deportivo AZ 2014B (Gallegos),Northwest 2015 Boys Red,5.0,8.0,2025-04-26,AZFC Select Challenge,AZFC Select Challenge 2025,West Valley Events Complex - Field
Las Vegas Sports Academy U11 Boys Black 2014,Northwest 2015 Boys Red,4.0,3.0,2025-04-13,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Northwest 2015 Boys Red,Tuzos Royals 14 Pre-Academy,9.0,1.0,2025-04-12,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Northwest 2015 Boys Red,Phoenix United FC 2014 Premier,1.0,5.0,2025-04-12,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
FCDA 15B Pre - Academy,Northwest 2015 Boys Red,1.0,1.0,2025-03-23,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B NJMarkette,Northwest 2015 Boys Red,0.0,0.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
NMSA 2015 Boys,Northwest 2015 Boys Red,0.0,3.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
14B Engilman,Northwest 2015 Boys Red,0.0,2.0,2025-03-16,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
Northwest 2015 Boys Red,Phoenix United FC 2014 Premier,1.0,3.0,2025-03-15,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
2014 Boys Yellow,Northwest 2015 Boys Red,1.0,2.0,2025-03-15,INFERNO CUP,INFERNO CUP 2025,West Valley Events Complex
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Red,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Deportivo Coras USA 2015,Northwest 2015 Boys Red,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Northwest 2015 Boys Red,RSL-AZ Yuma 15 Boys Patino,6.0,1.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Northwest 2015 Boys Red,PRFC Scottsdale 16B Predator,0.0,4.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Northwest 2015 Boys Red,Phoenix Premier FC 15B Black,6.0,3.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Northwest 2015 Boys Red,State 48 FC Verrado 15 White,7.0,4.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Northwest 2015 Boys Red,U-10 (2015) Boys San Luis Blue,1.0,5.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Atletico Tuzos Mesa 2015,Northwest 2015 Boys Red,1.0,3.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
AYSO 1079 2015 Boys,Northwest 2015 Boys Red,8.0,1.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Northwest 2015 Boys Red,State 48 FC Verrado 15/16 Black,0.0,4.0,2025-01-19,Tournaments Powered by Rated Sports ,2025 Rated Cup,Reach 11 Sports Complex 
Northwest 2015 Boys Red,West Valley 2015 Boys Valencia Pre-Elite 64,2.0,1.0,2025-01-18,Tournaments Powered by Rated Sports ,2025 Rated Cup,Reach 11 Sports Complex 
Northwest 2015 Boys Red,PSG 15B Blue,2.0,3.0,2025-01-18,Tournaments Powered by Rated Sports ,2025 Rated Cup,Reach 11 Sports Complex 
Next Level Soccer Southeast 2016 Boys Black,Northwest 2015 Boys Red,7.0,1.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Northwest 2015 Boys Red,PRFC North Valley 15B Predator,4.0,4.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Northwest 2015 Boys Red,Scottsdale 15 Sandsharks Select,4.0,3.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Northwest 2015 Boys Red,West Valley 2015 Boys Rose,4.0,2.0,2024-12-15,Holiday Classic,RSL-AZ Holiday Classic 2024,
EV-NSFC 15 Boys Perez(1),Northwest 2015 Boys Red,4.0,6.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
Northwest 2015 Boys Red,PRFC Scottsdale 15B Samba,4.0,0.0,2024-12-14,Holiday Classic,RSL-AZ Holiday Classic 2024,
BRAZAS FC 2015 Boys Black,Northwest 2015 Boys Red,0.0,4.0,2024-12-01,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
Corona B15 Aguirre,Northwest 2015 Boys Red,4.0,0.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
2015 Elite,Northwest 2015 Boys Red,8.0,0.0,2024-11-30,Tournaments Powered by Rated Sports ,2024 Desert Super Cup,Reata Sports Complex
Northwest 2015 Boys Red,RSL-AZ Yuma 15 Boys Patino,4.0,8.0,2024-10-27,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Northwest 2015 Boys Red,PRFC Scottsdale 15B Predator,7.0,0.0,2024-10-26,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Northwest 2015 Boys Red,PRFC West Valley 15B Predator,2.0,5.0,2024-10-25,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Northwest 2015 Boys Red,Real 2015 Boys National,0.0,3.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
AZ Arsenal 16 Boys Teal OC,Southeast 2015 Boys Blue,0.0,0.0,2025-10-12,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
2015B Locomotive EPPL Gallegos,Southeast 2015 Boys Blue,1.0,1.0,2025-10-11,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
PRFC Scottsdale 15B Predator,Southeast 2015 Boys Blue,4.0,1.0,2025-10-10,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
16B KChacon,Southeast 2015 Boys Blue,2.0,4.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
Dynamos SC 15B Gold,Southeast 2015 Boys Blue,4.0,1.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B NJMarkette,Southeast 2015 Boys Blue,2.0,4.0,2025-09-12,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
Real Arizona 2014,Southeast 2015 Boys Blue,3.0,3.0,2025-04-27,Schools Out,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
Southeast 2015 Boys Blue,Verde Valley United FC,4.0,1.0,2025-04-26,Schools Out,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
AZ Arsenal 14 Boys AYDP,Southeast 2015 Boys Blue,2.0,2.0,2025-04-26,Schools Out,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
BRAZAS FC 2015 Boys Black,Southeast 2015 Boys Blue,2.0,2.0,2025-04-06,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
AZSC 14B Azanger,Southeast 2015 Boys Blue,3.0,2.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
CCV STARS 14 Boys EAV,Southeast 2015 Boys Blue,2.0,4.0,2025-04-05,Brazas Ginga Champions ,Brazas - 2025 Ginga Champions,Arizona Athletic Grounds
RSL-AZ Yuma 14 Boys Quinonez,Southeast 2015 Boys Blue,3.0,5.0,2025-03-22,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
AZSC 14B Azanger,Southeast 2015 Boys Blue,5.0,6.0,2025-03-22,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
PRFC Southeast Valley 15B Predator,Southeast 2015 Boys Blue,1.0,4.0,2025-03-21,Copper State Challenge,2025 Copper State Challenge,Arizona Athletic Grounds
PRFC West Valley 14B Pre-Academy,Southeast 2015 Boys Blue,3.0,2.0,2025-03-09,Ostrich Festival,2025 Ostrich Festival,Reach 11 Sports Complex
14B Castro Rueda,Southeast 2015 Boys Blue,4.0,0.0,2025-03-09,Ostrich Festival,2025 Ostrich Festival,Reach 11 Sports Complex
14B Hinds,Southeast 2015 Boys Blue,1.0,5.0,2025-03-08,Ostrich Festival,2025 Ostrich Festival,Reach 11 Sports Complex
PRFC West Valley 14B Pre-Academy,Southeast 2015 Boys Blue,0.0,3.0,2025-03-07,Ostrich Festival,2025 Ostrich Festival,Reach 11 Sports Complex
PRFC West Valley 15B Predator,Southeast 2015 Boys Blue,4.0,5.0,2025-02-23,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 14 Boys White PEO,Southeast 2015 Boys Blue,2.0,6.0,2025-02-22,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC Scottsdale 14B Predator,Southeast 2015 Boys Blue,2.0,3.0,2025-02-21,Phoenix Rising FC Tournaments - Max Shacknai Invitational,2025 Max Shacknai Invitational,Arizona Athletic Grounds
CCV STARS 15 Boys Orange SUR,Southeast 2015 Boys Blue,2.0,4.0,2025-02-09,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
PRFC Desert Foothills 15B Predator,Southeast 2015 Boys Blue,5.0,2.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Madison FC 2015 Boys Gold,Southeast 2015 Boys Blue,3.0,1.0,2025-02-08,Desert Classic,Desert Classic 2025,Arizona Athletic Grounds
Amore 2014 Boys,Southeast 2015 Boys Blue,4.0,1.0,2025-01-26,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix United 2015 Academy,Southeast 2015 Boys Blue,1.0,3.0,2025-01-25,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix Premier FC 14B White,Southeast 2015 Boys Blue,0.0,7.0,2025-01-24,AZ Soccer Clash,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
AZ Inferno 14 Boys Black,Southeast 2015 Boys Blue,2.0,3.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC Southeast Valley 14B Pre-Academy,Southeast 2015 Boys Blue,2.0,1.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
CCV STARS 14 Boys EAV,Southeast 2015 Boys Blue,3.0,3.0,2025-01-10,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Southeast 2015 Boys Blue,State 48 FC 15 Copper,2.0,0.0,2024-12-08,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
Deportivo Coras USA 2015,Southeast 2015 Boys Blue,2.0,6.0,2024-12-07,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
Phoenix Premier FC 15B Black,Southeast 2015 Boys Blue,8.0,4.0,2024-12-07,Salvation Army Christmas Angel,Christmas Angel 2024,Rose Mofford Sports Complex
PRFC Scottsdale 15B Copa,Southeast 2015 Boys Blue,3.0,2.0,2024-11-24,Heritage Cup,2024 Heritage Cup ,HC - Discovery Park 
Southeast 2015 Boys Blue,U-10 (2015) Boys Pre Academy,4.0,2.0,2024-11-23,Heritage Cup,2024 Heritage Cup ,HC - Discovery Park 
EV-NSFC 15 Boys Perez(1),Southeast 2015 Boys Blue,6.0,2.0,2024-11-21,Heritage Cup,2024 Heritage Cup ,HC- Crossroads Park
Next Level Soccer Northwest 2015 Girls,Southeast 2015 Boys Blue,6.0,3.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Southeast 2015 Boys Blue,3.0,2.0,2024-11-10,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Southeast 2015 Boys Blue,2.0,4.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
Southeast 2015 Boys Blue,Sun Warriors 15/16 Boys Sixtos,11.0,1.0,2024-11-09,Kick for the Cure,Kick for the Cure 2024,Rose Mofford Sports Complex
PRFC North Valley 15B Predator,Southeast 2015 Boys Blue,5.0,2.0,2024-10-27,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
2015 Boys Blue,Southeast 2015 Boys Blue,0.0,5.0,2024-10-26,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Deportivo Coras USA 2015,Southeast 2015 Boys Blue,5.0,5.0,2024-10-25,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
PRFC Desert Foothills 15B Copa,Southeast 2015 Boys Blue,0.0,11.0,2024-10-24,Phoenix Rising FC Tournaments - Fall Classic,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
CCV STARS 15 Boys Navy PEO,Southeast 2015 Boys Blue,2.0,4.0,2024-10-13,Tournaments Powered by Rated Sports ,2024 Scottsdale Cup,Rose Mofford Sports Complex
15 Pre-MLS Next Tier #1,15B Garza Pre MLS Next,0.0,0.0,2025-10-05,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,
15B Garza Pre MLS Next,AZSC 2015B Navy,1.0,1.0,2025-10-04,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
15B Garza Pre MLS Next,PRFC Scottsdale 15B Pre-Academy,2.0,1.0,2025-09-21,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
15B Garza Pre MLS Next,15B NMarkette Pre-MLS Next,4.0,1.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B Garza Pre MLS Next,Las Vegas Sports Academy U11 Boys Red 2015,0.0,9.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
AZSC 2015B Navy,CCV Stars 15 Boys West Pre-ECNL,2.0,3.0,2025-09-28,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
AZSC 2015B Navy,Dynamos SC 15B SC,2.0,4.0,2025-09-19,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
15 Pre-MLS Next Tier #1,AZSC 2015B Navy,5.0,3.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZSC 2015B Navy,PRFC Scottsdale 15B Pre-Academy,0.0,2.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZSC 2015B Navy,Dynamos SC 15B SC,4.0,2.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZSC 2015B Navy,Schneider Futsal Academy 2015,1.0,9.0,2025-07-30,Indoor Soccer League,2025 Indoor Soccer League at Arizona Athletic Grounds,Arizona Athletic Grounds
AZSC 2015B Navy,AZSC 2015B White,2.0,4.0,2025-07-29,Indoor Soccer League,2025 Indoor Soccer League at Arizona Athletic Grounds,Arizona Athletic Grounds
AZSC 2015B Navy,PRFC Southeast Valley 14B Predator,4.0,3.0,2025-07-21,Indoor Soccer League,2025 Indoor Soccer League at Arizona Athletic Grounds,Arizona Athletic Grounds
AZSC 2015B Navy,AZSC 2015B White,4.0,5.0,2025-07-14,Indoor Soccer League,2025 Indoor Soccer League at Arizona Athletic Grounds,Arizona Athletic Grounds
AZSC 2015B Navy,Schneider Futsal Academy 2015,1.0,5.0,2025-07-14,Indoor Soccer League,2025 Indoor Soccer League at Arizona Athletic Grounds,Arizona Athletic Grounds
AZEV B2014 (WHITE),AZSC 2015B Navy,4.0,10.0,2025-07-07,Indoor Soccer League,2025 Indoor Soccer League at Arizona Athletic Grounds,Arizona Athletic Grounds
AZSC 2014B Azanger- Indoor Only,AZSC 2015B Navy,5.0,3.0,2025-07-07,Indoor Soccer League,2025 Indoor Soccer League at Arizona Athletic Grounds,Arizona Athletic Grounds
15 Pre-MLS Next Tier #1,CCV Stars 15 Boys West Pre-ECNL,4.0,3.0,2025-10-04,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
CCV Stars 15 Boys West Pre-ECNL,Dynamos SC 15B SC,1.0,5.0,2025-09-21,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
CCV Stars 15 Boys West Pre-ECNL,PRFC Scottsdale 15B Pre-Academy,5.0,2.0,2025-09-19,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
CCV Stars 15 Boys West Pre-ECNL,West Valley 2015 Boys Rose,1.0,1.0,2025-09-07,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
CCV Stars 15 Boys West Pre-ECNL,PRFC Scottsdale 15B Pre-Academy,3.0,6.0,2025-09-06,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
CCV Stars 15 Boys West Pre-ECNL,Madison FC 15 Gold Boys,3.0,6.0,2025-09-06,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
PRFC North Valley 15B PreAcademy,PRFC West Valley 15B Pre-Academy,2.0,4.0,2025-10-05,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
15 Pre-MLS Next Tier #2,PRFC West Valley 15B Pre-Academy,0.0,0.0,2025-09-27,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,
15 Boys Navy,PRFC West Valley 15B Pre-Academy,3.0,2.0,2025-09-14,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15B Jason Pre MLS Next,PRFC West Valley 15B Pre-Academy,2.0,8.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15G Pre-ECNL Jeffers Royals,PRFC West Valley 15B Pre-Academy,1.0,3.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15 Pre-MLS Next #1,PRFC Scottsdale 15B Predator,1.0,0.0,2025-09-21,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Pre-MLS Next #1,FC Arizona 15B Black GFC Cuevas U11,2.0,7.0,2025-09-20,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
15 Pre-MLS Next #1,15B Hermanson,9.0,1.0,2025-09-19,Tournaments,46th Annual Wolfgang Weber FC Tucson Cup,Kino Sports Complex
NMSA 2015 Boys,PRFC Scottsdale 15B Pre-Academy,0.0,0.0,2025-10-12,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
2015B Locomotive EPPL J. Romero-LC,PRFC Scottsdale 15B Pre-Academy,5.0,2.0,2025-10-11,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
PRFC Scottsdale 15B Pre-Academy,Southeast 2016 Boys Black,6.0,1.0,2025-10-10,Arsenal Challenge,Arsenal Challenge 2025,Arizona Athletic Grounds
Dynamos SC 15B SC,PRFC Scottsdale 15B Pre-Academy,2.0,6.0,2025-10-03,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,AZ Athletic Grounds (ASA)
PRFC Scottsdale 15B Pre-Academy,PRFC Scottsdale 16B Predator,0.0,0.0,2025-09-27,ARIZONA ADVANCED LEAGUES,2025-2026 ASA Advanced Leagues,
Madison FC 15 Gold Boys,PRFC Scottsdale 15B Pre-Academy,1.0,3.0,2025-09-07,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
PRFC Scottsdale 15B Pre-Academy,West Valley 2015 Boys Rose,9.0,0.0,2025-09-06,Flagstaff Soccer United Cup,FSC Champions Cup (Boys - 2025),F- Thorpe Softball Complex
Dynamos SC 15B SC,PRFC Scottsdale 15B Pre-Academy,2.0,4.0,2025-08-29,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Southeast Valley 15B Pre-Academy,Pre-ECNL RL B15,1.0,2.0,2025-09-20,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Red Mountain Soccer Complex North (PRFC SEV)
15 Boys Navy,La Piedad FC 2015,0.0,0.0,2025-10-04,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Lehi Sports Park (ASA)
15 Boys Navy,15B Jason Pre MLS Next,0.0,1.0,2025-09-13,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15 Boys Navy,15G Pre-ECNL Jeffers Royals,1.0,2.0,2025-09-12,Cactus Kick Off,2025 Cactus Kick Off,Reach 11 Sports Complex
15 Boys Navy,PRFC Desert Foothills 15B Predator,1.0,6.0,2025-09-06,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,Horseshoe Trails Elementary (PRFC-DF)
15 Boys Navy,Atletico Tuzos Guerrero 2015,6.0,1.0,2025-05-25,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
15 Boys Navy,State 48 FC 15 Copper,1.0,8.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
15 Boys Navy,Empire 15B,8.0,4.0,2025-05-24,Flagstaff Soccer United Cup,FSC Kickin in the Pines (Boys - 2025),F- Thorpe Multipurpose Fields (FSC)
15 Boys Navy,Next Level Soccer Southeast 2016 Boys Black,0.0,1.0,2025-03-23,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15 Boys Navy,Tuzos Edwin 2015,1.0,0.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15 Boys Navy,State 48 FC 15 Black,1.0,2.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15 Boys Navy,State 48 FC Verrado 15/16 Black,2.0,1.0,2025-01-12,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
15 Boys Navy,Madison FC 2015 Boys Gold,1.0,8.0,2025-01-11,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
15 Boys Navy,Legends FC AZ 15B Gold,3.0,5.0,2025-01-10,CCV Stars Champions Cup,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
15 Boys Navy,Synergy FC 15/16B,1.0,12.0,2024-12-14,TFC Winter Festival,TFC Winter Festival 2024,Rose Mofford
15 Boys Navy,2015 Boys Blue,6.0,2.0,2024-12-13,TFC Winter Festival,TFC Winter Festival 2024,Rose Mofford
PRFC Desert Foothills 16B Predator,PSG 15B Blue,2.0,2.0,2025-09-20,OPEN League: Season 1,2025-26 MaxinMotion Open League Season 1,West Valley Events Complex
16B KChacon,PSG 15B Blue,4.0,3.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Desert Foothills 16B Predator,PSG 15B Blue,1.0,2.0,2025-08-31,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PSG 15B Blue,Phoenix United 2015 Academy,4.0,1.0,2025-08-30,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZ Arsenal 16 Boys Teal DB,PSG 15B Blue,6.0,2.0,2025-08-29,Phoenix Rising Cup,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
AZ Arsenal 15 Boys Teal 1 JZ,PSG 15B Blue,2.0,4.0,2025-04-12,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
PSG 15B Blue,RSL-AZ South 15B Corral,4.0,3.0,2025-04-12,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
PRFC North Valley 15B Copa,PSG 15B Blue,1.0,8.0,2025-04-11,Rivalries Cup,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Madison FC 15 Gold Boys,PSG 15B Blue,0.0,0.0,2025-03-29,Academy League,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
15B Blue Montoya #1,PSG 15B Blue,0.0,0.0,2025-03-29,Academy League,2024-25 Academy Event March 29 - BOYS & GIRLS 7v7,Arizona Athletic Grounds
PSG 15B Blue,State 48 FC 15 Copper,1.0,0.0,2025-03-23,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
PSG 15B Blue,State 48 FC Verrado 15/16 Black,4.0,0.0,2025-03-22,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Eastside FC - B15 Blue,PSG 15B Blue,0.0,0.0,2025-03-21,Tournaments Powered by Rated Sports ,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
2015 Rush Boys,PSG 15B Blue,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
PSG 15B Blue,State 48 FC 15 Copper,0.0,0.0,2025-03-01,Academy League,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
