Team A,Team B,Score A,Score B,Date,Competition,Venue
Next Level Soccer Southeast 2015 Boys Green,2015 Rush Boys,2,3,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
VSC 2015 Boys Green,Next Level Soccer Southeast 2015 Boys Green,5,2,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2015 Boys Green,VSC 2015 Boys Green,2,5,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2015 Boys Green,PRFC Scottsdale 15B Samba,1,6,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC Scottsdale 15B Samba,Next Level Soccer Southeast 2015 Boys Green,6,1,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2015 Boys Green,Atletico Tuzos Mesa 2015,1,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Atletico Tuzos Mesa 2015,Next Level Soccer Southeast 2015 Boys Green,3,1,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Kingman SC B2015-Strikers,Next Level Soccer Southeast 2015 Boys Green,3,1,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,Kingman SC B2015-Strikers,1,3,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,NOS Santos 15 Boys White,1,0,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
NOS Santos 15 Boys White,Next Level Soccer Southeast 2015 Boys Green,0,1,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
Phoenix 15/16B Blue,Next Level Soccer Southeast 2015 Boys Green,9,5,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,Phoenix 15/16B Blue,5,9,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,Salsa 2015,4,2,2024-11-24,2024 Heritage Cup ,HC - Discovery Park 
Salsa 2015,Next Level Soccer Southeast 2015 Boys Green,2,4,2024-11-24,2024 Heritage Cup ,HC - Discovery Park 
Brazas 2015 Boys Gold Diego Rangel,Next Level Soccer Southeast 2015 Boys Green,4,1,2024-11-23,2024 Heritage Cup ,HC - Discovery Park 
Next Level Soccer Southeast 2015 Boys Green,Brazas 2015 Boys Gold Diego Rangel,1,4,2024-11-23,2024 Heritage Cup ,HC - Discovery Park 
Next Level Soccer Southeast 2015 Boys Green,PRFC Southeast Valley 15B Copa,2,6,2024-11-23,2024 Heritage Cup ,HC - Discovery Park 
PRFC Southeast Valley 15B Copa,Next Level Soccer Southeast 2015 Boys Green,6,2,2024-11-23,2024 Heritage Cup ,HC - Discovery Park 
Next Level Soccer Southeast 2015 Boys Green,PRFC Southeast Valley 15B Predator-Central,8,2,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
PRFC Southeast Valley 15B Predator-Central,Next Level Soccer Southeast 2015 Boys Green,2,8,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,Scottsdale 15 Sandsharks Black,13,4,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Black,Next Level Soccer Southeast 2015 Boys Green,4,13,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
RSL-AZ South 15B Corral,Next Level Soccer Southeast 2015 Boys Green,7,0,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,RSL-AZ South 15B Corral,0,7,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
16B Mendez GSA,Next Level Soccer Southeast 2015 Boys Green,6,0,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Green,16B Mendez GSA,0,6,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Green,RSL-AZ Yuma 15 Boys Patino WHITE,1,2,2024-10-27,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
RSL-AZ Yuma 15 Boys Patino WHITE,Next Level Soccer Southeast 2015 Boys Green,2,1,2024-10-27,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
Next Level Soccer Southeast 2015 Boys Green,U-10 (2015) Boys Pre Academy,1,4,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
U-10 (2015) Boys Pre Academy,Next Level Soccer Southeast 2015 Boys Green,4,1,2024-10-26,Phoenix Rising Fall Classic 2024,Arizona Athletic Grounds
2015 Boys Blue,Next Level Soccer Southeast 2015 Boys Green,0,1,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,2015 Boys Blue,1,0,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
West Valley 2015 Boys Rose,Next Level Soccer Southeast 2015 Boys Green,3,2,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,West Valley 2015 Boys Rose,2,3,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,CCV STARS 15 Boys White PEO,2,1,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
CCV STARS 15 Boys White PEO,Next Level Soccer Southeast 2015 Boys Green,1,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
FC Elite Arizona 2015 Boys,Next Level Soccer Southeast 2015 Boys Green,2,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Green,FC Elite Arizona 2015 Boys,2,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Pima Surf Academy Boys 15,0,0,2025-10-04,2025-26 MaxinMotion Open League Season 1,
Pima Surf Academy Boys 15,Scottsdale 15 Sandsharks Select,0,0,2025-10-04,2025-26 MaxinMotion Open League Season 1,
Scottsdale 15 Sandsharks Select,16B GSA,1,4,2025-09-28,The Derby 2025,Reata Sports Complex
16B GSA,Scottsdale 15 Sandsharks Select,4,1,2025-09-28,The Derby 2025,Reata Sports Complex
Henderson LVSA '15B Black,Scottsdale 15 Sandsharks Select,2,1,2025-09-27,The Derby 2025,Reata Sports Complex
Scottsdale 15 Sandsharks Select,Henderson LVSA '15B Black,1,2,2025-09-27,The Derby 2025,Reata Sports Complex
Southeast 2015 Boys Green,Scottsdale 15 Sandsharks Select,1,3,2025-09-27,The Derby 2025,Reata Sports Complex
Scottsdale 15 Sandsharks Select,Southeast 2015 Boys Green,3,1,2025-09-27,The Derby 2025,Reata Sports Complex
Scottsdale 15 Sandsharks Select,FDI 2015,5,1,2025-09-20,2025-26 MaxinMotion Open League Season 1,NE- McDowell Mountain Ranch Park (Sandsharks)
FDI 2015,Scottsdale 15 Sandsharks Select,1,5,2025-09-20,2025-26 MaxinMotion Open League Season 1,NE- McDowell Mountain Ranch Park (Sandsharks)
Scottsdale 15 Sandsharks Select,2015 Club Rayos,6,0,2025-09-06,2025-26 MaxinMotion Open League Season 1,NE- McDowell Mountain Ranch Park (Sandsharks)
2015 Club Rayos,Scottsdale 15 Sandsharks Select,0,6,2025-09-06,2025-26 MaxinMotion Open League Season 1,NE- McDowell Mountain Ranch Park (Sandsharks)
Next Level Soccer Southeast 2015 Boys Green,Scottsdale 15 Sandsharks Select,4,3,2025-04-27,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
Scottsdale 15 Sandsharks Select,Next Level Soccer Southeast 2015 Boys Green,3,4,2025-04-27,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
Scottsdale 15 Sandsharks Select,State 48 FC Verrado 15/16 Black,2,8,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
State 48 FC Verrado 15/16 Black,Scottsdale 15 Sandsharks Select,8,2,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
FCDA 15B Pre - Academy,Scottsdale 15 Sandsharks Select,2,4,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
Scottsdale 15 Sandsharks Select,FCDA 15B Pre - Academy,4,2,2025-04-26,Schools Out For Summer 2025,Scottsdale Sports Complex (ASA)
Scottsdale 15 Sandsharks Select,2015 Boys Blue,6,1,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
2015 Boys Blue,Scottsdale 15 Sandsharks Select,1,6,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Scottsdale 15 Sandsharks Select,Tuzos USA 2015A,4,0,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Tuzos USA 2015A,Scottsdale 15 Sandsharks Select,0,4,2025-04-06,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Scottsdale 15 Sandsharks Select,State 48 FC 15 Black,6,0,2025-04-05,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
State 48 FC 15 Black,Scottsdale 15 Sandsharks Select,0,6,2025-04-05,Yavapai All Boys Tournament 2025,P- Mountain Valley Park Yavapai Soccer
Tuzos USA 2015A,Scottsdale 15 Sandsharks Select,3,4,2025-04-05,Yavapai All Boys Tournament 2025,P- Antelope Park
Scottsdale 15 Sandsharks Select,Tuzos USA 2015A,4,3,2025-04-05,Yavapai All Boys Tournament 2025,P- Antelope Park
Scottsdale 15 Sandsharks Select,Eastside FC - B15 Blue,3,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Eastside FC - B15 Blue,Scottsdale 15 Sandsharks Select,1,3,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
PSG 15B Blue,Scottsdale 15 Sandsharks Select,2,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Scottsdale 15 Sandsharks Select,PSG 15B Blue,1,2,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Scottsdale 15 Sandsharks Select,State 48 FC Verrado 15/16 Black,1,2,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
State 48 FC Verrado 15/16 Black,Scottsdale 15 Sandsharks Select,2,1,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Scottsdale 15 Sandsharks Select,2015 Boys Yellow,7,3,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
2015 Boys Yellow,Scottsdale 15 Sandsharks Select,3,7,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
FDI 2015,Scottsdale 15 Sandsharks Select,2,3,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,FDI 2015,3,2,2025-01-19,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Chelsea 15B,Scottsdale 15 Sandsharks Select,0,5,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Chelsea 15B,5,0,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,State 48 FC 15 Copper,4,0,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
State 48 FC 15 Copper,Scottsdale 15 Sandsharks Select,0,4,2025-01-18,North Scottsdale Sandsharks Invitational 2025,Rose Mofford Sports Complex
PRFC North Valley 15B Predator,Scottsdale 15 Sandsharks Select,6,1,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Scottsdale 15 Sandsharks Select,PRFC North Valley 15B Predator,1,6,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Scottsdale 15 Sandsharks Select,Next Level Soccer Southeast 2016 Boys Black,3,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2016 Boys Black,Scottsdale 15 Sandsharks Select,3,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Northwest 2015 Boys Red,Scottsdale 15 Sandsharks Select,4,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Scottsdale 15 Sandsharks Select,Next Level Soccer Northwest 2015 Boys Red,3,4,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Scottsdale 15 Sandsharks Select,Phoenix Premier FC 15B Black,1,3,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Phoenix Premier FC 15B Black,Scottsdale 15 Sandsharks Select,3,1,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,FCDA 15B Pre - Academy,3,2,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
FCDA 15B Pre - Academy,Scottsdale 15 Sandsharks Select,2,3,2024-12-08,Christmas Angel 2024,Rose Mofford Sports Complex
State 48 FC 15 Copper,Scottsdale 15 Sandsharks Select,1,2,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,State 48 FC 15 Copper,2,1,2024-12-07,Christmas Angel 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Tuzos Edwin 2015,3,1,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
Tuzos Edwin 2015,Scottsdale 15 Sandsharks Select,1,3,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Next Level Soccer Southeast 2015 Boys Blue,2,3,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Blue,Scottsdale 15 Sandsharks Select,3,2,2024-11-10,Kick for the Cure 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Next Level Soccer Southeast 2015 Boys Blue,4,2,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Blue,Scottsdale 15 Sandsharks Select,2,4,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Sun Warriors 15/16 Boys Sixtos,Scottsdale 15 Sandsharks Select,0,13,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Scottsdale 15 Sandsharks Select,Sun Warriors 15/16 Boys Sixtos,13,0,2024-11-09,Kick for the Cure 2024,Rose Mofford Sports Complex
Mellindo FC 2015 A,North Scottsdale 15 Sandsharks Select,2,1,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
North Scottsdale 15 Sandsharks Select,Mellindo FC 2015 A,1,2,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
North Scottsdale 15 Sandsharks Select,West Valley 2015 Boys Valencia Pre-Elite 64,3,1,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
West Valley 2015 Boys Valencia Pre-Elite 64,North Scottsdale 15 Sandsharks Select,1,3,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
Next Level Soccer Southeast 2015 Boys Blue,North Scottsdale 15 Sandsharks Select,0,4,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
North Scottsdale 15 Sandsharks Select,Next Level Soccer Southeast 2015 Boys Blue,4,0,2024-10-13,2024 Scottsdale Cup,Rose Mofford Sports Complex
North Scottsdale 15 Sandsharks Select,CCV STARS 15 Boys Navy PEO,3,2,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
CCV STARS 15 Boys Navy PEO,North Scottsdale 15 Sandsharks Select,2,3,2024-10-12,2024 Scottsdale Cup,Rose Mofford Sports Complex
Northwest 2015 Boys Red,West Valley 15/16B,11,0,2025-09-28,The Derby 2025,Reata Sports Complex
West Valley 15/16B,Northwest 2015 Boys Red,0,11,2025-09-28,The Derby 2025,Reata Sports Complex
Northwest 2015 Boys Red,State 48 FC Avondale 15 Copper,2,3,2025-09-27,The Derby 2025,Reata Sports Complex
State 48 FC Avondale 15 Copper,Northwest 2015 Boys Red,3,2,2025-09-27,The Derby 2025,Reata Sports Complex
PRFC North Valley 15B Predator,Northwest 2015 Boys Red,0,9,2025-09-27,The Derby 2025,Reata Sports Complex
Northwest 2015 Boys Red,PRFC North Valley 15B Predator,9,0,2025-09-27,The Derby 2025,Reata Sports Complex
Northwest 2015 Boys Red,Chelsea 15B,4,3,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Chelsea 15B,Northwest 2015 Boys Red,3,4,2025-08-31,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Northwest 2015 Boys Red,PRFC Scottsdale 15B Predator,3,1,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 15B Predator,Northwest 2015 Boys Red,1,3,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
PRFC Scottsdale 16B Predator,Northwest 2015 Boys Red,2,3,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Northwest 2015 Boys Red,PRFC Scottsdale 16B Predator,3,2,2025-08-30,Phoenix Rising Cup 2025,Reach 11 Sports Complex (PRC)
Next Level Soccer Northwest 2015 Boys Red,West Valley 2014 Boys Martinez Pre-Elite64,2,5,2025-04-27,AZFC Select Challenge 2025,West Valley Events Complex - Field
West Valley 2014 Boys Martinez Pre-Elite64,Next Level Soccer Northwest 2015 Boys Red,5,2,2025-04-27,AZFC Select Challenge 2025,West Valley Events Complex - Field
Next Level Soccer Northwest 2015 Boys Red,Tuzos Halcones 2014,2,3,2025-04-26,AZFC Select Challenge 2025,West Valley Events Complex - Field
Tuzos Halcones 2014,Next Level Soccer Northwest 2015 Boys Red,3,2,2025-04-26,AZFC Select Challenge 2025,West Valley Events Complex - Field
FC Deportivo AZ 2014B (Gallegos),Next Level Soccer Northwest 2015 Boys Red,8,5,2025-04-26,AZFC Select Challenge 2025,West Valley Events Complex - Field
Next Level Soccer Northwest 2015 Boys Red,FC Deportivo AZ 2014B (Gallegos),5,8,2025-04-26,AZFC Select Challenge 2025,West Valley Events Complex - Field
Las Vegas Sports Academy U11 Boys Black 2014,Next Level Soccer Northwest 2015 Boys Red,3,4,2025-04-13,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Next Level Soccer Northwest 2015 Boys Red,Las Vegas Sports Academy U11 Boys Black 2014,4,3,2025-04-13,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Next Level Soccer Northwest 2015 Boys Red,Tuzos Royals 14 Pre-Academy,9,1,2025-04-12,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Tuzos Royals 14 Pre-Academy,Next Level Soccer Northwest 2015 Boys Red,1,9,2025-04-12,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Next Level Soccer Northwest 2015 Boys Red,Phoenix United FC 2014 Premier,1,5,2025-04-12,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Phoenix United FC 2014 Premier,Next Level Soccer Northwest 2015 Boys Red,5,1,2025-04-12,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
Next Level Soccer Northwest 2015 Boys Red,FCDA 15B Pre - Academy,1,1,2025-03-23,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
FCDA 15B Pre - Academy,Next Level Soccer Northwest 2015 Boys Red,1,1,2025-03-23,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
15B NJMarkette,Next Level Soccer Northwest 2015 Boys Red,0,0,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Next Level Soccer Northwest 2015 Boys Red,15B NJMarkette,0,0,2025-03-22,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
NMSA 2015 Boys,Next Level Soccer Northwest 2015 Boys Red,3,0,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
Next Level Soccer Northwest 2015 Boys Red,NMSA 2015 Boys,0,3,2025-03-21,2025 Phoenix Cup - Boys Weekend,Reata Sports Complex
14B Engilman,Next Level Soccer Northwest 2015 Boys Red,2,0,2025-03-16,INFERNO CUP 2025,West Valley Events Complex
Next Level Soccer Northwest 2015 Boys Red,14B Engilman,0,2,2025-03-16,INFERNO CUP 2025,West Valley Events Complex
Next Level Soccer Northwest 2015 Boys Red,2014 Boys Yellow,2,1,2025-03-16,INFERNO CUP 2025,West Valley Events Complex
2014 Boys Yellow,Next Level Soccer Northwest 2015 Boys Red,1,2,2025-03-16,INFERNO CUP 2025,West Valley Events Complex
Phoenix United FC 2014 Premier,Next Level Soccer Northwest 2015 Boys Red,1,3,2025-03-15,INFERNO CUP 2025,West Valley Events Complex
Next Level Soccer Northwest 2015 Boys Red,Phoenix United FC 2014 Premier,3,1,2025-03-15,INFERNO CUP 2025,West Valley Events Complex
BRAZAS FC 2015 Boys Black,Next Level Soccer Northwest 2015 Boys Red,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,BRAZAS FC 2015 Boys Black,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Deportivo Coras USA 2015,Next Level Soccer Northwest 2015 Boys Red,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,Deportivo Coras USA 2015,0,0,2025-03-01,2024-25 Boy's Academy Event March 1 - AZ Athletic Grounds,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,RSL-AZ Yuma 15 Boys Patino,6,1,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
RSL-AZ Yuma 15 Boys Patino,Next Level Soccer Northwest 2015 Boys Red,1,6,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Phoenix Premier FC 15B Black,Next Level Soccer Northwest 2015 Boys Red,6,3,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,Phoenix Premier FC 15B Black,3,6,2025-02-22,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,PRFC Scottsdale 16B Predator,0,4,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
PRFC Scottsdale 16B Predator,Next Level Soccer Northwest 2015 Boys Red,4,0,2025-02-23,2025 Max Shacknai Invitational,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,State 48 FC Verrado 15 White,7,4,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
State 48 FC Verrado 15 White,Next Level Soccer Northwest 2015 Boys Red,4,7,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
U-10 (2015) Boys San Luis Blue,Next Level Soccer Northwest 2015 Boys Red,1,5,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,U-10 (2015) Boys San Luis Blue,5,1,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
AYSO 1079 2015 Boys,Next Level Soccer Northwest 2015 Boys Red,1,8,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,AYSO 1079 2015 Boys,8,1,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,Atletico Tuzos Mesa 2015,3,1,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Atletico Tuzos Mesa 2015,Next Level Soccer Northwest 2015 Boys Red,1,3,2025-02-08,Desert Classic 2025,Arizona Athletic Grounds
Next Level Soccer Northwest 2015 Boys Red,State 48 FC Verrado 15/16 Black,0,4,2025-01-19,2025 Rated Cup,Reach 11 Sports Complex 
State 48 FC Verrado 15/16 Black,Next Level Soccer Northwest 2015 Boys Red,4,0,2025-01-19,2025 Rated Cup,Reach 11 Sports Complex 
Next Level Soccer Northwest 2015 Boys Red,West Valley 2015 Boys Valencia Pre-Elite 64,2,1,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
West Valley 2015 Boys Valencia Pre-Elite 64,Next Level Soccer Northwest 2015 Boys Red,1,2,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
Next Level Soccer Northwest 2015 Boys Red,PSG 15B Blue,2,3,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
PSG 15B Blue,Next Level Soccer Northwest 2015 Boys Red,3,2,2025-01-18,2025 Rated Cup,Reach 11 Sports Complex 
Next Level Soccer Northwest 2015 Boys Red,Next Level Soccer Southeast 2016 Boys Black,1,7,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Southeast 2016 Boys Black,Next Level Soccer Northwest 2015 Boys Red,7,1,2025-01-12,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Northwest 2015 Boys Red,Scottsdale 15 Sandsharks Select,4,3,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Scottsdale 15 Sandsharks Select,Next Level Soccer Northwest 2015 Boys Red,3,4,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
PRFC North Valley 15B Predator,Next Level Soccer Northwest 2015 Boys Red,4,4,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Northwest 2015 Boys Red,PRFC North Valley 15B Predator,4,4,2025-01-11,CCV Stars Champions Cup 2025,Reach 11 Sports Complex (CCV STARS)
Next Level Soccer Northwest 2015 Boys Red,West Valley 2015 Boys Rose,4,2,2024-12-15,RSL-AZ Holiday Classic 2024,
West Valley 2015 Boys Rose,Next Level Soccer Northwest 2015 Boys Red,2,4,2024-12-15,RSL-AZ Holiday Classic 2024,
Next Level Soccer Northwest 2015 Boys Red,PRFC Scottsdale 15B Samba,4,0,2024-12-14,RSL-AZ Holiday Classic 2024,
PRFC Scottsdale 15B Samba,Next Level Soccer Northwest 2015 Boys Red,0,4,2024-12-14,RSL-AZ Holiday Classic 2024,
EV-NSFC 15 Boys Perez(1),Next Level Soccer Northwest 2015 Boys Red,6,4,2024-12-15,RSL-AZ Holiday Classic 2024,
Next Level Soccer Northwest 2015 Boys Red,EV-NSFC 15 Boys Perez(1),4,6,2024-12-15,RSL-AZ Holiday Classic 2024,
BRAZAS FC 2015 Boys Black,Next Level Soccer Northwest 2015 Boys Red,4,0,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
Next Level Soccer Northwest 2015 Boys Red,BRAZAS FC 2015 Boys Black,0,4,2024-12-01,2024 Desert Super Cup,Reata Sports Complex
Corona B15 Aguirre,Next Level Soccer Northwest 2015 Boys Red,0,4,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
Next Level Soccer Northwest 2015 Boys Red,Corona B15 Aguirre,4,0,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
Next Level Soccer Northwest 2015 Boys Red,2015 Elite,0,8,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
2015 Elite,Next Level Soccer Northwest 2015 Boys Red,8,0,2024-11-30,2024 Desert Super Cup,Reata Sports Complex
