Team A,Team B,Score A,Score B,Date,Competition,Venue
AZ Arsenal 15 Boys Teal 1 JZ,NOS Santos 14 Boys Blue,3,5,2025-04-12,2025 Arizona Presidents Cup,Arizona Athletic Grounds
RSL-AZ South 15B Corral,AZ Arsenal 15 Boys Teal 1 JZ,1,7,2025-04-11,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 1 JZ,RSL-AZ South 15B Corral,7,1,2025-04-11,Rivalries Cup 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 1 JZ,East Valley NSFC 14 Boys Aguirre,3,2,2025-04-05,2025 Arizona Presidents Cup,Arizona Athletic Grounds
East Valley NSFC 14 Boys Aguirre,AZ Arsenal 15 Boys Teal 1 JZ,2,3,2025-04-05,2025 Arizona Presidents Cup,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,Madison FC 14 Blue Boys,3,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Madison FC 14 Blue Boys,AZ Arsenal 15 Boys Teal 1 JZ,1,3,2025-03-22,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Phoenix Premier FC 14B CG,AZ Arsenal 15 Boys Teal 1 JZ,4,1,2025-03-22,2025 Phoenix Cup - Boys Weekend,Scottsdale Sports Complex (Rated Sports)
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix Premier FC 14B CG,1,4,2025-03-22,2025 Phoenix Cup - Boys Weekend,Scottsdale Sports Complex (Rated Sports)
AZ Arsenal 15 Boys Teal 1 JZ,Madison FC 2015 Boys Gold,3,0,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
Madison FC 2015 Boys Gold,AZ Arsenal 15 Boys Teal 1 JZ,0,3,2025-03-21,2025 Phoenix Cup - Boys Weekend,Bell94 Sports Complex
AZ Arsenal 15 Boys Teal 1 JZ,AZSC 15B Navy,4,3,2025-02-22,2024-25 MaxinMotion Open League Season 2,Red Mountain (ASA)
AZSC 15B Navy,AZ Arsenal 15 Boys Teal 1 JZ,3,4,2025-02-22,2024-25 MaxinMotion Open League Season 2,Red Mountain (ASA)
AZSC 14B Perez,AZ Arsenal 15 Boys Teal 1 JZ,7,1,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,AZSC 14B Perez,1,7,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,U-11 (2014) Boys Pre Academy,5,3,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
U-11 (2014) Boys Pre Academy,AZ Arsenal 15 Boys Teal 1 JZ,3,5,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
Phoenix United 2015 Elite,AZ Arsenal 15 Boys Teal 1 JZ,4,7,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix United 2015 Elite,7,4,2025-02-09,Desert Classic 2025,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,AZSC 14B Perez,2,2,2025-02-07,Desert Classic 2025,Arizona Athletic Grounds
AZSC 14B Perez,AZ Arsenal 15 Boys Teal 1 JZ,2,2,2025-02-07,Desert Classic 2025,Arizona Athletic Grounds
PRFC West Valley 14B Pre-Academy,AZ Arsenal 15 Boys Teal 1 JZ,1,4,2025-02-01,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,PRFC West Valley 14B Pre-Academy,4,1,2025-02-01,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,PRFC Southeast Valley 14B Predator-Central,5,1,2025-02-01,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
PRFC Southeast Valley 14B Predator-Central,AZ Arsenal 15 Boys Teal 1 JZ,1,5,2025-02-01,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,PRFC North Valley 14B Predator,2,1,2025-01-26,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
PRFC North Valley 14B Predator,AZ Arsenal 15 Boys Teal 1 JZ,1,2,2025-01-26,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
U-11 (2014) Boys Pre Academy,AZ Arsenal 15 Boys Teal 1 JZ,4,1,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,U-11 (2014) Boys Pre Academy,1,4,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
East Valley NSFC 14 Boys Aguirre,AZ Arsenal 15 Boys Teal 1 JZ,5,3,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,East Valley NSFC 14 Boys Aguirre,3,5,2025-01-25,2025 AZ Soccer Clash hosted by Phoenix Premier FC,Arizona Athletic Grounds
Phoenix United 2014 Mendez,AZ Arsenal 15 Boys Teal 1 JZ,4,7,2025-01-23,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix United 2014 Mendez,7,4,2025-01-23,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
AZ Arsenal 15 Boys Teal 1 JZ,FC Elite Arizona 2014 Boys,3,1,2025-01-16,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
FC Elite Arizona 2014 Boys,AZ Arsenal 15 Boys Teal 1 JZ,1,3,2025-01-16,2024-25 MaxinMotion Open League Season 2,Arizona Athletic Grounds
PRFC Scottsdale 14B Predator,AZ Arsenal 15 Boys Teal 1 JZ,2,5,2025-01-11,2024-25 MaxinMotion Open League Season 2,Scottsdale Chaparral Park 
AZ Arsenal 15 Boys Teal 1 JZ,PRFC Scottsdale 14B Predator,5,2,2025-01-11,2024-25 MaxinMotion Open League Season 2,Scottsdale Chaparral Park 
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix Premier FC 15B Black,3,2,2025-01-05,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
Phoenix Premier FC 15B Black,AZ Arsenal 15 Boys Teal 1 JZ,2,3,2025-01-05,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
Phoenix Premier FC 15B CG,AZ Arsenal 15 Boys Teal 1 JZ,2,10,2025-01-05,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix Premier FC 15B CG,10,2,2025-01-05,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 1 JZ,AZ Arsenal 15 Boys AYDP,10,2,2025-01-04,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys AYDP,AZ Arsenal 15 Boys Teal 1 JZ,2,10,2025-01-04,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 2 BD,AZ Arsenal 15 Boys Teal 1 JZ,1,9,2025-01-04,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
AZ Arsenal 15 Boys Teal 1 JZ,AZ Arsenal 15 Boys Teal 2 BD,9,1,2025-01-04,Inside Classic 2025,Arizona Athletic Grounds (AASC Tournaments)
Premier Touch FC IE B15,AZ Arsenal 15 Boys Teal 1 JZ,10,0,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
AZ Arsenal 15 Boys Teal 1 JZ,Premier Touch FC IE B15,0,10,2024-12-08,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
AZ Arsenal 15 Boys Teal 1 JZ,Next Level Soccer Northwest 2015 Boys Black,0,7,2024-12-07,The Open (2024) SuperCopa & SuperCopa+ Qualifier,Bell 94 Sports Complex
