raw_name,team_id,display_name,source
OJB FC 2015 Boys*,ext_5d0a1953451e,OJB FC 2015 Boys*,external
15B Silver,ext_e51e2ff1f84a,15B Silver,external
2015 Locomotive Blue,ext_f546c590f8e3,2015 Locomotive Blue,external
15B Blue Montoya #2,ext_00a908e4dfad,15B Blue Montoya #2,external
ALBION SC Las Vegas B15 Academy IV,ext_0a61e729bb65,ALBION SC Las Vegas B15 Academy IV,external
CCV STARS 14 Boys EAV,ext_935d25db7f5e,CCV STARS 14 Boys EAV,external
CCV STARS 14 Boys Orange LAV,ext_7f810dd89dd5,CCV STARS 14 Boys Orange LAV,external
FC Elite Arizona 2015 Boys,ext_6708a39abcfc,FC Elite Arizona 2015 Boys,external
RSLAZ Southern Rayados Az 2015 Red,ext_3b151952e472,RSLAZ Southern Rayados Az 2015 Red,external
PRFC Scottsdale 14B Predator,ext_e547de598536,PRFC Scottsdale 14B Predator,external
2015B Pre-MLS,ext_ad56dfe2dd0f,2015B Pre-MLS,external
AZ Arsenal 15 Boys Teal BD,ext_ef6002a9b570,AZ Arsenal 15 Boys Teal BD,external
FC Arizona 15B Black GFC Cuevas U11,ext_77a40825c134,FC Arizona 15B Black GFC Cuevas U11,external
Legends FC AZ 15B FC,ext_ba55299c403d,Legends FC AZ 15B FC,external
PRFC North Valley 14B PreAcademy,ext_9d7668653d22,PRFC North Valley 14B PreAcademy,external
AZ Arsenal 14 Boys Teal 1,ext_3ea2a1a9c8cb,AZ Arsenal 14 Boys Teal 1,external
Tuzos Halcones 2014,ext_4f4bd5cf2ba9,Tuzos Halcones 2014,external
Pima Surf Academy Boys 14,ext_befadddcb082,Pima Surf Academy Boys 14,external
15B Blue West #2,ext_a27dc714eb30,15B Blue West #2,external
MVLA_NV 2015 Boys,ext_ad85b4da4a84,MVLA_NV 2015 Boys,external
Black Conshy '15 (B),ext_0902deb15946,Black Conshy '15 (B),external
BRAZAS FC 2015 Boys Black Pacifico,ext_f6e8053eb8a9,BRAZAS FC 2015 Boys Black Pacifico,external
15 Pre-MLS Next Tier #1,ext_53c821ba6a64,15 Pre-MLS Next Tier #1,external
Colegio Alerce,ext_b44dd790853e,Colegio Alerce,external
15B NMarkette,ext_47870a25623b,15B NMarkette,external
REAL AZ,ext_2577a8083832,REAL AZ,external
14B Blue #1,ext_cfc9e5428af0,14B Blue #1,external
Chelsea 15B2,ext_1b37e7d659e4,Chelsea 15B2,external
Hustle Hard 2014- Boys,ext_534cdf51e821,Hustle Hard 2014- Boys,external
Kingman SC 2015-Gonzalez,ext_31bbe5ec69e7,Kingman SC 2015-Gonzalez,external
NOS Santos 14 Boys White,ext_fcb6da972c4c,NOS Santos 14 Boys White,external
2015B Locomotive EPPL Gallegos,ext_bf5067241437,2015B Locomotive EPPL Gallegos,external
CCV STARS 15 Boys Orange SUR,ext_1f0a2432d634,CCV STARS 15 Boys Orange SUR,external
CCV STARS 15 Boys Orange PEO,ext_bf2b2566d0ee,CCV STARS 15 Boys Orange PEO,external
Phoenix United 2014 Academy,ext_bcdd12b5ad0d,Phoenix United 2014 Academy,external
Magnifico FC B15P,ext_a2252cadd222,Magnifico FC B15P,external
AZSC 15B Gold,ext_2149140e6ac1,AZSC 15B Gold,external
PRFC North Valley 16B Predator,ext_429a5cfcefe5,PRFC North Valley 16B Predator,external
EXCEL24FallU11B2Eggleston,ext_690b0d965c84,EXCEL24FallU11B2Eggleston,external
VILLARREAL LV U10 YELLOW,ext_8fb679c51baa,VILLARREAL LV U10 YELLOW,external
Fallbrook Villa FC B2015 Blue,ext_42031cafb1fb,Fallbrook Villa FC B2015 Blue,external
Phoenix Premier FC 14B CG,ext_1a87163446d3,Phoenix Premier FC 14B CG,external
Utah United Academy 2014,ext_8c7315d660df,Utah United Academy 2014,external
SD Surf Academy Boys 2015 (Ericson),ext_724bc63d7fa7,SD Surf Academy Boys 2015 (Ericson),external
Vegas United ‘15 Boys Academy,ext_4fcb6ad83e44,Vegas United ‘15 Boys Academy,external
Southeast 2016 Boys Black,ext_331192f78eaa,Southeast 2016 Boys Black,external
Excel Soccer Academy 14 Black,ext_d7b12f4886c8,Excel Soccer Academy 14 Black,external
West Valley 2015 Boys Valencia Pre-Elite 64,ext_7a46447f10c3,West Valley 2015 Boys Valencia Pre-Elite 64,external
NM Rapids ROMA 2015,ext_3848bc5001fe,NM Rapids ROMA 2015,external
State 48 FC 15 Copper,ext_ee2fe6ece962,State 48 FC 15 Copper,external
AZ Arsenal 14 Boys Teal 2 PJ,ext_77891b048e66,AZ Arsenal 14 Boys Teal 2 PJ,external
Tuzos 2014 Nava,ext_075e08b9ccc8,Tuzos 2014 Nava,external
Phoenix Premier FC 14B White,ext_32eb9976cd36,Phoenix Premier FC 14B White,external
Playmaker Futbol Academy PRE-ECNL B14,ext_df95e57f5a6a,Playmaker Futbol Academy PRE-ECNL B14,external
14B Moore,ext_96cc897800d7,14B Moore,external
Allen U9/U10,ext_22004dc0907b,Allen U9/U10,external
CDI AlFaEs 2015,ext_11695298ddbb,CDI AlFaEs 2015,external
St. Louis Scott Gallagher MO B 2015 Academy Green,ext_816b0fb1b6c9,St. Louis Scott Gallagher MO B 2015 Academy Green,external
Tuzos Mesa A,ext_6f02e932c0dd,Tuzos Mesa A,external
VILLARREAL LV U11 WHITE-BA,ext_e7449016e502,VILLARREAL LV U11 WHITE-BA,external
Tuzos Academy Mesa 2014,ext_e70de23f603b,Tuzos Academy Mesa 2014,external
U-10 (2015) Boys San Luis,ext_15bf4284c862,U-10 (2015) Boys San Luis,external
Next Level Soccer Northwest 2016 Boys,ext_b17de7dcab33,Next Level Soccer Northwest 2016 Boys,external
Dorados Reserve 2015,ext_730d95a8f18e,Dorados Reserve 2015,external
ELI7E FC- ELITE 2014,ext_f8844f9b220b,ELI7E FC- ELITE 2014,external
Verde Valley United FC- U10 Boys,ext_1bb76fd64ae9,Verde Valley United FC- U10 Boys,external
15 Black DW,ext_d516a558a34c,15 Black DW,external
PRFC Southeast Valley 14B Predator,ext_205b9415ebfb,PRFC Southeast Valley 14B Predator,external
Next Level Soccer Southeast 2014 Boys Blue,ext_8658f5de18c1,Next Level Soccer Southeast 2014 Boys Blue,external
AZ Arsenal 16 Boys Teal DB,ext_268c435ac384,AZ Arsenal 16 Boys Teal DB,external
Premier Touch FC IE B15,ext_290863e81165,Premier Touch FC IE B15,external
Rangers 15B,ext_00d30ddfa344,Rangers 15B,external
FCDA 15B Pre - Academy,ext_05c588605eb7,FCDA 15B Pre - Academy,external
PRFC 15B Godsey,ext_e1f74ad37bdd,PRFC 15B Godsey,external
15B Garza/Bernal 2,ext_91c383874ec8,15B Garza/Bernal 2,external
EXCEL25WU11B1Lee,ext_c08cef160309,EXCEL25WU11B1Lee,external
Raiders FC 2015,ext_3c7f1cdbd3f7,Raiders FC 2015,external
U-11 (2014) Boys Yuma,ext_ef49e73f1a8d,U-11 (2014) Boys Yuma,external
State 48 FC Verrado 15 White,ext_fcc5f3c9efe4,State 48 FC Verrado 15 White,external
14B JCFresquez Pre-MLS Next,ext_216a69a16039,14B JCFresquez Pre-MLS Next,external
Legends FC AZ 16B FC,ext_ac8d8bc7cf51,Legends FC AZ 16B FC,external
Magnifico FC B15E,ext_5e3358af7575,Magnifico FC B15E,external
15B Simbron,ext_e8cea3bb6919,15B Simbron,external
16B Mendez GSA,ext_c149f95d8be0,16B Mendez GSA,external
Brazas 2014 Boys Black Marcos,ext_eba2d9622a2b,Brazas 2014 Boys Black Marcos,external
B15 Pre Academy,ext_b9eb82a6ef7c,B15 Pre Academy,external
CAC 14/15B (Conroy),ext_9e809becc546,CAC 14/15B (Conroy),external
Kingman SC B2015-Strikers,ext_cb127340133d,Kingman SC B2015-Strikers,external
VR 2015 Boys,ext_82eacc870075,VR 2015 Boys,external
FSC United 14 Boys,ext_7ca9b4b15958,FSC United 14 Boys,external
Northwest 2015 Boys Blue,ext_17bbf25cb7e0,Northwest 2015 Boys Blue,external
16B Albelais,ext_450ad0557734,16B Albelais,external
Renegades 15B,ext_45ff3abac041,Renegades 15B,external
Inter Fc 2016-2015,ext_2d6619a22e56,Inter Fc 2016-2015,external
BVB International Academy - BVB15 - Black,ext_debcd435ac1b,BVB International Academy - BVB15 - Black,external
CCV STARS 15 Boys White PEO,ext_069c0301b805,CCV STARS 15 Boys White PEO,external
SC Del Sol San Luis,ext_a711a0cb3b5c,SC Del Sol San Luis,external
Huracan,ext_bceb5d529e79,Huracan,external
2014B West,ext_8b46eb41b149,2014B West,external
PRFC Desert Foothills 15B Copa,ext_8617437ad2e6,PRFC Desert Foothills 15B Copa,external
AZ Arsenal 15 Boys Teal 1 JZ,ext_6af33d73d490,AZ Arsenal 15 Boys Teal 1 JZ,external
U-11 (2014) Boys Pre Academy,ext_dd5c11e516ac,U-11 (2014) Boys Pre Academy,external
AZ Arsenal 14 Boys AYDP,ext_782b73d03c9d,AZ Arsenal 14 Boys AYDP,external
14 Coed Mean Green,ext_da6e894f7d23,14 Coed Mean Green,external
Strikers FC Irvine 2015 Ba,ext_1c22713e3367,Strikers FC Irvine 2015 Ba,external
CDO 16B Alliance,ext_a81afc7c988e,CDO 16B Alliance,external
Westside United Scorpions,ext_117d6cc7e92c,Westside United Scorpions,external
SC Del Sol Ruiz 2015,ext_b73b37f11efa,SC Del Sol Ruiz 2015,external
2014 Boys Blue,ext_7a62f8b6be19,2014 Boys Blue,external
AZSC 15B White,ext_cac06e1b4ff0,AZSC 15B White,external
2015/16B Valenzuela Nogales,ext_7a2fd0b51359,2015/16B Valenzuela Nogales,external
2014 Academy I,ext_b1d30bb4467e,2014 Academy I,external
Deportivo Mexico 14B,ext_40105c3d0600,Deportivo Mexico 14B,external
14B Jimmy,ext_c20551007f3d,14B Jimmy,external
14 Cityzens,ext_58b56fba7d07,14 Cityzens,external
Tuzos 2015 Nava,ext_cecd2d237654,Tuzos 2015 Nava,external
Scottsdale 14 Sandsharks Black,ext_316dd0e0851b,Scottsdale 14 Sandsharks Black,external
PRFC West Valley 14B Predator,ext_90cdf9c39bf7,PRFC West Valley 14B Predator,external
AZ Arsenal 15 Boys Teal CE,ext_a6744e49c44b,AZ Arsenal 15 Boys Teal CE,external
EV-NSFC 15 Boys Tiggs(2),ext_efc644ea85b8,EV-NSFC 15 Boys Tiggs(2),external
2014B Claret,ext_b5a072ddc21b,2014B Claret,external
Phoenix Premier FC 15B CG,ext_38e8d44a7fb2,Phoenix Premier FC 15B CG,external
BVBIA ARIZONA BLACK & YELLOW 2015,ext_301024af5b29,BVBIA ARIZONA BLACK & YELLOW 2015,external
So Cal Eagles Boys 2014C,ext_d8712158aedd,So Cal Eagles Boys 2014C,external
15B Overlin,ext_94d426a10150,15B Overlin,external
LAFC SoCal B2015 GOLD,ext_6f6b0784c242,LAFC SoCal B2015 GOLD,external
Premier Touch FC LB B15,ext_170482ec6dd6,Premier Touch FC LB B15,external
Juaritos MX,ext_2ac7812ee349,Juaritos MX,external
15G Pre-ECNL Jeffers Royals,ext_325129cae433,15G Pre-ECNL Jeffers Royals,external
Next Level Soccer Southeast 2014 Boys Green,ext_0b08ef949520,Next Level Soccer Southeast 2014 Boys Green,external
14B Blue #2,ext_b29816b7562d,14B Blue #2,external
Phoenix Premier FC 15B White,ext_b27030ed1547,Phoenix Premier FC 15B White,external
PRFC Scottsdale 16B Predator,ext_bcca8534da3e,PRFC Scottsdale 16B Predator,external
Kingman SC B14 McGill,ext_d9f72c2c6d50,Kingman SC B14 McGill,external
CCV Stars 15 Boys South Orange,ext_9b2a2c4bf372,CCV Stars 15 Boys South Orange,external
Tornados FC,ext_696d27e3f260,Tornados FC,external
14B Castro Rueda,ext_1434b5444131,14B Castro Rueda,external
ESC 2016,ext_9205237ff265,ESC 2016,external
Playmaker Futbol Academy 15B Gold,ext_62dc40e6a923,Playmaker Futbol Academy 15B Gold,external
AZ Arsenal 15 Boys Select,ext_901fb1307646,AZ Arsenal 15 Boys Select,external
LAIFC B2015,ext_76fb4b9d0d2c,LAIFC B2015,external
RAYADOS LAS VEGAS SOCCER ACADEMY 2015 BLUE,ext_82c5593bd52f,RAYADOS LAS VEGAS SOCCER ACADEMY 2015 BLUE,external
