Team A,Team B,Score A,Score B,Date,Competition,SourceURL
FUTBOLTECH CHSC - 2015 LIVERPOOL,cat 2015 elite,5.0,1.0,2025-10-05,2025 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,pre mls next white '15,9.0,2.0,2025-09-21,2025 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015,3.0,2.0,2025-09-13,2025 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,fce 2015 pre ecnl,2.0,0.0,2025-09-06,2025 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,syc 2015b pre-mls next,2.0,1.0,2025-09-01,Philadelphia International Cup,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,coppermine 2015 pre- i,4.0,2.0,2025-08-31,Philadelphia International Cup,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,real fa 2015 pre-mls,4.0,3.0,2025-08-31,Philadelphia International Cup,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,pre mls next black '15,1.0,0.0,2025-08-30,Philadelphia International Cup,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,syc 2015b pre-mls next,1.0,1.0,2025-08-30,Philadelphia International Cup,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,tfa-pro b2015,0.0,7.0,2025-06-15,SuperCopa 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,ne elite 2015,1.0,7.0,2025-06-15,SuperCopa 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,tfa-sela b2015,1.0,6.0,2025-06-14,SuperCopa 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,st louis scott gallagher mo b 2015,1.0,5.0,2025-06-13,SuperCopa 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,east coast b2015,1.0,7.0,2025-06-12,SuperCopa 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,futboltech 2015 - liverpool,11.0,1.0,2025-06-12,SuperCopa 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,9.0,1.0,2025-05-31,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,2.0,3.0,2025-05-25,EDP Cup Spring 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,bergen 2015 neal,0.0,3.0,2025-05-25,EDP Cup Spring 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,sta-musc 2015b,2.0,8.0,2025-05-24,EDP Cup Spring 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,6.0,2.0,2025-05-24,EDP Cup Spring 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,pa classics 14,3.0,6.0,2025-04-27,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,lnusc honey badgers-black,0.0,1.0,2025-04-26,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,3.0,1.0,2025-04-19,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,3.0,2.0,2025-04-19,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,7.0,0.0,2025-04-18,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,mvp 15b,1.0,9.0,2025-04-18,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,imcfa 2015,0.0,4.0,2025-04-17,Boys Easter International Cup 2025,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,1.0,2.0,2025-04-13,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
FUTBOLTECH CHSC - 2015 LIVERPOOL,2015 - liverpool,5.0,3.0,2025-04-05,2024 APL / Acela Fall League,https://rankings.gotsport.com/teams/373052/game-history
