Team A,Team B,Score A,Score B,Date
AZ Arsenal Pre-ECNL B15,PRFC Scottsdale 15B Pre-Academy,0.0,0.0,2025-10-12
AZ Arsenal Pre-ECNL B15,Northwest 2015 Boys Black,0.0,0.0,2025-10-12
AZ Arsenal Pre-ECNL B15,SFC XOLOS ARIZONA 2015B,12.0,0.0,2025-10-11
AZ Arsenal Pre-ECNL B15,BRAZAS FC 2015 Boys Black,3.0,3.0,2025-10-10
15B AChacon Pre-MLS Next,AZ Arsenal Pre-ECNL B15,2.0,0.0,2025-09-28
AZ Arsenal Pre-ECNL B15,Phoenix United 2015 Elite,1.0,3.0,2025-09-28
AZ Arsenal Pre-ECNL B15,BRAZAS FC 2015 Boys Black,2.0,4.0,2025-09-27
AZ Arsenal Pre-ECNL B15,Phoenix Premier FC 15B Black,11.0,1.0,2025-09-27
15B AChacon Pre-MLS Next,AZ Arsenal Pre-ECNL B15,0.0,0.0,2025-08-31
AZ Arsenal Pre-ECNL B15,PRFC Scottsdale 15B Pre-Academy,0.0,8.0,2025-08-31
15 Pre-MLS Next Tier #1,AZ Arsenal Pre-ECNL B15,8.0,2.0,2025-08-30
15B AChacon Pre-MLS Next,AZ Arsenal Pre-ECNL B15,5.0,2.0,2025-08-29
AZ Arsenal Pre-ECNL B15,East Valley NSFC 14 Boys Tiggs,0.0,0.0,2025-08-16
AZ Arsenal Pre-ECNL B15,NSFC 14 Boys Aguirre,0.0,0.0,2025-08-08
AZ Arsenal 14 Boys Teal CB,AZ Arsenal Pre-ECNL B15,1.0,10.0,2025-07-20
AZ Arsenal Pre-ECNL B15,REAL AZ,12.0,2.0,2025-07-20
AZ Arsenal 14 Boys Teal CJB,AZ Arsenal Pre-ECNL B15,1.0,11.0,2025-07-19
AZ Arsenal Pre-ECNL B15,PRFC Southeast Valley 14B Predator,3.0,12.0,2025-07-19
15/16B Valenzuela Nogales,Chelsea 15B,0.0,7.0,2025-09-28
Chelsea 15B,Pima Surf Academy Boys 15,3.0,2.0,2025-09-28
15/16B Valenzuela Nogales,Chelsea 15B,2.0,9.0,2025-09-27
Chelsea 15B,Renegades 15B,0.0,8.0,2025-09-27
15B Hermanson,Chelsea 15B,0.0,14.0,2025-09-21
15 Pre-MLS Next #1,Chelsea 15B,3.0,0.0,2025-09-21
Chelsea 15B,PRFC Scottsdale 15B Predator,3.0,3.0,2025-09-20
15 Boys National League #1,Chelsea 15B,16.0,1.0,2025-09-19
Chelsea 15B,Northwest 2015 Boys Red,4.0,3.0,2025-08-31
Chelsea 15B,PRFC Scottsdale 15B Predator,2.0,5.0,2025-08-30
Chelsea 15B,PRFC Scottsdale 16B Predator,5.0,4.0,2025-08-30
14B Hinds,Chelsea 15B,0.0,0.0,2025-08-01
Chelsea 15B,FCDA 15B Pre - Academy,3.0,5.0,2025-03-30
Chelsea 15B,Tuzos Academy Mesa 2015,2.0,1.0,2025-03-29
Chelsea 15B,RSLAZ Southern Rayados Az 2015 Blue,0.0,5.0,2025-03-29
AZ Arsenal 16 Boys Teal 1,Chelsea 15B,3.0,2.0,2025-03-16
Chelsea 15B,RYSC 2015,8.0,2.0,2025-03-16
Chelsea 15B,Phoenix 15/16B Blue,7.0,0.0,2025-03-15
AZ Arsenal 16 Boys Teal 1,Chelsea 15B,4.0,5.0,2025-03-15
15 Boys Soul Warriors,Chelsea 15B,7.0,0.0,2025-03-08
15 Boys Soul Warriors,Chelsea 15B,2.0,6.0,2025-03-01
CDO 15B Premier,Chelsea 15B,1.0,3.0,2025-02-16
Chelsea 15B,RSL-AZ Yuma 14 Boys Quinonez,0.0,3.0,2025-02-16
14B Hermanson 1,Chelsea 15B,4.0,1.0,2025-02-15
Chelsea 15B,RSL-AZ Yuma 14 Boys Quinonez,5.0,1.0,2025-02-15
15B Blue Montoya #1,Chelsea 15B,4.0,1.0,2025-02-08
15B Blue Arviso #1,Chelsea 15B,2.0,4.0,2025-02-01
Chelsea 15B,Phoenix Premier FC 15B Black,3.0,8.0,2025-01-26
Chelsea 15B,VR 2015 Boys,2.0,6.0,2025-01-25
Chelsea 15B,Phoenix Premier FC 15B CG,5.0,0.0,2025-01-25
Chelsea 15B,Legends FC AZ 15B Gold,1.0,5.0,2025-01-24
2015 Boys Yellow,Chelsea 15B,6.0,2.0,2025-01-19
Chelsea 15B,State 48 FC 15 Copper,3.0,2.0,2025-01-19
Chelsea 15B,FDI 2015,2.0,5.0,2025-01-18
Chelsea 15B,Scottsdale 15 Sandsharks Select,0.0,5.0,2025-01-18
15B Blue Montoya #1,Chelsea 15B,1.0,5.0,2025-01-11
15B Blue Arviso #1,Chelsea 15B,0.0,0.0,2024-12-28
2015 Boys Blue,Chelsea 15B,12.0,3.0,2024-12-14
2015 Boys Blue,Chelsea 15B,12.0,3.0,2024-12-14
15 Boys Navy,Chelsea 15B,2.0,7.0,2024-12-14
Chelsea 15B,Synergy FC 15/16B,8.0,1.0,2024-12-13
15B Bernal/Garza 2,Chelsea 15B,4.0,3.0,2024-12-09
15 Boys Soul Warriors,Chelsea 15B,2.0,3.0,2024-11-23
CDO 15B Elite,Chelsea 15B,10.0,0.0,2024-11-16
Chelsea 15B,UAC 15B Academy,0.0,8.0,2024-11-11
15B Garza/Bernal 2,Chelsea 15B,6.0,3.0,2024-11-10
Chelsea 15B,Pima Surf Academy Boys 15,2.0,2.0,2024-11-09
Chelsea 15B,RSLAZ Southern 15B Rayados White,3.0,4.0,2024-11-09
Chelsea 15B,Pima Surf Academy Boys 15,5.0,1.0,2024-11-02
Phoenix United 2015 Elite,Tuzos Academy Mesa 2015,2.0,8.0,2025-10-05
Phoenix Premier FC 15B Black,Phoenix United 2015 Elite,0.0,6.0,2025-09-28
CDO 15B Premier,Phoenix United 2015 Elite,0.0,0.0,2025-09-27
BRAZAS FC 2015 Boys Black,Phoenix United 2015 Elite,3.0,8.0,2025-09-27
15B AChacon Pre-MLS Next,Phoenix United 2015 Elite,0.0,0.0,2025-09-26
PRFC West Valley 15B Pre-Academy,Phoenix United 2015 Elite,4.0,1.0,2025-09-21
14B GSA,Phoenix United 2015 Elite,3.0,4.0,2025-09-07
Dynamos SC 14B SC,Phoenix United 2015 Elite,1.0,5.0,2025-09-06
Phoenix United 2015 Elite,Tuzos Royals 2014,0.0,1.0,2025-09-06
14 Pre-MLSN #2,Phoenix United 2015 Elite,4.0,1.0,2025-08-31
14B GSA,Phoenix United 2015 Elite,2.0,4.0,2025-08-30
PRFC Scottsdale 14B Pre-Academy,Phoenix United 2015 Elite,5.0,3.0,2025-08-29
Juaritos MX,Phoenix United 2015 Elite,0.0,9.0,2025-05-24
Phoenix United 2015 Elite,Tuzos Mesa A,8.0,2.0,2025-05-24
Arizona Brown's A,Phoenix United 2015 Elite,4.0,0.0,2025-05-24
Phoenix United 2015 Elite,Tuzos Academy GTA 2016,6.0,2.0,2025-05-24
Phoenix United 2015 Elite,Tuzos Legends,7.0,0.0,2025-05-24
Huracan,Phoenix United 2015 Elite,3.0,1.0,2025-05-24
Excel Soccer Academy 14 Red,Phoenix United 2015 Elite,2.0,1.0,2025-03-30
2014 Tuzos Academy FV,Phoenix United 2015 Elite,0.0,3.0,2025-03-29
Phoenix United 2015 Elite,Tuzos Academy Mesa 2014,0.0,1.0,2025-03-29
Madison FC 14 Gold Boys Storm,Phoenix United 2015 Elite,0.0,4.0,2025-03-23
2014 Boys Red,Phoenix United 2015 Elite,3.0,3.0,2025-03-22
Eastside FC B14 White,Phoenix United 2015 Elite,2.0,2.0,2025-03-21
Next Level Soccer Northwest 2015 Boys Black,Phoenix United 2015 Elite,3.0,4.0,2025-02-22
CCV STARS 15 Boys Orange PEO,Phoenix United 2015 Elite,0.0,2.0,2025-02-22
PRFC North Valley 14B PreAcademy,Phoenix United 2015 Elite,3.0,3.0,2025-02-21
AZ Inferno 14 Boys Black,Phoenix United 2015 Elite,9.0,0.0,2025-02-09
AZ Arsenal 15 Boys Teal 1 JZ,Phoenix United 2015 Elite,7.0,4.0,2025-02-08
FC Hawaii 14B Red,Phoenix United 2015 Elite,5.0,0.0,2025-02-08
15B Chacon,Phoenix United 2015 Elite,2.0,3.0,2025-01-04
BVB 14B Puma (F: AYSES 14B Black),Phoenix United 2015 Elite,1.0,8.0,2025-01-04
14B Velasco Pre-MLS Next,Phoenix United 2015 Elite,1.0,0.0,2025-01-03
Albion SC Santa Ana B15 Academy,Phoenix United 2015 Elite,2.0,2.0,2024-12-07
Phoenix United 2015 Elite,TFA-SELA B2015 Red,1.0,5.0,2024-12-07
Phoenix United 2015 Elite,Premier Touch FC IE B15,8.0,0.0,2024-12-06
CCV STARS 15 Boys Orange PEO,Phoenix United 2015 Elite,4.0,0.0,2024-10-13
Phoenix United 2015 Elite,Real 2015 Boys National,0.0,2.0,2024-10-13
14B GSA,Southeast 2015 Boys Red,2.0,1.0,2025-09-28
Excel Soccer Academy 14B Red,Southeast 2015 Boys Red,2.0,1.0,2025-09-28
Southeast 2015 Boys Red,Tuzos Royals 2014,3.0,0.0,2025-09-27
Playmaker Futbol Academy PRE-ECNL B14,Southeast 2015 Boys Red,1.0,7.0,2025-09-27
14B Velasco,Southeast 2015 Boys Red,3.0,0.0,2025-09-14
15B AChacon Pre-MLS Next,Southeast 2015 Boys Red,1.0,1.0,2025-09-14
East Valley NSFC 14 Boys Aguirre,Southeast 2015 Boys Red,0.0,9.0,2025-09-13
CCV Stars 14 Boys South Pre-ECNL,Southeast 2015 Boys Red,4.0,2.0,2025-09-12
14 Cityzens,Southeast 2015 Boys Red,7.0,1.0,2025-04-05
AZ Arsenal 14 Boys AYDP,Southeast 2015 Boys Red,0.0,7.0,2025-04-05
Phoenix United 2014 Academy,Southeast 2015 Boys Red,3.0,3.0,2025-04-04
Legends FC AZ 14B FC,Southeast 2015 Boys Red,1.0,0.0,2025-03-30
Next Level Soccer Northwest 2014 Boys,Southeast 2015 Boys Red,0.0,3.0,2025-03-30
Legends FC AZ 14B FC,Southeast 2015 Boys Red,0.0,1.0,2025-03-29
CCV STARS 14 Boys Orange LAV,Southeast 2015 Boys Red,0.0,2.0,2025-03-29
Legends FC AZ 14B FC,Southeast 2015 Boys Red,5.0,4.0,2025-02-23
14B JCFresquez Pre-MLS Next,Southeast 2015 Boys Red,1.0,2.0,2025-02-22
14,Southeast 2015 Boys Red,4.0,5.0,2025-02-21
14,Southeast 2015 Boys Red,0.0,0.0,2025-01-26
Phoenix Premier FC 14B Black,Southeast 2015 Boys Red,3.0,2.0,2025-01-25
2014B West,Southeast 2015 Boys Red,1.0,1.0,2025-01-25
CCV STARS 14 Boys Orange PEO,Southeast 2015 Boys Red,2.0,3.0,2025-01-12
14B Velasco Pre-MLS Next,Southeast 2015 Boys Red,3.0,2.0,2025-01-11
2014B West,Southeast 2015 Boys Red,3.0,2.0,2025-01-10
Southeast 2015 Boys Red,Utah United Academy 2015,3.0,5.0,2024-12-15
PRFC Scottsdale 16B Predator,Southeast 2015 Boys Red,3.0,1.0,2024-12-14
PRFC Scottsdale 15B Copa,Southeast 2015 Boys Red,0.0,6.0,2024-12-14
Legends FC AZ 15B Gold,Southeast 2015 Boys Red,1.0,13.0,2024-12-08
CCV STARS 15 Boys Orange PEO,Southeast 2015 Boys Red,2.0,1.0,2024-12-08
Southeast 2015 Boys Red,State 48 FC Verrado 15/16 Black,0.0,5.0,2024-12-07
CCV STARS 15 Boys Orange PEO,Southeast 2015 Boys Red,3.0,0.0,2024-12-06
Next Level Soccer Northwest 2015 Boys Black,Southeast 2015 Boys Red,0.0,3.0,2024-11-10
Excel Soccer Academy 15 Red,Southeast 2015 Boys Red,10.0,5.0,2024-11-10
2014B West,Southeast 2015 Boys Red,4.0,4.0,2024-11-09
AZSC 14B Perez,Southeast 2015 Boys Red,4.0,5.0,2024-11-09
Idaho Rush 14 Blue,Southeast 2015 Boys Red,1.0,4.0,2024-10-20
Next Level Soccer Northwest 2014 Boys,Southeast 2015 Boys Red,5.0,1.0,2024-10-19
Next Level Soccer Southeast 2014 Boys Red,Southeast 2015 Boys Red,2.0,3.0,2024-10-18
Pre MLS NEXT Black '15,Southeast 2015 Boys Black,0.0,0.0,2025-10-12
Coppermine SC 2015 Boys Pre-Academy I,Southeast 2015 Boys Black,3.0,2.0,2025-10-11
Southeast 2015 Boys Black,Valencia 2015 Black,0.0,0.0,2025-10-11
Southeast 2015 Boys Black,Sting Attack B15 A Sarmiento Elite,2.0,1.0,2025-06-15
Las Vegas Sports Academy U10 Boys Red 2015,Southeast 2015 Boys Black,2.0,0.0,2025-06-15
Southeast 2015 Boys Black,Utah United Academy 2015,2.0,1.0,2025-06-14
Southeast 2015 Boys Black,St. Louis Scott Gallagher MO B 2015 Academy Green,3.0,2.0,2025-06-13
Hawaii Rush 15B,Southeast 2015 Boys Black,2.0,2.0,2025-06-12
Raiders FC 2015,Southeast 2015 Boys Black,4.0,2.0,2025-06-12
2014 Locomotive Blue,Southeast 2015 Boys Black,0.0,1.0,2025-03-22
Southeast 2015 Boys Black,Tuzos Royals 2014,3.0,2.0,2025-03-22
Phoenix United 14 Elite,Southeast 2015 Boys Black,3.0,2.0,2025-03-21
Southeast 2015 Boys Black,U-11 (2014) Boys Yuma,0.0,2.0,2025-02-08
15B Chacon,Southeast 2015 Boys Black,1.0,2.0,2025-02-07
AZ Arsenal Pre-ECNL B14,Southeast 2015 Boys Black,1.0,2.0,2025-02-06
Las Vegas Sports Academy U10 Boys Red 2015,Southeast 2015 Boys Black,0.0,2.0,2025-01-20
B15 Elite,Southeast 2015 Boys Black,1.0,0.0,2025-01-19
Southeast 2015 Boys Black,Sting Pre ECNL B15 O Reyes,1.0,1.0,2025-01-19
Southeast 2015 Boys Black,XF B15 RCL1,3.0,0.0,2025-01-18
BVB 14B Puma (F: AYSES 14B Black),Southeast 2015 Boys Black,0.0,0.0,2025-01-05
Next Level Soccer Northwest 2015 Boys Black,Southeast 2015 Boys Black,0.0,3.0,2025-01-04
14B JCFresquez Pre-MLS Next,Southeast 2015 Boys Black,1.0,4.0,2025-01-04
14,Southeast 2015 Boys Black,1.0,0.0,2025-01-03
Madison FC 14 Gold Boys Storm,Southeast 2015 Boys Black,1.0,3.0,2024-12-15
Southeast 2015 Boys Black,Tuzos Royals 2014,1.0,1.0,2024-12-15
CCV STARS 14 Boys Orange PEO,Southeast 2015 Boys Black,0.0,0.0,2024-12-14
2014B West,Southeast 2015 Boys Black,5.0,2.0,2024-12-14
Premier Touch FC IE B15,Southeast 2015 Boys Black,0.0,1.0,2024-12-08
P2P Academy 2015,Southeast 2015 Boys Black,3.0,4.0,2024-12-07
Southeast 2015 Boys Black,Tuzos Academy Mesa 2015,11.0,0.0,2024-12-07
FRAM B15 Pre Elite Academy,Southeast 2015 Boys Black,1.0,2.0,2024-12-06
Southeast 2015 Boys Black,Tuzos Royals 2014,2.0,1.0,2024-11-30
2014B Claret,Southeast 2015 Boys Black,2.0,3.0,2024-11-30
Playmaker Futbol Academy 14B Gold,Southeast 2015 Boys Black,0.0,2.0,2024-11-29
Atletico Tuzos Mesa 13/14,Southeast 2015 Boys Black,2.0,3.0,2024-11-24
AZSC 13B Sobek,Southeast 2015 Boys Black,0.0,4.0,2024-11-24
CCV Stars 13 Boys Orange SUR,Southeast 2015 Boys Black,16.0,1.0,2024-11-23
CDO 13B Elite,Southeast 2015 Boys Black,0.0,13.0,2024-11-23
Philadelphia Union Junior Academy 2015,Southeast 2015 Boys Black,1.0,4.0,2024-10-13
