Rank,Team,team_id,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,SOS_iterative_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
1,Thunderbird FC 2015 Boys Yellow,385774,0.671,0.6705813249348469,1.0,0.7866311054620407,0.8016951601540541,0.5881934530193799,0.5881934530193799,22,0,Active,False,
2,AYSO 350 Alliance 15B Johnson,574570,0.644,0.8187038335699077,0.786980106228871,0.7953525125140256,0.676534325771391,0.8738774431880407,0.8738774431880407,9,0,Active,False,
3,Sun Warriors AZFC Sun Warriors 15/16 Boys,86702,0.627,0.6265457628287512,1.0,0.7718239959696668,0.7545781522027946,0.5354422219904316,0.5354422219904316,24,0,Active,False,
4,Next Level Soccer (AZ) Southeast 2015 Boys Black,238249,0.622,0.6222074754140339,1.0,0.3323066953734239,0.3332787816708104,0.8151506333419783,0.8151506333419783,30,0,Active,False,
5,Arizona Soccer Club AZSC 2015B White,80005,0.616,0.6859598902534078,0.8985234417906397,0.5898869938891392,0.6077320772108545,0.7440601267223483,0.7440601267223483,14,0,Active,False,
6,FBSL Tuzos Edwin 2015,319586,0.615,0.6153251913573972,1.0,0.541117716975713,0.4962312733281971,0.6797589888276919,0.6797589888276919,21,0,Active,False,
7,Renegades Soccer Club Chelsea 15B,334055,0.613,0.6128739238602037,1.0,0.690796253302575,0.6431173630520277,0.5768186676488053,0.5768186676488053,30,0,Active,False,
8,South Bank SC Salsa 2015,513881,0.59,0.6192356459008475,0.9524137961092619,0.5915476883928703,0.6146267316067651,0.6300012698348673,0.6300012698348673,17,0,Active,False,
9,North Scottsdale Soccer Club Scottsdale 15 Sandsharks Black,405999,0.588,0.5884300848854849,1.0,0.5815914829590534,0.5754646602631173,0.5950314270684179,0.5950314270684179,27,0,Active,False,
10,Phoenix Rising FC PRFC Scottsdale 15B Copa,259314,0.577,0.5855231189883132,0.9847298018175751,0.4449224218632244,0.45374906315899505,0.6763147033064488,0.6763147033064488,19,0,Active,False,
11,Phoenix Rising Desert Foothills PRFC Desert Foothills 15B Predator,255974,0.577,0.5771062013863519,1.0,0.6279111222630922,0.6063972426891964,0.5504075473264904,0.5504075473264904,30,0,Active,False,
12,Renegades Soccer Club Rangers 15B,551993,0.571,0.5707736060209424,1.0,0.47351249487462793,0.6475867538248634,0.5775895938017402,0.5775895938017402,26,0,Active,False,
13,FBSL Tuzos Academy Mesa 2015,385524,0.57,0.5700690600080447,1.0,0.631545692599931,0.41199676889598114,0.6022676128481037,0.6022676128481037,30,0,Active,False,
14,Phoenix United Futbol Club Phoenix United 2015 Elite,367030,0.569,0.5690276594999868,1.0,0.5543938221905187,0.44865321100838296,0.6140304214336774,0.6140304214336774,30,0,Active,False,
15,North Scottsdale Soccer Club Scottsdale 15 Sandsharks Select,151833,0.568,0.5682020699998659,1.0,0.597926353516196,0.4356510785979769,0.6024776392950522,0.6024776392950522,30,0,Active,False,
16,FBSL Dorados Reserve 2015,433948,0.566,0.5657304130984055,1.0,0.514337780924886,0.519345306785956,0.5983229925937286,0.5983229925937286,30,0,Active,False,
17,Phoenix United Futbol Club Phoenix United 2015 Academy,367035,0.561,0.5606858058073014,1.0,0.31077625949801235,0.5118725776719738,0.660260063955507,0.660260063955507,30,0,Active,False,
18,Arizona Arsenal Soccer Club AZ Arsenal Pre-ECNL B15,163451,0.561,0.5789630850965645,0.9688861611972633,0.5226161686227534,0.5139703202993825,0.6194096455202288,0.6194096455202288,18,0,Active,False,
19,Arizona Soccer Club AZSC 15B Gold,189718,0.558,0.5578316077135246,1.0,0.5884101199150498,0.5380229146624961,0.5542416679966925,0.5542416679966925,25,0,Active,False,
20,Renegades Soccer Club Deportivo Mexico 15B,558129,0.555,0.5545771654068186,1.0,0.5408870967309858,0.5818335567315752,0.5500550578571773,0.5500550578571773,22,0,Active,False,
21,FBSL La Piedad FC 2015,533848,0.554,0.5542906069056491,1.0,0.620918349921103,0.6460198401675659,0.5015049481465256,0.5015049481465256,28,0,Active,False,
22,RSL-AZ Yuma RSL-AZ Yuma 15 Boys Patino,79737,0.553,0.5525691155387686,1.0,0.5676159184058267,0.6023878344333314,0.5309472749515618,0.5309472749515618,25,0,Active,False,
23,Arizona Arsenal Soccer Club AZ Arsenal 15 Boys Flagstaff,526663,0.553,0.5526056303864957,1.0,0.7122418128030613,0.6535370183585871,0.4657497735902765,0.4657497735902765,25,0,Active,False,
24,FC Tucson Youth Soccer 15 Boys Soul Warriors,395681,0.547,0.5465400959442103,1.0,0.3725927108659863,0.5722748814423112,0.5959442958042513,0.5959442958042513,30,0,Active,False,
25,Vail SC VSC 2015 Boys Black,544769,0.547,0.5471623345660792,1.0,0.6946260826417134,0.4892792987873089,0.5173020971337913,0.5173020971337913,23,0,Active,False,
26,Vail SC VSC 2015 Boys White,407089,0.546,0.5462542660024023,1.0,0.4032684646819525,0.499167330039135,0.6096118450969747,0.6096118450969747,24,0,Active,False,
27,Renegades Soccer Club Chelsea 15B2,556218,0.546,0.5459985873545931,1.0,0.5519679651455109,0.4640874878944129,0.5713124945776805,0.5713124945776805,20,0,Active,False,
