team_id,display_name,club,state,state_code
0a2f34e90511,FSC B2015 Blue,Freedom Soccer Club,South Carolina,SC
5c302e7d9d28,Haslett SC 2015B Navy,Haslett Soccer,South Carolina,SC
bee56d0d30da,PYSC 2015 Boys,Pittsburg Youth Soccer Club,South Carolina,SC
6f1232f49992,PYSC 2015,Progressive Youth Soccer Club,South Carolina,SC
81c8a053de87,Autobahn SC Boys 2015 Blue,Autobahn SC,South Carolina,SC
8d4b51114070,BC Fire SC 2015B Blue,BC Fire SC,South Carolina,SC
d9bced044b83,FRAM B15 EA2,FRAM SC,South Carolina,SC
0a36f6875aa4,JSC 15B Red,JSC Soccer Club,South Carolina,SC
683f4ded210e,CC Express Chelsea,Express SC,South Carolina,SC
642f7ea1022f,Venice 2015 Boys,VENICE SC,South Carolina,SC
a76867267a62,Nashua United SC U11 Boys - Blue,Nashua Youth Soccer League,South Carolina,SC
263b05d5b21e,FC Lions 2015,UASC Lions,South Carolina,SC
877fb4bd347a,AU 2015-2016 Boys,Addison United SC,South Carolina,SC
e786f89ac1a6,15B EA2,Los Angeles SC,South Carolina,SC
c21a7a6152a4,Rose Tree Kixx,Rose Tree SC,South Carolina,SC
2d4be65992bf,Sturgis FC 2015B,Sturgis SC,South Carolina,SC
b282bacc5124,Iroquois U10 1,Iroquois SC,South Carolina,SC
40f916a993ac,Blount United Rush SC 2015 Navy,Blount United SC,South Carolina,SC
bd352129fe52,USC Pulisic Bluezz 15,Union Soccer,South Carolina,SC
1f363c0db530,CITY SC SW B15 EA MUR,City SC Southwest,South Carolina,SC
eb6cd3056449,Wasatch SC 15 B CH - Blue,Wasatch SC,South Carolina,SC
75c48f2e8170,NSC15B,,South Carolina,SC
ca82dd774a6c,Wasatch SC '15B Blue - MM,,South Carolina,SC
21269c6e31e4,Timberwolves Boys U10 25/26,Timberwolves SC,South Carolina,SC
f3f06e35e5b4,DASC Timbers,DASC,South Carolina,SC
d3b4e80e2b18,PVSC 2015/2016B - PDA - Robison,,South Carolina,SC
b1862462a35e,Levels SC Yellow,,South Carolina,SC
8f96ff610821,Southeast SC B15,Southeast Soccer Club,South Carolina,SC
430a2d5f0362,2015 Boys - Roehm,Litchfield SC,South Carolina,SC
6633fe813ce9,Rebels SC-IE B15 PRE-EA,Rebels Soccer Club,South Carolina,SC
02f1ccb7e7e4,Blue,Hunter SC,South Carolina,SC
5ed5d7cf9e84,DCSC West Blue B15,DC Soccer Club,South Carolina,SC
152c986927c9,SUSQUEHANNA CPU LIONS Elite,Susquehanna SC,South Carolina,SC
a15addc12884,Greenbush SC Boys 2015 Green,Greenbush Soccer Club,South Carolina,SC
e101481f20e3,Bloomfield United 2015,Bloomfield SC,South Carolina,SC
da1307268914,USC Pulisic Blue 15,Union Soccer,South Carolina,SC
e9a77e6f8557,HCSC 2015 Yellow,Hunter's Creek SC,South Carolina,SC
fee9b5658b81,Ajax St. Louis United 2015,Ajax St Louis SC,South Carolina,SC
6e688b0028f5,Rebels SC Pre-ECNL B15B,Rebels Soccer Club,South Carolina,SC
40ef76d0eb7a,Holley United,Holley SC,South Carolina,SC
a43cd48e6af9,Lubbock United SC 2015B,Lubbock United SC,South Carolina,SC
681133b9c9df,FSC B2015,FSC,South Carolina,SC
a6dfb2273694,AUSC Eagles 2015,Addison United,South Carolina,SC
0c0abb5c217e,SA City STXCL WC B15 Red,San Antonio City SC,South Carolina,SC
03f4df51e023,Kipuupuu United SC U11 Boys,Kipuupuu United SC,South Carolina,SC
034e2018aab1,Syracuse Soccer Club - 11U Boys Rockets,Syracuse SC,South Carolina,SC
7b42924b6fe3,CITY SC MV B15 GOLD,City SC Southwest,South Carolina,SC
d6bf6a233010,Autobahn SC Boys 2015 Gold,Autobahn SC,South Carolina,SC
073d2d8623bb,CITY SC SW B15 Gold TEM,City SC Southwest,South Carolina,SC
61bdacc835a8,Schwaben 2015 Boys Olympic,Schwaben A.C.,South Carolina,SC
bef8b3cc7d5d,2015B Gold,SPFSC EP3,South Carolina,SC
c1982e888460,Haddon Heights SC 2015 Cheetahs,Haddon Heights SC,South Carolina,SC
5c55ecf7be18,E N S O SC B15,Enso Soccer Club,South Carolina,SC
f2152466a8bf,731SC 15/16 Yellow,731 Soccer Club,South Carolina,SC
4cf990678d57,B15 Wenatchee United,Wenatchee United SC,South Carolina,SC
9be63d15ab05,Red 2015 B,Haddonfield SC,South Carolina,SC
0271fe5c8d72,Southeast SC B15 Red,Southeast Soccer Club,South Carolina,SC
28d70d9b828a,FSC - 2015 Boys Red,Firebirds SC,South Carolina,SC
aed975db4bc3,FSC B2015 Red,Freedom Soccer Club,South Carolina,SC
749658331a8c,HSC Bulls 15B - I,Honolulu Bulls Soccer Club,South Carolina,SC
758cadf43ca7,NSC B14D,,South Carolina,SC
45e523cb42df,SAA United SC 2015B Red,SAA United SC,South Carolina,SC
5935a17ce0f3,UC United SC,,South Carolina,SC
eaa521684ffa,Iroquois U10 2,Iroquois SC,South Carolina,SC
fe2e1e5fe9a1,2015B SCSC,Soccer Club of St Cloud,South Carolina,SC
7abfb461a387,Napoleon B2015,Napoleon SC,South Carolina,SC
11f05f252e78,2015 B Green,Tulsa Greenwood SC,South Carolina,SC
80666109181c,Tulsa SC 15B Red,Tulsa Soccer Club,South Carolina,SC
97f48f208e53,BSC United 15 Boys,Boyertown SC,South Carolina,SC
7a0560718cc1,OTSC 2015 Boys Blue,Old Town Soccer Club,South Carolina,SC
450538555aaa,STA-MUSC 2015B USYS,STA,South Carolina,SC
e09d423b7c68,BUSC B15 Purple,Butler United SC,South Carolina,SC
00f57ab6a479,AFCHSV- USC 2015 Boys Elite,United Soccer Club,South Carolina,SC
e0e2f9470506,UCSC Spurs 15,,South Carolina,SC
2f27dd6423ca,SA City 15B Blue,San Antonio City SC,South Carolina,SC
2dbdd20287e6,Evolution 2015 Boys Phantom East,Evolution SC,South Carolina,SC
93b3495c7bca,BSC Boys U10 Blue,,South Carolina,SC
d8fe5a828585,Evolution 2015 Boys Phantom,Evolution SC,South Carolina,SC
d00b2586059c,2015B Elite 2 Werket,Wave SC,South Carolina,SC
b9fea7b00baf,NSC B14C,,South Carolina,SC
6e03744dfc5c,Scrappers,,South Carolina,SC
eab869b6e3ff,BSC U10 - Blue,Bow Soccer Club,South Carolina,SC
515f95c5d784,Ryerson 2015,SC Gjoa,South Carolina,SC
93e7c5cb6a4f,Cutters SC 2015 Boys 3,Cutters Soccer Club,South Carolina,SC
5c7914a44146,DCSC West Red B15,DC Soccer Club,South Carolina,SC
faf4bf9ce6e6,USC Havoc 15M,Chambersburg Youth SA,South Carolina,SC
91895b31615f,B15 Upload,Xplosion SC,South Carolina,SC
991b3c4a4605,SC Wave Elite 2015 Boys,,South Carolina,SC
cde9fc461852,Culpeper SC 2015 Boys,Culpeper Soccer Club,South Carolina,SC
3c5bf5cedc70,Pueblo Rangers SC 2015 Boys Elite,Pueblo Rangers SC,South Carolina,SC
9c5c95b8fe75,Autobahn SC B15 Gold,Autobahn SC,South Carolina,SC
8b32bf436aa2,2015 Boys Liverpool,EPSC,South Carolina,SC
b9af464672b4,FSC U11A Boys,,South Carolina,SC
98c9c680d5de,Cutters SC 2015 Boys 2,Cutters Soccer Club,South Carolina,SC
32833e190c22,Cutters SC 2015 Boys,Cutters Soccer Club,South Carolina,SC
c62739aa505f,Cutters SC 2015 Boys Blue,Cutters Soccer Club,South Carolina,SC
dd4bf720ea44,Rock SC Rush 2015 Boys,,South Carolina,SC
53faf1018251,Glen-Ed SC 15B United II,Glen-Ed SC,South Carolina,SC
421dd6fe7b97,Elite S.C. 2015 Boys Red,Elite SC,South Carolina,SC
cc1c13e80585,TUSC 2015 Boys U11 Gold,Trumbull United SC,South Carolina,SC
c4670ee22a2f,XBOYS2015,Xplosion SC,South Carolina,SC
376d29aebcdf,Dream Center SC 2015,Dream Center Soccer Club,South Carolina,SC
96f071d9c2ec,RUSC U10 Boys Red,Rotterdam,South Carolina,SC
0023ba637396,NSC B14 E,,South Carolina,SC
ae27866680aa,NSC B15C,,South Carolina,SC
04b9f57b8d02,Cutters SC 2015 Boys Red,Cutters Soccer Club,South Carolina,SC
e2868feb2317,NTH NASA 15 SCCL South,NASA Tophat,South Carolina,SC
9efcbb4bcfa9,Rose Tree Blitz,Rose Tree SC,South Carolina,SC
d2a91f5713cd,FSC U11 B2015 Green,Fraser SC,South Carolina,SC
7c0ad8065096,2015 Boys Leeds United,EPSC,South Carolina,SC
cc8a25b1c262,Hamburg 2015 Boys Blue,Hamburg SC,South Carolina,SC
ecc82977ed78,TISC Blue Jays 2015/16,TISC,South Carolina,SC
b4706d1be697,CITY SC SW B15 Gold MUR,City SC Southwest,South Carolina,SC
8f792dbb7d1f,NOS Santos 15 Boys Yellow,NOS Santos SC,South Carolina,SC
46a8be9c3f09,Nashua United SC U11 Boys - Purple,Nashua Youth Soccer League,South Carolina,SC
a053f89771af,SPSC 10U Boys Red,,South Carolina,SC
3315dbda9ae5,SA City 15B East,San Antonio City SC,South Carolina,SC
0e6605046bde,2014B WUSC Revolution,Western United SC,South Carolina,SC
028a72cd788d,HSC Bulls 15B-II,Honolulu Bulls Soccer Club,South Carolina,SC
76562da1569c,City SC UT Elite 15B-AA,City SC Utah,South Carolina,SC
9d44dbeb5b30,Wasatch SC 2015B - BS,,South Carolina,SC
040351bdd1ea,Bulls 2015 Boys Red,Bulls SC,South Carolina,SC
5556a10a347e,TSC 2015B Navy,Topeka SC,South Carolina,SC
48f58c80a2a7,Las Vegas Sports Academy U11 Boys Red 2015,Las Vegas Sports Academy,California,CA
a6cc43d3f958,2015 (U11) Pre MLS,Miami Futbol Academy Rush ,California,CA
0f370a43e375,KBSC Academy 2015,Key Biscayne SC,California,CA
f76b2e22b5bc,Coppermine SC 2015 Boys Pre-Academy I,Coppermine Soccer Club,California,CA
dc53c4496593,2015 Boys White,SABR - Team Boca,California,CA
929dd27945ee,Ajax United 15B Academy Pre-MLS Next,Ajax United,California,CA
b9ea5aece07a,ACADEMIA METODO COIRA 2015 ELITE,Miami Athletic Club,California,CA
62f4fe6cfadf,CVFA 15B Academy,CV Futbol Academy,California,CA
6329c62d23b0,S.S.A15B7,Spann Soccer Academy,California,CA
850c120efda1,Las Vegas Sports Academy U11 Boys White 2015,Las Vegas Sports Academy,California,CA
