Rank,Team Name,Club,Points,TeamURL,Division,ScrapeDate
1,30057,Coppermine SC 2013 Boys MLS Next ADRChampionSChampion,USA:1,,az_boys_u13,2025-10-10T14:18:39.686123
2,26411,ACADEMIA METODO COIRA 2013 ELITE,USA:2,,az_boys_u13,2025-10-10T14:18:39.686123
3,26051,SYC U13 MLS NextSSemifinalist,USA:3,,az_boys_u13,2025-10-10T14:18:39.686123
4,26019,FUTBOLTECH CHSC - 2013 BAYERN,USA:4,,az_boys_u13,2025-10-10T14:18:39.686123
5,25318,IMCFA 2013,USA:5,,az_boys_u13,2025-10-10T14:18:39.686123
6,24396,Southeast 2013 Boys Black,USA:6,,az_boys_u13,2025-10-10T14:18:39.686123
7,24072,CBF 2013 HP NL,USA:7,,az_boys_u13,2025-10-10T14:18:39.686123
8,23383,Las Vegas Sports Academy U13 MLS Next 2013,USA:8,,az_boys_u13,2025-10-10T14:18:39.686123
9,23041,Playmaker Futbol Academy ECNL-RL B13RFinalistSChampion,USA:9,,az_boys_u13,2025-10-10T14:18:39.686123
10,22080,Weston FC 2013 MLS Next,USA:10,,az_boys_u13,2025-10-10T14:18:39.686123
11,21829,B2014 PRO,USA:11,,az_boys_u13,2025-10-10T14:18:39.686123
12,20863,Dallas Texans Pre ECNL 2013B Mendoza,USA:12,,az_boys_u13,2025-10-10T14:18:39.686123
13,20437,ANBBK Boynton Beach Knights BBK-2013-B-BLACK,USA:13,,az_boys_u13,2025-10-10T14:18:39.686123
14,20304,WS 2013B Gold,USA:14,,az_boys_u13,2025-10-10T14:18:39.686123
15,20080,THUNDERS Academy U13 by Athletum FC,USA:15,,az_boys_u13,2025-10-10T14:18:39.686123
16,19736,CVFA 13B Academy I,USA:16,,az_boys_u13,2025-10-10T14:18:39.686123
17,19284,2013 Boys Blue,USA:17,,az_boys_u13,2025-10-10T14:18:39.686123
18,19276,MIAMI UNITED FC 2013 ELITE,USA:18,,az_boys_u13,2025-10-10T14:18:39.686123
19,19086,Utah United Academy 2013,USA:19,,az_boys_u13,2025-10-10T14:18:39.686123
20,18988,CVFA 14B Academy I,USA:20,,az_boys_u13,2025-10-10T14:18:39.686123
