Rank,TeamID,Team Name,Points,TeamURL,Division,ScrapeDate
1,32545,Pre ECNL B14SChampion,USA:1,https://rankings.gotsport.com/teams/113481,az_boys_u12,2025-10-10T14:35:23.915624
2,30537,SYC 2014B Pre-MLS NextSChampion,USA:2,https://rankings.gotsport.com/teams/276787,az_boys_u12,2025-10-10T14:35:23.915624
3,30475,14B GSA,USA:3,https://rankings.gotsport.com/teams/404655,az_boys_u12,2025-10-10T14:35:23.915624
4,28079,2014Elite Colo Colo,USA:4,https://rankings.gotsport.com/teams/321841,az_boys_u12,2025-10-10T14:35:23.915624
5,27906,Coppermine SC 2014 Boys Pre-Academy ISFinalist,USA:5,https://rankings.gotsport.com/teams/129817,az_boys_u12,2025-10-10T14:35:23.915624
6,26843,Southeast 2014 Boys Black,USA:6,https://rankings.gotsport.com/teams/238248,az_boys_u12,2025-10-10T14:35:23.915624
7,26335,SFFA 2014 Boys White,USA:7,https://rankings.gotsport.com/teams/527227,az_boys_u12,2025-10-10T14:35:23.915624
8,26299,2014 Elite,USA:8,https://rankings.gotsport.com/teams/579284,az_boys_u12,2025-10-10T14:35:23.915624
9,25360,Tuzos Royals 2014,USA:9,https://rankings.gotsport.com/teams/365177,az_boys_u12,2025-10-10T14:35:23.915624
10,25139,2014B ELITE,USA:10,https://rankings.gotsport.com/teams/153578,az_boys_u12,2025-10-10T14:35:23.915624
11,24885,DORAL WEST 2014,USA:11,https://rankings.gotsport.com/teams/140317,az_boys_u12,2025-10-10T14:35:23.915624
12,24568,Phoenix United 2014 Academy,USA:12,https://rankings.gotsport.com/teams/518095,az_boys_u12,2025-10-10T14:35:23.915624
13,24510,SFFA 2014 Boys Blue,USA:13,https://rankings.gotsport.com/teams/509358,az_boys_u12,2025-10-10T14:35:23.915624
14,24362,Doral SC White 2014,USA:14,https://rankings.gotsport.com/teams/409529,az_boys_u12,2025-10-10T14:35:23.915624
15,24259,2014B West,USA:15,https://rankings.gotsport.com/teams/499398,az_boys_u12,2025-10-10T14:35:23.915624
16,23951,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,USA:16,https://rankings.gotsport.com/teams/12592,az_boys_u12,2025-10-10T14:35:23.915624
17,23157,Doral SC Elite 2014,USA:17,https://rankings.gotsport.com/teams/168278,az_boys_u12,2025-10-10T14:35:23.915624
18,22921,Miami Skies FC 2014 Black,USA:18,https://rankings.gotsport.com/teams/418080,az_boys_u12,2025-10-10T14:35:23.915624
19,22823,MUSC 2014 Boys Premier I,USA:19,https://rankings.gotsport.com/teams/23105,az_boys_u12,2025-10-10T14:35:23.915624
20,22702,2014 Cyclones Boys Black,USA:20,https://rankings.gotsport.com/teams/140319,az_boys_u12,2025-10-10T14:35:23.915624
