Rank,TeamID,Team Name,Points,TeamURL,Division,ScrapeDate
1,11335,Southeast 2016 Boys Black,USA:1,https://rankings.gotsport.com/teams/304588,az_boys_u10,2025-10-10T17:25:03.915511
2,10773,16B GSA,USA:2,https://rankings.gotsport.com/teams/404653,az_boys_u10,2025-10-10T17:25:03.915511
3,10482,Las Vegas Sports Academy U10 Boys White 2016,USA:3,https://rankings.gotsport.com/teams/501563,az_boys_u10,2025-10-10T17:25:03.915511
4,9844,Nevada FC 16B Pre-EA,USA:4,https://rankings.gotsport.com/teams/492465,az_boys_u10,2025-10-10T17:25:03.915511
5,9466,Las Vegas Sports Academy U10 Boys Red 2016,USA:5,https://rankings.gotsport.com/teams/91961,az_boys_u10,2025-10-10T17:25:03.915511
6,9110,16B KChacon,USA:6,https://rankings.gotsport.com/teams/252650,az_boys_u10,2025-10-10T17:25:03.915511
7,8666,Santa Clara Sporting 16B Green,USA:7,https://rankings.gotsport.com/teams/222590,az_boys_u10,2025-10-10T17:25:03.915511
8,7605,Tuzos Academy GTA 2016,USA:8,https://rankings.gotsport.com/teams/295760,az_boys_u10,2025-10-10T17:25:03.915511
9,7433,B2016 Elite Red,USA:9,https://rankings.gotsport.com/teams/514212,az_boys_u10,2025-10-10T17:25:03.915511
10,7273,CVFA 16B Academy,USA:10,https://rankings.gotsport.com/teams/215609,az_boys_u10,2025-10-10T17:25:03.915511
11,7160,United FC 2016,USA:11,https://rankings.gotsport.com/teams/381929,az_boys_u10,2025-10-10T17:25:03.915511
12,6779,U9 EPP Blue,USA:12,https://rankings.gotsport.com/teams/428139,az_boys_u10,2025-10-10T17:25:03.915511
13,6198,MIAMI UNITED FC 2016 ELITE,USA:13,https://rankings.gotsport.com/teams/419936,az_boys_u10,2025-10-10T17:25:03.915511
14,6112,2016 Boys White,USA:14,https://rankings.gotsport.com/teams/387471,az_boys_u10,2025-10-10T17:25:03.915511
15,6019,SWAG Academy 2016,USA:15,https://rankings.gotsport.com/teams/423846,az_boys_u10,2025-10-10T17:25:03.915511
16,5846,B16 Elite,USA:16,https://rankings.gotsport.com/teams/352313,az_boys_u10,2025-10-10T17:25:03.915511
17,5276,Strikers Miami FC 2016 PRE ECNL,USA:17,https://rankings.gotsport.com/teams/433430,az_boys_u10,2025-10-10T17:25:03.915511
18,5102,TFA-Pro B2016,USA:18,https://rankings.gotsport.com/teams/450169,az_boys_u10,2025-10-10T17:25:03.915511
19,5067,PHENOM B2016,USA:19,https://rankings.gotsport.com/teams/479883,az_boys_u10,2025-10-10T17:25:03.915511
20,5056,Futboleros FC,USA:20,https://rankings.gotsport.com/teams/595193,az_boys_u10,2025-10-10T17:25:03.915511
