team_name,ranking_id,team_id,state,club_name,total_points,total_matches
Tuzos Academy Mesa 2015,42162133,385524,AZ,FBSL,6601,36
Phoenix United 2015 Academy,42169603,367035,AZ,Phoenix United Futbol Club,5942,47
2015 Boys Blue,42161044,367902,AZ,Arizona Storm F.C.,5631,37
CCV Stars 15 Boys North Orange,42158695,128643,AZ,CCV STARS,5446,27
West Valley 2015 Boys Valencia Pre-Premier,42161424,305345,AZ,RSL-AZ West Valley,5339,35
15B DGerman,42159948,80240,AZ,RSL-AZ North,4645,30
15B Rayados Blue,42161338,546436,AZ,RSL-AZ Southern AZ,4624,43
15B Jason Pre MLS Next,42161443,558242,AZ,RSL-AZ Southern AZ,4350,36
CDO 15B Premier,42171416,284382,AZ,Canyon Del Oro Soccer Club,4335,41
CCV Stars 15 Boys South Pre-ECNL,42162010,259054,AZ,CCV STARS,4333,26
Dynamos SC 15B Gold,42160217,152078,AZ,Dynamos SC,4204,46
Tuzos USA 2015A,42161345,220089,AZ,FBSL,4067,13
AZSC 2015B White,42161983,80005,AZ,Arizona Soccer Club,4054,32
East Valley NSFC 15 Boys Tiggs,42161609,78766,AZ,East Valley/NSFC,3935,26
Deportivo Coras USA 2015,42161707,178607,AZ,FBSL,3897,22
West Valley 2015 Boys Rose,42160738,444284,AZ,RSL-AZ West Valley,3859,51
Madison FC 15 Gold Boys,42161830,253825,AZ,Madison FC,3648,23
15 Pre-MLS Next #2,42160370,304060,AZ,FC Tucson Youth Soccer,3610,29
15 Boys Soul Warriors,42160668,395681,AZ,FC Tucson Youth Soccer,3297,38
PRFC Desert Foothills 15B Predator,42161415,255974,AZ,Phoenix Rising Desert Foothills,3240,35
15B NJMarkette,42161196,135022,AZ,RSL-AZ South,3217,22
Synergy FC 15/16B Montone,42159965,497757,AZ,Synergy FC AZ,3204,36
Dynamos SC 15B SC,42160580,126695,AZ,Dynamos SC,3187,15
PRFC West Valley 15B Predator,42162669,120282,AZ,Phoenix Rising FC,3132,23
La Piedad FC 2015,42162198,533848,AZ,FBSL,3123,17
Pima Surf Academy Boys 15,42160243,326440,AZ,Pima County Surf Soccer Club,3081,38
West Valley 15/16B,42162338,521210,AZ,Pima County Surf Soccer Club,2927,25
Tuzos Nogales 2015,42161786,546274,AZ,FBSL,2820,8
15 Boys National League #1,42160723,275533,AZ,FC Tucson Youth Soccer,2691,26
15B NMarkette Pre-MLS Next,42170457,82323,AZ,RSL-AZ South,2635,33
VSC 2015 Boys Green,42160741,305497,AZ,Vail SC,2549,28
AZ Thundercats 2015,42162178,562204,AZ,FBSL,2523,17
Tuzos Edwin 2015,42162216,319586,AZ,FBSL,2522,20
Pumas Tucson 15B,42160289,419544,AZ,Renegades Soccer Club,2187,27
FDI 2015,42162210,513843,AZ,South Bank SC,2182,17
15/16B Valenzuela Nogales,42162325,541851,AZ,RSL-AZ Southern AZ,2150,19
U-11 (2015) Boys Pre Academy Blue,42160799,383405,AZ,SC del Sol,2117,25
Select 15B Red,42176058,521426,AZ,AZFC ,2089,4
CDO 15B Elite,42159858,398193,AZ,Canyon Del Oro Soccer Club,2083,50
AZ Arsenal Pre-ECNL RL B15,42160896,254492,AZ,Arizona Arsenal Soccer Club,2002,23
Brazas 2015 Boys Gold Diego Rangel,42160161,250958,AZ,Brazas Futebol Club,1910,18
15B Echanove,42160479,413798,AZ,RSL-AZ Southern AZ,1811,34
15B Hinds,42160695,492115,AZ,RSL-AZ Southern AZ,1663,35
CCV Stars 15 Boys North Navy,42159931,128644,AZ,CCV STARS,1624,27
Deportivo Mexico 15B,42161286,558129,AZ,Renegades Soccer Club,1602,26
2015 Rush Boys,42161281,370615,AZ,Phoenix Rush,1524,21
