Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
LFA Blue Star 2016B,MO,30,42,15,11,0,0.5,93,64,29,0.5,21,0.7,11,0.36666666666666664,2025-10-12,0.5299881905334705,30,21,3.1,2.1333333333333333,0.1314487632508834,0.8836363636363637,0.8195131387217038,0.6947249086104716,1.224744871391589,0.8508607688486655,1,Active
SWAG Academy 2016,PA,30,87,22,6,0,0.7333333333333333,152,45,81,0.74,28,0.9333333333333333,5,0.16666666666666666,2025-10-12,0.5045124341929075,30,28,5.066666666666666,1.5,0.21484098939929328,0.9181818181818182,0.7801203420275941,0.6946767667327787,1.224744871391589,0.8508018073308619,2,Active
Nationals Macomb 16 Boys Black - Premier,MI,30,48,23,7,0,0.7666666666666667,121,42,72,0.76,12,0.4,10,0.3333333333333333,2025-10-12,0.5034079414680894,30,12,4.033333333333333,1.4,0.17102473498233217,0.9236363636363636,0.7784124807661953,0.6859797081834563,1.224744871391589,0.8401501294763869,3,Active
B2016 Elite Red,NY,30,68,29,1,0,0.9666666666666667,237,38,146,0.98,11,0.36666666666666664,9,0.3,2025-10-05,0.46194208121427693,30,11,7.9,1.2666666666666666,0.33498233215547707,0.9309090909090909,0.7142944156972504,0.6817549340312639,1.224744871391589,0.8349758590007015,4,Active
SLSG MO B 2016 Academy Green,MO,30,30,23,4,0,0.7666666666666667,133,31,76,0.7399999999999999,14,0.4666666666666667,10,0.3333333333333333,2025-10-12,0.47730660749676684,30,14,4.433333333333334,1.0333333333333334,0.18798586572438164,0.9436363636363636,0.7380523623527433,0.6691558632837951,1.224744871391589,0.8195452117184393,5,Active
SLSG MO B 2016 Academy Navy,MO,30,31,24,3,0,0.8,133,53,66,0.78,13,0.43333333333333335,9,0.3,2025-10-12,0.47031963620874473,30,13,4.433333333333334,1.7666666666666666,0.18798586572438164,0.9036363636363636,0.7272485088467966,0.6546735511802271,1.224744871391589,0.801808074243702,6,Active
16 Kraze Black,FL,30,65,26,4,0,0.8666666666666667,135,47,80,0.86,16,0.5333333333333333,9,0.3,2025-09-28,0.46679674354968004,30,16,4.5,1.5666666666666667,0.19081272084805653,0.9145454545454546,0.7218011104481573,0.6541523013475966,1.224744871391589,0.8011696761844741,7,Active
NEFC Metro West Boys 2016 MLS Futures Red,MA,30,30,26,2,0,0.8666666666666667,250,14,142,0.8899999999999999,0,0.0,9,0.3,2025-10-11,0.41673907653502157,30,0,8.333333333333334,0.4666666666666667,0.353356890459364,0.9745454545454545,0.6443976577957949,0.6522190636784406,1.224744871391589,0.7988019532639943,8,Active
Santa Clara Sporting 16B Green,CA,30,66,27,3,0,0.9,195,48,113,0.9000000000000001,6,0.2,10,0.3333333333333333,2025-10-11,0.44554522580923595,30,6,6.5,1.6,0.2756183745583039,0.9127272727272727,0.6889401933236814,0.6510332454513241,1.224744871391589,0.7973496284719307,9,Active
Bethesda Pulisic 2016,MD,30,48,18,12,0,0.6,141,93,46,0.5499999999999999,11,0.36666666666666664,11,0.36666666666666664,2025-10-12,0.47903478248145526,30,11,4.7,3.1,0.1992932862190813,0.8309090909090909,0.7407246145486588,0.6504752441548297,1.224744871391589,0.7966662192458194,10,Active
