Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
PRFC Scottsdale 16B Predator,AZ,30,41,13,15,0,0.43333333333333335,99,95,4,0.39,24,0.8,5,0.16666666666666666,2025-10-05,0.49246921315546244,30,24,3.3,3.1666666666666665,0.13992932862190813,0.8272727272727273,0.7614980820433076,0.6503392604049116,1.224744871391589,0.7964996738455146,11,Active
TFA-SELA B2016 White,CA,30,131,28,2,0,0.9333333333333333,167,58,97,0.92,0,0.0,2,0.06666666666666667,2025-10-12,0.45590116644341816,30,0,5.566666666666666,1.9333333333333333,0.23604240282685512,0.8945454545454545,0.7049534358168617,0.6490896329645789,1.224744871391589,0.7949691990468168,12,Active
CFC 16 Premier,FL,30,44,16,9,0,0.5333333333333333,111,63,47,0.56,23,0.7666666666666667,10,0.3333333333333333,2025-10-12,0.472875279670518,30,23,3.7,2.1,0.15689045936395762,0.8854545454545455,0.7312002636825096,0.6471891591732064,1.224744871391589,0.7926416035176193,13,Active
Grasshoppers FC - 2016B Pool 1,OH,30,36,17,7,0,0.5666666666666667,108,58,40,0.5800000000000001,11,0.36666666666666664,7,0.23333333333333334,2025-10-12,0.46841353320412327,30,11,3.6,1.9333333333333333,0.15265017667844524,0.8945454545454545,0.7243011291052369,0.6440198037079221,1.224744871391589,0.7887599516658954,14,Active
Stockton TLJ FC 16,CA,30,97,24,0,0,0.8,194,48,114,0.7799999999999999,0,0.0,5,0.16666666666666666,2025-10-12,0.4379113488746177,30,0,6.466666666666667,1.6,0.27420494699646647,0.9127272727272727,0.6771360388933589,0.6436680672807632,1.224744871391589,0.7883291642806509,15,Active
FC Philly,PA,30,86,23,5,0,0.7666666666666667,167,47,111,0.75,18,0.6,14,0.4666666666666667,2025-07-27,0.44489663655986433,30,18,5.566666666666666,1.5666666666666667,0.23604240282685512,0.9145454545454546,0.6879372890684777,0.6428799449155486,1.224744871391589,0.7873639154558253,16,Active
Placer United 16B Gold,CA,30,84,27,2,0,0.9,167,48,97,0.9099999999999999,0,0.0,6,0.2,2025-10-11,0.44497316018178956,30,0,5.566666666666666,1.6,0.23604240282685512,0.9127272727272727,0.6880556164476731,0.6425873049794295,1.224744871391589,0.7870055061948992,17,Active
Ajax United 16B Green Pre-MLS Next,CA,30,119,25,3,0,0.8333333333333334,155,52,87,0.8600000000000001,3,0.1,4,0.13333333333333333,2025-10-04,0.44935051683515936,30,2,5.166666666666667,1.7333333333333334,0.21908127208480568,0.9054545454545454,0.6948242602672581,0.6418017196682251,1.224744871391589,0.786043364613961,18,Active
Nevada FC 16B Pre-EA,NV,30,46,25,4,0,0.8333333333333334,160,57,85,0.8400000000000001,10,0.3333333333333333,19,0.6333333333333333,2025-09-28,0.4487273559158014,30,10,5.333333333333333,1.9,0.22614840989399293,0.8963636363636364,0.6938606754740994,0.6408188145359854,1.224744871391589,0.7848395565941859,19,Active
Cleveland Force 16B White West,OH,30,107,26,4,0,0.8666666666666667,232,49,122,0.86,0,0.0,7,0.23333333333333334,2025-10-12,0.42358243564961234,30,0,7.733333333333333,1.6333333333333333,0.3279151943462898,0.9109090909090909,0.6549794458574365,0.6407525245655381,1.224744871391589,0.784758368292856,20,Active
ALBION SC Santa Ana B16 Academy,CA,30,79,10,18,0,0.3333333333333333,75,104,-29,0.33999999999999997,18,0.6,10,0.3333333333333333,2025-10-11,0.49242258144908413,30,18,2.5,3.466666666666667,0.10600706713780919,0.8109090909090909,0.7614259761044572,0.6402388172720543,1.224744871391589,0.7841292079197653,21,Active
SLSG MO B 2016 Norwich,MO,30,37,19,7,0,0.6333333333333333,144,76,53,0.6000000000000001,20,0.6666666666666666,10,0.3333333333333333,2025-05-25,0.4604097396277545,30,20,4.8,2.533333333333333,0.20353356890459365,0.8618181818181818,0.7119249778765685,0.6402253368704962,1.224744871391589,0.7841126978670926,22,Active
LFA Blue Star Major 2016B,MO,30,39,26,2,0,0.8666666666666667,178,65,101,0.84,0,0.0,7,0.23333333333333334,2025-10-12,0.44411883308175215,30,0,5.933333333333334,2.1666666666666665,0.25159010600706716,0.8818181818181818,0.6867345827043704,0.638722407187672,1.224744871391589,0.7822719924459914,23,Active
SYC 2016B Pre-MLS Next,VA,30,49,24,4,0,0.8,152,61,85,0.7899999999999999,2,0.06666666666666667,12,0.4,2025-10-11,0.4501877755178231,30,2,5.066666666666666,2.033333333333333,0.21484098939929328,0.889090909090909,0.6961189013615456,0.6384577205149679,1.224744871391589,0.7819478188010713,24,Active
Bethesda McKennie 2016,MD,30,46,23,5,0,0.7666666666666667,138,52,84,0.78,15,0.5,13,0.43333333333333335,2025-09-01,0.4496516783377784,30,15,4.6,1.7333333333333334,0.19505300353356889,0.9054545454545454,0.6952899419799489,0.6372754749855921,1.224744871391589,0.7804998696522427,25,Active
Las Vegas Sports Academy U10 Boys Red 2016,NV,30,73,24,0,0,0.8,144,24,101,0.8099999999999999,16,0.5333333333333333,9,0.3,2025-10-12,0.43681378772596036,30,16,4.8,0.8,0.20353356890459365,0.9563636363636363,0.6754388958287753,0.6372427785509112,1.224744871391589,0.7804598248615545,26,Active
Walnut Creek Surf 16B Blue,CA,30,74,24,4,0,0.8,163,44,95,0.8200000000000001,8,0.26666666666666666,6,0.2,2025-10-04,0.43771979809065,30,8,5.433333333333334,1.4666666666666666,0.2303886925795053,0.92,0.6768398466630454,0.6361816465137283,1.224744871391589,0.7791602088411455,27,Active
AZ Arsenal 16 Boys Teal OC,AZ,30,50,18,6,0,0.6,160,66,58,0.6099999999999999,24,0.8,9,0.3,2025-10-12,0.4472117527350905,30,24,5.333333333333333,2.2,0.22614840989399293,0.88,0.6915171200102866,0.6361399539849706,1.224744871391589,0.7791091461303741,28,Active
Celtic Harps B16,CA,30,65,22,7,0,0.7333333333333333,189,94,77,0.78,0,0.0,1,0.03333333333333333,2025-10-11,0.4466703285584265,30,0,6.3,3.1333333333333333,0.26713780918727914,0.8290909090909091,0.690679923570209,0.633653697797763,1.224744871391589,0.7760641166161261,29,Active
Napa Sport-Olympico 2015 Boys,CA,30,86,7,17,0,0.23333333333333334,93,101,-8,0.19,27,0.9,1,0.03333333333333333,2025-10-12,0.47720385259262954,30,27,3.1,3.3666666666666667,0.1314487632508834,0.8163636363636364,0.7378934739180334,0.632298564273724,1.224744871391589,0.7744044237825084,30,Active
SPIRE FC 2016 BLACK BOYS,OH,30,50,30,0,0,1.0,228,47,139,0.9999999999999999,2,0.06666666666666667,4,0.13333333333333333,2025-10-12,0.4148647379786357,30,2,7.6,1.5666666666666667,0.32226148409893995,0.9145454545454546,0.6414993949650237,0.6322610247078931,1.224744871391589,0.7743584473917828,31,Active
Solar Pre-ECNL B16 Paez,TX,30,84,25,4,0,0.8333333333333334,181,45,114,0.8500000000000001,8,0.26666666666666666,7,0.23333333333333334,2025-09-01,0.42780521687285955,30,8,6.033333333333333,1.5,0.2558303886925795,0.9181818181818182,0.6615090719061132,0.6317078845185474,1.224744871391589,0.7736809917817211,32,Active
LFA Red Star Tango 2016B,MO,30,59,25,3,0,0.8333333333333334,192,65,93,0.8600000000000001,5,0.16666666666666666,7,0.23333333333333334,2025-10-10,0.43191660486708633,30,5,6.4,2.1666666666666665,0.27137809187279155,0.8818181818181818,0.6678664522021912,0.6313591260595094,1.224744871391589,0.7732538516476598,33,Active
Rocklin FC 16B Navy,CA,30,89,24,6,0,0.8,108,40,64,0.8099999999999999,0,0.0,0,0.0,2025-10-12,0.4471236410839865,30,0,3.6,1.3333333333333333,0.15265017667844524,0.9272727272727272,0.6913808742277504,0.6308131053268847,1.224744871391589,0.7725851155557043,34,Active
SLSG MO B 2016 Manchester United,MO,30,36,24,6,0,0.8,166,72,86,0.7899999999999999,19,0.6333333333333333,9,0.3,2025-05-19,0.4408675337613002,30,19,5.533333333333333,2.4,0.23462897526501766,0.8690909090909091,0.6817071451904414,0.6297682639854502,1.224744871391589,0.7713054514813644,35,Active
CVFA 16B Academy,CA,30,126,21,5,0,0.7,165,53,93,0.6799999999999999,0,0.0,6,0.2,2025-10-12,0.43362681196897,30,0,5.5,1.7666666666666666,0.23321554770318023,0.9036363636363636,0.6705109209185943,0.6296769348190654,1.224744871391589,0.7711935965532262,36,Active
2016 Boys Academy Dublin Black,OH,29,30,23,3,0,0.7931034482758621,176,45,95,0.7799999999999999,7,0.2413793103448276,6,0.20689655172413793,2025-09-14,0.43726705685699185,29,7,6.068965517241379,1.5517241379310345,0.2573412940173023,0.9153605015673981,0.6761397793859794,0.6402242267485276,1.2041594578792296,0.7709320578026561,37,Active
SF Glens Pre-Academy 16B I,CA,30,53,25,4,0,0.8333333333333334,150,50,86,0.8500000000000001,4,0.13333333333333333,8,0.26666666666666666,2025-10-12,0.4358232726467665,30,4,5.0,1.6666666666666667,0.21201413427561838,0.9090909090909091,0.6739072765663078,0.6285653746130901,1.224744871391589,0.769832218891715,38,Active
B2016 WH - Blue,CA,30,50,18,8,0,0.6,136,76,48,0.6300000000000001,11,0.36666666666666664,8,0.26666666666666666,2025-10-11,0.45020949829625284,30,11,4.533333333333333,2.533333333333333,0.192226148409894,0.8618181818181818,0.6961524909823159,0.6285003606350047,1.224744871391589,0.7697525933554861,39,Active
PHENOM B2016,CA,30,35,24,4,0,0.8,168,58,75,0.7799999999999999,9,0.3,19,0.6333333333333333,2025-07-13,0.4328476705106952,30,9,5.6,1.9333333333333333,0.23745583038869258,0.8945454545454545,0.6693061456549487,0.6279839443797987,1.224744871391589,0.7691201151954192,40,Active
LFA Blue Star Premier 2016B,MO,30,58,27,0,0,0.9,177,62,101,0.9199999999999999,3,0.1,11,0.36666666666666664,2025-10-05,0.43133425425191596,30,3,5.9,2.066666666666667,0.2501766784452297,0.8872727272727272,0.6669659717971572,0.6276694642218857,1.224744871391589,0.768734957234861,41,Active
SD Surf Academy Boys 2016 (Miller),CA,30,36,24,4,0,0.8,191,49,113,0.7799999999999999,7,0.23333333333333334,11,0.36666666666666664,2025-07-14,0.4205503796399252,30,7,6.366666666666666,1.6333333333333333,0.26996466431095406,0.9109090909090909,0.6502910211308826,0.6263493637225386,1.224744871391589,0.767118170918564,42,Active
South Valley United B16 Black,CA,30,81,26,2,0,0.8666666666666667,135,38,83,0.88,15,0.5,6,0.2,2025-10-12,0.43303178854490376,30,15,4.5,1.2666666666666666,0.19081272084805653,0.9309090909090909,0.6695908447308991,0.6260988691899689,1.224744871391589,0.7668113790244878,43,Active
Ambassadors FC 2016 Boys Blue,OH,30,51,24,6,0,0.8,239,77,100,0.8,2,0.06666666666666667,8,0.26666666666666666,2025-10-12,0.4154297530276292,30,2,7.966666666666667,2.566666666666667,0.337809187279152,0.86,0.6423730696326792,0.6249856792354379,1.224744871391589,0.7654480053367912,44,Active
Cincy SC B16 Premier,OH,30,35,17,10,0,0.5666666666666667,136,92,34,0.63,24,0.8,8,0.26666666666666666,2025-10-17,0.4515879368768436,30,24,4.533333333333333,3.066666666666667,0.192226148409894,0.8327272727272728,0.6982839507919731,0.6239610547026172,1.224744871391589,0.7641931016951171,45,Active
IFFC 2016B Claret - Richens,ID,30,33,8,19,0,0.26666666666666666,51,102,-49,0.24000000000000002,20,0.6666666666666666,11,0.36666666666666664,2025-10-11,0.4811666082851084,30,20,1.7,3.4,0.07208480565371025,0.8145454545454546,0.7440210262173814,0.6237386677702619,1.224744871391589,0.7639207344402504,46,Active
Real Inland Empire X SLKTV,CA,30,36,24,4,0,0.8,153,69,78,0.8400000000000001,0,0.0,5,0.16666666666666666,2025-08-24,0.4357061951714397,30,0,5.1,2.3,0.21625441696113074,0.8745454545454545,0.6737262413451605,0.6223957191084133,1.224744871391589,0.7622759649541091,47,Active
Manhattan Kickers FC - 2016's,NY,30,61,26,2,0,0.8666666666666667,220,49,128,0.85,6,0.2,12,0.4,2025-10-11,0.406255886331518,30,6,7.333333333333333,1.6333333333333333,0.31095406360424027,0.9109090909090909,0.6281876511183966,0.6212852215737041,1.224744871391589,0.7609158887937811,48,Active
Mustang SC Wolf Pack 16M,CA,30,53,26,2,0,0.8666666666666667,184,37,108,0.86,0,0.0,4,0.13333333333333333,2025-10-12,0.4125073057299996,30,0,6.133333333333334,1.2333333333333334,0.2600706713780919,0.9327272727272727,0.6378541312857351,0.621272067592514,1.224744871391589,0.7608997785227801,49,Active
Pacific Stormers B2016,CA,30,101,15,11,0,0.5,131,100,22,0.52,4,0.13333333333333333,4,0.13333333333333333,2025-10-12,0.4526160410213188,30,4,4.366666666666666,3.3333333333333335,0.18515901060070672,0.8181818181818181,0.6998736934870388,0.6205923818487282,1.224744871391589,0.7600673368939205,50,Active
United FC 2016,NY,30,158,28,2,0,0.9333333333333333,145,61,81,0.92,8,0.26666666666666666,5,0.16666666666666666,2025-10-11,0.4327724918455263,30,8,4.833333333333333,2.033333333333333,0.20494699646643108,0.889090909090909,0.6691898979630984,0.620321519889327,1.224744871391589,0.7597356000982888,51,Active
Molano Futbol Academy Elite 2016B,TX,30,99,21,5,0,0.7,144,48,73,0.6699999999999999,4,0.13333333333333333,9,0.3,2025-06-07,0.42726762653943184,30,4,4.8,1.6,0.20353356890459365,0.9127272727272727,0.6606778036828528,0.6196588505360849,1.224744871391589,0.7589239992064771,52,Active
Midsouth Bartlett 2016 Navy,TN,30,32,20,7,0,0.6666666666666666,95,49,46,0.6799999999999999,8,0.26666666666666666,12,0.4,2025-09-21,0.44251751342322243,30,8,3.1666666666666665,1.6333333333333333,0.13427561837455831,0.9109090909090909,0.6842584850801242,0.6195920329048044,1.224744871391589,0.7588421646552478,53,Active
TFA-Pro B2016,CA,30,101,24,4,0,0.8,135,29,88,0.7899999999999999,11,0.36666666666666664,8,0.26666666666666666,2025-10-11,0.42216382874110114,30,11,4.5,0.9666666666666667,0.19081272084805653,0.9472727272727273,0.6527858743383502,0.619288614227167,1.224744871391589,0.7584705541859269,54,Active
Marin FC B16Blue,CA,30,78,22,2,0,0.7333333333333333,136,42,90,0.7,16,0.5333333333333333,2,0.06666666666666667,2025-10-11,0.42638583269693553,30,16,4.533333333333333,1.4,0.192226148409894,0.9236363636363636,0.6593142985095729,0.6187610815149953,1.224744871391589,0.7578244612022034,55,Active
Force 16B Elite,CA,30,77,24,6,0,0.8,145,53,72,0.8200000000000001,0,0.0,3,0.1,2025-10-11,0.42788859497905407,30,0,4.833333333333333,1.7666666666666666,0.20494699646643108,0.9036363636363636,0.6616379982760373,0.6186994709861813,1.224744871391589,0.7577490040230147,56,Active
California Rush B16 Nero - HB,CA,30,51,20,10,0,0.6666666666666666,125,57,49,0.6799999999999999,0,0.0,6,0.2,2025-10-11,0.43462200261094364,30,0,4.166666666666667,1.9,0.176678445229682,0.8963636363636364,0.6720497699367382,0.6178382782807066,1.224744871391589,0.7566942626737048,57,Active
FLS 16B Academy I,CA,30,81,20,6,0,0.6666666666666666,151,95,48,0.6599999999999999,0,0.0,0,0.0,2025-10-11,0.44110364402530244,30,0,5.033333333333333,3.1666666666666665,0.21342756183745584,0.8272727272727273,0.6820722391057268,0.6173834012854726,1.224744871391589,0.756137154406678,58,Active
BUSC 2016B Black,CA,30,55,21,9,0,0.7,115,51,62,0.72,0,0.0,2,0.06666666666666667,2025-10-12,0.43469018694629724,30,0,3.8333333333333335,1.7,0.16254416961130744,0.9072727272727272,0.6721552023966973,0.6172565008148253,1.224744871391589,0.7559817337060755,59,Active
Fire,NY,30,111,17,12,0,0.5666666666666667,82,81,1,0.5800000000000001,25,0.8333333333333334,3,0.1,2025-10-12,0.45645882196822973,30,25,2.7333333333333334,2.7,0.11590106007067139,0.8527272727272727,0.705815730557814,0.6172151048942772,1.224744871391589,0.7559310342646877,60,Active
TFA-CENTRAL LA B2016,CA,30,121,24,4,0,0.8,143,40,84,0.8300000000000001,0,0.0,2,0.06666666666666667,2025-10-11,0.42036149298797376,30,0,4.766666666666667,1.3333333333333333,0.2021201413427562,0.9272727272727272,0.6499989484097006,0.615877942768917,1.224744871391589,0.7542933518094337,61,Active
SC Storm 16/17 Boys Blue,WY,30,40,26,3,0,0.8666666666666667,134,36,92,0.86,6,0.2,16,0.5333333333333333,2025-10-12,0.42148515712092177,30,6,4.466666666666667,1.2,0.1893992932862191,0.9345454545454546,0.651736454144563,0.6158308220530726,1.224744871391589,0.7542356409543669,62,Active
Blades 2016/17B Red,WY,30,41,29,1,0,0.9666666666666667,171,25,128,0.97,4,0.13333333333333333,11,0.36666666666666664,2025-10-12,0.4048433207521759,30,4,5.7,0.8333333333333334,0.24169611307420497,0.9545454545454546,0.6260034212199688,0.6148503662559132,1.224744871391589,0.7530348327451697,63,Active
Legends,NY,30,62,12,13,0,0.4,78,78,-2,0.38,19,0.6333333333333333,4,0.13333333333333333,2025-10-12,0.4536871029905166,30,19,2.6,2.6,0.11024734982332156,0.8581818181818182,0.701529861250436,0.6146037503512896,1.224744871391589,0.7527327911807784,64,Active
Arsenal,TX,30,319,15,12,0,0.5,86,63,19,0.52,18,0.6,6,0.2,2025-10-12,0.44529929749140484,30,19,2.8666666666666667,2.1,0.12155477031802121,0.8854545454545455,0.6885599178925563,0.6145378138900471,1.224744871391589,0.752652035838034,65,Active
Glen-Ed SC 16B Premier,IL,30,42,18,6,0,0.6,106,65,39,0.6399999999999999,13,0.43333333333333335,13,0.43333333333333335,2025-10-12,0.43955239834955484,30,13,3.533333333333333,2.1666666666666665,0.14982332155477032,0.8818181818181818,0.6796735701629701,0.6141324427723726,1.224744871391589,0.7521555596406517,66,Active
STLDA 2016B Elite Navy,MO,30,69,16,9,0,0.5333333333333333,131,83,44,0.5,12,0.4,11,0.36666666666666664,2025-09-21,0.43892936048763787,30,12,4.366666666666666,2.7666666666666666,0.18515901060070672,0.8490909090909091,0.6787101756517678,0.6140760893293838,1.224744871391589,0.7520865410503661,67,Active
Prime FC 2016,TX,30,54,18,9,0,0.6,197,84,59,0.6699999999999999,6,0.2,17,0.5666666666666667,2025-09-27,0.41804953876377193,30,6,6.566666666666666,2.8,0.2784452296819788,0.8472727272727273,0.6464240067474168,0.6129979954393914,1.224744871391589,0.7507661510877192,68,Active
2016B Locomotive EPPL Valcarcel-LC,TX,30,48,18,5,0,0.6,183,50,74,0.62,11,0.36666666666666664,19,0.6333333333333333,2025-10-12,0.4076041939749041,30,11,6.1,1.6666666666666667,0.25865724381625443,0.9090909090909091,0.6302725198919472,0.611713142516601,1.224744871391589,0.7491925340600393,69,Active
STA MOSC 2016 BOYS,NJ,30,66,21,7,0,0.7,214,85,89,0.65,12,0.4,11,0.36666666666666664,2025-10-11,0.41159169984598565,30,12,7.133333333333334,2.8333333333333335,0.30247349823321557,0.8454545454545455,0.6364383430375383,0.6114486145600752,1.224744871391589,0.7488685548019445,70,Active
SBYSC SB Baby Cougars,TX,30,34,15,13,0,0.5,125,80,33,0.53,6,0.2,14,0.4666666666666667,2025-10-11,0.43670994279502373,30,6,4.166666666666667,2.6666666666666665,0.176678445229682,0.8545454545454545,0.675278321901257,0.6114117730957815,1.224744871391589,0.7488234334074964,71,Active
Mustang SC 16B Pre-ECNL,CA,30,86,22,8,0,0.7333333333333333,125,72,51,0.74,0,0.0,8,0.26666666666666666,2025-10-11,0.4333501238180586,30,0,4.166666666666667,2.4,0.176678445229682,0.8690909090909091,0.6700830819986888,0.6112037200633316,1.224744871391589,0.7485686215230257,72,Active
BOCA OC B2016 Pre-EA,CA,30,53,20,5,0,0.6666666666666666,173,51,82,0.6,0,0.0,10,0.3333333333333333,2025-10-11,0.41035799759198655,30,0,5.766666666666667,1.7,0.24452296819787986,0.9072727272727272,0.6345306869340973,0.6110775512545799,1.224744871391589,0.7484140969215775,73,Active
MIAMI UNITED FC 2016 ELITE,FL,30,51,21,5,0,0.7,146,68,67,0.71,11,0.36666666666666664,18,0.6,2025-10-17,0.4251854544366036,30,11,4.866666666666666,2.2666666666666666,0.20636042402826854,0.8763636363636363,0.6574581708196564,0.6110197145701748,1.224744871391589,0.7483432617389741,74,Active
Storm B2016 Blue,CA,30,46,23,5,0,0.7666666666666667,145,70,67,0.79,8,0.26666666666666666,5,0.16666666666666666,2025-10-11,0.4262176746533033,30,8,4.833333333333333,2.3333333333333335,0.20494699646643108,0.8727272727272727,0.6590542781381762,0.6109674207216464,1.224744871391589,0.7482792151161837,75,Active
2016B Elite 1,CA,30,68,15,11,0,0.5,119,79,28,0.52,0,0.0,1,0.03333333333333333,2025-10-11,0.4374553367550314,30,0,3.966666666666667,2.6333333333333333,0.16819787985865725,0.8563636363636363,0.6764309138922884,0.6107708515798317,1.224744871391589,0.7480384680678722,76,Active
Capital FC 16B Red JA,OR,30,31,22,4,0,0.7333333333333333,122,50,64,0.7,8,0.26666666666666666,5,0.16666666666666666,2025-08-31,0.42517011222989426,30,8,4.066666666666666,1.6666666666666667,0.1724381625441696,0.9090909090909091,0.6574344473854368,0.6107664827582777,1.224744871391589,0.7480331173760799,77,Active
Bloomingdale Lightning Blue 16b,IL,30,32,28,2,0,0.9333333333333333,176,45,106,0.9299999999999999,4,0.13333333333333333,11,0.36666666666666664,2025-10-12,0.4065448208059771,30,4,5.866666666666666,1.5,0.2487632508833922,0.9181818181818182,0.6286344263527854,0.6105696696247134,1.224744871391589,0.7477920715001245,78,Active
LA B16 FC,CA,30,103,20,6,0,0.6666666666666666,136,92,38,0.64,0,0.0,4,0.13333333333333333,2025-10-11,0.4366217892312064,30,0,4.533333333333333,3.066666666666667,0.192226148409894,0.8327272727272728,0.6751420113096933,0.6100758910132493,1.224744871391589,0.747187318678131,79,Active
Tecos Scorpions,CA,30,59,23,6,0,0.7666666666666667,138,53,81,0.73,0,0.0,7,0.23333333333333334,2025-10-11,0.4199340339095935,30,0,4.6,1.7666666666666666,0.19505300353356889,0.9036363636363636,0.6493379745667819,0.6093406581740556,1.224744871391589,0.7462868460290498,80,Active
MVP B16 White,KY,30,47,21,5,0,0.7,94,50,44,0.69,6,0.2,10,0.3333333333333333,2025-10-12,0.4321096943555024,30,6,3.1333333333333333,1.6666666666666667,0.13286219081272085,0.9090909090909091,0.6681650237091274,0.6092896342062024,1.224744871391589,0.7462243546861036,81,Active
B16 PRE ECNL I,CA,29,31,20,5,0,0.6896551724137931,160,71,70,0.71,6,0.20689655172413793,13,0.4482758620689655,2025-07-13,0.4306092992860967,29,6,5.517241379310345,2.4482758620689653,0.2339466309248203,0.8664576802507837,0.6658449843297338,0.6195878528329611,1.2041594578792296,0.7460825729758944,82,Active
2016B Navy,NY,30,49,27,2,0,0.9,169,37,119,0.88,1,0.03333333333333333,4,0.13333333333333333,2025-10-12,0.4039633371848508,30,1,5.633333333333334,1.2333333333333334,0.23886925795053007,0.9327272727272727,0.6246427152492259,0.6091049352850961,1.224744871391589,0.7459981456297272,83,Active
Timbers,NJ,30,38,11,18,0,0.36666666666666664,119,116,-2,0.41000000000000003,22,0.7333333333333333,1,0.03333333333333333,2025-10-11,0.45015635059299863,30,22,3.966666666666667,3.8666666666666667,0.16819787985865725,0.7890909090909091,0.6960703094509391,0.6090999434604767,1.224744871391589,0.7459920319181256,84,Active
GALACTICOS SOCCER ACADEMY 2016 ELITE,FL,30,106,6,19,0,0.2,44,70,-28,0.24,27,0.9,3,0.1,2025-10-12,0.45497043445043994,30,27,1.4666666666666666,2.3333333333333335,0.06219081272084805,0.8727272727272727,0.7035142582832896,0.6090921720595979,1.224744871391589,0.7459825139347558,85,Active
ALBION SC Santa Monica B16 Academy,CA,30,48,20,10,0,0.6666666666666666,125,94,30,0.6200000000000001,0,0.0,7,0.23333333333333334,2025-10-11,0.438750537896648,30,0,4.166666666666667,3.1333333333333333,0.176678445229682,0.8290909090909091,0.678433664843727,0.6082140697703544,1.224744871391589,0.7449070626594476,86,Active
