Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
Club Ohio West Pre MLS NEXT 15B,OH,30,45,29,1,0,0.9666666666666667,171,29,118,0.97,3,0.1,13,0.43333333333333335,2025-10-12,2.5867926289066965,30,3,5.7,0.9666666666666667,5.121369308943019,1.428613507461947,0.853874851149151,0.7656718561331808,0.8434270959443103,0.8299655990230526,1.0,0.8299655990230526,1,Active
CUP 15B Black,OH,27,27,24,3,0,0.8888888888888888,167,40,93,0.9,0,0.0,8,0.2962962962962963,2025-10-12,2.2783824303044717,27,0,6.185185185185185,1.4814814814814814,5.44605810685242,1.8653518081015423,0.8841042977757156,0.7066794883617156,0.8153017774033068,0.8073378236694704,1.0,0.8073378236694704,2,Active
CUP 15B Gold,OH,30,30,22,6,0,0.7333333333333333,128,34,72,0.735,0,0.0,9,0.3,2025-10-12,2.7705401751736285,30,0,4.266666666666667,1.1333333333333333,3.9897903615745975,1.560192454830368,0.6976889568100423,0.7488007186381416,0.8614893498055651,0.806191544972976,1.0,0.806191544972976,3,Active
Greater Lowell 2015 Boys Pre-MLS Academy,MA,18,18,17,0,0,0.9444444444444444,121,31,72,0.7333333333333333,1,0.05555555555555555,3,0.16666666666666666,2025-10-12,3.1723264550132053,18,1,6.722222222222222,1.7222222222222223,5.562001297685951,2.164896664752076,0.8935066723658692,0.6615733874412544,0.8885134083270368,0.8441240569576468,0.9486832980505138,0.8008063943183601,4,Active
CVFA 15B Academy,CA,30,109,25,5,0,0.8333333333333334,152,33,85,0.8316666666666667,7,0.23333333333333334,6,0.2,2025-10-05,2.287635375206901,30,7,5.066666666666666,1.1,4.621369308943019,1.5338766653566838,0.7949183073220948,0.7522385853144583,0.8170172742968881,0.7996417431054434,1.0,0.7996417431054434,5,Active
Inglewood sc B2015,CA,30,50,30,0,0,1.0,150,39,101,1.0,0,0.0,4,0.13333333333333333,2025-09-01,2.369069812195774,30,0,5.0,1.3,4.56873772999565,1.691771402198789,0.7877843567624909,0.7311414204240873,0.8247726576635472,0.798648750035444,1.0,0.798648750035444,6,Active
APSC 2015B Arsenal,CA,30,48,30,0,0,1.0,129,33,78,1.0,0,0.0,5,0.16666666666666666,2025-10-11,2.5721148665160674,30,0,4.3,1.1,4.016106151048282,1.5338766653566838,0.7022262553393436,0.7522385853144583,0.8443020027282218,0.7974741697676934,1.0,0.7974741697676934,7,Active
Cleveland Force 15B Pre-ECNL White,OH,30,37,27,1,0,0.9,160,37,101,0.9,0,0.0,8,0.26666666666666666,2025-10-12,2.162234621830444,30,0,5.333333333333333,1.2333333333333334,4.831895624732493,1.6391398232514207,0.8216649978126112,0.7382984389451037,0.8036424083867124,0.7941781323835704,1.0,0.7941781323835704,8,Active
Idaho Juniors 15B Neon,ID,30,89,18,12,0,0.6,162,54,54,0.6016666666666666,0,0.0,0,0.0,2025-10-11,2.312194204496027,30,0,5.4,1.8,4.884527203679861,2.0865082443040524,0.827908802268106,0.6737085541902292,0.8219795506101087,0.7935112016577323,1.0,0.7935112016577323,9,Active
Pre MLS NEXT Black '15,PA,29,29,17,4,0,0.5862068965517241,112,48,58,0.59,0,0.0,12,0.41379310344827586,2025-10-11,2.962548008722507,29,0,3.8620689655172415,1.6551724137931034,3.6651901010766137,1.9807381968528104,0.6387231324031724,0.6897186345376036,0.8761269237017617,0.7913645076092122,1.0,0.7913645076092122,10,Active
Medford Strikers 2015 Boys,NJ,30,73,28,2,0,0.9333333333333333,154,41,105,0.93,1,0.03333333333333333,3,0.1,2025-10-12,2.2248968138493033,30,1,5.133333333333334,1.3666666666666667,4.674000887890387,1.7444029811461574,0.8018727535292927,0.7238618786069331,0.8102649868849272,0.7913059185582014,1.0,0.7913059185582014,11,Active
MVLA 15B Liverpool Blue,CA,30,90,25,2,0,0.8333333333333334,150,39,101,0.8350000000000001,4,0.13333333333333333,6,0.2,2025-10-12,2.180777254957492,30,4,5.0,1.3,4.56873772999565,1.691771402198789,0.7877843567624909,0.7311414204240873,0.805704965656053,0.7872081348309474,1.0,0.7872081348309474,12,Active
NBFC 2015 Boys Blue,ID,30,38,27,3,0,0.9,125,35,81,0.9,0,0.0,4,0.13333333333333333,2025-10-11,2.4378890153238237,30,0,4.166666666666667,1.1666666666666667,3.9108429931535458,1.5865082443040521,0.6838458685016867,0.7453312988011773,0.8317696882200748,0.7848972463926177,1.0,0.7848972463926177,13,Active
North Coast FC 15B Blue,CA,30,91,22,8,0,0.7333333333333333,136,58,62,0.7383333333333333,0,0.0,4,0.13333333333333333,2025-10-12,2.5370202494910075,30,0,4.533333333333333,1.9333333333333333,4.200316677364071,2.191771402198789,0.7328547392242234,0.6573625223617402,0.8418889775782953,0.7831768388641699,1.0,0.7831768388641699,14,Active
CUP 15B Silver,OH,21,21,20,0,0,0.9523809523809523,104,12,84,0.8166666666666667,0,0.0,6,0.2857142857142857,2025-10-12,1.989026756958983,21,0,4.9523809523809526,0.5714285714285714,4.400414956546024,1.285769423570827,0.7637647578998861,0.7830782673403425,0.783484758590361,0.7794594602022624,1.0,0.7794594602022624,15,Active
SYC 2015B Pre-MLS Next,VA,30,93,20,6,0,0.6666666666666666,134,68,56,0.6633333333333333,0,0.0,14,0.4666666666666667,2025-10-11,2.6509849544740716,30,0,4.466666666666667,2.2666666666666666,4.147685098416703,2.454929296935631,0.7243106029578598,0.6148991049364452,0.8520907746314939,0.7790964063577572,1.0,0.7790964063577572,16,Active
FUTBOLTECH CHSC - 2015 LIVERPOOL,NJ,30,49,23,1,0,0.7666666666666667,124,39,76,0.7666666666666666,0,0.0,18,0.6,2025-10-11,2.37298229967124,30,0,4.133333333333334,1.3,3.8845272036798617,1.691771402198789,0.6791564628515223,0.7311414204240873,0.8264106458530153,0.777905964166931,1.0,0.777905964166931,17,Active
Monterey Surf 15B Academy I,CA,30,58,20,8,0,0.6666666666666666,95,52,39,0.6633333333333333,0,0.0,6,0.2,2025-10-11,3.0946823632612483,30,0,3.1666666666666665,1.7333333333333334,3.121369308943019,2.0338766653566838,0.5308010002218284,0.6817289110348387,0.8862995603524838,0.7742857184628237,1.0,0.7742857184628237,18,Active
New England Force 2015 Boys Surge Black,MA,24,24,19,2,0,0.7916666666666666,111,35,66,0.6722222222222223,0,0.0,2,0.08333333333333333,2025-10-12,2.1982953465201294,24,0,4.625,1.4583333333333333,4.206626054369835,1.883978540111062,0.7338676243945919,0.7039783730397182,0.808690066789694,0.7727832395606784,1.0,0.7727832395606784,19,Active
PV United 15B,CA,30,75,20,6,0,0.6666666666666666,107,42,51,0.6633333333333333,0,0.0,3,0.1,2025-10-05,2.592059123311829,30,0,3.566666666666667,1.4,3.4371587826272294,1.7707187706198417,0.5945041847205146,0.7201767337962423,0.8472838945072897,0.7713065204077252,1.0,0.7713065204077252,20,Active
Lightning 15 Black,CA,30,84,25,5,0,0.8333333333333334,128,37,85,0.8283333333333334,0,0.0,8,0.26666666666666666,2025-10-12,2.1830757061769304,30,0,4.266666666666667,1.2333333333333334,3.9897903615745975,1.6391398232514207,0.6976889568100423,0.7382984389451037,0.8066596039416032,0.7711932415159911,1.0,0.7711932415159911,21,Active
Bayern,CA,30,103,21,5,0,0.7,138,67,65,0.7016666666666667,1,0.03333333333333333,4,0.13333333333333333,2025-10-11,2.4255810729652403,30,1,4.6,2.2333333333333334,4.25294825631144,2.428613507461947,0.7412286801135394,0.6192376781738227,0.831111595303154,0.7707602288393649,1.0,0.7707602288393649,22,Active
