Team,State,Games_Played,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Win_Pct_Norm,Goal_Diff_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status,State_Rank
2016 Elite,NY,30,4,22,0,0.13333333333333333,80,169,-89,0.1,4,0.13333333333333333,16,0.5333333333333333,2025-10-12,0.41784752502399564,30,4,0.13333333333333333,0.33,0.5486886692234286,0.4218798682007238,1.224744871391589,0.516695204922196,1832,Active,97
AB7 Future Soccer Academy 2016 White,NY,26,5,19,0,0.19230769230769232,47,114,-67,0.1,0,0.0,18,0.6923076923076923,2025-09-27,0.43069580058744145,26,0,0.19230769230769232,0.374,0.5655601421855292,0.45259762377285595,1.140175425099138,0.5160406880840758,1841,Active,98
SWSC U10 Boys Blue,NY,20,13,5,0,0.65,109,49,60,0.5,7,0.35,13,0.65,2025-06-22,0.3209145021645021,20,7,0.65,0.628,0.4214028816301543,0.5084417289780927,1.0,0.5084417289780927,1893,Active,99
Sharpshooters,NY,30,6,23,0,0.2,53,95,-42,0.4,5,0.16666666666666666,20,0.6666666666666666,2025-10-12,0.36356600189933524,30,5,0.2,0.424,0.4774099014839756,0.41124594089038535,1.224744871391589,0.503671356986108,1924,Active,100
East Coast Surf B2016 Red,NY,30,5,24,0,0.16666666666666666,65,168,-103,0.1,0,0.0,18,0.6,2025-10-12,0.401466049382716,30,0,0.16666666666666666,0.302,0.5271776406035665,0.41003991769547327,1.224744871391589,0.5021942862633602,1935,Active,101
LISC Boys 2016 Premier,NY,17,8,5,0,0.47058823529411764,62,64,-2,0.3,3,0.17647058823529413,7,0.4117647058823529,2025-10-12,0.4398925120287349,17,3,0.47058823529411764,0.504,0.5776366319569247,0.5414996262329783,0.9219544457292888,0.49923798776624256,1951,Active,102
CPSC Evolution U10 Boys Gold 25/26,NY,18,9,5,0,0.5,65,26,39,0.6,11,0.6111111111111112,15,0.8333333333333334,2025-10-12,0.38770476599423964,18,11,0.5,0.586,0.5091072684772844,0.5226643610863706,0.9486832980505138,0.49584294984888266,1970,Active,103
Freeport Storm,NY,30,2,27,0,0.06666666666666667,24,187,-163,0.2,23,0.7666666666666667,12,0.4,2025-10-04,0.44459628415768754,30,23,0.06666666666666667,0.182,0.5838133024292868,0.4000213147909054,1.224744871391589,0.48992405373748177,2004,Active,104
Commack Thrasher B16,NY,26,7,18,0,0.2692307692307692,68,140,-72,0.3,9,0.34615384615384615,15,0.5769230769230769,2025-06-14,0.38216860658721125,26,9,0.2692307692307692,0.364,0.5018375642054289,0.4277486923694112,1.140175425099138,0.48770854715789386,2021,Active,105
Titans 2016,NY,30,8,18,0,0.26666666666666666,51,115,-64,0.8,3,0.1,18,0.6,2025-10-04,0.33574775817676417,30,3,0.26666666666666666,0.38,0.4408808945755489,0.3938618700786627,1.224744871391589,0.48238030541554244,2039,Active,106
Greenbush SC Boys 2016 White,NY,26,7,17,0,0.2692307692307692,41,142,-101,0.3,9,0.34615384615384615,8,0.3076923076923077,2025-06-08,0.3900641025641025,26,9,0.2692307692307692,0.306,0.5122053872053871,0.42236938616938613,1.140175425099138,0.48157519442454183,2043,Active,107
LISC Boys 2016 Academy II,NY,19,10,9,0,0.5263157894736842,85,71,14,0.8,2,0.10526315789473684,5,0.2631578947368421,2025-10-12,0.3574303405572755,19,2,0.5263157894736842,0.536,0.4693529724489477,0.49407494136410546,0.9746794344808963,0.4815646844399483,2045,Active,108
B16 BLUE,NY,16,5,8,0,0.3125,41,57,-16,0.3,9,0.5625,2,0.125,2025-10-12,0.46482463136750063,16,9,0.3125,0.476,0.6103757785633847,0.5239254671380308,0.8944271909999159,0.4686131838655876,2090,Active,109
B2016 Milan,NY,16,9,5,0,0.5625,54,35,19,0.4,0,0.0,9,0.5625,2025-10-12,0.375,16,0,0.5625,0.546,0.49242424242424243,0.5171545454545454,0.8944271909999159,0.46255708740374735,2125,Active,110
2016 Premier,NY,29,5,23,0,0.1724137931034483,77,179,-102,0.1,2,0.06896551724137931,17,0.5862068965517241,2025-10-12,0.3633708655876144,29,2,0.1724137931034483,0.304,0.477153661882726,0.3815749557503253,1.2041594578792296,0.45947709185660274,2139,Active,111
LSC Arsenal,NY,11,5,3,0,0.45454545454545453,36,30,6,0.5,0,0.0,3,0.2727272727272727,2025-10-04,0.5318181818181817,11,0,0.45454545454545453,0.52,0.6983471074380164,0.6139173553719008,0.7416198487095663,0.45529329621108616,2157,Active,112
