Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
SWAG Academy 2016,PA,30,87,22,6,0,0.7333333333333333,152,45,81,0.7366666666666666,28,0.9333333333333333,5,0.16666666666666666,2025-10-12,0.5102763330399881,30,28,5.066666666666666,1.5,4.702466095744117,1.901300306053188,0.7234422197467241,0.7258400010477509,0.9297989867913944,0.8477358362337316,1.0,0.8477358362337316,1,Active
B2016 Elite Red,NY,30,68,29,1,0,0.9666666666666667,237,38,146,0.97,11,0.36666666666666664,9,0.3,2025-10-05,0.698845879761556,30,11,7.9,1.2666666666666666,6.939308201007275,1.7170897797373985,0.9282953930101631,0.7494271518497246,0.8435683246497596,0.8416855037618333,1.0,0.8416855037618333,2,Active
Nationals Macomb 16 Boys Black - Premier,MI,30,48,23,7,0,0.7666666666666667,121,42,72,0.7666666666666666,12,0.4,10,0.3333333333333333,2025-10-12,0.5032207369055656,30,12,4.033333333333333,1.4,3.886676622059906,1.8223529376321352,0.5934788022751907,0.7361160693053854,0.9267777870192925,0.8219856465276907,1.0,0.8219856465276907,3,Active
SLSG MO B 2016 Academy Green,MO,30,30,23,4,0,0.7666666666666667,133,31,76,0.7633333333333333,14,0.4666666666666667,10,0.3333333333333333,2025-10-12,0.5268364821996858,30,14,4.433333333333334,1.0333333333333334,4.202466095744117,1.5328792534216091,0.6466015294949924,0.7716234945995595,0.8776053579010351,0.8102082195595315,1.0,0.8102082195595315,4,Active
LFA Blue Star 2016B,MO,30,42,15,11,0,0.5,93,64,29,0.5033333333333334,21,0.7,11,0.36666666666666664,2025-10-12,0.6746957209314141,30,21,3.1,2.1333333333333333,3.1498345167967483,2.401300306053188,0.46296099446308714,0.655348440642564,0.9573706126928455,0.7980842546368375,1.0,0.7980842546368375,5,Active
16 Kraze Black,FL,30,65,26,4,0,0.8666666666666667,135,47,80,0.8633333333333334,16,0.5333333333333333,9,0.3,2025-09-28,0.4646304214832126,30,16,4.5,1.5666666666666667,4.255097674691485,1.9539318850005565,0.6551516758659643,0.718852601087759,0.8575147406036258,0.7893096997529201,1.0,0.7893096997529201,6,Active
SLSG MO B 2016 Academy Navy,MO,30,31,24,3,0,0.8,133,53,66,0.8033333333333333,13,0.43333333333333335,9,0.3,2025-10-12,0.49572774403595815,30,13,4.433333333333334,1.7666666666666666,4.202466095744117,2.1118266218426616,0.6466015294949924,0.6972540425996709,0.858536161916664,0.7838928115689311,1.0,0.7838928115689311,7,Active
Santa Clara Sporting 16B Green,CA,30,66,27,3,0,0.9,195,48,113,0.9033333333333333,6,0.2,10,0.3333333333333333,2025-10-11,0.4491319915440275,30,6,6.5,1.6,5.834045043112537,1.9802476744742405,0.8545328897134206,0.7153185243166531,0.7750271599552351,0.7789865787791558,1.0,0.7789865787791558,8,Active
U9 EPP Blue,MA,20,20,18,1,0,0.9,92,13,72,0.7833333333333333,10,0.5,18,0.9,2025-06-15,0.22872716883769686,20,10,4.6,0.65,4.239061129938444,1.4374789867864695,0.6525568090172533,0.7825609385013019,0.8197374453856598,0.7788660167351069,1.0,0.7788660167351069,9,Active
FC Philly,PA,30,86,23,5,0,0.7666666666666667,167,47,111,0.7683333333333333,18,0.6,14,0.4666666666666667,2025-07-27,0.21391886424546908,30,18,5.566666666666666,1.5666666666666667,5.09720293784938,1.9539318850005565,0.7762267870354466,0.718852601087759,0.7941138102273485,0.7754841637610501,1.0,0.7754841637610501,10,Active
