Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
SWAG Academy 2016,PA,30,87,22,6,0,0.7333333333333333,152,45,81,0.7366666666666666,28,0.9333333333333333,5,0.16666666666666666,2025-10-12,0.5070775716478587,30,28,5.066666666666666,1.5,4.702982101780966,1.9014148172466845,0.7229846742307094,0.7259402268891852,0.9298310965359232,0.8476836381455328,1.0,0.8476836381455328,1,Active
B2016 Elite Red,NY,30,68,29,1,0,0.9666666666666667,237,38,146,0.97,11,0.36666666666666664,9,0.3,2025-10-05,0.34489422634987354,30,11,7.9,1.2666666666666666,6.939824207044124,1.7172042909308949,0.9280316628250919,0.7495253692176274,0.8421438805265761,0.8407977347244895,1.0,0.8407977347244895,2,Active
Nationals Macomb 16 Boys Black - Premier,MI,30,48,23,7,0,0.7666666666666667,121,42,72,0.7666666666666666,12,0.4,10,0.3333333333333333,2025-10-12,0.4909274512877175,30,12,4.033333333333333,1.4,3.8871926280967557,1.8224674488256318,0.5930741971808283,0.7362155168951565,0.925406453338634,0.8211018148183773,1.0,0.8211018148183773,3,Active
SLSG MO B 2016 Academy Green,MO,30,30,23,4,0,0.7666666666666667,133,31,76,0.7633333333333333,14,0.4666666666666667,10,0.3333333333333333,2025-10-12,0.3661813728873894,30,14,4.433333333333334,1.0333333333333334,4.202982101780966,1.5329937646151057,0.6461643864925285,0.7717190763859205,0.8737393698767656,0.8078203145017492,1.0,0.8078203145017492,4,Active
LFA Blue Star 2016B,MO,30,42,15,11,0,0.5,93,64,29,0.5033333333333334,21,0.7,11,0.36666666666666664,2025-10-12,0.6747018233226011,30,21,3.1,2.1333333333333333,3.1503505228335977,2.4014148172466845,0.46268086146502463,0.6554503233465948,0.9576877370979769,0.79823887922111,1.0,0.79823887922111,5,Active
16 Kraze Black,FL,30,65,26,4,0,0.8666666666666667,135,47,80,0.8633333333333334,16,0.5333333333333333,9,0.3,2025-09-28,0.3680762394243811,30,16,4.5,1.5666666666666667,4.2556136807283345,1.9540463961940528,0.654710580203802,0.7189532733248771,0.8595045511322503,0.790435501385086,1.0,0.790435501385086,6,Active
Santa Clara Sporting 16B Green,CA,30,66,27,3,0,0.9,195,48,113,0.9033333333333333,6,0.2,10,0.3333333333333333,2025-10-11,0.2213096192107234,30,6,6.5,1.6,5.834561049149388,1.9803621856677371,0.8541433309416427,0.7154193973234687,0.7893616608257384,0.7875295421484654,1.0,0.7875295421484654,7,Active
SLSG MO B 2016 Academy Navy,MO,30,31,24,3,0,0.8,133,53,66,0.8033333333333333,13,0.43333333333333335,9,0.3,2025-10-12,0.3259702570131783,30,13,4.433333333333334,1.7666666666666666,4.202982101780966,2.111941133036158,0.6461643864925285,0.6973556865333592,0.8558883824684546,0.7822370440862503,1.0,0.7822370440862503,8,Active
U9 EPP Blue,MA,20,20,18,1,0,0.9,92,13,72,0.7833333333333333,10,0.5,18,0.9,2025-06-15,0.22668015623776627,20,10,4.6,0.65,4.239761423845597,1.437634394834786,0.6521467302076014,0.7826503335887495,0.8198431785750928,0.7788653199043258,1.0,0.7788653199043258,9,Active
FC Philly,PA,30,86,23,5,0,0.7666666666666667,167,47,111,0.7683333333333333,18,0.6,14,0.4666666666666667,2025-07-27,0.20657805570917886,30,18,5.566666666666666,1.5666666666666667,5.097718943886229,1.9540463961940528,0.7757782606053685,0.7189532733248771,0.7936912531112783,0.7751610586528161,1.0,0.7751610586528161,10,Active
Bethesda Pulisic 2016,MD,30,48,18,12,0,0.6,141,93,46,0.595,11,0.36666666666666664,11,0.36666666666666664,2025-10-12,0.3899204230184841,30,11,4.7,3.1,4.41350841757044,3.1645727119835265,0.6797398986223776,0.5343997985044738,0.8814581777717402,0.7717028460884143,1.0,0.7717028460884143,11,Active
TFA-SELA B2016 White,CA,30,131,28,2,0,0.9333333333333333,167,58,97,0.9333333333333333,0,0.0,2,0.06666666666666667,2025-10-12,0.23976860224093693,30,0,5.566666666666666,1.9333333333333333,5.097718943886229,2.243520080404579,0.7757782606053685,0.6786603903211782,0.7998245291412622,0.7707824476700667,1.0,0.7707824476700667,12,Active
Nevada FC 16B Pre-EA,NV,30,46,25,4,0,0.8333333333333334,160,57,85,0.8333333333333334,10,0.3333333333333333,19,0.6333333333333333,2025-09-28,0.23852680838644655,30,10,5.333333333333333,1.9,4.91350841757044,2.217204290930895,0.7520676642325478,0.6824481223960763,0.8064203644419957,0.7707553759909223,1.0,0.7707553759909223,13,Active
Stockton TLJ FC 16,CA,30,97,24,0,0,0.8,194,48,114,0.7966666666666666,0,0.0,5,0.16666666666666666,2025-10-12,0.18658018128728918,30,0,6.466666666666667,1.6,5.8082452596757035,1.9803621856677371,0.8517862579063983,0.7154193973234687,0.7558583001391377,0.766956111129456,1.0,0.766956111129456,14,Active
LFA Blue Star Major 2016B,MO,30,39,26,2,0,0.8666666666666667,178,65,101,0.8666666666666666,0,0.0,7,0.23333333333333334,2025-10-12,0.22509156498079153,30,0,5.933333333333334,2.1666666666666665,5.387192628096756,2.4277306067203686,0.8096857743326441,0.6515050084751982,0.7881271741702414,0.7651144610637133,1.0,0.7651144610637133,15,Active
SLSG MO B 2016 Norwich,MO,30,37,19,7,0,0.6333333333333333,144,76,53,0.6333333333333333,20,0.6666666666666666,10,0.3333333333333333,2025-05-25,0.26490589375627854,30,20,4.8,2.533333333333333,4.492455785991493,2.717204290930895,0.6918878326609083,0.6068303593895324,0.8398528844394371,0.7636553690737504,1.0,0.7636553690737504,16,Active
CFC 16 Premier,FL,30,44,16,9,0,0.5333333333333333,111,63,47,0.5333333333333332,23,0.7666666666666667,10,0.3333333333333333,2025-10-12,0.3487860566731015,30,23,3.7,2.1,3.6240347333599137,2.3750990277730004,0.5470465651876089,0.6593743253992184,0.8704305235411798,0.7635424922420733,1.0,0.7635424922420733,17,Active
2016 Boys Academy Dublin Black,OH,29,30,23,3,0,0.7931034482758621,176,45,95,0.7966666666666666,7,0.2413793103448276,6,0.20689655172413793,2025-09-14,0.17160884090810422,29,7,6.068965517241379,1.5517241379310345,5.478738374802074,1.9528044069020003,0.8195572246276388,0.7191193947499737,0.7587858439735305,0.7630068302596408,1.0,0.7630068302596408,18,Active
Ajax United 16B Green Pre-MLS Next,CA,30,119,25,3,0,0.8333333333333334,155,52,87,0.83,3,0.1,4,0.13333333333333333,2025-10-04,0.21686745471675034,30,2,5.166666666666667,1.7333333333333334,4.7819294702020185,2.085625343562474,0.734133854665439,0.7010201327800369,0.7915938091225061,0.7619870829625989,1.0,0.7619870829625989,19,Active
NEFC Metro West Boys 2016 MLS Futures Red,MA,30,30,26,2,0,0.8666666666666667,250,14,142,0.8716666666666667,0,0.0,9,0.3,2025-10-11,0.10064003214194508,30,0,8.333333333333334,0.4666666666666667,7.28192947020202,1.0856253435624739,0.9427388460105784,0.8196879546432594,0.6813306425890904,0.7612837456842219,1.0,0.7612837456842219,20,Active
Placer United 16B Gold,CA,30,84,27,2,0,0.9,167,48,97,0.895,0,0.0,6,0.2,2025-10-11,0.20028058098641519,30,0,5.566666666666666,1.6,5.097718943886229,1.9803621856677371,0.7757782606053685,0.7154193973234687,0.7711848084479193,0.7609504166545189,1.0,0.7609504166545189,21,Active
AZ Arsenal 16 Boys Teal OC,AZ,30,50,18,6,0,0.6,160,66,58,0.5916666666666666,24,0.8,9,0.3,2025-10-12,0.2827825382805693,30,24,5.333333333333333,2.2,4.91350841757044,2.454046396194053,0.7520676642325478,0.6475388103212933,0.800218208808241,0.7600522201957128,1.0,0.7600522201957128,22,Active
Williamston Boys U10 - White,MI,22,26,19,1,0,0.8636363636363636,82,21,58,0.7166666666666667,11,0.5,5,0.22727272727272727,2025-09-27,0.2702683865237866,22,11,3.727272727272727,0.9545454545454546,3.623777328922557,1.608458768512467,0.5470010129402829,0.7627978190210786,0.8293362914291108,0.7595615412497387,1.0,0.7595615412497387,23,Active
SYC 2016B Pre-MLS Next,VA,30,49,24,4,0,0.8,152,61,85,0.795,2,0.06666666666666667,12,0.4,2025-10-11,0.2291331830082438,30,2,5.066666666666666,2.033333333333333,4.702982101780966,2.322467448825632,0.7229846742307094,0.6671567283324739,0.7977792022646385,0.7566958018714198,1.0,0.7566958018714198,24,Active
Grasshoppers FC - 2016B Pool 1,OH,30,36,17,7,0,0.5666666666666667,108,58,40,0.5700000000000001,11,0.36666666666666664,7,0.23333333333333334,2025-10-12,0.32304309203045667,30,11,3.6,1.9333333333333333,3.545087364938861,2.243520080404579,0.5330421202984004,0.6786603903211782,0.8536280778989569,0.7545173488632899,1.0,0.7545173488632899,25,Active
ARFC 2016B Jurgenson,AR,24,24,21,3,0,0.875,94,29,64,0.7388888888888889,7,0.2916666666666667,19,0.7916666666666666,2025-10-12,0.2788799445031958,24,7,3.9166666666666665,1.2083333333333333,3.7722912458648974,1.7579300954804378,0.5731286495071397,0.7444293399143886,0.816741213110461,0.7535563257505822,1.0,0.7535563257505822,26,Active
Steelers,OK,18,19,13,3,0,0.7222222222222222,120,34,60,0.6,8,0.4444444444444444,13,0.7222222222222222,2025-10-12,0.2781162237884128,18,8,6.666666666666667,1.8888888888888888,5.642819994910643,2.355913963668231,0.8362429909573029,0.662221377190962,0.8237929396917375,0.7939686374446955,0.9486832980505138,0.7532247855197064,27,Active
