Team,ComponentID,ComponentSize,Degree
City SC Central Valley AV-B2014,0,330,1
AZSC 15B White,0,330,11
PRFC North Valley 13B Predator,0,330,5
AZ Inferno 14 Boys Black,0,330,47
Phoenix Premier FC 14B SW White,0,330,2
CCV Stars 14 Boys West Pre-ECNL,0,330,24
U-13 (2013) Boys Yuma Academy,0,330,2
SWSC B2014 GOLD,0,330,1
AZ Arsenal Pre-ECNL B15,0,330,32
PRFC Southeast Valley 14B Copa,0,330,2
Next Level Soccer Southeast 2014 Boys Red,0,330,24
RSL-AZ Yuma 14 Boys Rodriguez,0,330,13
Pima Surf 2014 B White,0,330,4
FDI 2015,0,330,1
Park City SC B2014 Red,0,330,1
PRFC WV 13B NL Premier 2 AZ,0,330,1
Gila Valley Ninjas,0,330,3
AZEV B2014 (WHITE),0,330,35
13 Boys Navy,0,330,4
Tuzos Royals 2014,0,330,52
14 Pre-MLSN #2,0,330,36
Real Arizona 2014,0,330,32
Madison FC 14 Gold Boys,0,330,38
Madison FC 14 Blue Boys,0,330,36
East Valley NSFC 14 Boys Aguirre,0,330,44
14B Blue #1,0,330,12
2014 Boys Blue,0,330,28
14B GSA,0,330,32
Tuzos Halcones 2014,0,330,34
14B Laroussi,0,330,15
AZ Arsenal 14 Boys Select,0,330,22
Tuzos Academy 2013,0,330,1
AZ Inferno 14 Boys Blue,0,330,7
Phoenix Valley Soccer Club boys 2014,0,330,30
Select 14/15B Red,0,330,18
VSC 2014 Boys Green,0,330,20
Southeast 2013 Boys Green,0,330,3
14B Moyer,0,330,26
Playmaker Futbol Academy North 14B,0,330,3
Temecula FC 2014 quails,0,330,1
West Valley 2014 Boys Acosta Pre-Premier,0,330,2
Playmaker Futbol Academy PRE-ECNL B14,0,330,27
PSG 14B Blue,0,330,37
PRFC West Valley 14B Pre-Academy,0,330,47
Synergy FC 14 B,0,330,33
East Valley NSFC 14 Boys Tiggs,0,330,27
Tuzos Titanes 2014,0,330,22
B14 EA,0,330,1
AZEV B2014 (NAVY),0,330,38
Juventus,0,330,7
FC Elite Arizona 2014 Boys (ARCHIVED),0,330,39
Southeast 2014 Boys Blue,0,330,29
Excel Soccer Academy 14B Red,0,330,25
CITY SC SW B14 White LE Rea,0,330,1
AZSC 2015B White,0,330,2
2014 Rush Boys,0,330,34
Scottsdale 14 Sandsharks Select,0,330,24
14B Midhaan,0,330,21
Dynamos SC 14B Gold,0,330,33
Next Level Soccer Northwest 2014 Boys,0,330,33
Jedi 14B,0,330,3
Legends FC AZ 14B FC,0,330,24
Playmaker Futbol Academy 13B Black,0,330,4
AZ Arsenal 14 Boys Teal 2 AP,0,330,23
Havasu Lions 13B Moran,0,330,1
FC Elite Arizona 2014/15 Boys,0,330,2
Scottsdale 14 Sandsharks Black,0,330,19
AZ Arsenal 15 Boys Teal 1 JZ,0,330,22
BRAZAS FC 2015 Boys Black,0,330,11
B2014 Premier,0,330,1
CAC 14/15B (Conroy),0,330,28
Legends FC AZ 14B Black,0,330,37
South County B2013 White,0,330,1
State 48 FC Casa Grande 14/15 Black,0,330,2
State 48 FC Avondale 13 Copper,0,330,3
NOS Santos 14 Boys Blue,0,330,30
PRFC Desert Foothills 14B Predator,0,330,28
14B Bratcher,0,330,18
CDO 13B Elite,0,330,3
AZSC 13B Vargas Pre-E64RL,0,330,1
PRFC SEV 13B NL Premier 2 AZ,0,330,1
B2014 Academy,0,330,2
Northwest 2014 Boys,0,330,33
14B NL #2,0,330,11
ASA 014B Magic,0,330,13
PRFC North Valley 15B Copa,0,330,5
Dynamos SC 14B SC,0,330,26
Next Level Soccer Southeast 2014 Boys Green,0,330,18
NOS Santos 15 Boys Blue,0,330,8
B2014,0,330,4
FSC United 14 Boys,0,330,38
RSL-AZ Yuma 14 Boys Quinonez,0,330,21
Southeast 2014 Boys Black,0,330,19
AZ Arsenal 14 Boys Teal MC,0,330,20
NOS Santos 14 Boys White,0,330,25
Havasu Lions FC 14B Castillo,0,330,3
PRFC Scottsdale 14B Predator,0,330,38
South County B2013,0,330,1
B-14 Hugo,0,330,1
PRFC North Valley 14B PreAcademy,0,330,32
Catalyst 14 N,0,330,1
SWSC B2014 ELITE,0,330,1
PSC 2014B,0,330,6
CDO 14B Elite,0,330,14
SFC XOLOS ARIZONA 2014,0,330,11
Phoenix United 2014 Premier,0,330,45
REAL AZ,0,330,3
Borussia Del Mar Soccer Club Boys 2014,0,330,1
Excel Soccer Academy 14 Red,0,330,22
ALBION SC San Diego B14 Academy III,0,330,1
State 48 FC Avondale 14 White,0,330,6
Rey Del Castillo FC 2014/15,0,330,1
Eagles F.C.,0,330,17
Phoenix Premier FC 13B Black,0,330,1
AZSC 2015B Navy,0,330,2
14 Pre-MLSN #1,0,330,26
AZ Thundercats 2013,0,330,2
15B NMarkette,0,330,26
Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,0,330,3
Peak FC - U9/U10/U11,0,330,1
CDO 14B Premier,0,330,21
PRFC West Valley 14B Predator,0,330,33
ALBION SC Las Vegas B13 Academy V,0,330,1
CCV Stars 14 Boys West Orange,0,330,19
PRFC Southeast Valley 14B Predator-Central,0,330,38
SCFC 2014,0,330,2
CCV Stars 14 Boys North Navy,0,330,22
BRAZAS FC 2014 Boys Gold,0,330,3
AZ Arsenal 13 Boys Teal DC,0,330,1
13B Flores,0,330,4
AZSC 2014B Azanger- Indoor Only,0,330,2
14B Velasco Pre-MLS Next,0,330,16
Las Vegas Sports Academy U12 Boys Black 2014,0,330,4
FCDA 2013B Red,0,330,1
CCV Stars 14 Boys South Pre-ECNL,0,330,30
Amore 2013 Boys,0,330,3
Pima Surf 2014 B Blue,0,330,9
15B Vyas,0,330,9
Phoenix United FC 2014 Premier,0,330,18
Fenomenos 2014,0,330,1
CCV Stars 14 Boys North Pre-ECNL,0,330,19
Phoenix Premier FC 15B Black,0,330,2
"ARCOS FC , CHALLENGERS",0,330,1
RENO PUMITAS,0,330,1
AZ Arsenal 14 Boys Teal 2 SC,0,330,32
Monsters 2014,0,330,10
14B Flores,0,330,20
B2014 Yee,0,330,1
AZVV B2014 (NAVY),0,330,5
Platinum IE B14 Yanez 1037,0,330,1
14B NL #1,0,330,11
Phoenix Premier FC 14B Pre MLS AD,0,330,3
Kingman SC B14 McGill,0,330,19
Legends FC AZ 14B Gold,0,330,24
U-12 (2014) Boys Yuma Pre Academy,0,330,17
14B Rayados Blue,0,330,3
Schneider Futsal Academy 2015,0,330,2
Pima Surf Academy Boys 15,0,330,6
CCV STARS 14 Boys Orange LAV,0,330,25
B13 Velazquez,0,330,1
Albion CC SM B14 Academy,0,330,1
Santos 15B,0,330,8
CCV STARS 14 Boys Orange PEO,0,330,8
United SoCal Redlands B2014 White,0,330,1
LAFC 14 BOYS,0,330,19
Milan,0,330,23
Madison FC 14 White Boys,0,330,6
14 Boys Navy,0,330,32
AZ Arsenal 14 Boys Teal CJB,0,330,2
PRFC Southeast Valley 14B Pre-Academy,0,330,32
La Academia 14B,0,330,19
Madison FC 14 Gold Boys Storm,0,330,25
14B Hinds,0,330,23
South County Fury B2014,0,330,1
Rey Del Castillo FC Gold,0,330,2
AZ Arsenal 14 Boys Teal 1,0,330,18
14B Engilman,0,330,32
PSC 2014/15B,0,330,6
14B Rayados Blue AL,0,330,14
PRFC North Valley 14B Copa,0,330,38
CCV STARS 14 Boys White PEO,0,330,22
Excel Soccer Academy 14B Black,0,330,16
FC Sonora 14' B Dynamo,0,330,11
Southeast 2014 Boys Green,0,330,30
Pumas Tucson 14B,0,330,3
B2014 Blue,0,330,1
FC Elite Arizona 2014 Boys - Urbina,0,330,10
15 Pre-MLS Next Tier #1,0,330,1
EV-NSFC 15 Boys Perez(1),0,330,1
Desert Communities Soccer Club,0,330,1
