Team,State,Games_Played,Total_Games_History,Wins,Losses,Ties,Win_Percentage,Goals_For,Goals_Against,Goal_Differential,Recent_Win_Pct,Cross_Age_Games,Cross_Age_Pct,Cross_State_Games,Cross_State_Pct,Last_Game_Date,SOS_Score,Opponents_Count,Cross_Age_Opponents,Offense,Defense,Offense_Adj,Defense_Adj,Offense_Norm,Defense_Norm,SOS_Norm,Power_Score,Games_Penalty,Power_Score_Adj,National_Rank,Status
Greater Lowell 2015 Boys Pre-MLS Academy,MA,22,22,20,0,0,0.9090909090909091,136,36,82,0.75,0,0.0,3,0.13636363636363635,2025-10-12,3.128476269920588,22,0,6.181818181818182,1.6363636363636365,5.319918610605366,2.041335950010152,0.8763217558088712,0.6815864378596626,0.8635359099207459,0.8297031846861542,1.0,0.8297031846861542,1,Active
Club Ohio West Pre MLS NEXT 15B,OH,30,47,29,1,0,0.9666666666666667,171,24,127,0.97,1,0.03333333333333333,13,0.43333333333333335,2025-10-12,3.106130836006741,30,1,5.7,0.8,5.12098837679371,1.295791539481699,0.8572459664536817,0.7833633633546644,0.8338753858745985,0.8284470974864283,1.0,0.8284470974864283,2,Active
Texas Select 2015,TX,28,28,24,2,0,0.8571428571428571,172,16,118,0.8633333333333334,0,0.0,7,0.25,2025-10-11,2.749336626723217,28,0,6.142857142857143,0.5714285714285714,5.433265508837804,1.1455577361195712,0.8861817657216274,0.8007561345900316,0.807607516648648,0.8219520900515207,1.0,0.8219520900515207,3,Active
SLSG MO B 2015 Academy Navy,MO,30,61,28,0,0,0.9333333333333333,163,36,110,0.9366666666666666,2,0.06666666666666667,9,0.3,2025-10-12,2.894720164658894,30,2,5.433333333333334,1.2,4.910462061004236,1.6115810131659096,0.8344513439490729,0.7433200339238653,0.8239553273007015,0.8099274719550086,1.0,0.8099274719550086,4,Active
CUP 15B Black,OH,27,27,24,3,0,0.8888888888888888,167,40,93,0.9,0,0.0,8,0.2962962962962963,2025-10-12,2.7522530628623123,27,0,6.185185185185185,1.4814814814814814,5.445644523376028,1.8640022428658447,0.8872160852809068,0.7080189041733955,0.8165926144622075,0.809002566568185,1.0,0.809002566568185,5,Active
FUTBOLTECH CHSC - 2015 LIVERPOOL,NJ,30,56,24,0,0,0.8,128,37,83,0.7966666666666666,0,0.0,13,0.43333333333333335,2025-10-11,3.123407684115564,30,0,4.266666666666667,1.2333333333333334,3.9894094294252884,1.6378968026395937,0.7008774379796614,0.739773200683681,0.8553870329200315,0.8013623474846874,1.0,0.8013623474846874,6,Active
MFA GR 15B Elite,MI,30,46,26,4,0,0.8666666666666667,169,44,91,0.8650000000000001,0,0.0,5,0.16666666666666666,2025-10-12,2.5462439877199268,30,0,5.633333333333334,1.4666666666666666,5.0683567978463415,1.8221073289553833,0.8518050007135358,0.7140721046485444,0.7970899415288529,0.7914293859897278,1.0,0.7914293859897278,7,Active
Premier Touch FC IE B15,CA,23,23,22,1,0,0.9565217391304348,110,26,71,0.8166666666666667,0,0.0,13,0.5652173913043478,2025-06-14,2.650951721424733,23,0,4.782608695652174,1.1304347826086956,4.309598655424547,1.6529057580743407,0.7535762518407064,0.7377361280814361,0.8206028158149193,0.7906241654733801,1.0,0.7906241654733801,8,Active
Cleveland Force 15B Pre-ECNL White,OH,30,39,27,1,0,0.9,160,37,101,0.9,0,0.0,6,0.2,2025-10-12,2.5570450273219065,30,0,5.333333333333333,1.2333333333333334,4.831514692583183,1.6378968026395937,0.8251807117916184,0.739773200683681,0.7916032872501788,0.7879527548451672,1.0,0.7879527548451672,9,Active
CUP 15B Gold,OH,30,30,22,6,0,0.7333333333333333,128,34,72,0.735,0,0.0,9,0.3,2025-10-12,2.643367524588713,30,0,4.266666666666667,1.1333333333333333,3.9894094294252884,1.558949434218541,0.7008774379796614,0.7503181359825462,0.8242762725453833,0.7848048783196715,1.0,0.7848048783196715,10,Active
