Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength
13 Boys Navy,2025-05-25,Playmaker Futbol Academy 14B Black,1,3,-2,0.8075117370892015,-2.8075117370892015,weak,0.233
13 Boys Navy,2025-03-15,CCV Stars 14 Boys West Pre-ECNL,2,9,-7,0.46666666666666634,-7.466666666666667,weak,0.25
13 Boys Navy,2024-05-25,FSC United 14 Boys,8,1,7,-2.0222222222222226,9.022222222222222,good,0.336
13B Flores,2025-04-13,CCV Stars 14 Boys West Pre-ECNL,4,0,4,1.0499999999999998,2.95,good,0.25
13B Flores,2024-11-09,Deportivo Mexico 14B,7,0,7,0.8382352941176472,6.161764705882353,good,0.229
13B Flores,2024-09-15,14B GSA,3,1,2,2.770833333333333,-0.770833333333333,neutral,0.195
13B Flores,2024-09-14,Playmaker Futbol Academy PRE-ECNL B14,3,2,1,1.3879310344827585,-0.38793103448275845,neutral,0.225
14,2025-09-28,AZ Arsenal Pre-ECNL B14,0,3,-3,3.2340290955091713,-6.234029095509172,weak,0.229
14,2025-09-28,State 48 FC Avondale 13 Copper,0,6,-6,5.096774193548387,-11.096774193548388,weak,0.125
14,2025-09-27,Southeast 2013 Boys Green,0,6,-6,3.43010752688172,-9.43010752688172,weak,0.226
14,2025-09-26,2014B West,0,0,0,3.1422287390029324,-3.1422287390029324,weak,0.256
14,2025-09-07,2014B West,0,7,-7,3.1422287390029324,-10.142228739002933,weak,0.256
14,2025-09-06,PRFC North Valley 13B Predator,1,0,1,1.8967741935483868,-0.8967741935483868,neutral,0.225
14,2025-09-06,AZ Arsenal 13 Boys Flagstaff,0,0,0,2.846774193548387,-2.846774193548387,weak,0.193
14,2025-04-13,AZ Arsenal Pre-ECNL B14,4,3,1,3.2340290955091713,-2.2340290955091713,weak,0.229
14,2025-04-12,Next Level Soccer Southeast 2014 Boys Blue,5,3,2,2.4634408602150537,-0.4634408602150537,neutral,0.27
14,2025-04-12,Southeast 2014 Boys Blue,5,3,2,2.796774193548387,-0.7967741935483872,neutral,0.239
14,2025-04-12,Next Level Soccer Southeast 2014 Boys Red,2,1,1,2.8745519713261647,-1.8745519713261647,weak,0.208
14,2025-04-12,Southeast 2014 Boys Red,2,1,1,2.862731640356898,-1.8627316403568979,weak,0.205
14,2025-03-09,Madison FC 14 Gold Boys Storm,3,3,0,3.782488479262673,-3.782488479262673,weak,0.213
14,2025-03-09,Madison FC 14 Gold Boys,3,3,0,3.586570111915734,-3.586570111915734,weak,0.231
14,2025-03-08,14B JCFresquez Pre-MLS Next,2,1,1,2.73963133640553,-1.7396313364055298,weak,0.184
14,2025-03-08,14B Antunez Pre-MLS Next,2,1,1,2.003024193548387,-1.003024193548387,weak,0.208
14,2025-03-01,AZEV B2014 (NAVY),4,8,-4,3.6893667861409796,-7.68936678614098,weak,0.211
14,2025-02-22,Tuzos Titanes 2014,12,0,12,1.096774193548387,10.903225806451612,good,0.251
14,2025-02-22,14B JCFresquez Pre-MLS Next,7,2,5,2.73963133640553,2.26036866359447,good,0.184
14,2025-02-22,14B Antunez Pre-MLS Next,7,2,5,2.003024193548387,2.996975806451613,good,0.208
