Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Team A Normalized,Team B Normalized,Team A Match,Team A Match Type,Team B Match,Team B Match Type
9/14/2025,Southeast 2014 Boys Black,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,3,2,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641542,238248,southeast 2014 boys black,las vegas sports academy u12 boys pre mls next 2014,Southeast 2014 Boys Black,EXACT,,NO_MATCH
9/14/2025,Southeast 2014 Boys Black,Southeast 2014 Boys Blue,2,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641543,238248,southeast 2014 boys black,southeast 2014 boys blue,Southeast 2014 Boys Black,EXACT,Southeast 2014 Boys Blue,EXACT
9/13/2025,14B Antunez Pre-MLS Next,Southeast 2014 Boys Black,0,7,L,W,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641538,238248,14b antunez premls next,southeast 2014 boys black,14B Antunez Pre-MLS Next,EXACT,Southeast 2014 Boys Black,EXACT
9/13/2025,Southeast 2014 Boys Black,Southeast 2014 Boys Blue,4,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641540,238248,southeast 2014 boys black,southeast 2014 boys blue,Southeast 2014 Boys Black,EXACT,Southeast 2014 Boys Blue,EXACT
8/31/2025,14 Pre-MLSN #1,Southeast 2014 Boys Black,1,3,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380483,238248,14 premlsn 1,southeast 2014 boys black,14 Pre-MLSN #1,EXACT,Southeast 2014 Boys Black,EXACT
8/30/2025,Dynamos SC 14B SC,Southeast 2014 Boys Black,1,1,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380478,238248,dynamos sc 14b sc,southeast 2014 boys black,Dynamos SC 14B SC,EXACT,Southeast 2014 Boys Black,EXACT
8/30/2025,Southeast 2014 Boys Black,Tuzos Royals 2014,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380480,238248,southeast 2014 boys black,tuzos royals 2014,Southeast 2014 Boys Black,EXACT,Tuzos Royals 2014,EXACT
5/17/2025,Dallas Texans Pre ECNL B14 Salazar,Southeast 2014 Boys Black,1,2,L,W,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,UTD Baseball/Softball Complex,"Loop Rd. SW , Richardson, TX 75080",20628107,238248,dallas texans pre ecnl b14 salazar,southeast 2014 boys black,,NO_MATCH,Southeast 2014 Boys Black,EXACT
5/17/2025,Southeast 2014 Boys Black,Fenomenos 2014,2,2,T,T,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,Veterans,"2335 Sandy Lake Road , Carrollton, TX 75006",20628102,238248,southeast 2014 boys black,fenomenos 2014,Southeast 2014 Boys Black,EXACT,,NO_MATCH
5/16/2025,Southeast 2014 Boys Black,Catalyst 14 N,8,5,W,L,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,MoneyGram Soccer Park,"2200 Walnut Hill, Dallas, TX 75229",20628118,238248,southeast 2014 boys black,catalyst 14 n,Southeast 2014 Boys Black,EXACT,,NO_MATCH
