Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID
9/14/2025,Southeast 2014 Boys Black,Las Vegas Sports Academy U12 Boys Pre MLS Next 2014,3,2,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641542,238248
9/14/2025,Southeast 2014 Boys Black,Southeast 2014 Boys Blue,2,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641543,238248
9/13/2025,14B Antunez Pre-MLS Next,Southeast 2014 Boys Black,0,7,L,W,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641538,238248
9/13/2025,Southeast 2014 Boys Black,Southeast 2014 Boys Blue,4,0,W,L,2025 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Jordan,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",22641540,238248
8/31/2025,14 Pre-MLSN #1,Southeast 2014 Boys Black,1,3,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380483,238248
8/30/2025,Dynamos SC 14B SC,Southeast 2014 Boys Black,1,1,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380478,238248
8/30/2025,Southeast 2014 Boys Black,Tuzos Royals 2014,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380480,238248
5/17/2025,Dallas Texans Pre ECNL B14 Salazar,Southeast 2014 Boys Black,1,2,L,W,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,UTD Baseball/Softball Complex,"Loop Rd. SW , Richardson, TX 75080",20628107,238248
5/17/2025,Southeast 2014 Boys Black,Fenomenos 2014,2,2,T,T,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,Veterans,"2335 Sandy Lake Road , Carrollton, TX 75006",20628102,238248
5/16/2025,Southeast 2014 Boys Black,Catalyst 14 N,8,5,W,L,Next Generation Cup 2025,Next Generation Cup ,U11B 2014 U11 Boys - Platinum,MoneyGram Soccer Park,"2200 Walnut Hill, Dallas, TX 75229",20628118,238248
4/13/2025,AZ Arsenal 13 Boys Teal 2 Don,Southeast 2014 Boys Black,1,7,L,W,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356780,238248
4/12/2025,Southeast 2014 Boys Black,ALBION SC Las Vegas B13 Academy V,9,1,W,L,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356784,238248
4/12/2025,AZ Arsenal 13 Boys Teal 1,Southeast 2014 Boys Black,2,4,L,W,Rivalries Cup 2025,Rivalries Cup,U13B 12U 11v11,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20356786,238248
3/23/2025,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,1,1,T,T,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U12B BU12 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917895,238248
2/17/2025,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,6,0,W,L,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965493,238248
2/14/2025,Southeast 2014 Boys Black,Phoenix United 14 Elite,2,0,W,L,Presidents' Day Tournament 2025,PDT,U12B U12 Boys White,Reach 11 Sports Complex,"2425 E Deer Valley Dr,  , Phoenix, AZ 85050",18965458,238248
2/9/2025,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,5,L,W,Desert Classic 2025,Desert Classic,U12B U12 Boys Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969222,238248
1/26/2025,Southeast 2014 Boys Black,PRFC North Valley 13B Predator,7,1,W,L,2025 AZ Soccer Clash hosted by Phoenix Premier FC,AZ Soccer Clash,U12B U12 Boys - Gold,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18702826,238248
1/11/2025,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,4,1,W,L,CCV Stars Champions Cup 2025,CCV Stars Champions Cup,U12B Boys U12 Platinum - 9v9,Reach 11 Sports Complex (CCV STARS),"2425 E Deer Valley Rd , Phoenix, AZ 85050",18604743,238248
12/7/2024,Southeast 2014 Boys Black,14B GSA,2,3,L,W,The Open (2024) SuperCopa & SuperCopa+ Qualifier,The Open,U11B SuperCopa Boys U11,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",18423398,238248
12/1/2024,Southeast 2014 Boys Black,Legends FC AZ 14B FC,3,1,W,L,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327421,238248
11/30/2024,14B GSA,Southeast 2014 Boys Black,1,4,L,W,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327417,238248
11/24/2024,Playmaker Futbol Academy 13B Black,Southeast 2014 Boys Black,4,4,T,T,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182566,238248
11/23/2024,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,0,6,L,W,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182559,238248
10/18/2024,Southeast 2014 Boys Black,14B GSA,3,1,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993653,238248
10/13/2024,FC ARIZONA 13 GFC CUEVAS,Southeast 2014 Boys Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825643,238248
10/12/2024,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825649,238248
9/29/2024,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,3,L,W,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816391,238248
8/31/2024,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,4,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371862,238248
8/30/2024,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,1,2,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371869,238248
