Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID
9/28/2025,Playmaker Futbol Academy PRE-ECNL B14,14B GSA,1,3,L,W,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796057,404655
9/28/2025,Southeast 2015 Boys Red,14B GSA,1,2,L,W,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796061,404655
9/27/2025,14B GSA,Excel Soccer Academy 14B Red,7,2,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796058,404655
9/27/2025,14B GSA,Tuzos Royals 2014,3,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796052,404655
9/7/2025,14B GSA,Tuzos Royals 2014,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426333,404655
9/7/2025,14B GSA,Phoenix United 2015 Elite,4,3,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426331,404655
9/6/2025,14B GSA,Dynamos SC 14B SC,3,3,T,T,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426327,404655
9/6/2025,Tuzos Royals 2014,14B GSA,1,2,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426330,404655
8/31/2025,14B GSA,Phoenix Premier FC 14B Pre MLS AD,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380965,404655
8/31/2025,Playmaker Futbol Academy PRE-ECNL B14,14B GSA,2,6,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380966,404655
8/30/2025,14B GSA,Phoenix United 2015 Elite,4,2,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380961,404655
8/30/2025,PRFC Scottsdale 14B Pre-Academy,14B GSA,0,1,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380962,404655
5/3/2025,14B GSA,Excel Soccer Academy 14 Red,2,5,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",20082704,404655
4/27/2025,Brazas 2014 Boys Black Marcos,14B GSA,2,2,T,T,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916711,404655
4/26/2025,14B GSA,14 ECNL #2,5,3,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916708,404655
4/13/2025,14B GSA,AZ Arsenal Pre-ECNL B14,5,1,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916703,404655
3/30/2025,14B GSA,Phoenix United 14 Elite,1,1,T,T,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20024179,404655
3/29/2025,14B GSA,Chelsea 13B,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20024171,404655
2/8/2025,CCV STARS 14 Boys Orange PEO,14B GSA,0,3,L,W,Desert Classic 2025,Desert Classic,U12B U12 Boys Silver,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969285,404655
1/4/2025,14B GSA,Sun Warriors 13/14 Boys,2,1,W,L,New Year's Futures Cup 2025,New Year's Futures Cup,U12B U12 Boys Cobalt,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18592453,404655
11/29/2024,Legends FC AZ 14B FC,14B GSA,0,0,T,T,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327414,404655
10/12/2024,14B GSA,PSG 14B Blue,8,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825605,404655
10/12/2024,Excel Soccer Academy 14 Red,14B GSA,3,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825609,404655
10/11/2024,14B GSA,Playmaker Futbol Academy 14B Gold,2,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825613,404655
9/29/2024,Legends FC AZ 14B FC,14B GSA,2,3,L,W,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816295,404655
9/29/2024,14B GSA,Next Level Soccer Southeast 2014 Boys Red,4,0,W,L,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816294,404655
9/28/2024,14B GSA,Tuzos Royals 2014,6,0,W,L,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816291,404655
9/28/2024,Next Level Soccer Northwest 2014 Boys,14B GSA,0,6,L,W,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816287,404655
9/27/2024,14B GSA,Next Level Soccer Southeast 2014 Boys Red,1,1,T,T,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816280,404655
9/15/2024,13B Flores,14B GSA,3,1,W,L,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674850,404655
9/14/2024,14B GSA,Scottsdale 13 Sandsharks Select,0,1,L,W,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674843,404655
9/13/2024,Playmaker Futbol Academy 14B Black,14B GSA,2,6,L,W,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674847,404655
4/21/2024,14B GSA,Chelsea 13B,1,2,L,W,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600190,404655
4/20/2024,Juventus,14B GSA,0,5,L,W,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600184,404655
4/19/2024,14B GSA,Tuzos Royals 2014,4,1,W,L,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600186,404655
10/4/2025,Tuzos Royals 2014,14 Pre-MLSN #1,0,3,L,W,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544421,365177
9/28/2025,Tuzos Royals 2014,Southeast 2014 Boys Red,2,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796055,365177
9/27/2025,Southeast 2015 Boys Red,Tuzos Royals 2014,3,0,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796060,365177
9/27/2025,14B GSA,Tuzos Royals 2014,3,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796052,365177
9/21/2025,Excel Soccer Academy 14B Red,Tuzos Royals 2014,3,0,W,L,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544447,365177
9/20/2025,Tuzos Royals 2014,Southeast 2014 Boys Blue,0,2,L,W,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544441,365177
9/7/2025,Tuzos Royals 2014,Dynamos SC 14B SC,2,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426332,365177
9/7/2025,14B GSA,Tuzos Royals 2014,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426333,365177
9/6/2025,Phoenix United 2015 Elite,Tuzos Royals 2014,0,1,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426328,365177
9/6/2025,Tuzos Royals 2014,14B GSA,1,2,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426330,365177
8/31/2025,Dynamos SC 14B SC,Tuzos Royals 2014,0,2,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380482,365177
8/30/2025,Tuzos Royals 2014,14 Pre-MLSN #1,2,2,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380479,365177
8/30/2025,Southeast 2014 Boys Black,Tuzos Royals 2014,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380480,365177
8/9/2025,City SC Central Valley AV-B2014,Tuzos Royals 2014,2,2,T,T,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614317,365177
8/9/2025,Tuzos Royals 2014,Desert Communities Soccer Club,0,2,L,W,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614319,365177
8/8/2025,B14 EA,Tuzos Royals 2014,4,0,W,L,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614322,365177
4/27/2025,Tuzos Royals 2014,Phoenix Premier FC 14B SW,3,0,W,L,Schools Out For Summer 2025,Schools Out,U11B U11 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473577,365177
4/27/2025,Tuzos Royals 2014,AZ Inferno 14 Boys Black,4,1,W,L,Schools Out For Summer 2025,Schools Out,U11B U11 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473575,365177
4/26/2025,ESC - Boys Chandler 15/16,Tuzos Royals 2014,0,12,L,W,Schools Out For Summer 2025,Schools Out,U11B U11 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473571,365177
4/26/2025,Tuzos Royals 2014,LAFC 14 BOYS,8,1,W,L,Schools Out For Summer 2025,Schools Out,U11B U11 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473570,365177
4/13/2025,Phoenix United 14 Elite,Tuzos Royals 2014,9,0,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Gold 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20286524,365177
4/13/2025,Next Level Soccer Southeast 2014 Boys Red,Tuzos Royals 2014,0,2,L,W,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Gold 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20286517,365177
4/12/2025,Tuzos Royals 2014,AZ Arsenal Pre-ECNL B14,3,2,W,L,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Gold 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20286520,365177
4/12/2025,Next Level Soccer Southeast 2014 Boys Blue,Tuzos Royals 2014,1,3,L,W,Rivalries Cup 2025,Rivalries Cup,U11B 11U 2014 Boys Gold 9v9,Arizona Athletic Grounds (AASC Tournaments),"6321 S Ellsworth Rd , Mesa, AZ 85212",20286522,365177
3/30/2025,Tuzos Royals 2014,2014 Tuzos Academy FV,0,0,T,T,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950208,365177
3/29/2025,Tuzos Academy Mesa 2014,Tuzos Royals 2014,2,8,L,W,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950205,365177
3/29/2025,Tuzos Royals 2014,Excel Soccer Academy 14 Red,1,3,L,W,Tuzos Challenge 2025,Tuzos Challenge,U11B U11 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19950202,365177
3/22/2025,Phoenix United 14 Elite,Tuzos Royals 2014,4,0,W,L,2025 Phoenix Cup - Boys Weekend,Tournaments Powered by Rated Sports ,U11B BU11 Super Pro,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",19917326,365177
3/16/2025,2014 Tuzos Academy FV,Tuzos Royals 2014,7,8,L,W,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Black,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826509,365177
3/15/2025,Tuzos Royals 2014,Next Level Soccer Southeast 2014 Boys Red,3,2,W,L,INFERNO CUP 2025,INFERNO CUP,U11B U11 Boys Bracket Black,West Valley Events Complex,"10020 N. Ball Park Blvd, Glendale, AZ 85305",19826506,365177
3/1/2025,Tuzos Royals 2014,PRFC Desert Foothills 14B Pre-Academy,1,2,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,Phoenix Events Complex (ASA),"2209 N. 99th Ave, Phoenix, AZ 85305",18566311,365177
2/23/2025,Excel Soccer Academy 14 Red,Tuzos Royals 2014,2,0,W,L,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118008,365177
2/23/2025,Playmaker Futbol Academy 14B Gold,Tuzos Royals 2014,1,2,L,W,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118006,365177
2/22/2025,Tuzos Royals 2014,Excel Soccer Academy 14 Red,1,1,T,T,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118003,365177
2/22/2025,Phoenix Premier FC 14B CG,Tuzos Royals 2014,0,0,T,T,AZFC Select Invitational 2025,AZFC Select Invitational ,U11B B2014 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",19118004,365177
2/15/2025,Tuzos Royals 2014,AZ Arsenal 14 Boys Teal 1,3,1,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18566327,365177
2/15/2025,Tuzos Royals 2014,Brazas 2014 Boys Black Marcos,5,0,W,L,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18566315,365177
2/8/2025,Tuzos Royals 2014,Next Level Soccer Southeast 2014 Boys Blue,3,2,W,L,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969243,365177
2/8/2025,Tuzos Royals 2014,PRFC North Valley 14B PreAcademy,2,3,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969237,365177
2/8/2025,NOS Santos 14 Boys Blue,Tuzos Royals 2014,2,3,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,EV- NOS Santos Soccer Complex (NOS),"12347 S. Sossaman , Mesa, AZ 85212",18566323,365177
2/7/2025,Next Level Soccer Southeast 2014 Boys Red,Tuzos Royals 2014,2,3,L,W,Desert Classic 2025,Desert Classic,U11B U11 Boys Gold 1,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969239,365177
2/1/2025,Tuzos Royals 2014,Phoenix United 2014B West,3,6,L,W,2024-25 MaxinMotion Open League Season 2,Futsal B and G ,U11B MaxInMotion Open League Champions 11U Boys,West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",18566319,365177
1/19/2025,Tuzos Royals 2014,Madison FC 14 Gold Boys Storm,1,0,W,L,2025 Rated Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Reach 11 Sports Complex ,"2425 East Deer Valley Road , Phoenix, AZ 85050",18644606,365177
