Team_Name,Club,State,State_Code,Region,Division,Age_Group,Age_U,Gender,Gender_Full,League,Active_Status,GotSport_Team_ID,Team_ID,Source_URL
2016B Alaska Rush Blue,,Alaska,AK,West Coast,U10B,2016,10,M,Male,USYS,Active,321766,c88613ce95cb,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=66
AYSO United B2016 Premier,,Alabama,AL,Southeast,U10B,2016,10,M,Male,USYS,Active,386452,a052c0684cea,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=70
Alabama FC Central 16B Academy South Red,,Alabama,AL,Southeast,U10B,2016,10,M,Male,USYS,Active,520618,600016b38483,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=65
Mercury Premier B16 White,,Alabama,AL,Southeast,U10B,2016,10,M,Male,USYS,Active,636051,cb92776acbad,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=92
NASC Gravity 16B Barca,,Alabama,AL,Southeast,U10B,2016,10,M,Male,USYS,Active,nan,2488b2eb97a5,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=116
Savage Premier 2016,,Alabama,AL,Southeast,U10B,2016,10,M,Male,USYS,Active,610318,3a9bf16853ce,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=74
2016B Paragould Predators,,Arkansas,AR,Southeast,U10B,2016,10,M,Male,USYS,Active,507236,a215da218b9b,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=55
870FC 2016 Boys,,Arkansas,AR,Southeast,U10B,2016,10,M,Male,USYS,Active,600285,f5858a6e047a,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=96
ARFC 2016 B Heckendorf,,Arkansas,AR,Southeast,U10B,2016,10,M,Male,USYS,Active,665409,cd9e5b45774b,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=95
ARFC 2016B Jurgenson,,Arkansas,AR,Southeast,U10B,2016,10,M,Male,USYS,Active,394394,267b48e5a110,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=11
