Team_Name,Club,State,State_Code,Region,Division,Age_Group,Age_U,Gender,Gender_Full,League,Active_Status,GotSport_Team_ID,Team_ID,Source_URL
3rd Girls Tournament Team Twinsburg,,Alabama,AL,Southeast,U10G,2015,10,F,Female,USYS,Active,638017,d920928ad697,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=97
AFCHSV-USC 2016 Girls Premier,,Alabama,AL,Southeast,U10G,2015,10,F,Female,USYS,Active,640802,71e980df5f2b,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=98
AL Lady Rush 16/17 Academy,,Alabama,AL,Southeast,U10G,2015,10,F,Female,USYS,Active,522991,3feae4780829,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=86
AYSO United G2016 Premier,,Alabama,AL,Southeast,U10G,2015,10,F,Female,USYS,Active,nan,01e303a48fa1,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=84
Auburn Soccer Club 2016 Girls Blue,,Alabama,AL,Southeast,U10G,2015,10,F,Female,USYS,Active,nan,368954952858,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=74
NASC Gravity 16G Dash,,Alabama,AL,Southeast,U10G,2015,10,F,Female,USYS,Active,nan,68c7a8990e9e,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=95
ARFC 2016 G Humphries,,Arkansas,AR,Southeast,U10G,2015,10,F,Female,USYS,Active,667811,954a7a5a0128,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=61
ARFC 2016G Loebach,,Arkansas,AR,Southeast,U10G,2015,10,F,Female,USYS,Active,394392,fba0fce722ef,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=59
SS ACADEMY 2016G BLACK PRE SELECT,,Arkansas,AR,Southeast,U10G,2015,10,F,Female,USYS,Active,420045,cdd5a044f016,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=43
16/17 Ladies of PSG,,Arizona,AZ,Southwest,U10G,2015,10,F,Female,USYS,Active,615216,29baa952ad02,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=f&search[page]=82
