Team_Name,Club,State,State_Code,Region,Division,Age_Group,Age_U,Gender,Gender_Full,League,Active_Status,GotSport_Team_ID,Team_ID,Source_URL
Needham Connect (B4),Unknown,MA,MA,Unknown,U10B,2016,10,M,Male,USYS,Active,20127.0,2f89db3276ad,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=34
U10 Boys Sunderland,Unknown,ME,ME,Unknown,U10B,2016,10,M,Male,USYS,Active,25479.0,71c333a203e6,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=64
SC Storm 16/17 Boys Yellow,Unknown,WY,WY,Unknown,U10B,2016,10,M,Male,USYS,Active,29555.0,22e8c1edea4d,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=4
Arsenal,Unknown,OK,OK,Unknown,U10B,2016,10,M,Male,USYS,Active,33017.0,0fe30f71b638,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=54
Williston SC 2016-2017 Boys Timbers,Unknown,VT,VT,Unknown,U10B,2016,10,M,Male,USYS,Active,34589.0,4f87f9db545f,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=47
Bulls,Unknown,NY,NY,Unknown,U10B,2016,10,M,Male,USYS,Active,37740.0,d76f99fe95a0,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=122
MUSC U10 BOYS Sunset,Unknown,VT,VT,Unknown,U10B,2016,10,M,Male,USYS,Active,42365.0,6af91e32cbfe,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=140
MUSC U10 BOYS Cowles,Unknown,VT,VT,Unknown,U10B,2016,10,M,Male,USYS,Active,42366.0,5ec09bf16f60,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=65
Needham Combine (B4),Unknown,MA,MA,Unknown,U10B,2016,10,M,Male,USYS,Active,43110.0,e1d3c8b22cb0,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=122
Far Post Fall U9/U10 Boys PSV,Unknown,VT,VT,Unknown,U10B,2016,10,M,Male,USYS,Active,45954.0,3935daf8279f,https://system.gotsport.com/api/v1/team_ranking_data?search[team_country]=USA&search[age]=10&search[gender]=m&search[page]=51
