Team_Name,Club,State,State_Code,Region,Division,Age_Group,Age_U,Gender,Gender_Full,League,Active_Status,GotSport_Team_ID,Team_ID,Source_URL
SSSC 2016 Boys Academy 1,Unknown,Unknown,Unknown,Unknown,U10B,2016,10,M,Male,USYS,Active,,u10_337813,Generated from game data
BVBIA Las Vegas 2016 Black,,Unknown,NV,Unknown,U10B,2016,10,M,Male,USYS,Active,644729.0,u10_684396,Generated from game data
Miami Beach Football MBFC 2016 Blue,Unknown,Unknown,Unknown,Unknown,U10B,2016,10,M,Male,USYS,Active,,u10_217154,Generated from game data
Clark Crusaders 2016B,Unknown,Unknown,Unknown,Unknown,U10B,2016,10,M,Male,USYS,Active,,u10_627156,Generated from game data
2016B Real National,,Unknown,CO,Unknown,U10B,2016,10,M,Male,USYS,Active,574541.0,u10_083247,Generated from game data
Mt. Diablo Mustang 2016B Red,,Unknown,CA,Unknown,U10B,2016,10,M,Male,USYS,Active,504688.0,u10_136829,Generated from game data
SLSG IL B 2016 Academy Red,,Unknown,IL,Unknown,U10B,2016,10,M,Male,USYS,Active,627174.0,u10_442570,Generated from game data
Miami Lakes United 2016 Boys Black,Unknown,Unknown,Unknown,Unknown,U10B,2016,10,M,Male,USYS,Active,,u10_716299,Generated from game data
Sporting Palm Coast 2016 Boys Elite,,Unknown,FL,Unknown,U10B,2016,10,M,Male,USYS,Active,497645.0,u10_534220,Generated from game data
DUSC Cobras 2016 Boys,,Unknown,OH,Unknown,U10B,2016,10,M,Male,USYS,Active,499150.0,u10_624406,Generated from game data
Ole FC EDP Premier B2016,Unknown,Unknown,Unknown,Unknown,U10B,2016,10,M,Male,USYS,Active,,u10_508567,Generated from game data
Garland Tigres Academy 2016,Unknown,Unknown,Unknown,Unknown,U10B,2016,10,M,Male,USYS,Active,,u10_748642,Generated from game data
Waco United 2016B Espino,,Unknown,TX,Unknown,U10B,2016,10,M,Male,USYS,Active,637446.0,u10_756105,Generated from game data
Classic FC Lightning Coyotes 2016 Boys Red,,Unknown,NM,Unknown,U10B,2016,10,M,Male,USYS,Active,482726.0,u10_349199,Generated from game data
LSC 2016 Black,,Unknown,IL,Unknown,U10B,2016,10,M,Male,USYS,Active,452334.0,u10_389302,Generated from game data
Pittsburgh Riverhounds Connellsville 2016 Boys,,Unknown,PA,Unknown,U10B,2016,10,M,Male,USYS,Active,509829.0,u10_149319,Generated from game data
PHENOM B2016II,,Unknown,CA,Unknown,U10B,2016,10,M,Male,USYS,Active,485329.0,u10_484365,Generated from game data
Royal Palm Beach Strikers RPB U10B (2016) White,,Unknown,FL,Unknown,U10B,2016,10,M,Male,USYS,Active,533038.0,u10_596112,Generated from game data
