team_id,opponent_team_id,date,goals_for,goals_against,result,display_name,opponent_display_name
163451.0,129169.0,2025-10-12,0.0,0.0,D,,
163451.0,486579.0,2025-10-12,0.0,0.0,D,,
163451.0,aa4ed9e7790a,2025-10-11,12.0,0.0,W,,
163451.0,615532.0,2025-10-10,3.0,3.0,D,,
80237.0,163451.0,2025-09-28,2.0,0.0,W,,
163451.0,367030.0,2025-09-28,1.0,3.0,L,,
163451.0,615532.0,2025-09-27,2.0,4.0,L,,
163451.0,57044.0,2025-09-27,11.0,1.0,W,,
80237.0,163451.0,2025-08-31,0.0,0.0,D,,
163451.0,129169.0,2025-08-31,0.0,8.0,L,,
d37e215eab1f,163451.0,2025-08-30,8.0,2.0,W,,
80237.0,163451.0,2025-08-29,5.0,2.0,W,,
163451.0,2f127addbccb,2025-08-16,0.0,0.0,D,,
163451.0,b7542b7d4e40,2025-08-08,0.0,0.0,D,,
26b460f79b37,163451.0,2025-07-20,1.0,10.0,L,,
163451.0,a3ed80502bb1,2025-07-20,12.0,2.0,W,,
aaf5150a2bff,163451.0,2025-07-19,1.0,11.0,L,,
163451.0,0dea047984fa,2025-07-19,3.0,12.0,L,,
541851.0,334055.0,2025-09-28,0.0,7.0,L,,
334055.0,326440.0,2025-09-28,3.0,2.0,W,,
541851.0,334055.0,2025-09-27,2.0,9.0,L,,
334055.0,419446.0,2025-09-27,0.0,8.0,L,,
0e2a52747d2d,334055.0,2025-09-21,0.0,14.0,L,,
304059.0,334055.0,2025-09-21,3.0,0.0,W,,
334055.0,259313.0,2025-09-20,3.0,3.0,D,,
275533.0,334055.0,2025-09-19,16.0,1.0,W,,
334055.0,501674.0,2025-08-31,4.0,3.0,W,,
334055.0,259313.0,2025-08-30,2.0,5.0,L,,
334055.0,bdc47d477da8,2025-08-30,5.0,4.0,W,,
12a5e77fb631,334055.0,2025-08-01,0.0,0.0,D,,
334055.0,1d91be1be8d7,2025-03-30,3.0,5.0,L,,
334055.0,385524.0,2025-03-29,2.0,1.0,W,,
334055.0,7322cb829e26,2025-03-29,0.0,5.0,L,,
c7ccdc12a244,334055.0,2025-03-16,3.0,2.0,W,,
334055.0,232674.0,2025-03-16,8.0,2.0,W,,
334055.0,583a5494a88c,2025-03-15,7.0,0.0,W,,
c7ccdc12a244,334055.0,2025-03-15,4.0,5.0,L,,
395681.0,334055.0,2025-03-08,7.0,0.0,W,,
395681.0,334055.0,2025-03-01,2.0,6.0,L,,
284382.0,334055.0,2025-02-16,1.0,3.0,L,,
334055.0,1f883f0684a7,2025-02-16,0.0,3.0,L,,
8f91955341d5,334055.0,2025-02-15,4.0,1.0,W,,
334055.0,1f883f0684a7,2025-02-15,5.0,1.0,W,,
862557d7ffad,334055.0,2025-02-08,4.0,1.0,W,,
f33bf97bf326,334055.0,2025-02-01,2.0,4.0,L,,
334055.0,57044.0,2025-01-26,3.0,8.0,L,,
334055.0,11388bfb1f13,2025-01-25,2.0,6.0,L,,
334055.0,3794284fb470,2025-01-25,5.0,0.0,W,,
334055.0,f667d8f5b876,2025-01-24,1.0,5.0,L,,
385774.0,334055.0,2025-01-19,6.0,2.0,W,,
334055.0,856384dc11ab,2025-01-19,3.0,2.0,W,,
334055.0,513843.0,2025-01-18,2.0,5.0,L,,
334055.0,151833.0,2025-01-18,0.0,5.0,L,,
862557d7ffad,334055.0,2025-01-11,1.0,5.0,L,,
f33bf97bf326,334055.0,2024-12-28,0.0,0.0,D,,
367902.0,334055.0,2024-12-14,12.0,3.0,W,,
506718.0,334055.0,2024-12-14,12.0,3.0,W,,
166516.0,334055.0,2024-12-14,2.0,7.0,L,,
334055.0,bcc1003b7940,2024-12-13,8.0,1.0,W,,
27658e95a8eb,334055.0,2024-12-09,4.0,3.0,W,,
395681.0,334055.0,2024-11-23,2.0,3.0,L,,
398193.0,334055.0,2024-11-16,10.0,0.0,W,,
334055.0,3960c82208ab,2024-11-11,0.0,8.0,L,,
91330136e9b1,334055.0,2024-11-10,6.0,3.0,W,,
334055.0,326440.0,2024-11-09,2.0,2.0,D,,
334055.0,431fb4449fb8,2024-11-09,3.0,4.0,L,,
334055.0,326440.0,2024-11-02,5.0,1.0,W,,
367030.0,385524.0,2025-10-05,2.0,8.0,L,,
57044.0,367030.0,2025-09-28,0.0,6.0,L,,
284382.0,367030.0,2025-09-27,0.0,0.0,D,,
615532.0,367030.0,2025-09-27,3.0,8.0,L,,
80237.0,367030.0,2025-09-26,0.0,0.0,D,,
120248.0,367030.0,2025-09-21,4.0,1.0,W,,
d204831d51c1,367030.0,2025-09-07,3.0,4.0,L,,
d49c5c86f65c,367030.0,2025-09-06,1.0,5.0,L,,
367030.0,16a2d5adfd0b,2025-09-06,0.0,1.0,L,,
71f5a3acae0d,367030.0,2025-08-31,4.0,1.0,W,,
d204831d51c1,367030.0,2025-08-30,2.0,4.0,L,,
1d94d7c5304a,367030.0,2025-08-29,5.0,3.0,W,,
018d1e1b8ce3,367030.0,2025-05-24,0.0,9.0,L,,
367030.0,ed092a0aa4e8,2025-05-24,8.0,2.0,W,,
467cec276607,367030.0,2025-05-24,4.0,0.0,W,,
367030.0,947f9f2fefd3,2025-05-24,6.0,2.0,W,,
367030.0,5bf6e8d9ff68,2025-05-24,7.0,0.0,W,,
360129acef75,367030.0,2025-05-24,3.0,1.0,W,,
61c49560a795,367030.0,2025-03-30,2.0,1.0,W,,
40a7cfa15a93,367030.0,2025-03-29,0.0,3.0,L,,
367030.0,dda2edccc8e5,2025-03-29,0.0,1.0,L,,
489d6d7ece85,367030.0,2025-03-23,0.0,4.0,L,,
50fd1fc3a90f,367030.0,2025-03-22,3.0,3.0,D,,
8b9f061ad359,367030.0,2025-03-21,2.0,2.0,D,,
b5dc7f004beb,367030.0,2025-02-22,3.0,4.0,L,,
13ca03bd20af,367030.0,2025-02-22,0.0,2.0,L,,
aa435bec6b52,367030.0,2025-02-21,3.0,3.0,D,,
f4ad4696e7f2,367030.0,2025-02-09,9.0,0.0,W,,
4ed0d6ee6a3c,367030.0,2025-02-08,7.0,4.0,W,,
8d0431f1f1dc,367030.0,2025-02-08,5.0,0.0,W,,
ebc0cb3c27af,367030.0,2025-01-04,2.0,3.0,L,,
5c8719d8b1e2,367030.0,2025-01-04,1.0,8.0,L,,
0462af897019,367030.0,2025-01-03,1.0,0.0,W,,
f3c935c7dac1,367030.0,2024-12-07,2.0,2.0,D,,
367030.0,1d976e61cd2e,2024-12-07,1.0,5.0,L,,
367030.0,dd8471343cf4,2024-12-06,8.0,0.0,W,,
13ca03bd20af,367030.0,2024-10-13,4.0,0.0,W,,
367030.0,a3b6081e47b3,2024-10-13,0.0,2.0,L,,
d204831d51c1,288452.0,2025-09-28,2.0,1.0,W,,
3881f0254c74,288452.0,2025-09-28,2.0,1.0,W,,
288452.0,16a2d5adfd0b,2025-09-27,3.0,0.0,W,,
c9a10ae0e1d7,288452.0,2025-09-27,1.0,7.0,L,,
494b1dcf903e,288452.0,2025-09-14,3.0,0.0,W,,
80237.0,288452.0,2025-09-14,1.0,1.0,D,,
f00948f71a70,288452.0,2025-09-13,0.0,9.0,L,,
59c621555d89,288452.0,2025-09-12,4.0,2.0,W,,
b40213a2d9b7,288452.0,2025-04-05,7.0,1.0,W,,
1fc32603ff12,288452.0,2025-04-05,0.0,7.0,L,,
d993fd45c2c5,288452.0,2025-04-04,3.0,3.0,D,,
97b3887a15a9,288452.0,2025-03-30,1.0,0.0,W,,
118237dc9880,288452.0,2025-03-30,0.0,3.0,L,,
97b3887a15a9,288452.0,2025-03-29,0.0,1.0,L,,
9e5c8b9db388,288452.0,2025-03-29,0.0,2.0,L,,
97b3887a15a9,288452.0,2025-02-23,5.0,4.0,W,,
239883be849b,288452.0,2025-02-22,1.0,2.0,L,,
8ed1e4be1ce6,288452.0,2025-02-21,4.0,5.0,L,,
8ed1e4be1ce6,288452.0,2025-01-26,0.0,0.0,D,,
54c287a49fcd,288452.0,2025-01-25,3.0,2.0,W,,
77958c891b23,288452.0,2025-01-25,1.0,1.0,D,,
29267cdecc91,288452.0,2025-01-12,2.0,3.0,L,,
0462af897019,288452.0,2025-01-11,3.0,2.0,W,,
77958c891b23,288452.0,2025-01-10,3.0,2.0,W,,
288452.0,270572fbcc43,2024-12-15,3.0,5.0,L,,
bdc47d477da8,288452.0,2024-12-14,3.0,1.0,W,,
259314.0,288452.0,2024-12-14,0.0,6.0,L,,
f667d8f5b876,288452.0,2024-12-08,1.0,13.0,L,,
13ca03bd20af,288452.0,2024-12-08,2.0,1.0,W,,
288452.0,b6c5d98bca20,2024-12-07,0.0,5.0,L,,
13ca03bd20af,288452.0,2024-12-06,3.0,0.0,W,,
b5dc7f004beb,288452.0,2024-11-10,0.0,3.0,L,,
e577a13eb80e,288452.0,2024-11-10,10.0,5.0,W,,
77958c891b23,288452.0,2024-11-09,4.0,4.0,D,,
