team_id,display_name,opponent_team_id,opponent_display_name,date,goals_for,goals_against,result
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_c72ab74da153,sd surf academy boys select 2015 (keith),2025-01-20,1.0,1.0,D
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2025-01-20,2.0,0.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_095940e1647e,lafc socal b2015 gold,2025-01-19,0.0,2.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_ca518b98d98b,15b chacon,2025-01-20,1.0,4.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2025-01-18,3.0,2.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-12-08,5.0,2.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-12-08,6.0,1.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_5821d0b4debe,murrieta soccer academy b14 academy,2024-12-07,0.0,2.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-12-07,4.0,1.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-12-01,1.0,6.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e49532c35572,las vegas sports academy u11 boys white 2014,2024-11-30,1.0,5.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_aea4a6a7b0e2,chivas fc b2014,2024-11-30,1.0,2.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-11-29,3.0,0.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-11-29,1.0,0.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-11-23,6.0,1.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-11-24,,,D
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-11-17,1.0,3.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_bf9de0f12416,2014 pre ea ii,2024-11-17,3.0,1.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_672222321215,lv heat surf 15b select orange henderson,2024-11-16,0.0,6.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-11-16,1.0,0.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_8e65dfbffda4,cd independiente 2013,2024-11-09,2.0,10.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e3384ca35fca,villarreal lv u10 yellow,2024-11-09,3.0,12.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-11-02,,,D
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_227a757c60e3,red 2015,2024-10-27,0.0,1.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_070095dcd3da,br14 b,2024-10-27,4.0,2.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_227a757c60e3,red 2015,2024-10-26,2.0,3.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_891c3a072b39,albion sc las vegas b13 academy v,2024-10-19,1.0,3.0,L
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_65ad236ebc8c,players 14 boys elite,2024-10-13,3.0,1.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_65ad236ebc8c,players 14 boys elite,2024-10-13,2.0,2.0,D
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-10-12,2.0,1.0,W
ext_5fce9227342b,Las Vegas Sports Academy U11 Boys Red 2015,ext_e08044185a45,las vegas sports academy u10 boys red 2015,2024-10-12,13.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_06cdcef820e1,las vegas elite fc b14 pre-ea,2025-10-04,,,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_91588fa77e53,las vegas elite fc b14 black,2025-09-27,10.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_33580e61ef7c,players 15 boys junior elite,2025-09-20,9.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_25091af00d7b,players 14/15 boys academy east,2025-09-06,1.0,3.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_841718b78153,guadalajara 2015 boys,2025-06-16,3.0,4.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_089a5352e7ac,tournament time - ga 2015 boys,2025-06-15,4.0,6.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_672222321215,lv heat surf 15b select orange henderson,2025-06-15,2.0,2.0,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_ba3b36fe236a,oxnard kickers fc,2025-06-14,3.0,5.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_db81bda3b314,fontana scorpions fc,2025-06-13,5.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_bf170d6e8cfb,gt18 b15,2025-05-26,3.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,e6fc3b68c95c,FCDA 2015B Pre - Academy,2025-05-25,9.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,e6fc3b68c95c,FCDA 2015B Pre - Academy,2025-05-26,6.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_6219f0aaeeab,albion sc merced b15 academy,2025-05-24,2.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_bf170d6e8cfb,gt18 b15,2025-05-25,3.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_fb65e50ac6ff,roa soccer academy 2014 blue,2025-05-18,4.0,3.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_91588fa77e53,las vegas elite fc b14 black,2025-05-18,5.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_8047f91a1eca,lv heat surf 14b pre np summerlin,2025-05-18,3.0,3.0,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_0f3fb40bd73d,las vegas diversity fc '14 boys academy,2025-05-17,4.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_a0441a816d6a,lv heat surf 15b select orange summerlin,2025-05-10,5.0,4.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_243a2ed6c00d,las vegas sports academy u10 boys silver 2015,2025-05-10,4.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_243a2ed6c00d,las vegas sports academy u10 boys silver 2015,2025-05-03,4.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_55b49016ecc2,players 15 boys junior academy,2025-04-26,10.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_e3384ca35fca,villarreal lv u10 yellow,2025-04-19,4.0,5.0,L
ext_1cb2a58b379f,Magnifico FC B15E,ext_2d3cac169c4b,vegas united ‘15 boys academy,2025-04-12,7.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_cfc644380319,players 16 boys juniors elite,2025-04-05,3.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_feab24921db3,henderson lvsa '15b black,2025-03-30,4.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_47c6d177a7bc,las vegas sports academy u10 boys white 2015,2025-03-30,3.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_4bf8a8a50fe3,prfc west valley 15b copa,2025-03-29,13.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_89e792f8534e,hw la surf b2014 black,2025-03-29,2.0,2.0,D
ext_1cb2a58b379f,Magnifico FC B15E,ext_c28ae31aaef0,surf select desert region b2015,2025-03-09,5.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_acde5d278e45,rayados las vegas soccer academy 2016 blue,2025-03-09,1.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_69b5b52a1a06,sparta b15 premier nk,2025-03-08,1.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_81d82335e324,bu b2015 pink-se,2025-03-08,9.0,1.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_564e31381804,impact sj 15b,2025-03-02,5.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_672222321215,lv heat surf 15b select orange henderson,2025-03-02,6.0,3.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_47c6d177a7bc,las vegas sports academy u10 boys white 2015,2025-03-02,5.0,2.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_e3384ca35fca,villarreal lv u10 yellow,2025-03-01,5.0,0.0,W
ext_1cb2a58b379f,Magnifico FC B15E,ext_507a3086884b,las vegas elite fc b16 gold,2025-02-08,3.0,0.0,W
