Rank,Team,team_id,PowerScore,GamesPlayed,Wins,Losses,Draws,GoalsFor,GoalsAgainst,WinPct,GPG,GPA
200,albion sc las vegas b15 academy i,ext_8f1e5d95ddb2,0.27058823529411763,3,1,2,0,3.0,11.0,0.3333333333333333,1.0,3.6666666666666665
201,2015 boys white,ext_d6800444f40e,0.23421052631578948,4,1,2,1,4.0,11.0,0.25,1.0,2.75
202,lightning 15/14 blue,ext_f3453cba2ee1,0.23333333333333334,6,1,3,2,10.0,14.0,0.16666666666666666,1.6666666666666667,2.3333333333333335
203,lv heat surf 15b select blue henderson,ext_d5b08b9f02ec,0.22434782608695653,5,1,3,1,6.0,12.0,0.2,1.2,2.4
204,players 15 boys junior elite,ext_33580e61ef7c,0.22,5,1,3,1,6.0,13.0,0.2,1.2,2.6
205,2015 Boys Blue,296b0b12503f,0.20823529411764707,10,2,8,0,15.0,43.0,0.2,1.5,4.3
206,las vegas sports academy u10 boys red 2015,ext_e08044185a45,0.18936363636363635,40,7,30,3,58.0,177.0,0.175,1.45,4.425
207,coppermine sc boys 2015 academy 1,ext_622c8c4d1c1d,0.1838607594936709,24,3,19,2,43.0,91.0,0.125,1.7916666666666667,3.7916666666666665
208,ajax united 15b green pre-mls next,ext_748b0c720442,0.17995642701525055,17,3,13,1,20.0,71.0,0.17647058823529413,1.1764705882352942,4.176470588235294
209,lou fusz athletic blue star 2015b,ext_2b46da582596,0.17777777777777778,1,0,0,1,4.0,4.0,0.0,4.0,4.0
210,tyler fc 15b,ext_a65ca439cb96,0.17777777777777778,1,0,0,1,4.0,4.0,0.0,4.0,4.0
211,las vegas sports academy u11 boys black 2014,ext_ba86458f5a80,0.17142857142857143,1,0,0,1,3.0,3.0,0.0,3.0,3.0
212,lafc socal b2015 pre-ecnl,ext_3c855bc83ad4,0.17142857142857143,1,0,0,1,3.0,3.0,0.0,3.0,3.0
213,prfc north valley 14b preacademy,ext_2b6621643588,0.17142857142857143,1,0,0,1,3.0,3.0,0.0,3.0,3.0
214,roseville sc 2015b green,ext_b9597b12523d,0.17142857142857143,1,0,0,1,3.0,3.0,0.0,3.0,3.0
215,2015b pre-mls navy,ext_b9b9239cdae2,0.17142857142857143,1,0,0,1,3.0,3.0,0.0,3.0,3.0
216,2014 boys red,ext_9af57ccd612e,0.17142857142857143,1,0,0,1,3.0,3.0,0.0,3.0,3.0
217,cvfa 14b black,ext_8a24c94598b1,0.17142857142857143,1,0,0,1,3.0,3.0,0.0,3.0,3.0
218,bridgeview academy 2015,ext_b79a66622262,0.16666666666666669,1,0,1,0,5.0,6.0,0.0,5.0,6.0
219,alex 2015 boys red,ext_ab5ad5bafa58,0.16470588235294117,2,0,1,1,7.0,8.0,0.0,3.5,4.0
220,mustang sc 15b pre-ecnl,ext_7eaef927b784,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
221,albion sc santa ana b15 academy,ext_fefdc259901a,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
222,eastside fc b14 white,ext_dd055f1cc6aa,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
223,hw la surf b2014 black,ext_89e792f8534e,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
224,2014 pre mlsnext,ext_afbecf5315df,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
225,pasadena sc 2014b elite blue,ext_b85d973e383a,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
226,prfc scottsdale 16b predator,ext_11fc918c3bbc,0.16000000000000003,1,0,1,0,4.0,5.0,0.0,4.0,5.0
227,kbsc premier blue 2014,ext_e40cd60f31e3,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
228,lv heat surf 15b select orange summerlin,ext_a0441a816d6a,0.16000000000000003,1,0,1,0,4.0,5.0,0.0,4.0,5.0
229,black conshy '14 (b),ext_ae2f760fc67f,0.16000000000000003,1,0,1,0,4.0,5.0,0.0,4.0,5.0
230,barça academy pro miami - b2015 cubarsi,ext_db3de1f32c21,0.16000000000000003,1,0,1,0,4.0,5.0,0.0,4.0,5.0
231,14b fpfc try dev ii,ext_bb6acf153c17,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
232,jam - furino,ext_bdabba942b79,0.16000000000000003,1,0,0,1,2.0,2.0,0.0,2.0,2.0
