raw_name,team_id,display_name
AZ Arsenal Pre-ECNL B15,163451.0,AZ Arsenal Pre-ECNL B15
15B AChacon Pre-MLS Next,80237.0,15B AChacon Pre-MLS Next
15/16B Valenzuela Nogales,541851.0,15/16B Valenzuela Nogales
Chelsea 15B,334055.0,Chelsea 15B
15 Pre-MLS Next #1,304059.0,15 Pre-MLS Next #1
15 Boys National League #1,275533.0,15 Boys National League #1
15 Boys Soul Warriors,395681.0,15 Boys Soul Warriors
CDO 15B Premier,284382.0,CDO 15B Premier
2015 Boys Yellow,385774.0,2015 Boys Yellow
2015 Boys Blue,367902.0,2015 Boys Blue
2015 Boys Blue,506718.0,2015 Boys Blue
15 Boys Navy,166516.0,15 Boys Navy
CDO 15B Elite,398193.0,CDO 15B Elite
Phoenix United 2015 Elite,367030.0,Phoenix United 2015 Elite
Phoenix Premier FC 15B Black,57044.0,Phoenix Premier FC 15B Black
BRAZAS FC 2015 Boys Black,615532.0,BRAZAS FC 2015 Boys Black
PRFC West Valley 15B Pre-Academy,120248.0,PRFC West Valley 15B Pre-Academy
Southeast 2015 Boys Red,288452.0,Southeast 2015 Boys Red
PRFC Scottsdale 15B Copa,259314.0,PRFC Scottsdale 15B Copa
Southeast 2015 Boys Black,238249.0,Southeast 2015 Boys Black
Northwest 2015 Boys Black,486579.0,Northwest 2015 Boys Black
15B Garza Pre MLS Next,202919.0,15B Garza Pre MLS Next
15B NMarkette Pre-MLS Next,82323.0,15B NMarkette Pre-MLS Next
Dynamos SC 15B SC,126695.0,Dynamos SC 15B SC
Excel Soccer Academy 15B Red,306056.0,Excel Soccer Academy 15B Red
15B Jason Pre MLS Next,558242.0,15B Jason Pre MLS Next
CCV Stars 15 Boys North Pre-ECNL,128642.0,CCV Stars 15 Boys North Pre-ECNL
PRFC West Valley 15B Predator,120282.0,PRFC West Valley 15B Predator
FDI 2015,513843.0,FDI 2015
La Piedad FC 2015,533848.0,La Piedad FC 2015
Deportivo Coras USA 2015,178607.0,Deportivo Coras USA 2015
2015 Rush Boys,370615.0,2015 Rush Boys
PRFC Desert Foothills 15B Predator,255974.0,PRFC Desert Foothills 15B Predator
15B IGerman,363435.0,15B IGerman
PRFC North Valley 15B Predator,260959.0,PRFC North Valley 15B Predator
State 48 FC Avondale 15 Copper,469906.0,State 48 FC Avondale 15 Copper
Northwest 2015 Boys Red,501674.0,Northwest 2015 Boys Red
AZSC 2015B Navy,80006.0,AZSC 2015B Navy
State 48 FC 15 Elite,261196.0,State 48 FC 15 Elite
Southeast 2015 Boys Green,501668.0,Southeast 2015 Boys Green
AZ Arsenal Pre-ECNL RL B15,254492.0,AZ Arsenal Pre-ECNL RL B15
CCV Stars 15 Boys South Pre-ECNL,259054.0,CCV Stars 15 Boys South Pre-ECNL
Scottsdale 15 Sandsharks Select,151833.0,Scottsdale 15 Sandsharks Select
Dynamos SC 15B Gold,152078.0,Dynamos SC 15B Gold
Brazas 2015 Boys Gold Diego Rangel,250958.0,Brazas 2015 Boys Gold Diego Rangel
Brazas 2015 Boys White Diego Lopez,520380.0,Brazas 2015 Boys White Diego Lopez
AZSC 15B Gold,189718.0,AZSC 15B Gold
PRFC Scottsdale 15B Samba,492965.0,PRFC Scottsdale 15B Samba
PRFC Southeast Valley 15B Predator,384729.0,PRFC Southeast Valley 15B Predator
PRFC West Valley 15B Samba,257261.0,PRFC West Valley 15B Samba
AYSO 1079 2015 Boys,570465.0,AYSO 1079 2015 Boys
NOS Santos 15 Boys White,262802.0,NOS Santos 15 Boys White
Salsa 2015,513881.0,Salsa 2015
PRFC Southeast Valley 15B Predator-Central,494080.0,PRFC Southeast Valley 15B Predator-Central
Scottsdale 15 Sandsharks Black,405999.0,Scottsdale 15 Sandsharks Black
RSL-AZ Yuma 15 Boys Patino WHITE,557885.0,RSL-AZ Yuma 15 Boys Patino WHITE
Pima Surf Academy Boys 15,326440.0,Pima Surf Academy Boys 15
PSG 15B Blue,373024.0,PSG 15B Blue
15B NJMarkette,135022.0,15B NJMarkette
PRFC Scottsdale 15B Predator,259313.0,PRFC Scottsdale 15B Predator
Southeast 2015 Boys Blue,307803.0,Southeast 2015 Boys Blue
Phoenix United 2015 Academy,367035.0,Phoenix United 2015 Academy
PRFC Desert Foothills 15B Copa,296583.0,PRFC Desert Foothills 15B Copa
CCV Stars 15 Boys West Pre-ECNL,259031.0,CCV Stars 15 Boys West Pre-ECNL
PRFC North Valley 15B PreAcademy,260958.0,PRFC North Valley 15B PreAcademy
PRFC Scottsdale 15B Pre-Academy,129169.0,PRFC Scottsdale 15B Pre-Academy
Madison FC 15 Gold Boys,253825.0,Madison FC 15 Gold Boys
PRFC Southeast Valley 15B Pre-Academy,129374.0,PRFC Southeast Valley 15B Pre-Academy
AZ Arsenal 15 Boys Flagstaff,526663.0,AZ Arsenal 15 Boys Flagstaff
AZSC 2015B White,80005.0,AZSC 2015B White
15B OMolina,252018.0,15B OMolina
15B DGerman,80240.0,15B DGerman
Dorados Reserve 2015,433948.0,Dorados Reserve 2015
OJB FC 2015 Boys,576789.0,OJB FC 2015 Boys
AZEV B2015 (NAVY),492404.0,AZEV B2015 (NAVY)
BVBIA ARIZONA BLACK & YELLOW 2015,663588.0,BVBIA ARIZONA BLACK & YELLOW 2015
RSL-AZ Yuma 15 Boys Patino,79737.0,RSL-AZ Yuma 15 Boys Patino
Tuzos Academy Mesa 2015,385524.0,Tuzos Academy Mesa 2015
AYSO 1079 2015/16 Boys,576105.0,AYSO 1079 2015/16 Boys
AZ Arsenal 15 Boys Teal SH,615324.0,AZ Arsenal 15 Boys Teal SH
15B Campos,494461.0,15B Campos
15B Rayados Blue,546436.0,15B Rayados Blue
RYSC 2015,232674.0,RYSC 2015
Select 15B Red,521426.0,Select 15B Red
