gotsport_team_id,display_name,club,state,team_association_raw
42159310,Mexico 15 Elite,Ceres Rush,CAN,CAN
42162458,Fort Lauderdale FC 15 Boys Blue,Fort Lauderdale Select FC,FL,FL
42160454,CAT 2015 ELITE BOYS,Complete Athlete Training,NJ,NJ
42158292,2015 Boys,Lehigh Valley Gore FC,PAE,PAE
42161634,15 Kraze Pre ECNL,Florida Kraze Krush,FL,FL
42162145,B2015 FERMIN,BARCA Academy Pro Miami,FL,FL
42160725,PRFC Scottsdale 15B Pre-Academy,Phoenix Rising FC,AZ,AZ
42161648,2015 Boys (FL),Naples United FC,FL,FL
42163331,PRFC Southeast Valley 15B Pre-Academy,Phoenix Rising FC,AZ,AZ
42158953,Santa Clara Sporting 15B Green,Santa Clara Sporting,CAN,CAN
42159400,Hughson United 2015B,Hughson United,CAN,CAN
42160732,15 Boys Navy,FC Batavia,AZ,AZ
42160477,2015 (U11) Black,Miami Futbol Academy Rush ,FL,FL
42158172,2015 Boys APEX,Montgomery United SC,PAE,PAE
42158730,ANBBK Boynton Beach Knights BBK-2015-B-Black,Boynton Beach Knights,FL,FL
42161570,PSG 15B Blue,Paris Saint-Germain Academy Phoenix,AZ,AZ
42158500,SD Surf Academy Boys 2015 (Keith),San Diego Surf Soccer Club,CAS,CAS
42163304,U-11 (2015) San Luis Boys Pre Academy,SC del Sol,AZ,AZ
42161775,2015 Boys OCLN PreECNL,Orlando City Soccer School Lake Nona,FL,FL
42158687,St Petersburg FC Boys 2015 SPFC,St. Petersburg Football Club,FL,FL
42161507,Excel Soccer Academy 15B Red,Excel Soccer Academy,AZ,AZ
42160785,2015 CTC Hialeah City FC BLUE,CTC Bandits FC,FL,FL
42159159,Dnamo FC Cruzeiro,Dnamo FC,CAN,CAN
42175819,Philadelphia Union -SWAG Academy 2015,Philadelphia Union,PAE,PAE
42161967,Solrise Soccer Academy 2015B Elite,Solrise Soccer Academy,FL,FL
42158125,B2015 Blue,Downey United Football Club,CAS,CAS
42175389,SD Surf Pre-ECNL Boys 2015 II (Miller),San Diego Surf Soccer Club,CAS,CAS
42158269,Strikers FC Irvine 2015 Harrison EA,Strikers FC,CAS,CAS
42161078,PRFC Scottsdale 15B Predator,Phoenix Rising FC,AZ,AZ
42174881,SD Surf Pre-ECNL Boys 2015 I (Garton),San Diego Surf Soccer Club,CAS,CAS
42158325,2015 Boys Black,Pipeline Soccer Club,MD,MD
42159558,Sharks Academy B2015,Merrick/South Merrick PAL,NYE,NYE
42158441,PreECNL 2015,Penn Fusion Soccer Academy,PAE,PAE
42160973,15B OMolina,RSL-AZ South,AZ,AZ
42161043,SK Sunblazer U10 Gold,"South Kendall Sunblazer Soccer Club, Inc.",FL,FL
42159015,2015B Pre-ECNL,Los Gatos United Soccer Club,CAN,CAN
42158263,FC Scorpions B2015 Academy,FC Scorpions (CA),CAS,CAS
42158769,Blues 15B Navy,Blues FC,CAN,CAN
42158832,Yuba Elite FC 15B Gold,Yuba Elite FC,CAN,CAN
42158978,Burlingame SC 2015B Gray,Burlingame Soccer Club,CAN,CAN
42159633,PRFC Scottsdale 15B Copa,Phoenix Rising FC,AZ,AZ
42162146,B2015 ERIC GARCIA,BARCA Academy Pro Miami,FL,FL
42159282,Club Ohio United 15B Black,Club Ohio,OH,OH
42162223,MP 15 Blue,South Carolina Surf SC,SC,SC
42160828,PRFC North Valley 15B Predator,Phoenix Rising FC North Valley,AZ,AZ
42159245,Solano Surf 15B Blue,Solano Surf,CAN,CAN
42161255,NJ Premier B2015 - BLUE,NJ Premier FC,NJ,NJ
42162133,Tuzos Academy Mesa 2015,FBSL,AZ,AZ
42158597,Benicia Arsenal 2015 Boys (Black),Benicia Soccer,CAN,CAN
42160622,ANWSC Wellington SC 2015B Elite White,Wellington SC,FL,FL
42159457,Idaho Juniors 15B Neon,Idaho Juniors FC,ID,ID
42159839,2015 Pre-Academy Green,Brentwood SC (LIJSL),NYE,NYE
42160967,S5A KENDALL U11 ELITE,Soccer 5 Academy ,FL,FL
42161264,2015 (U11) Blue,Miami Futbol Academy Rush ,FL,FL
42158577,Wellington pre ECNL B15,Wellington Soccer Club,FL,FL
42160610,2015 Boys Grey,Pinecrest Premier Soccer,FL,FL
42158838,VUSC 2015 Boys Premier,Vacaville United Soccer Club,CAN,CAN
42162101,INVICTUS SC 15B RED RODRIGUEZ,Invictus SC,TXN,TXN
42162334,Dallas Cosmos 15B Black,Dallas Cosmos Soccer Club,TXN,TXN
42160750,CF 15B Central Black,Concorde Fire ,GA,GA
42159256,NEU 2015 Cobras,Northeast United,PAE,PAE
42160805,Elite 2015 Black,Elite Soccer Academy (FL),FL,FL
42158959,Bayern,Atletico Santa Rosa,CAN,CAN
42159726,CFC Ole B2015 Pre-ECNL,Ole FC,CT,CT
42159258,Monterey Surf 15B Academy I,Monterey Surf Soccer Club,CAN,CAN
42158033,2015 Green,Vereinigung Erzgebirge SC ,PAE,PAE
42161541,Labelle Heat 15/16,Labelle Heat,FL,FL
42163223,Worldwide Soccer Club B2015,Worldwide FC,CAS,CAS
42158558,2015 Boys Grey,Davie United SC,FL,FL
42158744,Doral SC Premier 2015,Doral SC,FL,FL
42158389,HVAA 2015B Fury,Huntingdon Valley AA,PAE,PAE
42161635,2015 LUIS ARAGONES,Atletico de Madrid Academia Miami ,FL,FL
42159186,NBFC 2015 Boys Blue,North Boise FC,ID,ID
42169603,Phoenix United 2015 Academy,Phoenix United Futbol Club,AZ,AZ
42160488,Bethesda Academy II 2015,Bethesda SC,MD,MD
42159224,2015B Pre-MLS Navy,West Florida Flames,FL,FL
42162695,Coachella YSA B15 Desert Xolos,CYSA Premier Academy,CAS,CAS
42160178,Sparta B15 Premier NK,Sparta United,UT,UT
42158284,Strikers FC Ba EA,Strikers FC,CAS,CAS
42158778,B15,Reading Rage Surf,PAE,PAE
42163398,NINJA West Jrs.,NINJA West Football Academy,CAN,CAN
42158880,FCA 15B Blue,Football Club Alliance,CAN,CAN
42160902,GGS 2015 Boys Gold,GGS Soccer Academy,FL,FL
42163023,NE Elite 2015,Tournament Team,PAE,PAE
42176229,Beach FC Pre ECNL B15 - Caldwell,Beach Futbol Club,CAS,CAS
42159073,SF United B15 Lobos Pre ECNL RL,SF United FC,CAN,CAN
42158745,ALBION SC Merced B15 Pre-MLS NEXT,ALBION SC Merced,CAN,CAN
42157988,ALBION SC Santa Monica 2015 Boys EA,ALBION SC Santa Monica,CAS,CAS
42161044,2015 Boys Blue,Arizona Storm F.C.,AZ,AZ
42160856,2015 White 2,South Miami United FC,FL,FL
42158390,Sporting Athletic Club 2015B Black,Sporting Athletic Club,DE,DE
42160566,Silver Lake Soccer Academy 2015 Boys Orange,Silver Lake Soccer Academy,NYE,NYE
42158243,Orange County B15 FC,Legends FC (CA),CAS,CAS
42158574,2015 Boys Elite,"AC Delray, Inc.",FL,FL
42161031,2015B Green North,Baltimore Celtic Soccer Club,MD,MD
42158817,BUSC 2015B Black,Butte United Soccer Club,CAN,CAN
42161938,MIAMI UNITED FC 2015 ELITE,Miami Stars Soccer,FL,FL
42161005,JAM Doral - Cuadrado,,FL,FL
42160152,2015 Southern Homestead Elite,Southern Homestead Soccer Academy ,FL,FL
42158695,CCV Stars 15 Boys North Orange,CCV STARS,AZ,AZ
42159261,2015 Timbers Elite,Boise Timbers | Thorns,ID,ID
42158479,Lincoln FC 15B Blue,Lincoln FC,CAN,CAN
42158081,B2015 LB Diaz,Beach Futbol Club,CAS,CAS
42158349,TFA-SELA B2015 Navy,TOTAL FUTBOL ACADEMY (CA),CAS,CAS
42159475,B15 Red,Albertson Soccer Club,NYE,NYE
42158296,Whitpain 2015 Black Vipers,Whitpain Recreation Assoc,PAE,PAE
42161424,West Valley 2015 Boys Valencia Pre-Premier,RSL-AZ West Valley,AZ,AZ
42161354,2015 Boys White,Pinecrest Premier Soccer,FL,FL
42160203,Avanti SA Pre ECNL B15 Falcon,Avanti Soccer Academy,TXN,TXN
42158281,CASA 2015M Premier,Capital Area SA,PAE,PAE
42159474,B15 Blue,Albertson Soccer Club,NYE,NYE
42162181,Naples Eagles 2015/2016,Bonita Springs Wildcats,FL,FL
42158750,Parkland SC Pre ECNL B15,Parkland Soccer Club,FL,FL
42158831,AC Marin Boys 2015 White,AC Marin,CAN,CAN
42162144,B2015 CUBARSI,BARCA Academy Pro Miami,FL,FL
42158684,2015 Boys,South Tampa Gold,FL,FL
42159648,Tyler FC 15B,Tyler FC,TXN,TXN
42158848,Blau Weiss Gottschee '15 Blue,BW Gottschee Academy,NYE,NYE
42160478,2015 (U11) Grey,Miami Futbol Academy Rush ,FL,FL
42161451,CE 2015B Grasshoppers Black,Columbus Force SC,OH,OH
42158594,2015 Boys Premier,Radnor SC,PAE,PAE
42158206,B2015 Force,FC Golden State,CAS,CAS
42160443,Club Ohio West Pre MLS NEXT 15B,Club Ohio,OH,OH
42175510,South Valley United B15 Black,South Valley United Soccer Club,CAN,CAN
42158196,LFA Blue Star Premier 2015B,Lou Fusz Athletic,MO,MO
42158651,IdeaSport 2015 Pre-MLS 1,IdeaSport Soccer Academy,FL,FL
42159590,NYSC B2015 Blue,New York SC,NYE,NYE
42158882,15B Pre-ECNL RL,Clovis Crossfire ,CAN,CAN
42177108,Strikers FC - Irvine - 2015 Flight One,,CAS,CAS
42159145,Attack B2015,South Shore Futbol Club,NYE,NYE
42158828,PV United 15B,Pajaro Valley Youth Soccer Club,CAN,CAN
42161320,Takoma Dreamers Corintias 2015,Takoma Park Soccer Club,MD,MD
42162214,Supra United FC 2015 Black,Supra United FC,TXN,TXN
42176767,B15E R.Arredondo,Magnifico FC,NV,NV
42162068,Potomac Pre ECNL I 15B,Potomac Soccer Association,MD,MD
42159375,Elk Grove United SC 15B Premier JM,Elk Grove United SC,CAN,CAN
42158738,FPFC 15B TRP REGIONAL,Florida Premier FC,FL,FL
42159299,Legends SC 15B-A,Legends SC Sacramento,CAN,CAN
42158379,TFA-OC B2015,TOTAL FUTBOL ACADEMY (CA),CAS,CAS
42161941,Solar PRE-ECNL B15 Oglesby,Solar SC,TXN,TXN
42164043,Texas Select 2015,Texas Select FC,TXS,TXS
42159411,15B Black,Sacramento United,CAN,CAN
42158513,Chargers TPA B2015 Academy Yellow,Chargers SC TPA,FL,FL
42158654,Mustang SC Man City 15M,Mustang Soccer,CAN,CAN
42158936,Valley United 15B White,Scotts Valley San Lorenzo Valley Youth Soccer Club,CAN,CAN
42163687,B15 Academy I,ALBION SC Silicon Valley,CAN,CAN
42220054,WSA South Arsenal 2015B,West Side Alliance SC,OK,OK
42160485,ALL STARS 2015,Miami Stars Soccer,FL,FL
42159024,Diablo Valley FC 15B Delta,Diablo Valley Futbol Club,CAN,CAN
42158127,Storm B2015,Foothill Storm,CAS,CAS
42159948,15B DGerman,RSL-AZ North,AZ,AZ
42161218,VSA 15B Pre-ECNL I VDA West,Virginia Soccer Association,VA,VA
42159493,Bergen 2015 Boys NEAL White,Cedar Stars Academy North,NJ,NJ
42161338,15B Rayados Blue,RSL-AZ Southern AZ,AZ,AZ
42158104,15B EA,Sand and Surf SC,CAS,CAS
42159286,UC Premier 2015B Red,UC Premier,CAN,CAN
42158760,South Valley United B15 White,South Valley United Soccer Club,CAN,CAN
42159914,2015B Pre-MLS White,West Florida Flames,FL,FL
42161569,Baltimore Bays Bolts 2015 Boys,Baltimore Bays Soccer Club,MD,MD
42158505,SD Surf Academy Boys 2015 (Miller),,CAS,CAS
42162445,CLUB ALIANZA2015 COACHELLA VALLEY,,CAS,CAS
42158621,2015 Boys Blue,Earthquakes - East Valley,CAN,CAN
42161249,McLean Youth Soccer 2015 Boys Green,McLean YS,VA,VA
42158685,Elite Green 15,Granite Bay FC,CAN,CAN
42162175,Kickers FC PRE-NPL,Kickers FC,CAS,CAS
42159638,B2015 Wolverines,Port Washington Soccer Club,NYE,NYE
42164447,Inglewood sc B2015,Inglewood SC,CAS,CAS
42161419,RAYADOS LAS VEGAS SOCCER ACADEMY 2015 WHITE,Rayados Las Vegas Soccer Academy,NV,NV
42159452,2015B Pre-MLS 2,Bay Area Surf,CAN,CAN
42158323,California Rush B15 Nero - Huntington Beach,California Rush Soccer Club,CAS,CAS
42160154,Pflugerville Rayados 2015,Mortega SC,TXS,TXS
42161443,15B Jason Pre MLS Next,RSL-AZ Southern AZ,AZ,AZ
42158475,Wall Elite Lazio,Wall Soccer Club,NJ,NJ
42159101,BUSC 2015 Premier,Ballistic United,CAN,CAN
42160763,SGA 15/16B Premier,SGA,TXS,TXS
42158964,SASA Spirits 2015B 1984,SASA Spirits SC,IL,IL
42171416,CDO 15B Premier,Canyon Del Oro Soccer Club,AZ,AZ
42162010,CCV Stars 15 Boys South Pre-ECNL,CCV STARS,AZ,AZ
42158049,ALBION SC San Diego B15 Academy,ALBION SC San Diego,CAS,CAS
42163321,SLSG IL B 2015 Academy Red,St. Louis Scott Gallagher,IL,IL
42163121,GOTFC 2015 Elite,Miami Athletic Club,FL,FL
42159058,Walnut Creek Surf 15B White,Walnut Creek Surf Soccer Club,CAN,CAN
42161917,EJE7 2015,EJE7 ,FL,FL
42164317,Cobras El Paso 2015,El Paso Premier League,TXS,TXS
42160993,Weston FC 2015 Boys White,Weston FC,FL,FL
42158350,TFA-SELA B2015 White,TOTAL FUTBOL ACADEMY (CA),CAS,CAS
42159360,Cal Magic 2015B East,California Magic Soccer Club,CAN,CAN
42159157,Napoli Gold,Huntington Inter FC ,NYE,NYE
42160337,Alex 2015 Boys White,Alexandria SA,VA,VA
42161182,Mellindo FC 2015 A,,UT,UT
42160217,Dynamos SC 15B Gold,Dynamos SC,AZ,AZ
42158739,15B FPFC PRE-ECNL II,Florida Premier FC,FL,FL
42159051,Lightning 15 Teal,San Juan Soccer Club,CAN,CAN
42159715,Lancaster FC 2015 Boys Academy,Lancaster FC,PAE,PAE
42159412,15B White,Sacramento United,CAN,CAN
42161542,SWFL Soccer Academy 2015-2016,SWFL Soccer Academy,FL,FL
42158111,Little Knights,North Bay Premier Club,CAN,CAN
42160188,Players 15 Boys Academy,Players SC,NV,NV
42164595,VV FC 15B Kit,,TXN,TXN
42158317,White Conshy '15 (B),FC DELCO,PAE,PAE
42158822,Davis Legacy 15B White,Davis Legacy Soccer Club,CAN,CAN
42160487,Indiana Elite FC Pre - ECNL B15,Indiana Elite F.C.,IN,IN
42159025,Diablo Valley FC 15B Delta 2,Diablo Valley Futbol Club,CAN,CAN
42159860,WP Academy National 2015,White Plains YS,NYE,NYE
42159771,EM B15 EDP,East Meadow Soccer Club,NYE,NYE
42160030,Mineola 2015 Red,Mineola (LIJSL),NYE,NYE
42176873,SC Pro Soccer Academy 2015B Team 1,SC Pro Soccer,CAN,CAN
42168602,Weston FC 2015 Future Elite III,Weston FC,FL,FL
42158958,Palo Alto SC 15B Pre-MLS NEXT,Palo Alto SC,CAN,CAN
42161345,Tuzos USA 2015A,FBSL,AZ,AZ
42163956,2015 BOYS ECNL DEV 1,Sporting Jax Soccer Academy,FL,FL
42160724,Florida Fire West Pines United 2015 Black,West Pines United FC,FL,FL
42160339,Alex 2015 Boys Red,Alexandria SA,VA,VA
42161983,AZSC 2015B White,Arizona Soccer Club,AZ,AZ
42160294,Solar Pre ECNL B15 Rodriguez Red,Solar SC,TXN,TXN
42158610,24 APSC 2015B Arsenal,Arden Park Soccer Club,CAN,CAN
42158699,San Ramon FC 15B Pre ECNL-RL,San Ramon FC,CAN,CAN
42158866,Rocklin FC 15B White,Rocklin FC,CAN,CAN
42162516,WYO 307 2015 Boys,Wyoming Soccer Association,WY,WY
42163550,RENO MINEROS,Northern Nevada Soccer Club ,NV,NV
42158979,Burlingame SC 2015B Black,Burlingame Soccer Club,CAN,CAN
42158507,SD Surf Academy Boys 2015 (Penate),San Diego Surf Soccer Club,CAS,CAS
42161051,Pittsburgh Riverhounds Academy North Huntingdon 2015 Boys,Pittsburgh Riverhounds,PAW,PAW
42158599,2015 Boys Red,Clippers FC,CAN,CAN
42161229,Deportivo Cali Pembroke 2015 Mafla,Miami Stars Soccer,FL,FL
42161609,East Valley NSFC 15 Boys Tiggs,East Valley/NSFC,AZ,AZ
42160894,KBSC Elite 2015,Key Biscayne SC,FL,FL
42161707,Deportivo Coras USA 2015,FBSL,AZ,AZ
42158388,PHENOM B2015II,Phenom Soccer Academy,CAS,CAS
42159252,Greenhaven SC 15B,Greenhaven Soccer Club,CAN,CAN
42160738,West Valley 2015 Boys Rose,RSL-AZ West Valley,AZ,AZ
42158833,Sporting Columbia 15B Navy,Sporting Columbia SC,MO,MO
42159702,Blast 2015,Auburndale SC ,NYE,NYE
42161908,ONE FC B2015 BLUE,NEUESPORTS,FL,FL
42176269,Pre MLS NEXT Black '15,FC DELCO,PAE,PAE
42162195,B15 EA,Inland Surf,CAS,CAS
