gotsport_team_id,display_name,club,state,age_group,gender
42158483,Stockton Storm FC 2015 Boys Blue,Stockton Storm Futbol Club,AZ,U11,M
42161526,Phoenix Premier FC 15B Black,Phoenix Premier FC,AZ,U11,M
42158863,Rocklin FC 15B Navy,Rocklin FC,AZ,U11,M
42161788,State 48 FC Avondale 15 Copper,State 48 FC,AZ,U11,M
42159427,ESJFC 15B Academy,East San Jose FC,AZ,U11,M
42159348,Stockton TLJ FC 2015B RED,Stockton TLJ FC,AZ,U11,M
42159806,Sting Attack B15 A Sarmiento Elite,Sting Soccer Club,AZ,U11,M
42160761,2015B Red Pre ECNL,FC America,AZ,U11,M
42160762,State 48 FC 15 Elite,State 48 FC,AZ,U11,M
42158611,JFC 2015 Pre MLS Academy I,Jacksonville FC,AZ,U11,M
42159143,Turlock Academica Jrs 15B Black,Turlock Academica Jrs,AZ,U11,M
42159413,15B Red,Sacramento United,AZ,U11,M
42160701,Lions U11 Red (2015),Miami Futbol Academy Rush ,AZ,U11,M
42160992,Weston FC 2015 Boys Black,Weston FC,AZ,U11,M
42172688,Aventura FC Bold Nation 2015B Gold,AVENTURA F.C. BOLD NATION,AZ,U11,M
42161701,2015B Black,FD Football Club,AZ,U11,M
42158545,15B Black,Philadelphia Ukrainian Nationals,AZ,U11,M
42158176,Anaheim FC B2015 PDA Pre-NPL,Anaheim Futbol Club,AZ,U11,M
42163625,Azzurri Storm 2015 Boys Select,"Azzurri Storm Soccer, Inc.",AZ,U11,M
42170863,WS 2015B Tevez,Weston Select Soccer Club,AZ,U11,M
42158917,2015B Pre-MLS Next,Elk Grove Soccer,AZ,U11,M
42158780,IMCF Academy 2015,Inter Miami CF,AZ,U11,M
42158409,LMSC 2015B Navy,Lower Merion SC,AZ,U11,M
42168603,OCSS South 2015 Pre MLS 1,Orlando City Soccer Club,AZ,U11,M
42160261,Vegas United ‘15 Boys Elite,Vegas United Soccer Club,AZ,U11,M
42160527,SAC Boys 2015 - Pre-MLS NEXT,SAC/BA,AZ,U11,M
42160278,LV Heat Surf B15 Pre NP Henderson,LV Heat Surf SC ,AZ,U11,M
42158652,FHFC 2015 B Blue,Florida Hawks Futbol Club,AZ,U11,M
42160924,2015B BLACK,Miami Breakers FC,AZ,U11,M
42158667,TBU 2015B Pre MLS Next North,Tampa Bay United,AZ,U11,M
42158797,Lamorinda United 2015B Pre-MLS,Lamorinda SC,AZ,U11,M
42158157,Placer United 15B Pre-ECNL,Placer United Soccer Club,AZ,U11,M
42162258,Utah United Academy 2015,Utah United Academy,AZ,U11,M
42159432,Stanford Strikers 15B Pre ECNL RL,Stanford Strikers FC,AZ,U11,M
42158840,AC Marin Boys 2015 Black,AC Marin,AZ,U11,M
42158668,TBU 2015B Pre MLS Next South,Tampa Bay United,AZ,U11,M
42161728,FCDA 2015B Pre - Academy,FC Deportivo Arizona,AZ,U11,M
42158608,Magnifico FC B15P,Nevada Youth Soccer,AZ,U11,M
42161095,XF B15 RCL1,,AZ,U11,M
42159778,CES - Real Betis Academy Miami Elite 2015 A,Coral Estates S.C.,AZ,U11,M
42161269,SWFL B15 PRE-ECNL,Florida Premier FC,AZ,U11,M
42176828,ONE FC B2015 PRE-MLS,NEUESPORTS,AZ,U11,M
42158986,Alameda SC Islanders 15B Red,Alameda Soccer Club,AZ,U11,M
42160693,SYC 2015B Pre-MLS Next II,Springfield SYC Soccer,AZ,U11,M
42161802,Prime United,Tournament Team,AZ,U11,M
42161021,Deportivo Cali Doral 2015 Elite Redin,Miami Stars Soccer,AZ,U11,M
42158478,FBS-FC 2015 Orange,Futbol Beach Soccer Futsal Club,AZ,U11,M
42161336,RAYADOS LAS VEGAS SOCCER ACADEMY 2015 BLUE,Rayados Las Vegas Soccer Academy,AZ,U11,M
42158242,FRAM 15B EA,FRAM SC,AZ,U11,M
42160150,2015-BOYS TEAM BLACK,Miami Shores Soccer Club,AZ,U11,M
42159961,Southeast 2015 Boys Green,Next Level Soccer (AZ),AZ,U11,M
42158655,Greenwood 2015 Pre-MLS Next,Tulsa Greenwood SC,AZ,U11,M
42158807,Marin FC B15Blue,Marin FC,AZ,U11,M
42160958,Scottsdale 15 Sandsharks Select,North Scottsdale Soccer Club,AZ,U11,M
42159724,Northwest 2015 Boys Red,Next Level Soccer (AZ),AZ,U11,M
42160298,VILLARREAL LV U11 EA Yellow-SamA,Villarreal Las Vegas Academy,AZ,U11,M
42160211,LV Heat Surf B15 Pre RP Henderson,LV Heat Surf SC ,AZ,U11,M
42170600,Pre ECNL B15,Davie United SC,AZ,U11,M
42161839,FLFC 2015 Boys Premier,Florida Legends Football Club,AZ,U11,M
42158155,2015 Boys Black - Mbappe,Lehigh Valley United,AZ,U11,M
42159867,Southeast 2015 Boys Blue,Next Level Soccer (AZ),AZ,U11,M
42159004,Roseville SC 2015B Green,Roseville Youth Soccer Club,AZ,U11,M
42158836,Mustang SC 15B Pre-ECNL,Mustang Soccer,AZ,U11,M
42158013,City SC B15 Pre MLS Next- Jones,City SC,AZ,U11,M
42160991,Players 15 Boys Junior Elite,Players SC,AZ,U11,M
42161270,Raiders FC 2015,Raiders FC,AZ,U11,M
42162342,15B Garza Pre MLS Next,RSL-AZ Southern AZ,AZ,U11,M
42159060,North Coast FC 15B Blue,North Coast Futbol Club,AZ,U11,M
42159135,15B Red,Sunnyvale Alliance SC,AZ,U11,M
42159111,Molano Futbol Academy Elite 2015B,Molano Futbol Academy,AZ,U11,M
42162356,Palm Beach Wolves SC 2015,Sports Paradize Soccer Academy,AZ,U11,M
42160916,LFA Blue Star 2015B,Lou Fusz Athletic,AZ,U11,M
42162003,2015 Black,South Miami United FC,AZ,U11,M
42163113,Surf Select Boys 2015,New England Surf,AZ,U11,M
42160946,2015 Boys Merrimack Elite,FC Boston Bolts,AZ,U11,M
42158768,LSC 2015B - Gold (Rangers),Loomis Youth Soccer Club,AZ,U11,M
42160271,Albion SC Santa Ana B15 Academy,ALBION SC Los Angeles,AZ,U11,M
42158620,Doral SC Elite 2015,Doral SC,AZ,U11,M
42158675,FA Euro 2015 Pre-MLS Academy,FA Euro New York,AZ,U11,M
42161620,Sting Attack Waco B15 Gonzalez - ARCHIVE,Sting Soccer Club,AZ,U11,M
42159045,Solar Pre-ECNL 15B Rodriguez,Solar SC,AZ,U11,M
42159440,CVFA 15B Academy II,CV Futbol Academy,AZ,U11,M
42158770,PBG 15 PRE-ECNL BOYS NIKE,Palm Beach Kicks,AZ,U11,M
42162337,One Nation Pre MLS NEXT 2015,One Nation Soccer Academy,AZ,U11,M
42159205,Valley Surf 15B Pre-ECNL II,Valley Surf | America,AZ,U11,M
42162409,West Pines United FC 2015 Elite,West Pines United FC,AZ,U11,M
42161155,Catalyst 15 N,HTX,AZ,U11,M
42163046,AZSC 2015B Navy,Arizona Soccer Club,AZ,U11,M
42161840,CCV Stars 15 Boys West Pre-ECNL,CCV STARS,AZ,U11,M
42161530,PRFC West Valley 15B Pre-Academy,Phoenix Rising FC,AZ,U11,M
42159595,SLSG MO B 2015 Academy Navy,St. Louis Scott Gallagher,AZ,U11,M
42158806,1974 NFC 2015B Pre-ECNL,1974 Newark FC,AZ,U11,M
42158823,Davis Legacy 15B Red,Davis Legacy Soccer Club,AZ,U11,M
42160369,15 Pre-MLS Next #1,FC Tucson Youth Soccer,AZ,U11,M
42159336,JSC 15B Black,JSC Soccer Club,AZ,U11,M
42158622,ECFC 15B Black Pre-ECNL,Monterey County Soccer-ECFC Salinas,AZ,U11,M
42160868,Valencia 2015 Black North,Valencia Soccer Academy,AZ,U11,M
42163968,Silva Select 2015,Silva Select ,AZ,U11,M
42159310,Mexico 15 Elite,Ceres Rush,AZ,U11,M
42162458,Fort Lauderdale FC 15 Boys Blue,Fort Lauderdale Select FC,AZ,U11,M
42160454,CAT 2015 ELITE BOYS,Complete Athlete Training,AZ,U11,M
42158292,2015 Boys,Lehigh Valley Gore FC,AZ,U11,M
42161634,15 Kraze Pre ECNL,Florida Kraze Krush,AZ,U11,M
42162145,B2015 FERMIN,BARCA Academy Pro Miami,AZ,U11,M
42160725,PRFC Scottsdale 15B Pre-Academy,Phoenix Rising FC,AZ,U11,M
42161648,2015 Boys (FL),Naples United FC,AZ,U11,M
42163331,PRFC Southeast Valley 15B Pre-Academy,Phoenix Rising FC,AZ,U11,M
42158953,Santa Clara Sporting 15B Green,Santa Clara Sporting,AZ,U11,M
42159400,Hughson United 2015B,Hughson United,AZ,U11,M
42160732,15 Boys Navy,FC Batavia,AZ,U11,M
42160477,2015 (U11) Black,Miami Futbol Academy Rush ,AZ,U11,M
42158172,2015 Boys APEX,Montgomery United SC,AZ,U11,M
42158730,ANBBK Boynton Beach Knights BBK-2015-B-Black,Boynton Beach Knights,AZ,U11,M
42161570,PSG 15B Blue,Paris Saint-Germain Academy Phoenix,AZ,U11,M
42158500,SD Surf Academy Boys 2015 (Keith),San Diego Surf Soccer Club,AZ,U11,M
42163304,U-11 (2015) San Luis Boys Pre Academy,SC del Sol,AZ,U11,M
42161775,2015 Boys OCLN PreECNL,Orlando City Soccer School Lake Nona,AZ,U11,M
42158687,St Petersburg FC Boys 2015 SPFC,St. Petersburg Football Club,AZ,U11,M
42161507,Excel Soccer Academy 15B Red,Excel Soccer Academy,AZ,U11,M
42160785,2015 CTC Hialeah City FC BLUE,CTC Bandits FC,AZ,U11,M
42159159,Dnamo FC Cruzeiro,Dnamo FC,AZ,U11,M
42175819,Philadelphia Union -SWAG Academy 2015,Philadelphia Union,AZ,U11,M
42161967,Solrise Soccer Academy 2015B Elite,Solrise Soccer Academy,AZ,U11,M
42158125,B2015 Blue,Downey United Football Club,AZ,U11,M
42175389,SD Surf Pre-ECNL Boys 2015 II (Miller),San Diego Surf Soccer Club,AZ,U11,M
42158269,Strikers FC Irvine 2015 Harrison EA,Strikers FC,AZ,U11,M
42161078,PRFC Scottsdale 15B Predator,Phoenix Rising FC,AZ,U11,M
42174881,SD Surf Pre-ECNL Boys 2015 I (Garton),San Diego Surf Soccer Club,AZ,U11,M
42158325,2015 Boys Black,Pipeline Soccer Club,AZ,U11,M
42159558,Sharks Academy B2015,Merrick/South Merrick PAL,AZ,U11,M
42158441,PreECNL 2015,Penn Fusion Soccer Academy,AZ,U11,M
42160973,15B OMolina,RSL-AZ South,AZ,U11,M
42161043,SK Sunblazer U10 Gold,"South Kendall Sunblazer Soccer Club, Inc.",AZ,U11,M
42159015,2015B Pre-ECNL,Los Gatos United Soccer Club,AZ,U11,M
42158263,FC Scorpions B2015 Academy,FC Scorpions (CA),AZ,U11,M
