Rank,Team,Club,Team ID,State,Gender,Age Group,Year,Games Played,Wins,Losses,Ties,W-L-T,Goals For,Goals Against,Goal Differential,GFPG,GAPG,Off_norm,Def_norm,SOS_norm,SOS,Raw Power,PowerScore
104,AZ Arsenal 14 Boys Select,Arizona Arsenal Soccer Club,521384,AZ,M,U12,2014,17,9,8,0,9-8-0,50,47,3,2.875714285714286,2.692857142857143,0.499476937708036,0.3760849657710982,0.0975111910810009,0.3229483838676815,0.3527135115749255,0.317442160417433
105,State 48 FC Avondale 14 White,State 48 FC,614163,AZ,M,U12,2014,20,10,9,1,10-9-1,38,55,-17,1.58,2.85,0.1544460294816927,0.3383024992173471,0.5109074905698842,0.4375159577160051,0.312507570904611,0.312507570904611
106,Sun Warriors 15/16 Boys,Sun Warriors AZFC,126086,AZ,M,U12,2014,4,1,3,0,1-3-0,6,12,-6,1.5,3.0,0.1331431288635282,0.3050067005668538,1.0,0.5858464496061173,0.4143061860363932,0.3107296395272949
107,Madison FC 14 White Boys,Madison FC,620400,AZ,M,U12,2014,7,4,1,2,4-1-2,23,16,7,3.2857142857142856,2.2857142857142856,0.6086543033761291,0.4907876060804755,0.0,0.2271131083869002,0.4122907160462267,0.30921803703467
108,Phoenix Premier FC 14B White,Phoenix Premier FC,320364,AZ,M,U12,2014,20,7,10,3,7-10-3,48,59,-11,2.2,2.81,0.3195435092724679,0.3476241576321833,0.2150081487046477,0.3555111847107077,0.3039399122654062,0.3039399122654062
109,CCV Stars 14 Boys North Navy,CCV STARS,128639,AZ,M,U12,2014,20,8,11,1,8-11-1,48,64,-16,2.28,3.48,0.3408464098906324,0.2134432542779973,0.3560267259991562,0.3945927059728703,0.2968653055630252,0.2968653055630252
110,AZ Arsenal 14 Boys Teal MC,Arizona Arsenal Soccer Club,505309,AZ,M,U12,2014,15,6,9,0,6-9-0,29,41,-12,1.98,2.66,0.2609605325725154,0.3843950437972647,0.3471571997035508,0.3921346285538712,0.3287976410645552,0.2959178769580997
111,RSL-AZ Yuma 14 Boys Rodriguez,RSL-AZ Yuma,493827,AZ,M,U12,2014,4,3,1,0,3-1-0,13,11,2,3.25,2.75,0.5991440798858771,0.3619795115910311,0.135291720215754,0.3334187813217133,0.3942442768577791,0.2956832076433343
112,CDO 14B Elite,Canyon Del Oro Soccer Club,250767,AZ,M,U12,2014,20,11,4,5,11-4-5,61,55,6,2.51,3.13,0.4020922491678554,0.2781067050469638,0.1570100544304053,0.3394377439057423,0.2943271214381585,0.2943271214381585
113,PSC 2014B,Paladin Soccer Club,654997,AZ,M,U12,2014,6,1,4,1,1-4-1,6,11,-5,1.0,1.8333333333333333,0.0,0.6568975921867726,0.5730501366443145,0.4547380088133783,0.3895991312311183,0.2921993484233387
114,AZ Arsenal 14 Boys Teal CB,Arizona Arsenal Soccer Club,254487,AZ,M,U12,2014,20,5,12,3,5-12-3,40,91,-51,2.24,4.85,0.33019495958155,0.0347510585290896,0.5661839181183264,0.4528351228925139,0.2784007363210714,0.2784007363210714
115,Bala FC - 2014B,Bala FC,614083,AZ,M,U12,2014,3,1,1,1,1-1-1,7,9,-2,2.333333333333333,3.0,0.3550483436360754,0.3050067005668538,0.460203573314388,0.4234640061340715,0.3625715349046954,0.2719286511785216
116,Northwest 2014 Boys,Next Level Soccer (AZ),506850,AZ,M,U12,2014,20,3,16,1,3-16-1,30,70,-40,1.34,3.5,0.0905373276271992,0.2100520155265582,0.6215503462820556,0.4681792306051581,0.2681085902531729,0.2681085902531729
117,Jedi 14B,Renegades Soccer Club,654696,AZ,M,U12,2014,3,1,2,0,1-2-0,3,6,-3,1.0,2.0,0.0,0.5898707556877403,0.5410845411467075,0.445879146923938,0.3564726686695795,0.2673545015021846
118,Milan,AYSO 350 Alliance,413583,AZ,M,U12,2014,20,7,10,3,7-10-3,28,61,-33,1.4,2.99,0.1065145030908225,0.3071485355677626,0.4481524551524792,0.4201241906309419,0.2671617532850893,0.2671617532850893
119,CCV Stars 14 Boys West Orange,CCV STARS,368675,AZ,M,U12,2014,17,5,8,4,5-8-4,27,44,-17,1.6185714285714283,2.482857142857143,0.1647170708511649,0.4318985643327613,0.270490021370415,0.3708872864119991,0.2913533685365761,0.2622180316829185
120,14B Blue #1,FC Tucson Youth Soccer,515152,AZ,M,U12,2014,16,5,10,1,5-10-1,27,35,-8,1.67,2.23,0.1784117926771278,0.5087330062415436,0.1188689904733365,0.3288674287699809,0.2873965472128359,0.2586568924915523
121,14B Felix Nogales,RSL-AZ Southern AZ,552776,AZ,M,U12,2014,12,4,5,3,4-5-3,33,39,-6,2.79,3.61,0.4766524013314311,0.1919261754320983,0.1221958435220682,0.3297894241599114,0.2812659271668406,0.2531393344501566
122,Deportivo Mexico 14B,Renegades Soccer Club,558128,AZ,M,U12,2014,13,3,7,3,3-7-3,26,41,-15,1.97,3.3800000000000003,0.2582976699952448,0.2308640012888146,0.363758236269073,0.3967353965942013,0.2743751857987905,0.2469376672189115
123,Phoenix Premier FC 14B Pre MLS Next AD,Phoenix Premier FC,619879,AZ,M,U12,2014,8,2,6,0,2-6-0,14,34,-20,1.75,4.25,0.1997146932952923,0.1015323754805062,0.8588585641668507,0.5339462120971186,0.3276822918326371,0.2457617188744778
124,PRFC Desert Foothills 14B Predator,Phoenix Rising Desert Foothills,255975,AZ,M,U12,2014,20,2,15,3,2-15-3,32,83,-51,1.6800000000000002,4.050000000000001,0.1810746552543984,0.1273192206399641,0.5043574914303317,0.4357007080123795,0.2417370763179689,0.2417370763179689
125,14B Rueda,RSL-AZ South,251060,AZ,M,U12,2014,20,5,14,1,5-14-1,24,74,-50,1.4,3.54,0.1065145030908225,0.203359174290238,0.4887363230657351,0.431371498093421,0.2383867097843315,0.2383867097843315
126,2014 Boys Blue,Thunderbird FC,385776,AZ,M,U12,2014,20,6,9,5,6-9-5,37,51,-14,1.79,2.53,0.2103661436043746,0.4187909265499841,0.005051426001287,0.2973243253628868,0.2371967578082063,0.2371967578082063
127,14B Laroussi,RSL-AZ South,364430,AZ,M,U12,2014,11,1,10,0,1-10-0,27,66,-39,2.58,5.77,0.4207322872087493,0.0,0.3988920787620462,0.4064722982049941,0.2574976273937925,0.2317478646544133
128,PRFC Scottsdale 14B Copa,Phoenix Rising FC,179070,AZ,M,U12,2014,20,3,15,2,3-15-2,41,87,-46,2.23,3.97,0.3275320970042795,0.1382150707073407,0.2222639654572142,0.3575220428694705,0.2302211792561611,0.2302211792561611
129,PRFC North Valley 14B Copa,Phoenix Rising FC North Valley,405148,AZ,M,U12,2014,20,4,15,1,4-15-1,38,96,-58,1.7,4.92,0.1864003804089395,0.0278416739627479,0.5628185358053597,0.4519024496026335,0.2210454043407227,0.2210454043407227
130,NOS Santos 14 Boys White,NOS Santos SC,136657,AZ,M,U12,2014,20,5,12,3,5-12-3,47,74,-27,2.13,3.86,0.3009034712315738,0.1537825725397165,0.1780160914842321,0.3452593023096284,0.2150112892852919,0.2150112892852919
131,CCV Stars 14 Boys South Orange,CCV STARS,128664,AZ,M,U12,2014,20,3,14,3,3-14-3,40,75,-35,2.12,3.77,0.2982406086543033,0.1670536675837829,0.1505569260584063,0.3376493407143596,0.2121245851038839,0.2121245851038839
132,Tuzos Chandler 2014 boys,FBSL,615646,AZ,M,U12,2014,5,1,4,0,1-4-0,12,26,-14,2.4,5.2,0.3728007608178791,0.0017643193091358,0.5662731153586965,0.4528598427834171,0.2820301838873047,0.2115226379154785
133,14B Midhaan,RSL-AZ North,365125,AZ,M,U12,2014,17,5,9,3,5-9-3,51,76,-25,2.9185714285714286,4.261428571428572,0.5108892058963385,0.1001180548934276,0.0,0.2945279990006195,0.2291277227961622,0.206214950516546
134,14 Boys Navy,FC Batavia,197912,AZ,M,U12,2014,20,4,14,2,4-14-2,27,73,-46,1.1700000000000002,3.99,0.0452686638135996,0.1354583551341817,0.547562117870174,0.4476743256677765,0.2046631615729615,0.2046631615729615
135,Tuzos Nogales 2014,FBSL,314990,AZ,M,U12,2014,3,0,3,0,0-3-0,2,7,-5,0.6666666666666666,2.333333333333333,0.0,0.4759251336393857,0.3681369950910151,0.3979489144106817,0.2705061738875234,0.2028796304156425
136,Spartak Academy 2014 Boys,Spartak Academy,647534,AZ,M,U12,2014,4,1,3,0,1-3-0,9,21,-12,2.25,5.25,0.3328578221588206,0.0,0.543650119206018,0.4465901645458594,0.2607342131110622,0.1955506598332967
137,Hustle Hard 2014- Boys,FBSL,310009,AZ,M,U12,2014,20,4,14,2,4-14-2,22,72,-50,1.06,3.4799999999999995,0.0159771754636234,0.2134432542779974,0.4227935040334956,0.4130962769591643,0.1917310371614817,0.1917310371614817
138,CAC 14/15B (Conroy),Coronado Athletic Club,382297,AZ,M,U12,2014,20,5,13,2,5-13-2,49,79,-30,2.35,4.09,0.3594864479315263,0.1219997339174827,0.0033590734823857,0.2968553111931268,0.1813970865639748,0.1813970865639748
139,14B Geoff,RSL-AZ Southern AZ,443374,AZ,M,U12,2014,20,5,13,2,5-13-2,34,73,-39,1.58,3.79,0.1544460294816927,0.1640614373859558,0.2058085936599711,0.3529616439836721,0.170892448490361,0.170892448490361
140,Synergy FC 14 B,Synergy FC AZ,371140,AZ,M,U12,2014,20,2,14,4,2-14-4,25,74,-49,1.0699999999999998,3.3000000000000003,0.0186400380408939,0.2453839913555053,0.2770264774542537,0.3726987828284339,0.1682656303872131,0.1682656303872131
141,VSC 2014 Boys White,Vail SC,305500,AZ,M,U12,2014,11,1,9,1,1-9-1,14,36,-22,1.44,3.44,0.1171659533999048,0.220317386882266,0.1770851644346045,0.345001307611472,0.1708275437144651,0.1537447893430186
142,Pima Surf 2014 B White,Pima County Surf Soccer Club,403789,AZ,M,U12,2014,1,0,1,0,0-1-0,2,4,-2,2.0,4.0,0.2662862577270565,0.1340882674943218,0.1593977986029436,0.3400994771074096,0.1899898966087528,0.1424924224565646
143,Milan B,AYSO 350 Alliance,663478,AZ,M,U12,2014,3,0,3,0,0-3-0,1,34,-33,0.3333333333333333,11.333333333333334,0.0,0.0,0.7498476309318435,0.5037352059533342,0.1874619077329608,0.1405964307997206
144,FC Sonora 14' B Dynamo,FC Sonora,366702,AZ,M,U12,2014,11,1,9,1,1-9-1,20,50,-30,1.4,4.19,0.1065145030908225,0.1090597493565328,0.2795618833431063,0.3734014386136108,0.1507308155035349,0.1356577339531814
145,AZSC 2014/2015B Navy,Arizona Soccer Club,621422,AZ,M,U12,2014,4,1,3,0,1-3-0,9,17,-8,2.25,4.25,0.3328578221588206,0.1015323754805062,0.0,0.290610949989018,0.1628963241147475,0.1221722430860606
146,East Valley NSFC 14 Boys Tiggs,East Valley/NSFC,370050,AZ,M,U12,2014,20,0,19,1,0-19-1,25,139,-114,1.39,7.49,0.103851640513552,0.0,0.3242791152705222,0.3857942558146138,0.1200141440102125,0.1200141440102125
147,AZ Inferno 14 Boys Blue,AZ Inferno,641417,AZ,M,U12,2014,7,2,5,0,2-5-0,14,27,-13,2.0,3.857142857142857,0.2662862577270565,0.1541963184440314,0.0,0.1973519460389837,0.157680966064158,0.1182607245481184
148,FSC United 14 Boys,Flagstaff SC,121797,AZ,M,U12,2014,20,2,17,1,2-17-1,29,129,-100,1.15,6.99,0.0399429386590585,0.0,0.4050386838085864,0.4081757523202259,0.1162382729492935,0.1162382729492935
149,SCUM East Valley 14B Ninjas,SC Union Maricopa Academy,492537,AZ,M,U12,2014,6,0,6,0,0-6-0,1,66,-65,0.1666666666666666,11.0,0.0,0.0,0.3666130984183131,0.3975265856554344,0.0916532746045782,0.0687399559534337
150,Tuzos Titanes 2014,FBSL,519547,AZ,M,U12,2014,19,3,13,3,3-13-3,27,77,-50,1.1933333333333334,4.326666666666666,0.0514820098272309,0.0921608421098209,0.0543256653280308,0.3109800597269011,0.0674474858084021,0.0607027372275619
151,ESC - Boys Chandler 15/16,Epic Soccer Club,503477,AZ,M,U12,2014,3,0,3,0,0-3-0,1,29,-28,0.3333333333333333,9.666666666666666,0.0,0.0,0.3038230794946653,0.3801251233325572,0.0759557698736663,0.0569668274052497
152,ASA 014B Magic,Arizona Soccer Academy,526726,AZ,M,U12,2014,11,0,11,0,0-11-0,6,64,-58,0.42,6.32,0.0,0.0,0.2239773515082616,0.3579968862175526,0.0559943378770654,0.0503949040893588
153,PSC 2014/15B,Paladin Soccer Club,490652,AZ,M,U12,2014,3,1,2,0,1-2-0,3,13,-10,1.0,4.333333333333333,0.0,0.0913586592261888,0.0,0.2795102907909935,0.0342594972098208,0.0256946229073656
