Rank,Team,Club,Team ID,State,Gender,Age Group,Year,Games Played,Wins,Losses,Ties,W-L-T,Goals For,Goals Against,Goal Differential,GFPG,GAPG,Off_norm,Def_norm,SOS_norm,SOS,Raw Power,PowerScore
22,Southeast 2014 Boys Black,Next Level Soccer (AZ),238248,AZ,M,U12,2014,19,12,4,3,12-4-3,66,31,35,3.373333333333333,1.6566666666666667,0.631986051672214,0.7371279585858649,0.6697855110970377,0.4815469985650044,0.680864131621039,0.6127777184589351
23,Brazas 2014 Boys Black Marcos,Brazas Futebol Club,138967,AZ,M,U12,2014,20,10,6,4,10-6-4,57,37,20,3.19,1.83,0.5831669044222537,0.6583186558581301,0.5772108877929181,0.4558911085510187,0.6098598070533734,0.6098598070533734
24,Dynamos SC 14B SC,Dynamos SC,126725,AZ,M,U12,2014,20,11,4,5,11-4-5,48,30,18,2.52,1.62,0.4047551117451259,0.7551353983532928,0.6739390246125742,0.4826980924838652,0.6034436974400506,0.6034436974400506
25,Phoenix Premier FC 14B X-Factor,Phoenix Premier FC,250009,AZ,M,U12,2014,20,14,4,2,14-4-2,88,34,54,4.0,1.62,0.7988587731811695,0.7551353983532928,0.0810790751848471,0.3183944300617466,0.6030175831216352,0.6030175831216352
26,Southeast 2014 Boys Red,Next Level Soccer (AZ),314607,AZ,M,U12,2014,20,14,6,0,14-6-0,64,29,35,2.76,1.55,0.4686638135996194,0.7909512651848369,0.5204677352506464,0.4401654590294554,0.6024725883568327,0.6024725883568327
27,West Valley 2014 Boys Martinez Pre-Elite64,RSL-AZ West Valley,385131,AZ,M,U12,2014,20,10,10,0,10-10-0,46,38,8,2.58,1.9,0.4207322872087491,0.6291623494975179,0.7861085691462766,0.5137844679371205,0.5902376310514192,0.5902376310514192
28,FC ARIZONA PRE ECNL RL B14,FC Arizona,633380,AZ,M,U12,2014,4,3,0,1,3-0-1,12,4,8,3.0,1.0,0.532572515454113,1.0,0.8456467386858204,0.530284721190353,0.7861263779667474,0.5895947834750606
29,Phoenix Premier FC 14B Black,Phoenix Premier FC,57042,AZ,M,U12,2014,20,13,6,1,13-6-1,75,47,28,3.37,2.6099999999999994,0.631098430813124,0.3973310619218226,0.8133129985775607,0.5213238326622611,0.5889893094199952,0.5889893094199952
30,2014 Boys Yellow,Thunderbird FC,385775,AZ,M,U12,2014,20,10,7,3,10-7-3,56,43,13,3.2,2.37,0.5858297669995243,0.4647672537355408,0.6954054200852167,0.4886472334210482,0.5678252377969536,0.5678252377969536
31,FC Elite Arizona 2014 Boys - Martinez,FC Elite Arizona,631446,AZ,M,U12,2014,6,6,0,0,6-0-0,43,3,40,7.166666666666667,0.5,1.0,1.0,0.0201118608088744,0.3014981350441525,0.7550279652022186,0.5662709739016639
32,Excel Soccer Academy 14B Red,Excel Soccer Academy,188448,AZ,M,U12,2014,20,11,9,0,11-9-0,49,43,6,2.71,2.21,0.4553495007132666,0.5153268907962933,0.795480420734052,0.5163817584794053,0.562873751999598,0.562873751999598
33,PRFC Desert Foothills 14B Pre-Academy,Phoenix Rising Desert Foothills,87271,AZ,M,U12,2014,20,10,10,0,10-10-0,62,47,15,2.74,2.49,0.4633380884450784,0.4298897963648355,0.9015588258756246,0.5457800514244449,0.5603501632726239,0.5603501632726239
34,SFC XOLOS ARIZONA 2014,Spartans FC (AZ),584054,AZ,M,U12,2014,11,8,2,1,8-2-1,43,26,17,4.390000000000001,2.28,0.9027104136947216,0.4926001027196327,0.3883857025712822,0.4035605884688357,0.6203378692982034,0.5583040823683831
35,14B GSA,RSL-AZ North,404655,AZ,M,U12,2014,20,12,5,3,12-5-3,55,45,10,2.53,2.35,0.4074179743223965,0.4708230908611011,0.8838764902687956,0.5408796149837923,0.5503095220110106,0.5503095220110106
36,Real Arizona 2014,Real Arizona FC,170375,AZ,M,U12,2014,20,12,7,1,12-7-1,78,50,28,3.9,2.46,0.772230147408464,0.4383823564327025,0.3655970966751846,0.3972450135782779,0.5453789631092335,0.5453789631092335
37,Monsters 2014,United Latinos SC,380328,AZ,M,U12,2014,8,7,1,0,7-1-0,46,11,35,5.75,1.375,1.0,0.8897276558149895,0.0,0.2466526814969016,0.708647870930621,0.5314859031979657
38,Excel Soccer Academy 14B Black,Excel Soccer Academy,419768,AZ,M,U12,2014,16,9,5,2,9-5-2,55,33,22,3.29,2.11,0.6097955301949595,0.5495684456384832,0.6141726851110872,0.4661346048015941,0.5883046622153127,0.5294741959937815
39,CCV Stars 14 Boys North Pre-ECNL,CCV STARS,113537,AZ,M,U12,2014,12,5,5,2,5-5-2,21,20,1,1.79,1.56,0.2103661436043746,0.78571479358335,0.857346191387894,0.5335270770437726,0.5878668992923702,0.5290802093631333
40,14B Moyer,RSL-AZ South,251057,AZ,M,U12,2014,20,8,10,2,8-10-2,41,49,-8,2.43,2.1500000000000004,0.3807893485496907,0.5356109356647143,0.7168431112385204,0.4945884193179233,0.522860884390032,0.522860884390032
41,Phoenix Premier FC 14B SW Black,Phoenix Premier FC,502513,AZ,M,U12,2014,20,8,11,1,8-11-1,66,61,5,3.66,2.43,0.7083214455539704,0.4470234744026311,0.3530281344444573,0.3937616841185173,0.5215113785948399,0.5215113785948399
42,CCV Stars 14 Boys South Pre-ECNL,CCV STARS,128663,AZ,M,U12,2014,20,9,9,2,9-9-2,46,48,-2,2.46,2.3200000000000003,0.3887779362815025,0.4800436500989647,0.7629927767214363,0.5073782174240662,0.5165562890730343,0.5165562890730343
43,CDO 14B Premier,Canyon Del Oro Soccer Club,250765,AZ,M,U12,2014,20,9,8,3,9-8-3,47,45,2,2.45,2.43,0.386115073704232,0.4470234744026309,0.8147340915356593,0.5217176706637711,0.5161104784239885,0.5161104784239885
44,Southeast 2014 Boys Green,Next Level Soccer (AZ),514142,AZ,M,U12,2014,20,8,8,4,8-8-4,49,46,3,2.87,2.26,0.4979553019495956,0.4989938792074576,0.5384168924470097,0.4451398417105583,0.5084601660456474,0.5084601660456474
45,14B Velasco,RSL-AZ South,82310,AZ,M,U12,2014,20,9,9,2,9-9-2,55,49,6,2.77,2.35,0.47132667617689,0.4708230908611011,0.5855346016216965,0.4581979209243997,0.4996898130446708,0.4996898130446708
46,14B NL #2,FC Tucson Youth Soccer,515151,AZ,M,U12,2014,10,7,3,0,7-3-0,28,12,16,2.8,1.2,0.4793152639087016,1.0,0.0,0.2699012385496533,0.5547432239657631,0.4992689015691868
47,AZEV B2014 (NAVY),AYSO United (AZ),342294,AZ,M,U12,2014,20,12,7,1,12-7-1,56,39,17,2.84,2.05,0.4899667142177839,0.571191145515879,0.3751954641766494,0.3999050801509758,0.4917330634442859,0.4917330634442859
48,U-12 (2014) Boys Yuma Pre Academy,SC del Sol,384230,AZ,M,U12,2014,10,4,6,0,4-6-0,22,24,-2,2.2,2.4,0.3195435092724679,0.4558170826896761,0.985124416774192,0.5689392016594311,0.537041326179352,0.4833371935614168
49,Tuzos Royals 2014,FBSL,365177,AZ,M,U12,2014,20,10,9,1,10-9-1,46,41,5,1.7400000000000002,2.1100000000000003,0.1970518307180218,0.549568445638483,0.811522043114215,0.5208274919292657,0.482863114412243,0.482863114412243
50,14B Negrete Pre MLS Next,RSL-AZ Southern AZ,178324,AZ,M,U12,2014,16,7,6,3,7-6-3,53,40,13,3.41,2.28,0.6417498811222061,0.4926001027196327,0.3964030731595351,0.4057825016743354,0.5244820122305733,0.472033811007516
51,PRFC North Valley 14B PreAcademy,Phoenix Rising FC North Valley,68446,AZ,M,U12,2014,20,11,3,6,11-3-6,44,37,7,2.2,2.19,0.3195435092724679,0.522003457289034,0.6218237190187981,0.4682549924134848,0.4710360422152627,0.4710360422152627
52,Playmaker Futbol Academy PRE-ECNL B14,Playmaker Futbol Academy,78337,AZ,M,U12,2014,15,7,7,1,7-7-1,38,37,1,2.54,2.48,0.410080836899667,0.4327043804486304,0.810733165030739,0.5206088643116559,0.5187277477632963,0.4668549729869667
53,CCV Stars 14 Boys North Orange,CCV STARS,128638,AZ,M,U12,2014,20,8,10,2,8-10-2,32,50,-18,1.52,2.46,0.1384688540180693,0.4383823564327025,1.0,0.6118845290130811,0.4663192039190394,0.4663192039190394
54,CCV Stars 14 Boys West Pre-ECNL,CCV STARS,128680,AZ,M,U12,2014,11,7,3,1,7-3-1,40,28,12,4.18,2.88,0.8467902995720397,0.331437386093534,0.27537860495435,0.3722420957353013,0.5106800333631777,0.4596120300268599
55,FC Arizona 14B Black GFC Suenaga U12,FC Arizona,371742,AZ,M,U12,2014,7,3,3,1,3-3-1,34,20,14,4.857142857142857,2.857142857142857,1.0,0.3366582622469523,0.4309530601637474,0.4153575950954852,0.608985113383544,0.456738835037658
