Rank,Team,Club,Team ID,State,Gender,Age Group,Year,Games Played,Wins,Losses,Ties,W-L-T,Goals For,Goals Against,Goal Differential,GFPG,GAPG,Off_norm,Def_norm,SOS_norm,SOS,Raw Power,Power Score
81,Pumas Tucson 14B,Renegades Soccer Club,450534,AZ,M,U12,2025,3,2,1,0,2-1-0,6,6,0,2.0,2.0,0.25974025974025966,0.6435117547720332,0.7004674912113434,0.5050261028800728,0.5138363782449457,0.38537728368370927
82,PRFC North Valley 14B Predator,Phoenix Rising FC North Valley,82493,AZ,M,U12,2025,30,6,19,5,6-19-5,55,95,-40,2.255,3.2399999999999998,0.3259740259740258,0.3023749636036627,0.5895104299869374,0.4753432774664959,0.3830084785883675,0.3830084785883675
83,2014 Rush Boys,Phoenix Rush,370621,AZ,M,U12,2025,19,10,6,3,10-6-3,53,46,7,3.1599999999999997,2.3766666666666665,0.5610389610389608,0.5133924513737993,0.08956566408204654,0.3415998902585957,0.4253031956752967,0.382772876107767
84,Amore 2014 Boys,Amore Soccer,296013,AZ,M,U12,2025,25,10,9,6,10-9-6,73,81,-8,2.81,3.2699999999999996,0.47012987012986995,0.2965763855260861,0.3728301317494834,0.4173777600657034,0.38072237880835436,0.38072237880835436
85,14B Antunez Pre-MLS Next,RSL-AZ North,80225,AZ,M,U12,2025,16,3,11,2,3-11-2,25,48,-23,1.49,3.0599999999999996,0.12727272727272723,0.3389659907828541,0.990045520644601,0.5824929535376526,0.4223508994319933,0.380115809488794
86,14B Hinds,RSL-AZ Southern AZ,373077,AZ,M,U12,2025,19,12,4,3,12-4-3,57,36,21,2.5233333333333334,2.1533333333333333,0.39567099567099556,0.5867913362445499,0.208071997561703,0.37330226925334536,0.4204413738587553,0.37839723647287976
87,FC Elite Arizona 2014 Boys - Urbina,FC Elite Arizona,631457,AZ,M,U12,2025,10,4,4,2,4-4-2,16,30,-14,1.6,3.0,0.1558441558441558,0.3518948203861682,0.9193498333367585,0.5635807029724769,0.42023957442056115,0.37821561697850503
88,PRFC West Valley 14B Pre-Academy,Phoenix Rising FC,120243,AZ,M,U12,2025,15,5,10,0,5-10-0,23,40,-17,1.5,2.6999999999999997,0.12987012987012983,0.4228286692908381,0.8474977443426637,0.5443590960762825,0.4191364857710289,0.377222837193926
89,Deportivo Mexico 14B,Renegades Soccer Club,558128,AZ,M,U12,2025,10,2,5,3,2-5-3,21,24,-3,2.1,2.4,0.28571428571428564,0.5062802562375085,0.4712227280161946,0.4436993859698593,0.4148036352359714,0.3733232717123743
90,14B Hermanson AL,RSL-AZ Southern AZ,390403,AZ,M,U12,2025,28,8,17,3,8-17-3,53,76,-23,1.8433333333333333,2.76,0.21904761904761896,0.4077363610132487,0.5462462998693317,0.4637694163099363,0.3716055674901583,0.3716055674901583
91,Eagles F.C.,Renegades Soccer Club,432207,AZ,M,U12,2025,19,5,9,5,5-9-5,22,41,-19,1.1366666666666667,1.9166666666666665,0.0354978354978355,0.6768394044161321,0.5785432317570625,0.47240937288447854,0.4117622729070035,0.37058604561630315
92,America 14b,Renegades Soccer Club,547554,AZ,M,U12,2025,7,2,5,0,2-5-0,23,25,-2,3.2857142857142856,3.5714285714285716,0.5936920222634506,0.2425384699914688,0.6879289631440529,0.5016718419122926,0.4855686753816081,0.36417650653620603
93,East Valley NSFC 14 Boys Aguirre,East Valley/NSFC,78764,AZ,M,U12,2025,20,7,12,1,7-12-1,44,70,-26,1.88,3.58,0.22857142857142845,0.24110585404743345,0.7484700119283361,0.5178675608831141,0.36324648396415726,0.36324648396415726
94,14 Cityzens,Scottsdale City FC,505150,AZ,M,U12,2025,38,12,21,5,12-21-5,67,93,-26,2.0814285714285714,2.8935714285714282,0.2808905380333951,0.3758083719676178,0.4649318738766127,0.4420164797801412,0.362495059719533,0.362495059719533
95,14B Rayados Blue AL,RSL-AZ Southern AZ,513291,AZ,M,U12,2025,7,0,2,5,0-2-5,16,24,-8,2.2857142857142856,3.4285714285714284,0.3339517625231909,0.26723183943543316,1.0,0.7426860492588538,0.47544385073448403,0.356582888050863
96,Tuzos 2014 Nava,FBSL,498283,AZ,M,U12,2025,10,4,6,0,4-6-0,38,48,-10,3.8,4.8,0.727272727272727,0.08038939871656973,0.35781948871429126,0.4133621679831228,0.39232816942455906,0.35309535248210316
97,La Academia 14B,La Academia FC,389989,AZ,M,U12,2025,9,2,5,2,2-5-2,40,39,1,4.444444444444445,4.333333333333333,0.8946608946608944,0.1331821195967694,0.3398979729383054,0.4085678699181319,0.47041562358120026,0.3528117176859002
98,Select 14B,Yavapai Soccer,208947,AZ,M,U12,2025,19,7,6,6,7-6-6,48,65,-17,2.6999999999999997,3.486666666666667,0.4415584415584413,0.25700015674500265,0.516430429257647,0.45579318413368464,0.39106708167820325,0.35196037351038295
99,Kingman SC B14 McGill,Kingman SC,195296,AZ,M,U12,2025,16,7,7,2,7-7-2,38,41,-3,2.54,2.29,0.39999999999999986,0.5406924101253452,0.11978937644815456,0.3496852267627678,0.382706997909043,0.3444362981181387
100,PRFC Southeast Valley 14B Pre-Academy,Phoenix Rising FC,260977,AZ,M,U12,2025,19,5,12,2,5-12-2,39,70,-31,1.8499999999999999,3.91,0.22077922077922066,0.18975342916958737,0.9126163148902047,0.5617793768535025,0.38210382245335417,0.34389344020801876
101,State 48 FC Avondale 14 White,State 48 FC,614163,AZ,M,U12,2025,27,12,12,3,12-12-3,46,64,-18,1.3876470588235295,2.6999999999999997,0.10068754774637124,0.4228286692908381,0.5742530622287447,0.4712616824923713,0.3398818469461397,0.3398818469461397
102,CCV Stars 14 Boys North Navy,CCV STARS,128639,AZ,M,U12,2025,13,5,7,1,5-7-1,35,43,-8,2.87,3.13,0.48571428571428554,0.32435714377345937,0.27022388594358393,0.3899289141158329,0.37133275754380035,0.3341994817894203
103,14B Felix Nogales,RSL-AZ Southern AZ,552776,AZ,M,U12,2025,10,4,4,2,4-4-2,27,28,-1,2.7,2.8,0.44155844155844143,0.3979395994997258,0.2187173767921827,0.3761500819988594,0.3694911095948583,0.3325419986353725
104,PSC 2014B,Paladin Soccer Club,654997,AZ,M,U12,2025,6,1,4,1,1-4-1,6,11,-5,1.0,1.8333333333333333,0.0,0.7121275040392957,0.6997989608001693,0.5048472600803485,0.4419975542147782,0.33149816566108364
105,Phoenix Valley Soccer Club boys 2014,Phoenix Valley,492657,AZ,M,U12,2025,14,4,8,2,4-8-2,25,50,-25,1.7799999999999998,3.54,0.20259740259740247,0.24783767639826038,0.7550652086091328,0.5196318836714436,0.3576794567756568,0.32191151109809113
106,Madison FC 14 White Boys,Madison FC,620400,AZ,M,U12,2025,7,4,1,2,4-1-2,23,16,7,3.2857142857142856,2.2857142857142856,0.5936920222634506,0.5420797775943411,0.0,0.25243012406955795,0.4259144249466719,0.3194358187100039
107,14B NL #2,FC Tucson Youth Soccer,515151,AZ,M,U12,2025,6,3,3,0,3-3-0,14,10,4,2.3333333333333335,1.6666666666666667,0.34632034632034625,0.7893202219649655,0.0,0.30915503310548104,0.42586521310699194,0.31939890983024394
