Rank,Team,PowerScore_adj,PowerScore,PenaltyGP,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status
40,CDO 14B Premier,71.29,71.29,0.0,69.59,74.12,69.59,20,Full Sample
41,Dynamos SC 14B SC,71.21,71.21,0.0,58.59,92.24,58.59,20,Full Sample
42,14B GSA,69.83,69.83,0.0,67.65,73.47,67.65,20,Full Sample
43,2014 Boys Yellow,69.59,69.59,0.0,75.41,59.88,75.41,20,Full Sample
44,U-12 (2014) Boys Yuma Pre Academy,69.42,72.42,3.0,66.35,82.53,66.35,10,Limited Sample (10–19 GP)
45,Phoenix Premier FC 14B SW Black,69.11,69.11,0.0,83.18,45.65,83.18,20,Full Sample
46,FC Arizona 14B Black GFC Suenaga U12,68.36,74.36,6.0,95.47,39.18,95.47,7,Provisional (<10 GP)
47,West Valley 2014 Boys Martinez Pre-Elite64,67.16,67.16,0.0,59.88,79.29,59.88,20,Full Sample
48,Excel Soccer Academy 14B Red,67.08,67.08,0.0,64.41,71.53,64.41,20,Full Sample
49,PRFC West Valley 14B Predator,65.38,65.38,0.0,83.82,34.65,83.82,20,Full Sample
50,Playmaker Futbol Academy PRE-ECNL B14,65.02,66.52,1.5,67.0,65.71,67.0,15,Limited Sample (10–19 GP)
51,14B Velasco,64.57,64.57,0.0,65.06,63.76,65.06,20,Full Sample
52,CCV Stars 14 Boys South Pre-ECNL,62.96,62.96,0.0,54.71,76.71,54.71,20,Full Sample
53,AZ Inferno 14 Boys Black,61.17,61.17,0.0,72.82,41.76,72.82,20,Full Sample
54,AZEV B2014 (NAVY),61.1,61.1,0.0,54.06,72.82,54.06,20,Full Sample
55,14B Engilman,60.53,60.53,0.0,68.29,47.59,68.29,20,Full Sample
56,Dynamos SC 14B Gold,59.56,59.56,0.0,72.18,38.53,72.18,20,Full Sample
57,Phoenix United 2014 Academy,59.23,59.23,0.0,57.29,62.47,57.29,20,Full Sample
58,Southeast 2014 Boys Green,59.08,59.08,0.0,60.53,56.65,60.53,20,Full Sample
59,NOS Santos 14 Boys Blue,58.83,58.83,0.0,74.12,33.35,74.12,20,Full Sample
60,Pima Surf 2014 B Blue,58.71,60.21,1.5,59.24,61.82,59.24,15,Limited Sample (10–19 GP)
61,Madison FC 14 Blue Boys,57.94,57.94,0.0,61.82,51.47,61.82,20,Full Sample
62,Playmaker Futbol Academy 14B Gold,57.38,57.38,0.0,70.24,35.94,70.24,20,Full Sample
63,RSL-AZ Yuma 14 Boys Quinonez,57.01,58.51,1.5,82.53,18.47,82.53,15,Limited Sample (10–19 GP)
64,Tuzos Halcones 2014,56.73,56.73,0.0,79.29,19.12,79.29,20,Full Sample
65,2014 Rush Boys,56.0,56.0,0.0,57.94,52.76,57.94,20,Full Sample
66,Kingman SC B14 McGill,55.0,55.6,0.6,53.41,59.24,53.41,18,Limited Sample (10–19 GP)
67,PRFC North Valley 14B PreAcademy,54.78,54.78,0.0,42.41,75.41,42.41,20,Full Sample
68,Tuzos 2014 Nava,54.15,55.35,1.2,80.59,13.29,80.59,16,Limited Sample (10–19 GP)
69,PRFC Scottsdale 14B Predator,53.98,53.98,0.0,56.65,49.53,56.65,20,Full Sample
70,Tuzos Royals 2014,52.93,52.93,0.0,35.94,81.24,35.94,20,Full Sample
71,PRFC North Valley 14B Predator,52.03,52.03,0.0,52.76,50.82,52.76,20,Full Sample
72,Verde Valley United FC,51.68,54.38,2.6999999999999997,34.0,88.35,34.0,11,Limited Sample (10–19 GP)
73,PRFC Southeast Valley 14B Predator-Central,51.23,51.23,0.0,45.65,60.53,45.65,20,Full Sample
74,La Academia 14B,50.78,52.28,1.5,79.94,6.18,79.94,15,Limited Sample (10–19 GP)
75,U-12 (2014) Boys Pre Academy Blue,50.58,50.58,0.0,48.88,53.41,48.88,20,Full Sample
76,Select 14B,50.02,50.02,0.0,63.12,28.18,63.12,20,Full Sample
77,PRFC Southeast Valley 14B Predator,48.64,48.64,0.0,62.47,25.59,62.47,20,Full Sample
78,AZ Arsenal 14 Boys Select,47.66,48.56,0.8999999999999999,55.35,37.24,55.35,17,Limited Sample (10–19 GP)
79,14B NL #2,47.5,50.5,3.0,30.12,84.47,30.12,10,Limited Sample (10–19 GP)
80,Pumas Tucson 14B,46.8,56.8,10.0,41.76,81.88,41.76,3,Provisional (<10 GP)
81,Madison FC 14 White Boys,44.9,50.9,6.0,56.0,42.41,56.0,7,Provisional (<10 GP)
82,CCV Stars 14 Boys North Pre-ECNL,44.54,46.94,2.4,21.71,89.0,21.71,12,Limited Sample (10–19 GP)
83,State 48 FC Avondale 14 Black,43.14,43.14,0.0,34.65,57.29,34.65,20,Full Sample
84,Select 14B Red,42.25,42.25,0.0,39.82,46.29,39.82,20,Full Sample
85,14B Hinds,42.17,42.17,0.0,30.76,61.18,30.76,20,Full Sample
86,CCV Stars 14 Boys North Orange,41.44,41.44,0.0,23.0,72.18,23.0,20,Full Sample
87,AZ Arsenal 14 Boys Teal SC,41.36,41.36,0.0,25.59,67.65,25.59,20,Full Sample
88,Amore 2014 Boys,39.82,39.82,0.0,51.47,20.41,51.47,20,Full Sample
89,East Valley NSFC 14 Boys Aguirre,39.66,39.66,0.0,43.06,34.0,43.06,20,Full Sample
90,Tuzos Academy Mesa 2014,39.18,39.18,0.0,46.94,26.24,46.94,20,Full Sample
91,Phoenix Premier FC 14B White,39.02,39.02,0.0,40.47,36.59,40.47,20,Full Sample
92,Gila Valley Ninjas,38.97,48.97,10.0,52.12,43.71,52.12,3,Provisional (<10 GP)
93,CCV Stars 14 Boys North Navy,38.93,38.93,0.0,45.0,28.82,45.0,20,Full Sample
94,Phoenix Valley Soccer Club boys 2014,37.97,37.97,0.0,41.12,32.71,41.12,20,Full Sample
95,Southeast 2014 Boys Blue,37.32,37.32,0.0,24.94,57.94,24.94,20,Full Sample
96,AZ Arsenal 14 Boys Teal CB,37.08,37.08,0.0,50.18,15.24,50.18,20,Full Sample
97,VSC 2014 Boys Green,35.62,35.62,0.0,38.53,30.76,38.53,20,Full Sample
98,14 Cityzens,34.49,34.49,0.0,28.18,45.0,28.18,20,Full Sample
99,14B Midhaan,34.39,35.29,0.8999999999999999,50.82,9.41,50.82,17,Limited Sample (10–19 GP)
