Rank,Team,Club,Team_ID,State,Gender,Age_Group,Games Played,Wins,Losses,Ties,Goals For,Goals Against,Goal Differential,Goals For/Game,Goals Against/Game,Offense Score,Adj Defense Score,SOS,Raw Power,Power Score,Opponents_Count
126,Jedi 14B,Renegades Soccer Club,654696,AZ,M,U12,3,1,2,0,3,6,-3,0.6999999999999998,1.3999999999999997,0.6999999999999998,-0.3999999999999997,1.2981280193236715,0.437032004830918,0.3277740036231885,3
127,AZ Arsenal 14 Boys Teal CB,Arizona Arsenal Soccer Club,254487,AZ,M,U12,32,11,17,4,64,127,-63,0.925,1.853125,0.925,-0.8531249999999999,1.1654165820373854,0.31830727050934643,0.31830727050934643,32
128,FC Elite Arizona 2014 Boys - Urbina,FC Elite Arizona,631457,AZ,M,U12,10,4,4,2,16,30,-14,1.1199999999999999,2.1,1.1199999999999999,-1.1,1.3738165237109334,0.35095413092773325,0.31585871783495995,10
129,CAC 14/15B (Conroy),Coronado Athletic Club,382297,AZ,M,U12,41,11,27,3,70,158,-88,0.7268292682926829,1.5756097560975613,0.7268292682926829,-0.5756097560975613,1.0239649424356099,0.31269855268207314,0.31269855268207314,41
130,14B Midhaan,RSL-AZ North,365125,AZ,M,U12,18,5,10,3,55,90,-35,1.5166666666666666,2.322222222222222,1.5166666666666666,-1.322222222222222,1.0878536477974234,0.3448800786160226,0.3103920707544203,18
131,Synergy FC 14 B,Synergy FC AZ,371140,AZ,M,U12,37,5,27,5,57,155,-98,0.5486486486486488,1.5486486486486488,0.5486486486486488,-0.5486486486486488,1.0941502795134737,0.2735375698783684,0.2735375698783684,37
132,Hustle Hard 2014- Boys,FBSL,310009,AZ,M,U12,25,4,19,2,25,94,-69,0.46,1.6560000000000001,0.46,-0.6560000000000001,1.2379554718867174,0.2359888679716793,0.2359888679716793,25
133,14B Geoff,RSL-AZ Southern AZ,443374,AZ,M,U12,22,5,13,4,39,78,-39,0.7863636363636364,1.7909090909090912,0.7863636363636364,-0.7909090909090912,0.941032352261244,0.23355354261076544,0.23355354261076544,22
134,PRFC Scottsdale 14B Copa,Phoenix Rising FC,179070,AZ,M,U12,30,4,24,2,54,166,-112,0.8733333333333334,2.1133333333333337,0.8733333333333334,-1.1133333333333337,1.2872826959226396,0.23182067398065975,0.23182067398065975,30
135,VSC 2014 Boys White,Vail SC,305500,AZ,M,U12,15,2,12,1,21,54,-33,0.7399999999999999,1.9333333333333333,0.7399999999999999,-0.9333333333333333,1.1975694559285113,0.2268923639821278,0.20420312758391504,15
136,Tuzos Nogales 2014,FBSL,314990,AZ,M,U12,3,0,3,0,2,7,-5,0.4666666666666666,1.633333333333333,0.4666666666666666,-0.6333333333333331,1.1565656565656564,0.22664141414141417,0.16998106060606064,3
137,PRFC North Valley 14B Copa,Phoenix Rising FC North Valley,405148,AZ,M,U12,45,8,36,1,90,261,-171,0.7244444444444444,2.1933333333333334,0.7244444444444444,-1.1933333333333334,1.2351671769911654,0.132958460914458,0.132958460914458,45
138,AZ Inferno 14 Boys Blue,AZ Inferno,641417,AZ,M,U12,7,2,5,0,14,27,-13,1.4,2.6999999999999997,1.4,-1.6999999999999997,1.047480950918451,0.14937023772961272,0.11202767829720954,7
139,AZSC 2014/2015B Navy,Arizona Soccer Club,621422,AZ,M,U12,4,1,3,0,9,17,-8,1.575,2.9749999999999996,1.575,-1.9749999999999996,1.1719140429785107,0.14297851074462775,0.10723388305847081,4
140,Phoenix Premier FC 14B Pre MLS Next AD,Phoenix Premier FC,619879,AZ,M,U12,8,2,6,0,14,34,-20,1.2249999999999999,2.9749999999999996,1.2249999999999999,-1.9749999999999996,1.6430495585781428,0.12951238964453582,0.09713429223340186,8
141,Pima Surf 2014 B White,Pima County Surf Soccer Club,403789,AZ,M,U12,1,0,1,0,2,4,-2,1.4,2.8,1.4,-1.7999999999999998,1.0074074074074075,0.10185185185185186,0.0763888888888889,1
142,Tuzos Titanes 2014,FBSL,519547,AZ,M,U12,21,4,14,3,34,85,-51,0.6380952380952382,2.1285714285714286,0.6380952380952382,-1.1285714285714286,1.032378996314993,0.07416617765017686,0.07416617765017686,21
143,FC Sonora 14' B Dynamo,FC Sonora,366702,AZ,M,U12,13,1,11,1,21,71,-50,1.1,3.0846153846153848,1.1,-2.0846153846153848,1.5699355406734659,0.023253115937597157,0.020927804343837442,13
144,Tuzos Chandler 2014 boys,FBSL,615646,AZ,M,U12,5,1,4,0,12,26,-14,1.6799999999999997,3.6399999999999997,1.6799999999999997,-2.6399999999999997,1.3060376694243971,-0.0334905826439007,-0.025117936982925526,5
145,Spartak Academy 2014 Boys,Spartak Academy,647534,AZ,M,U12,4,1,3,0,9,21,-12,1.575,3.675,1.575,-2.675,1.3354001976284584,-0.07864995059288526,-0.05898746294466395,4
146,14B Laroussi,RSL-AZ South,364430,AZ,M,U12,13,2,11,0,29,68,-39,1.4076923076923076,3.446153846153846,1.4076923076923076,-2.446153846153846,1.2937019865856192,-0.06599758027667207,-0.05939782224900487,13
147,FSC United 14 Boys,Flagstaff SC,121797,AZ,M,U12,36,6,29,1,63,219,-156,0.6027777777777779,2.691666666666667,0.6027777777777779,-1.6916666666666669,1.1314103561449698,-0.125480744297091,-0.125480744297091,36
148,PSC 2014/15B,Paladin Soccer Club,490652,AZ,M,U12,4,1,3,0,4,19,-15,0.7,3.3249999999999997,0.7,-2.3249999999999997,1.308243851559069,-0.28231403711023273,-0.21173552783267455,4
149,East Valley NSFC 14 Boys Tiggs,East Valley/NSFC,370050,AZ,M,U12,23,0,22,1,25,162,-137,0.5869565217391305,3.539130434782609,0.5869565217391305,-2.539130434782609,1.1839294830761222,-0.4360828466222739,-0.4360828466222739,23
150,ASA 014B Magic,Arizona Soccer Academy,526726,AZ,M,U12,13,0,13,0,6,82,-76,0.32307692307692304,3.6153846153846154,0.32307692307692304,-2.6153846153846154,1.3147325896416175,-0.5309322372049803,-0.47783901348448227,13
151,ESC - Boys Chandler 15/16,Epic Soccer Club,503477,AZ,M,U12,3,0,3,0,1,29,-28,0.2333333333333333,6.766666666666666,0.2333333333333333,-5.766666666666666,1.310630341880342,-1.7473424145299141,-1.3105068108974356,3
152,Milan B,AYSO 350 Alliance,663478,AZ,M,U12,3,0,3,0,1,34,-33,0.2333333333333333,7.933333333333333,0.2333333333333333,-6.933333333333333,2.9322222222222223,-1.7794444444444442,-1.3345833333333332,3
153,SCUM East Valley 14B Ninjas,SC Union Maricopa Academy,492537,AZ,M,U12,6,0,6,0,1,66,-65,0.11666666666666665,7.699999999999999,0.11666666666666665,-6.699999999999999,1.3298044628479413,-2.1362988842880144,-1.6022241632160108,6
