Rank,Team,Club,Team_ID,State,Gender,Age_Group,Games Played,Wins,Losses,Ties,Goals For,Goals Against,Goal Differential,Goals For/Game,Goals Against/Game,Offense Score,Adj Defense Score,SOS,Raw Power,Power Score,Opponents_Count
39,Brazas 2014 Boys Black Marcos,Brazas Futebol Club,138967,AZ,M,U12,31,15,10,6,84,67,17,1.2903225806451613,0.8806451612903227,1.2903225806451613,0.11935483870967734,1.2153549764727734,0.8324677763762578,0.8324677763762578,31
40,Gila Valley Ninjas,AYSO 350 Alliance,639388,AZ,M,U12,3,2,1,0,11,6,5,2.5666666666666664,1.3999999999999997,2.5666666666666664,-0.3999999999999997,1.1799999999999997,1.1075,0.830625,3
41,Phoenix United 2014 Premier,Phoenix United Futbol Club,415876,AZ,M,U12,69,33,28,8,199,162,37,1.1028985507246378,0.7681159420289855,1.1028985507246378,0.23188405797101452,1.2816568791431298,0.8209576980466521,0.8209576980466521,69
42,Southeast 2014 Boys Red,Next Level Soccer (AZ),314607,AZ,M,U12,83,45,34,4,229,166,63,0.9289156626506025,0.6819277108433736,0.9289156626506025,0.31807228915662644,1.3884268321205049,0.814727189957837,0.814727189957837,83
43,Southeast 2014 Boys Blue,Next Level Soccer (AZ),448054,AZ,M,U12,67,38,27,2,238,158,80,1.1313432835820898,0.8686567164179105,1.1313432835820898,0.13134328358208947,1.327069206087621,0.8052747642084725,0.8052747642084725,67
44,Playmaker Futbol Academy 14B Black,Playmaker Futbol Academy,391035,AZ,M,U12,74,34,33,7,207,191,16,1.0608108108108107,0.8608108108108109,1.0608108108108107,0.1391891891891891,1.4055737158308717,0.8013934289577178,0.8013934289577178,74
45,Excel Soccer Academy 14B Black,Excel Soccer Academy,419768,AZ,M,U12,19,10,5,4,67,39,28,1.6263157894736842,1.0999999999999999,1.6263157894736842,-0.09999999999999987,1.2052723489419939,0.87368650828813,0.786317857459317,19
46,Tuzos Royals 2014,FBSL,365177,AZ,M,U12,78,41,23,14,196,154,42,0.8,0.7051282051282052,0.8,0.2948717948717948,1.484662224728943,0.7817424792591589,0.7817424792591589,78
47,Phoenix United 2014 Academy,Phoenix United Futbol Club,518095,AZ,M,U12,38,21,10,7,122,71,51,1.173684210526316,0.8342105263157895,1.173684210526316,0.1657894736842105,1.10865687958285,0.77946685147466,0.77946685147466,38
48,PRFC Desert Foothills 14B Pre-Academy,Phoenix Rising Desert Foothills,87271,AZ,M,U12,49,24,20,5,151,112,39,1.1040816326530614,0.9061224489795919,1.1040816326530614,0.09387755102040807,1.3125901863276226,0.7773822404594567,0.7773822404594567,49
