Rank,Team,PowerScore_adj,PowerScore,GP_Mult,SAO_norm,SAD_norm,SOS_norm,GamesPlayed,GamesTotal,Status,is_active,LastGame
1,Southeast 2014 Boys Black,0.769,0.769,1.0,0.8471913620839541,0.89912170453263,0.527,27,30,Active,True,2025-09-14
2,PRFC Scottsdale 14B Pre-Academy,0.723,0.723,1.0,0.8926568518956367,0.9075785341978954,0.311,30,61,Active,True,2025-10-05
3,Phoenix Premier FC 14B X-Factor,0.712,0.712,1.0,0.870627523771158,0.9075785341978954,0.3,30,31,Active,True,2025-09-21
4,2014B West,0.706,0.706,1.0,0.8460427836332428,0.8245339671926617,0.404,30,66,Active,True,2025-09-28
5,Phoenix United 2014 Premier,0.693,0.693,1.0,0.8926568518956367,0.8290674185134075,0.3,30,57,Active,True,2025-10-04
6,PSG 14B Blue,0.679,0.679,1.0,0.8722421306821864,0.8116840536350814,0.3,30,44,Active,True,2025-10-04
7,14B GSA,0.655,0.655,1.0,0.723625447458323,0.7358222617366245,0.479,30,51,Active,True,2025-09-28
8,Madison FC 14 Gold Boys,0.653,0.653,1.0,0.8670727291563294,0.7413869319042047,0.3,30,49,Active,True,2025-10-04
9,Real Arizona 2014,0.647,0.647,1.0,0.8926568518956367,0.6482540126779631,0.36,30,47,Active,True,2025-04-27
10,Dynamos SC 14B SC,0.646,0.646,1.0,0.571856861342158,0.9075785341978954,0.427,30,42,Active,True,2025-09-28
11,14 Pre-MLSN #2,0.641,0.641,1.0,0.8330744134965586,0.7410878025721048,0.3,30,43,Active,True,2025-10-04
12,FC Elite Arizona 2014 Boys (ARCHIVED),0.629,0.629,1.0,0.6296613921554582,0.9075785341978954,0.302,30,47,Active,True,2025-06-01
13,Scottsdale 14 Sandsharks Select,0.623,0.623,1.0,0.616398808615404,0.9075785341978954,0.3,25,31,Active,True,2025-10-04
14,14 Pre-MLSN #1,0.611,0.611,1.0,0.6818090876636141,0.7196411367847456,0.401,30,39,Active,True,2025-10-04
15,Excel Soccer Academy 14B Red,0.604,0.604,1.0,0.5399994736666602,0.79348498068674,0.457,30,40,Active,True,2025-10-05
16,Kingman SC B14 McGill,0.597,0.597,1.0,0.6807125570518644,0.7664748799022696,0.3,23,23,Active,True,2025-09-07
17,AZSC 14B Perez,0.595,0.595,1.0,0.7352532627162278,0.6188198317109951,0.403,30,56,Active,True,2025-04-27
18,Playmaker Futbol Academy 14B Black,0.591,0.591,1.0,0.7046199805492358,0.6442105770829795,0.396,30,71,Active,True,2025-09-28
19,Southeast 2014 Boys Red,0.589,0.589,1.0,0.5162942160760553,0.7460652744510213,0.49,30,47,Active,True,2025-10-05
20,FC Deportivo AZ 2014B (Gallegos),0.588,0.588,1.0,0.8733459977722031,0.46623546539318916,0.396,24,24,Active,True,2025-10-04
21,Phoenix Premier FC 14B SW Black,0.585,0.585,1.0,0.8843355111621118,0.5297213586239855,0.3,24,28,Active,True,2025-09-28
22,AZSC 2014B Pre-NL Premier 2,0.577,0.577,1.0,0.5838255327857234,0.8078601863036083,0.3,30,38,Active,True,2025-09-20
23,Legends FC AZ 14B Black,0.567,0.567,1.0,0.8344308273898748,0.515795296482,0.315,30,39,Active,True,2025-04-13
