team_name,club_name,gotsport_team_id,state
2015B BLACK,Miami Breakers FC,304112,FL
TBU 2015B Pre MLS Next North,Tampa Bay United,89154,FL
Lamorinda United 2015B Pre-MLS,Lamorinda SC,402689,CAN
Placer United 15B Pre-ECNL,Placer United Soccer Club,246004,CAN
Utah United Academy 2015,Utah United Academy,458503,UT
Stanford Strikers 15B Pre ECNL RL,Stanford Strikers FC,368646,CAN
AC Marin Boys 2015 Black,AC Marin,282279,CAN
TBU 2015B Pre MLS Next South,Tampa Bay United,85966,FL
FCDA 2015B Pre - Academy,FC Deportivo Arizona,208438,AZ
Magnifico FC B15P,Nevada Youth Soccer,450984,NV
XF B15 RCL1,,556027,WA
CES - Real Betis Academy Miami Elite 2015 A,Coral Estates S.C.,329958,FL
SWFL B15 PRE-ECNL,Florida Premier FC,498202,FL
ONE FC B2015 PRE-MLS,NEUESPORTS,625537,FL
Alameda SC Islanders 15B Red,Alameda Soccer Club,332339,CAN
SYC 2015B Pre-MLS Next II,Springfield SYC Soccer,396649,VA
Prime United,Tournament Team,480752,PAE
Deportivo Cali Doral 2015 Elite Redin,Miami Stars Soccer,304234,FL
FBS-FC 2015 Orange,Futbol Beach Soccer Futsal Club,151597,FL
RAYADOS LAS VEGAS SOCCER ACADEMY 2015 BLUE,Rayados Las Vegas Soccer Academy,522852,NV
FRAM 15B EA,FRAM SC,240268,CAS
2015-BOYS TEAM BLACK,Miami Shores Soccer Club,152480,FL
Southeast 2015 Boys Green,Next Level Soccer (AZ),501668,AZ
Greenwood 2015 Pre-MLS Next,Tulsa Greenwood SC,489101,OK
Marin FC B15Blue,Marin FC,252973,CAN
Scottsdale 15 Sandsharks Select,North Scottsdale Soccer Club,151833,AZ
Northwest 2015 Boys Red,Next Level Soccer (AZ),501674,AZ
VILLARREAL LV U11 EA Yellow-SamA,Villarreal Las Vegas Academy,244100,NV
LV Heat Surf B15 Pre RP Henderson,LV Heat Surf SC ,262824,NV
Pre ECNL B15,Davie United SC,238017,FL
FLFC 2015 Boys Premier,Florida Legends Football Club,503211,FL
2015 Boys Black - Mbappe,Lehigh Valley United,335269,PAE
Southeast 2015 Boys Blue,Next Level Soccer (AZ),307803,AZ
Roseville SC 2015B Green,Roseville Youth Soccer Club,360967,CAN
Mustang SC 15B Pre-ECNL,Mustang Soccer,254967,CAN
City SC B15 Pre MLS Next- Jones,City SC,235649,CAS
Players 15 Boys Junior Elite,Players SC,12749,NV
Raiders FC 2015,Raiders FC,357858,IL
15B Garza Pre MLS Next,RSL-AZ Southern AZ,202919,AZ
North Coast FC 15B Blue,North Coast Futbol Club,250271,CAN
15B Red,Sunnyvale Alliance SC,259196,CAN
Palm Beach Wolves SC 2015,Sports Paradize Soccer Academy,548462,FL
Molano Futbol Academy Elite 2015B,Molano Futbol Academy,389244,TXN
LFA Blue Star 2015B,Lou Fusz Athletic,371403,MO
2015 Black,South Miami United FC,286509,FL
Surf Select Boys 2015,New England Surf,439627,MA
2015 Boys Merrimack Elite,FC Boston Bolts,394644,MA
