team_name,club_name,gotsport_team_id,state
2015 Boys Red,SABR - Team Boca,428431,FL
St. Pete Raiders 2015B Jennison,St Pete Raiders,254919,FL
NLSA Select B2015,West Islip Soccer Club,501151,NYE
HVAA 2015B Fire,Huntingdon Valley AA,329701,PAE
ID Houston Allstars 15B EDPL,Inwood SC,401368,TXS
MIAMI UNITED FC 2015 PREMIER I,Miami Stars Soccer,557250,FL
MSC 2015 Boys,Muscatine Soccer Club,527280,IA
IFA HFC U10/U11 Boys,IFA,266571,MA
SWSC B2015 ELITE,Southwest Soccer Club,242134,CAS
Carlsbad B15 White - Campbell,City SC,356179,CAS
Renegades 15B,Renegades Soccer Club,419446,AZ
Burlingame SC 2015B Yellow,Burlingame Soccer Club,351830,CAN
Texas Lightning 15B Christe,Texas Lightning Soccer Club,117816,TXN
FLS 15B Premier II,Folsom Lake Surf,268175,CAN
CJFA Venom 15B,Central Jersey Futbol Alliance,397098,NJ
2015 Maryland United FC Pre-ECNL RL,Maryland United Football Club,292532,MD
Whitpain 2015 White Wild,Whitpain Recreation Assoc,364778,PAE
Boca United Boys 2015 PA II,Greater Boca YSA,429811,FL
Hilal Nablus 2015,Ittihad Soccer Club,198446,MO
B15 Lemus 2,LA Breakers FC,360518,CAS
B2015 Black,Bear City United Soccer Club,461197,CAS
Central MD 2015 Boys red,Liverpool FC International Academy Maryland,370419,MD
Union County FC Napoli 2015B,WSA,396712,NJ
PSC 15B NextUp Elite STXCL,Pearland Soccer Club,390160,TXS
Aston Villa Orange,Princeton FC,258328,NJ
Desert Heat 2015,Desert Heat FC,490917,NV
Hereford 2015 Boys Maroon,Hereford Soccer Club,260616,MD
Dix Hills EST Adrenaline B2015,Dix Hills SC,388918,NYE
2015B White Brandon,West Florida Flames,546691,FL
SAC Boys 2015 - United Gold,SAC/BA,372859,MD
2015 White Colo Colo,Colo Colo Soccer Academy USA,525791,FL
2015 Strikers,Langhorne Neshaminy United SC,337853,PAE
LCPFC 15B ELITE,Florida Premier FC,400428,FL
Bergen Football Academy 2015,Fort Lee Soccer League,279149,NJ
SANTA CRUZ SHARKS 15 WHITE,Santa Cruz City Soccer Club,382229,CAN
2015 Boys Select,"AC Delray, Inc.",407391,FL
Columbus Force 15B Pre-ECNL,Columbus Force SC,267954,OH
2015 Blue,NY Hota Bavarian Soccer Club ,396612,NYE
2015 Boys Blue SELECT,JA Elite FC,452018,CT
SLSG MO B 2015 Premier Blue,St. Louis Scott Gallagher,503002,MO
INTER EMSSC,East Moline Silvis Soccer Club,330772,IL
Stanford Strikers 15B Red,Stanford Strikers FC,368642,CAN
IFFC 2015B Claret - Brower,BYSL,399734,ID
NCSC 2015B Rowdies,North Carroll Soccer Club,373882,MD
SD Surf Academy Boys 2015 (Whitmer),San Diego Surf Soccer Club,243592,CAS
Old Line FC Boys 15 Red,Old Line Football Club,380817,MD
Sangamo United FC 2015B Venom,Sangamo United FC,510478,IL
15B TS Copa,Westside Metros FC,367920,OR
Alliance FC Wolf Pack 15,Alliance FC,390482,CAN
15 Kraze Pre ECNL RL,Florida Kraze Krush,381914,FL
Elite Red B15,Richmond Kickers YSC,492986,VA
Haddon Twp White Hawks 2015,Haddon Twp Soccer Club,265483,NJ
15B Pre Ecnl Vivid,RISE Soccer Club,624259,TXS
BRYC Academy '15B White,Braddock Road Youth Club,397705,VA
NEU 2015 Hawks,Northeast United,342321,PAE
IAM3rd PDA 2015 Boys Black,I AM 3RD SOCCER,512058,KY
Burlingame SC 2015B Orange,Burlingame Soccer Club,577818,CAN
Commack Thunder B15,Commack Soccer,373759,NYE
2015B Academy Gold Tropics,Florida Tropics Academy,492938,FL
2015B Gray,Santa Cruz United Football Club,370856,CAN
MVSC Fusion 2015,Mill Valley Soccer Club,256333,CAN
Dynamo 2015 Boys Red,Dynamo FC,269046,IN
S.S.A15B Black,Spann Soccer Academy,443985,TXN
LC B2015 - SOCAL,LA Surf Soccer Club,237562,CAS
PRFC Southeast Valley 15B Predator,Phoenix Rising FC,384729,AZ
Game Awareness Elite,Tournament Time,304494,NYE
15B McGregor,Evolution,164913,TXN
WS 2015B Di Maria,Weston Select Soccer Club,300552,FL
Pacifica United SC B2015 Blue,Pacifica United Soccer Club,197172,CAN
Club Ohio West 15B Green,Club Ohio,284076,OH
BSA Boys Black U11,Bettendorf Soccer Association,524397,IA
2015B Blue Brandon,West Florida Flames,249534,FL
15B NZ,Los Angeles SC,533314,CAS
Delmarva Rush 2015B Rush,Delmarva Rush,391919,DE
Michigan Wolves 15 Academy,Michigan Wolves,82133,MI
Fire,Yorktown,275649,NYE
FPFC 15B CP GOLD,Florida Premier FC,250052,FL
Athletico (2015),Babylon (LIJSL),517546,NYE
Roseville SC 2015B Black,Roseville Youth Soccer Club,367131,CAN
Nevada Rush B2015 Blue,Nevada Rush,252870,NV
City FC,Bethpage PAL Soccer Club,382644,NYE
FC Dallas Youth Pre ECNL B15 Bailey,FC Dallas Youth,385932,TXN
Burlingame SC 2015B White,Burlingame Soccer Club,331138,CAN
2015 QCS Select,Quad City Strikers.,411886,IA
SAC Boys 2015 - Premier Blue,SAC/BA,253663,MD
2015B Blue Pre-USYS,SPFSC EP3,329212,NJ
2015B Blue Pre-USYS,SPFSC EP3,329212,NJ
HB B15 Perez,CDA Slammers,343269,CAS
B15 Academy,Florida Celtic,193868,FL
JGSA 15 Boys White,John Gaspar Soccer Academy,280944,IL
Illinois FC 2015 Boys Orange,Illinois FC,268430,IL
15 CSA Charlotte Elite 1,Charlotte Soccer Academy,646444,NC
B2015 PRE-ECNL II,LAFC So Cal,231929,CAS
Arlington SA 2015B White,Arlington Soccer Association,403658,VA
Rangers FC Pre-ECNL B15 I,Rangers FC,594784,CAS
Cupertino FC Flames 15B Blue,Cupertino FC,160086,CAN
NPSC U11B-White,Nampa Premier Soccer Club ,513153,ID
Lobitos S.C.-Legado FC-2015,Lobitos Soccer Club,449200,CAN
2015 Boys,Harleysville FC,386111,PAE
Empire SC B2015 Navy,Empire SC,388106,CAS
Storm,Woodbridge Twp Youth Soccer,269103,NJ
Spartans,Wantagh Seaford PAL Soccer Club (LIJSL),380508,NYE
CFA OC SC B15 Miguel,California Football Academy,338003,CAS
2015B Warrington Galaxy,Warrington SC,241684,PAE
Hawks United SC 15B,Hawks United,452090,TXN
PSA North '15 Boys Orange,Princeton SA,272829,NJ
NJ Premier B2015 - ORANGE,NJ Premier FC,329752,NJ
PSL Hurricanes FC 2015 Boys Red,"PSL Soccer Club/Hurricanes, Inc.",405682,FL
Harrison Fury 2015,Harrison SC,257037,NJ
Gold Dtown '15 (B),FC DELCO,230801,PAE
Idaho Rush 15 Black,Idaho Rush Soccer Club,503496,ID
Roadrunners SC B2015 Pre-ECNL,Roadrunners SC,280253,IL
NB B2015,Pateadores Soccer Club,136347,CAS
Boys 2015 Elite,MACH 1 FC,347649,RI
Utah Elite FC B15 Gold,,568943,UT
B15 ACADEMY EA - MD,SoCal Reds FC,595225,CAS
ALBION SC Las Vegas B15 Academy I,ALBION SC Las Vegas,613052,USA
NYC Elite,Tru Tekkers,281362,NYE
SEVERNA PARK 15B - GREEN,Greater Severna Park Athletic Assoc,393808,MD
Chula Vista FC 15B EA,Chula Vista FC,595405,CAS
PSC 15B NextUp Premier STXCL,Pearland Soccer Club,303670,TXS
Defiance,Greenburgh Utd,166334,NYE
Lion Kings FC 2015/2016,Lion Kings FC,361140,TXS
Cupertino FC Flames 15B,Cupertino FC,216619,CAN
Carlsbad B15 Premier - O’Mahoney,City SC,237291,CAS
Ginga FC Boys 2015 Pre-MLS NEXT Academy Division,Ginga FC,273328,CT
Yardley Makefield Soccer 2015 Boys Dortmund,Yardley Makefield Soccer,463107,PAE
B2015 KOUNDE,Barca Academy Pro NY,259344,NYE
Aggies FC 2016B Blue KS,,662741,UT
Arena Strikers U10,Miami Athletic Club,559188,FL
JFC 2015B Storm Blue,Jacksonville FC,246050,FL
"FC Dallas Youth Pre ECNL B15 Evans, J.",FC Dallas Youth,385839,TXN
NTX United FC 2016B Fannin,NTX United FC,388908,TXN
EFC 2015,Emerald Football Club,505770,CAN
RSL-AZ Yuma 15 Boys Guzman,RSL-AZ Yuma,457765,AZ
Stockton Storm FC 2015 Boys Blue,Stockton Storm Futbol Club,618508,CAN
2015 NEAL Green,Cedar Stars Academy Hudson Valley ,399579,NYE
Nationals Macomb Pre-Academy 15 Boys,Nationals,87587,MI
EM B15 preECNL,East Meadow Soccer Club,394812,NYE
FC Roma,Gold Coast FC,276215,NYE
South Valley Chivas 15B,South Valley Chivas Academy,462214,CAN
Celtic 1888 B15,Celtic Soccer Club (S-CA),368838,CAS
2015-2016 Boys,Pekin Pride Soccer,206901,IL
Colonial Cyclones Red 15,Colonial SC ,364545,PAE
TFA-VC B2015,TOTAL FUTBOL ACADEMY (CA),326484,CAS
White Dtown '15 (B),FC DELCO,230800,PAE
Colonial Cyclones Red 15,Colonial SC ,364545,PAE
24 - Eclipse 2015 Boys Solar Red,East Bay Eclipse Soccer Club,505820,CAN
15B_Black,Half Moon Bay Soccer Club,339239,CAN
2015 Boys Lightning,Alliance Soccer Club,374153,MD
VALLEY FC 2014 BOYS EDP PREMIER,Valley FC,272786,CT
Thunder 2015 B,K Thunder,442945,NYE
Buckingham United 2015 Boys Blue,Buckingham United Soccer Club (CBAA),253468,PAE
2015 Boys Red,NJ Nationals FC,505181,NJ
PFCU 2015 Bayern Boys,Central Illinois United,144336,IL
Jax United 2015 / 2016,Jacksonville United Soccer Club,381490,IL
B2015 LB - White,FC Premier (CA),493703,CAS
BOCA OC B2015 Black,Boca Orange County,362314,CAS
Alliance 2015B Orange,Eastshore Alliance FC,372985,CAN
VILLARREAL LV U11 Blue-JorG,Villarreal Las Vegas Academy,521704,NV
B2015 BLUE,DV7 NY ,273637,NYE
FCA 15B White,Football Club Alliance,347125,CAN
2015 Glenside Celtic Boys- Green,Glenside Celtic SC,365639,PAE
JAM Doral - Davids,,415536,FL
Fusion SC 2015 Boys Gold,Livermore Fusion SC,383913,CAN
Delhi FC 15B Salazar,Delhi Futbol Club,490182,CAN
Baltimore Bays Brawlers 2015 Boys,Baltimore Bays Soccer Club,263857,MD
2015B Pre-Regional North,Select,661893,MA
Beach FC 2015B Pre-NPL Atletico,Beach FC,260006,VA
YFSA SP25: U9/U10 Boys *RED,Yellowstone Fire Soccer Assoc,335494,WY
2015 Boys Blue,NJ Nationals FC,505179,NJ
SK NYC (2015),Soccer Kids NYC,343822,NYE
Steamer's Crew U11 2015B Watson,Steamer's Crew Soccer Club,329714,MO
United,South Huntington (LIJSL),384716,NYE
ALBION SC Riverside B15 EA,ALBION SC Riverside,149512,CAS
Arcola FC 15/16B,Arcola FC ,344856,IL
B2015 Academy-1 North,Empire Surf,480583,CAS
Dnamo FC Manchester 2015B,Dnamo FC,369860,CAN
Union County FC Roma 2015B,WSA,396715,NJ
Northwest FC 2015B Orange,Northwest FC,271522,OH
Mexico 2015,Ceres Rush,587324,CAN
AZ Arsenal 15 Boys Teal CE,Arizona Arsenal Soccer Club,254493,AZ
Midsouth Bartlett 2015 Navy,Midsouth Bartlett,427032,TN
Bethesda Blue 2015,,403007,MD
DMV Wolfpack SC,,364994,MD
Laguna FC B15,Laguna FC,363728,CAS
Ole Boys 2015 Gold,Ole FC,426728,TN
B15 Green,RSF Attack,224815,CAS
Hollywood - 2015 Red,Cyclones FC,305639,FL
SFEA 2015B PRE-ECNL I,SF Elite,254464,CAN
Cyclones Red,Berkeley Heights Youth Soccer Club ,399107,NJ
La Roca 15B A Vazquez,La Roca FC,380928,UT
SWFL B15 YELLOW NOT NEEDED,Florida Premier FC,498314,FL
Michigan Jaguars Pre MLS 2015 Boys 1-DA,Michigan Jaguars,92497,MI
Carlsbad B15 Gold - Manhungo,City SC,237300,CAS
Vipers 2015,Voorhees SA,267731,NJ
CF 15B South Black,Concorde Fire ,385843,GA
Nona Soccer 2015 Boys Orange,Nona Soccer Academy,486595,FL
Newcastle,Montgomery United SC,250357,PAE
Eliminators 2015 Yellow,Nevada South Youth Soccer League,284047,NV
Belmont United 15B Sounders Blue,Belmont United Soccer Club,266849,CAN
LAIFC B2015 EA,Los Angeles International FC,586924,CAS
Burlingame SC 2015B Red,Burlingame Soccer Club,451160,CAN
Liverpool FC Dallas 15B Rojas,Liverpool FC Texas,550623,TXN
Azzurri Storm 2015 Boys Premier,"Azzurri Storm Soccer, Inc.",234388,FL
Alliance 2015B Red,Eastshore Alliance FC,372986,CAN
Fury FC B2015,Fury FC (S-CA),367586,CAS
B2015 Red,FC Transylvania,115842,NYE
Lake Worth Sharks U11boys,Lake Worth Sharks,550992,FL
ALBION SC Miami B2015 Academy,ALBION SC Miami,279345,FL
Rangers,Chelsea Piers SC,272242,CT
Strikers Miami FC 2015 Pro Academy,Strikers Miami FC ,514676,FL
Elite 15B,Baltimore Union Soccer Club,250381,MD
Tecos Evolution,Tecos Hayward Soccer Club,232925,CAN
Roadrunners SC B2016 Select I,Roadrunners SC,531792,IL
B2015 LB - Black,FC Premier (CA),493702,CAS
Commack Titans B15,Commack Soccer,373760,NYE
B2015 White,Rangers FC,224015,CAS
Astra 2015/16,Astra Soccer Academy,482829,IL
MO Rush 2015B Select White,Missouri Rush,380171,MO
2015 Boys Elite,Winter Haven SC,490872,FL
OC Madrid,,573247,CAS
NWO Green Monsters 2015 B,Northwest Optimist SC,177714,OK
3RSC B15 Dynamo,Three Rivers Soccer Club,411624,WA
Palo Alto SC 15B Pre-MLS NEXT 2,Palo Alto SC,449710,CAN
North County B2015 Blue,United SoCal,236291,CAS
Rapids SC 2015B Blue,TF Rapids SC,408478,ID
Dorados Reserve 2015,FBSL,433948,AZ
Scottsdale 15 Sandsharks Black,North Scottsdale Soccer Club,405999,AZ
Dnamo FC Napoli,Dnamo FC,369859,CAN
Sporting Columbia 15B White,Sporting Columbia SC,268494,MO
San Carlos United SC 15B Gray,San Carlos United Soccer Club,497771,CAN
FC Dallas Youth Pre ECNL B15 Malik,FC Dallas Youth,385933,TXN
DKSC 15B DIAZ,DKSC,523466,TXN
FC Storm B15 Premier 1,FC Storm,399645,OH
Almaden FC Mercury B15 Black,Almaden FC,331967,CAN
AC Fairhill ACES 2015 A,Athletic Club of Fairhill,372570,PAE
ASG PRE MLS 2015B,Warner Soccer Club,387563,FL
Corte Madera FC Boys Red 2015,Corte Madera Football Club,248504,CAN
Marlton SC Chiefs Orange 2015,Marlton Soccer Club,253418,NJ
Red Star 15B Red,Red Star Soccer Academy,266957,CAN
Futevol Premier 2015 Black,,327648,NJ
Columbia Premier SC 15B Black 1,Columbia Premier Soccer Club,621621,WA
Napa United Pre-Academy 15B Elite II,Napa United,452685,CAN
REAL B2015 Black,Real Billings FC,363677,MT
B2015 Elite (Torres),Rebels San Diego,159117,CAS
B2015 Elite (Torres),Rebels San Diego,159117,CAS
Aguilas Negras 2015,Aguilas Negras FC,569773,TXS
SMC Seals 14/15B Academy,San Mateo County FC,264462,CAN
Dark Knights,Jericho (LIJSL),369990,NYE
15B Elite,Steel United PA,387716,PAE
DC Metro 2015 Boys Red,Liverpool FC International Academy Maryland,155042,MD
NV/SJ United 15B Green,North Valley Youth Soccer League,299043,CAN
Quickstrike FC La Finca 2015,Quickstrike FC,399523,NYE
B2015 LB Cardenas #1,Beach Futbol Club,362353,CAS
Midland Fusion 15 Green,Midland SC,370940,MI
B2015 ES Iontchev #2,Beach Futbol Club,456584,CAS
Red Devils,Jersey Shore Boca Jr FC,335728,NJ
AYSO United Bay Area 2015 Boys Red,AYSO United Bay Area,265602,CAN
MI Stars Oakland 15B Pre-MLS NEXT,Michigan Stars Elite SC,114678,MI
B15 Blue,ALBION SC Brooklyn,276490,NYE
FC Dallas Youth 15B Central,FC Dallas Youth,508429,TXN
Jaguars 2015,Coney Island Cyclones United,274036,NYE
Dallas Texans Pre ECNL B15 Mitchell,Dallas Texans,163952,TXN
Mayas FC 2016 Premier,FC Mayas,404162,IL
Naples Elite SC 2015 Red,Naples Elite Soccer Club,392309,FL
Rockwood United 2015B - Napoli,Gunners Soccer Club,365083,MO
VSC 2015 Boys White,Vail SC,407089,AZ
RFA 2015's,Rozeboom Futbol Academy,541330,IA
VSC 2015 Boys Black,Vail SC,544769,AZ
15B Rayados White,RSL-AZ Southern AZ,546442,AZ
Sheriffs FC 2015B Yellow,Sheriffs FC,459276,CAN
B15 PREMIER - CM*,SoCal Reds FC,457612,CAS
PHENOM B2015/16 SELECT,Phenom Soccer Academy,635384,CAS
SF Seals 15B Red,San Francisco Seals,337316,CAN
TKFC 2015 Academy Blue Pre-NAL,Touch Kings Football Club,453729,MD
PC United SA United 2015B,Ponca City SA,522771,OK
MVLA 15B Liverpool Gold,Mountain View Los Altos Soccer Club,254396,CAN
OYSC 2015B Black,Oakley Youth Soccer Club,587490,CAN
Atletico Tuzos Guerrero 2015,FBSL,385547,AZ
B2015 Grey,One Ivy FC,571216,CAS
B15 Navy,FASC,602814,CAS
South Valley Soccer Club Scorpions,South Valley Soccer Club,237828,NM
Towamencin Reds,Towamencin Youth Assn,364731,PAE
703 Warriors 15B,703 Warriors,464192,VA
ECFC 15B Green,Monterey County Soccer-ECFC Salinas,497961,CAN
Solar 15B Madrid.T,Solar SC,495244,TXN
Prussians 2015 Boys Blue,King of Prussia SC,253067,PAE
LFA Red Star Gazelle 2015B,Lou Fusz Athletic,371409,MO
B2015 White,SDSC Surf,358139,CAS
ESA 2015 Boys,Elevate Soccer Academy,397881,MD
Mt. Diablo Mustang 2015B Black,Mt Diablo Mustang Soccer,502869,CAN
Mercer United FC Mooch 2015,Mercer United FC,537818,NJ
Worland 10U Boys Silver,Worland Soccer,585363,WY
ANBBK Boynton Beach Knights BBK-2015-B-White,Boynton Beach Knights,414602,FL
2015B Elite,Brevard SA,394819,FL
SWFL B15 WHITE,Florida Premier FC,498204,FL
TFA-AV B2015,TOTAL FUTBOL ACADEMY (CA),368160,CAS
B2015 Tornadoes,Port Washington Soccer Club,394408,NYE
B2015 ES l,Slammers FC Newport Mesa,225584,CAS
VALUSC 2015 Boys,Vallejo United Soccer Club,146897,CAN
2015 Green HB,South Miami United FC,550710,FL
OYSC West 15B,Oakley Youth Soccer Club,391036,CAN
Pacifica United SC B2015 White,Pacifica United Soccer Club,253140,CAN
BSA Celtic 15B White,Ohio Galaxies FC,491688,OH
Dickinson SC U9/10 Boys White,,305248,ND
B2015 Pre-ECNL I,A.C. Connecticut,392786,CT
STLDA 2015B Classic Red,St. Louis Development Academy,374486,MO
MO Rush 2015B Select Blue,Missouri Rush,380173,MO
Dynamo United 2015,Dynamo United,254717,PAE
TFA-VC B2015 Gold,TOTAL FUTBOL ACADEMY (CA),570369,CAS
Bristol Soccer Club - Lightning 2015,Bristol Soccer Club,317947,PAE
Tuzos 15,Fiera Futbol Club,610905,NV
Rhode Island Surf B2015 Pre-MLS,Rhode Island Surf,339456,RI
Guadalajara 2015 boys,GUADALAJARA NM,331107,NM
Irvine B2015 Diaz,Strikers FC,261119,CAS
Boys 15 Academy 2,Fusion Soccer Club,402022,MN
Bethesda Academy III 2015,Bethesda SC,274491,MD
Stanford Strikers 15B Grey,Stanford Strikers FC,368644,CAN
Dallas Hornets 15B Pre-MLS (Prev. Forms Academy),Dallas Hornets,148247,TXN
ACDMY Houston Rangers North 15B TX2,The ACDMY,400361,TXS
B2015 Blue,California Athletic SC,608878,CAS
SCPYS Tornados 2015B,SCP Youth Soccer,23504,NJ
TRU FC 15 Boys,Truckee River United FC,380214,CAN
WCOB FC 2015,Cadence SFC,296839,IL
Bloomingdale Lightning Select 15b,BLFC,523068,IL
Bloomingdale Lightning Select 15b,BLFC,523068,IL
Academy 2015,Westbury Youth Soccer Club,455900,NYE
B15 Elite,Sporting Slammers FC,340900,CAS
2015 Va Legacy SC Green Pre ECNL RL,Virginia Legacy SC,443446,VA
FCS 2015 Boys Select- WFPL,FC Sarasota Inc,370549,FL
PW Courage NCSL Red B15,Prince William Soccer Inc,402458,VA
Reds 2015,Penn Fusion Soccer Academy,353586,PAE
MSA 2015 Matrix Blue,Marlboro Soccer Association,108566,NJ
Strikers Miami FC 2015 Premier J,Strikers Miami FC ,656591,FL
Capo FC - B15 Blue,Capo FC,350419,CAS
Rising Stars SC 2014,,510668,CAS
IFA South Shore 2015 Boys Blue,IFA South Shore,381261,MA
ISC B15 United Blue,Independence SC,508460,KY
Parkland SC Premier B15,Parkland Soccer Club,507420,FL
Legion FC 2015 A2,Chicago Legion FC,278098,IL
Virginia Valor FC 2015B Pre-ECNL,Virginia Valor FC,372568,VA
B15 Pre Academy,Murrieta Soccer Academy,357513,CAS
GESC 2015 Chicho Cuevas,Golden Eagles Soccer Club ,408010,IL
QUSC Arsenal,Queens United (LIJSL),521506,NYE
2015 Boys Falcons Blue,Philadelphia International FC,368235,PAE
15B JP,Los Angeles SC,345556,CAS
Sentinels Black,Perk Valley Soccer,391553,PAE
South Valley United B15 Blue,South Valley United Soccer Club,365539,CAN
BLUE B2015,San Clemente Surf Soccer,347267,CAS
Inferno 2015,Wappinger United Soccer Club,510388,NYE
SA 2015B - Blue,Success Academy Soccer Program,445019,NYE
WGSC 2015/16B Pride Orange,WGSC Soccer,370575,MO
Chicago Blast 2015 Select Boys,Chicago Blast,356622,IL
Juventus Red 2015 PreECNL,Manhattan SC,281121,NYE
15B Colonial Red,SJEB FC,392944,NJ
ATLAS EP 2015 Girls,El Paso Premier League,223297,TXS
Sequoia FC '15 Boys -Green (U11),Sequoia FC,511146,CAN
15B EA,Los Angeles SC,496603,CAS
15B White,Sunnyvale Alliance SC,216238,CAN
2015B Alliance - Beas Stallions,Mt Diablo Mustang Soccer,505364,CAN
Mass City FC BU10 Volt,Mass City F.C.,262516,MA
2015 Boys White I,Houston Surf Soccer Club,361689,TXS
Coppermine SC 2015 Boys Pre-Academy I West,Coppermine Soccer Club,268802,MD
FC United 2015 Elite,FC United (MA),393998,MA
Monterey Surf B15 Academy II,Monterey Surf Soccer Club,390182,CAN
2015B Premier White,Los Gatos United Soccer Club,385723,CAN
2015B Fire Soccer Club Gray,Germantown Hills Athletic Association,503963,IL
SSC 15B Yellow,Sting Soccer Club,275140,ID
Stanford Strikers 15B Black North,Stanford Strikers FC,368641,CAN
15B Pre-Elite III,Colorado Rapids Youth Soccer Club,277611,CO
Fremont Rush 2015B Nero I,Fremont Rush Soccer,217348,CAN
Almaden FC Mercury B15 White,Almaden FC,386378,CAN
Dnamo FC Wolfsburg 2015B,Dnamo FC,369862,CAN
Richmond United Cosmos,Richmond United SC,473845,CAN
Santa Barbara Soccer Club B2015 Pre-MLS Next,Santa Barbara Soccer Club,365850,CAS
FSC Rovers 2015 Boys,Falls SC,360369,PAE
Celtic SC 15,Celtic SC,342841,PAW
LUFC B2015 Blue EA,Laguna United FC,225539,CAS
B2015 Premier,Westchester Surf,265739,NYE
Wellesley Premier Club 2015 Boys FC,Wellesley Premier Club,387447,MA
Kansas Rush Academy 2015,Kansas Rush,357988,KS
Oklahoma Cosmos 15B Elite,South Lakes SC,254551,OK
Central Cal Aztecs B15 Academy,Central Cal Aztecs,496598,CAS
Boys 15 Academy 1,Fusion Soccer Club,402021,MN
DBWV B15 Tapia,CDA Slammers,451745,CAS
Central Cal Aztecs B15 Academy,Central Cal Aztecs,496598,CAS
MAKO 2015 BOYS GREEN,Mako Soccer Club,389512,FL
Cottleville United 2015B Black,Cottleville United,366867,MO
B15 USLA,Morris Elite SC,286660,NJ
15B Pre ECNL,SJEB FC,272665,NJ
Iron Valley United 2015 Boys Red,Iron Valley United SC,333626,PAE
Inter AC 2015 Yellow,Inter AC,285137,IL
SD Surf Academy Boys 2015 (Valdivia),San Diego Surf Soccer Club,228347,CAS
EDHSC 15B Elite,El Dorado Hills Soccer Club,368231,CAN
MT SURF B2015 White,Montana Surf,415122,MT
Cobras,Lynbrook/East Rockaway SC ,384471,NYE
Vaqueros Academy 2015,Fort Worth Vaqueros FC,278109,TXN
AC Salisbury 2015 Boys Blue,AC Salisbury,500552,MD
Galaxy,Plainedge (LIJSL),381656,NYE
B2015 White,Asphalt Green,267389,NYE
2015B Premier Black,Los Gatos United Soccer Club,184864,CAN
EV B15 - Rodriguez,Fellowship Of Christian Athletes,478564,CAS
Savage Premier 2015,Valencia Soccer Academy,610314,AL
HB B15 Moreno,CDA Slammers,361909,CAS
Academy 2015 Green,Westbury Youth Soccer Club,395885,NYE
B15 Lemus,LA Breakers FC,359984,CAS
CCFC B15 Blue,Culver City Football Club,227767,CAS
FC LEGENDS UTD 15B Silver,FC LEGENDS UTD,585264,TXN
Stars FC 2015 Boys Summer Select,Delaware Football Club,490207,DE
New England Surf Metro Boston Navy 2015 Boys,New England Surf,260950,MA
BUSC 2015 Elite 3,Ballistic United,377857,CAN
Laguna FC 2015,UIFC Laguna FC,306489,CAS
LV Heat Surf B15 Pre LP Henderson,LV Heat Surf SC ,387274,NV
ANWSC Wellington SC 2015B Premier White,Wellington SC,384293,FL
Levels SC 2015,,449378,CT
2015 Boys Red EDP - Furlong,Clarkstown Soccer Club,342279,NYE
Steel City FC East 2015B Blue,Steel City FC,289077,PAW
Lightning B2015,Elwood (LIJSL),384479,NYE
JFC 2015B Elite White,Jacksonville FC,362532,FL
JFC 2015B Storm Silver,Jacksonville FC,362529,FL
Rebels SC Pre-ECNL B15A,Rebels Soccer Club,133155,CAS
15B White,Clovis Crossfire ,386256,CAN
2015 Boys Milan,Anthracite FC,519368,PAE
Snow Leopards B2015,New Hyde Park Wildcats Soccer Club ,332784,NYE
St. Louis Stars SC 15 Boys Elite Red,St. Louis Stars SC,385383,MO
Chula Vista FC B2015 Guaje,Chula Vista FC,348593,CAS
Ajax,Locust Valley Bayville Soccer Club (LIJSL),330866,NYE
Pride SC 2015B Copa,Pride Soccer Club,448272,OH
Lightning 2015,Highland Youth Soccer Club,196300,NJ
East Hampton B2015,East Hampton (LIJSL),331403,NYE
Ajax St. Louis Liverpool 2015,Ajax St Louis SC,259861,MO
USC Pulisic Blues 15,Union Soccer,387391,NJ
Pythons 2015,Voorhees SA,393826,NJ
B15 Blue,Reading Rage Surf,380634,PAE
TBU 2015B North White WFPL,Tampa Bay United,309648,FL
Sharks 2015 Academy,Merrick/South Merrick PAL,519284,NYE
BUSC 2015 Elite 4,Ballistic United,505195,CAN
Eternal 11 Boys 2015,Luciano Emilio Soccer Club,506645,MD
BRYC Academy '15B Teal,Braddock Road Youth Club,397707,VA
2015 Boys Spain,Patruno Futbol Club,353848,NJ
Utah Real FC 15B SH Black,Utah Real FC,256936,UT
B2015 Academy-2,Empire Surf,478499,CAS
Palo Alto SC 15B Blue,Palo Alto SC,261687,CAN
2015 Chicago Rush South Blue Boys,Chicago Rush Soccer Club,535298,IL
Aventura FC Bold Nation 2015B Black,AVENTURA F.C. BOLD NATION,455999,FL
MO Rush 2015B Azul,Missouri Rush,380178,MO
2015 Timbers Elite 2,Boise Timbers | Thorns,514524,ID
Grasshoppers FC - 2015B Black,Grasshoppers FC,626310,OH
Red Star 15B White,Red Star Soccer Academy,332763,CAN
San Ramon FC 15B Red,San Ramon FC,387499,CAN
Magic Soccer FC 15B Green - Team ID: 09B2508,,501164,ND
2015 Boys Pre-ECNL,Ohio Premier,267079,OH
OYSC 2015B White,Oakley Youth Soccer Club,587491,CAN
15B Laroussi,RSL-AZ South,404637,AZ
B2015 BLACK-ESC,SDSC Surf Escondido,239745,CAS
2015 Boys Black - Yamal,Lehigh Valley United,619730,PAE
Hurricanes 2015B,Brownsville Opportunity Youth Soccer Association (BOYSA),668333,TXS
Springfield B15 Orange,Soccer Club of Springfield,528703,NJ
B2015 Gladiators,SEMO Elite FC,516844,MO
VRSC 15B Pre-MLS 2,Virginia Revolution SC,381058,VA
