Rank,Team,PowerScore_adj,PowerScore,GP_Mult,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status,LastGame
93,Southeast 2015 Boys Red,0.248,0.33,0.75,0.358,0.187,0.501,7,Active,2025-09-28
94,Tuzos Halcones 2014,0.248,0.248,1.0,0.283,0.062,0.475,42,Active,2025-10-05
95,14B Negrete Pre MLS Next,0.248,0.248,1.0,0.268,0.084,0.462,25,Active,2025-10-04
96,CCV Stars 14 Boys North Orange,0.248,0.248,1.0,0.215,0.081,0.548,40,Active,2025-10-04
97,SFC XOLOS ARIZONA 2014,0.247,0.274,0.9,0.339,0.1,0.437,12,Active,2025-10-04
98,U-11 (2014) Boys Pre Academy,0.247,0.247,1.0,0.248,0.08,0.495,34,Active,2025-04-26
99,Legends FC AZ 14B Black,0.246,0.246,1.0,0.273,0.081,0.453,39,Active,2025-04-13
100,AZ Arsenal 14 Boys Teal 1,0.246,0.246,1.0,0.238,0.066,0.527,29,Active,2025-04-19
101,Desert Communities Soccer Club,0.246,0.328,0.75,0.164,0.381,0.494,1,Provisional,2025-08-09
102,CCV STARS 14 Boys Navy PEO,0.245,0.245,1.0,0.222,0.085,0.52,36,Active,2025-04-26
103,Phoenix United 2014 Premier,0.244,0.244,1.0,0.27,0.096,0.426,57,Active,2025-10-04
104,Playmaker Futbol Academy 14B Black,0.243,0.243,1.0,0.236,0.076,0.503,71,Active,2025-09-28
105,AZ Thundercats 2013,0.242,0.322,0.75,0.32,0.188,0.528,2,Provisional,2025-05-24
106,Next Level Soccer Southeast 2014 Boys Green,0.241,0.241,1.0,0.236,0.127,0.42,22,Active,2025-04-19
107,B2014 Yee,0.24,0.32,0.75,0.444,0.101,0.462,2,Provisional,2025-05-18
108,14B Flores,0.24,0.24,1.0,0.265,0.073,0.455,21,Active,2025-04-27
109,Madison FC 14 Blue Boys,0.24,0.24,1.0,0.236,0.091,0.471,51,Active,2025-09-20
110,2014 Boys Yellow,0.24,0.24,1.0,0.209,0.1,0.496,50,Active,2025-09-20
111,PSG 14B Red,0.238,0.317,0.75,0.391,0.044,0.616,3,Provisional,2025-10-04
112,FC ARIZONA 13 GFC CUEVAS,0.238,0.318,0.75,0.362,0.138,0.523,3,Provisional,2025-04-27
113,PRFC Scottsdale 14B Predator,0.238,0.238,1.0,0.243,0.073,0.478,43,Active,2025-09-20
114,Southeast 2014 Boys Green,0.237,0.237,1.0,0.255,0.11,0.399,36,Active,2025-10-05
115,14B JCFresquez Pre-MLS Next,0.236,0.236,1.0,0.196,0.079,0.533,28,Active,2025-04-27
116,13B Flores,0.235,0.313,0.75,0.306,0.243,0.43,4,Provisional,2025-04-13
117,RENO PUMITAS,0.235,0.313,0.75,0.069,0.457,0.462,1,Provisional,2025-06-13
118,Legends FC AZ 14B Gold,0.234,0.234,1.0,0.243,0.062,0.48,33,Active,2025-04-26
119,Phoenix United FC 2014 Premier,0.233,0.233,1.0,0.228,0.081,0.469,22,Active,2025-05-25
120,El Paso Football Club U11 BLUE,0.232,0.309,0.75,0.47,0.062,0.439,4,Provisional,2025-04-13
121,CITY SC SW B14 Premier MUR,0.232,0.309,0.75,0.382,0.059,0.574,2,Provisional,2025-06-01
122,Tuzos Academy Mesa 2014,0.232,0.232,1.0,0.253,0.074,0.437,59,Active,2025-10-05
123,CCV Stars 14 Boys West Pre-ECNL,0.232,0.232,1.0,0.227,0.073,0.478,25,Active,2025-09-13
124,AZ Arsenal 14 Boys Teal SC,0.231,0.231,1.0,0.213,0.088,0.472,43,Active,2025-10-04
125,14 Cityzens,0.231,0.231,1.0,0.196,0.082,0.508,71,Active,2025-10-04
126,Monsters 2014,0.23,0.255,0.9,0.329,0.098,0.381,12,Active,2025-09-20
127,VSC 2014 Boys Green,0.23,0.23,1.0,0.254,0.078,0.423,25,Active,2025-09-21
128,14B Engilman,0.229,0.229,1.0,0.231,0.078,0.451,52,Active,2025-09-20
129,Phoenix United 2015 Elite,0.229,0.254,0.9,0.231,0.059,0.579,18,Active,2025-09-28
130,CCV STARS 14 Boys Orange LAV,0.228,0.228,1.0,0.207,0.089,0.466,29,Active,2025-04-27
131,PRFC West Valley 14B Predator,0.227,0.227,1.0,0.255,0.078,0.41,37,Active,2025-10-04
132,AZ Inferno 14 Boys Black,0.227,0.227,1.0,0.245,0.077,0.427,56,Active,2025-10-04
133,CCV Stars 14 Boys East Pre-ECNL,0.225,0.225,1.0,0.248,0.098,0.381,26,Active,2025-09-14
134,14B Rayados Blue AL,0.225,0.25,0.9,0.242,0.054,0.555,14,Active,2025-10-05
135,PRFC Southeast Valley 14B Pre-Academy,0.225,0.225,1.0,0.207,0.056,0.507,43,Active,2025-10-04
136,PRFC Southeast Valley 14B Predator,0.224,0.224,1.0,0.218,0.054,0.486,59,Active,2025-10-04
137,U-12 (2014) Boys Pre Academy Blue,0.224,0.224,1.0,0.205,0.069,0.486,40,Active,2025-10-05
138,XOLOS ARIZONA 2014B,0.223,0.297,0.75,0.391,0.067,0.502,8,Active,2025-10-04
139,Next Level Soccer Southeast 2015 Boys Blue,0.223,0.248,0.9,0.282,0.089,0.437,18,Active,2025-04-27
140,CDO 14B Premier,0.223,0.223,1.0,0.204,0.072,0.48,33,Active,2025-10-05
141,PRFC West Valley 14B Pre-Academy,0.223,0.223,1.0,0.194,0.07,0.496,54,Active,2025-09-21
142,AZSC 2015B White,0.221,0.295,0.75,0.447,0.033,0.459,3,Provisional,2025-07-28
143,Playmaker Futbol Academy 14B Gold,0.221,0.221,1.0,0.211,0.058,0.481,76,Active,2025-09-28
144,Amore 2014 Boys,0.22,0.22,1.0,0.249,0.079,0.389,58,Active,2025-09-07
145,Dynamos SC 14B Gold,0.22,0.22,1.0,0.228,0.065,0.442,45,Active,2025-10-05
146,CCV STARS 14 Boys Orange PEO,0.22,0.244,0.9,0.188,0.084,0.57,10,Active,2025-04-27
147,14 Boys Navy,0.219,0.219,1.0,0.203,0.11,0.407,35,Active,2025-09-20
148,AZ Arsenal 14 Boys Select,0.218,0.218,1.0,0.23,0.111,0.361,31,Active,2025-10-04
149,U-13 (2013) Boys Yuma Academy,0.217,0.29,0.75,0.281,0.1,0.59,2,Provisional,2025-09-21
150,AZ Arsenal 14 Boys Teal 2 SC,0.217,0.217,1.0,0.203,0.086,0.435,37,Active,2025-04-13
151,AZ Arsenal 14 Boys AYDP,0.216,0.216,1.0,0.21,0.107,0.389,31,Active,2025-04-27
152,Kingman SC B14 McGill,0.216,0.216,1.0,0.202,0.101,0.409,23,Active,2025-09-07
153,14B Moyer,0.216,0.216,1.0,0.184,0.085,0.459,31,Active,2025-09-20
154,Carlsbad B14 White - C. Oliveira,0.215,0.287,0.75,0.333,0.229,0.306,1,Provisional,2025-08-16
155,La Academia 14B,0.215,0.239,0.9,0.307,0.053,0.416,19,Active,2025-10-04
156,CCV STARS 14 Boys White PEO,0.215,0.215,1.0,0.214,0.087,0.41,25,Active,2025-04-26
157,AZ Arsenal 14 Boys Teal CB,0.215,0.215,1.0,0.214,0.059,0.45,38,Active,2025-09-06
158,Phoenix Valley Soccer Club boys 2014,0.215,0.215,1.0,0.195,0.068,0.465,35,Active,2025-09-20
159,Next Level Soccer Northwest 2014 Boys,0.215,0.215,1.0,0.171,0.061,0.513,45,Active,2025-04-26
160,Northwest 2014 Boys,0.214,0.214,1.0,0.166,0.062,0.515,46,Active,2025-04-26
161,FC ARIZONA PRE ECNL RL B14,0.213,0.284,0.75,0.272,0.164,0.48,4,Provisional,2025-09-28
162,RSL-AZ Yuma 14 Boys Rodriguez,0.212,0.236,0.9,0.221,0.054,0.532,13,Active,2025-08-17
163,City SC B14 Premier - O'Mahoney,0.212,0.283,0.75,0.0,0.399,0.533,1,Provisional,2025-08-24
164,AZ Arsenal 13 Boys Teal 2 Don,0.211,0.282,0.75,0.343,0.047,0.542,2,Provisional,2025-04-13
165,PRFC North Valley 14B Predator,0.211,0.211,1.0,0.198,0.077,0.433,56,Active,2025-09-27
166,Verde Valley United FC,0.211,0.211,1.0,0.189,0.111,0.393,20,Active,2025-05-25
167,Las Vegas Sports Academy U12 Boys Black 2014,0.21,0.28,0.75,0.348,0.143,0.384,4,Provisional,2025-09-14
168,Pima Surf 2014 B White,0.21,0.28,0.75,0.157,0.0,0.883,4,Provisional,2025-09-13
169,Playmaker Futbol Academy North 14B,0.208,0.277,0.75,0.328,0.211,0.3,3,Provisional,2025-10-04
170,America 14b,0.208,0.231,0.9,0.259,0.056,0.45,11,Active,2025-09-28
171,Select 14B,0.208,0.208,1.0,0.193,0.071,0.437,34,Active,2025-10-04
172,14B Hermanson AL,0.208,0.208,1.0,0.176,0.108,0.407,41,Active,2025-10-04
173,Fenomenos 2014,0.207,0.276,0.75,0.229,0.079,0.644,1,Provisional,2025-05-17
174,LAFC 14 BOYS,0.206,0.229,0.9,0.293,0.052,0.4,19,Active,2025-04-27
175,PRFC Southeast Valley 14B Predator-Central,0.206,0.206,1.0,0.165,0.073,0.466,46,Active,2025-09-13
176,State 48 FC Avondale 14 Black,0.206,0.206,1.0,0.156,0.093,0.451,36,Active,2025-10-04
177,14B NL #2,0.206,0.229,0.9,0.151,0.251,0.312,12,Active,2025-09-21
178,14B NL #1,0.205,0.228,0.9,0.22,0.077,0.466,19,Active,2025-09-21
179,AZ Arsenal 14 Boys Teal 2 AP,0.205,0.205,1.0,0.202,0.07,0.412,29,Active,2025-04-13
180,15B NMarkette,0.205,0.205,1.0,0.194,0.063,0.435,28,Active,2025-04-26
181,CITY SC SW B14 White LE Rea,0.205,0.273,0.75,0.142,0.061,0.788,1,Provisional,2025-08-09
182,Chelsea 13B,0.204,0.272,0.75,0.256,0.054,0.622,7,Active,2025-09-21
