Rank,Team,PowerScore_adj,PowerScore,GP_Mult,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status,LastGame
242,14B Hermanson,0.177,0.236,0.75,0.168,0.042,0.628,2,Provisional,2025-10-04
243,FDI 2015,0.176,0.235,0.75,0.176,0.39,0.091,2,Provisional,2025-04-19
244,Scottsdale 13 Sandsharks Select,0.176,0.234,0.75,0.174,0.067,0.574,3,Provisional,2025-04-25
245,FSC United 14 Boys,0.176,0.176,1.0,0.164,0.045,0.391,45,Active,2025-09-28
246,FCDA 13B Red NL (AZ),0.176,0.235,0.75,0.158,0.087,0.574,2,Provisional,2025-09-13
247,Dallas Texans Pre ECNL B14 Salazar,0.175,0.233,0.75,0.114,0.079,0.644,1,Provisional,2025-05-17
248,B-14 Hugo,0.174,0.232,0.75,0.267,0.147,0.306,1,Provisional,2025-08-16
249,Tuzos Academy 2013,0.174,0.232,0.75,0.241,0.052,0.489,1,Provisional,2025-09-19
250,14B Laroussi,0.174,0.193,0.9,0.183,0.039,0.439,17,Active,2025-09-27
251,B2014 Academy,0.174,0.232,0.75,0.105,0.192,0.484,3,Provisional,2025-08-23
252,15B Vyas,0.173,0.192,0.9,0.185,0.133,0.293,10,Active,2025-04-27
253,PRFC Scottsdale 14B Copa,0.173,0.173,1.0,0.149,0.048,0.395,39,Active,2025-09-20
254,Deportivo Mexico 14B,0.173,0.192,0.9,0.142,0.082,0.431,17,Active,2025-09-28
255,City SC Central Valley AV-B2014,0.171,0.228,0.75,0.164,0.116,0.494,1,Provisional,2025-08-09
256,AZVV B2014 (NAVY),0.17,0.227,0.75,0.195,0.165,0.368,5,Provisional,2025-10-04
257,CAC 14/15B (Conroy),0.169,0.169,1.0,0.123,0.078,0.375,42,Active,2025-09-28
258,14B Geoff,0.169,0.169,1.0,0.11,0.099,0.362,26,Active,2025-09-21
259,Pima Surf 2014 B,0.168,0.224,0.75,0.234,0.08,0.426,5,Provisional,2025-10-05
260,Tuzos Chandler 2014 boys,0.167,0.223,0.75,0.186,0.039,0.555,6,Active,2025-10-04
261,CCV STARS 14 Boys Navy LAV,0.167,0.167,1.0,0.123,0.065,0.385,34,Active,2025-04-27
262,Synergy FC 14 B,0.166,0.166,1.0,0.133,0.065,0.369,41,Active,2025-09-27
263,PRFC Scottsdale 15B Predator,0.164,0.218,0.75,0.222,0.075,0.428,9,Active,2025-04-26
264,Juventus,0.163,0.217,0.75,0.182,0.065,0.497,7,Active,2025-05-24
265,Phoenix Premier FC 14B Pre MLS AD,0.163,0.217,0.75,0.162,0.056,0.539,3,Provisional,2025-08-31
266,Milan,0.163,0.163,1.0,0.091,0.1,0.365,34,Active,2025-09-28
267,United SoCal Redlands B2014 White,0.162,0.216,0.75,0.233,0.068,0.412,1,Provisional,2025-08-23
268,Madison FC 2015 Boys Gold,0.162,0.216,0.75,0.127,0.073,0.562,8,Active,2025-04-27
269,East Valley NSFC 14 Boys Tiggs,0.161,0.161,1.0,0.124,0.032,0.409,29,Active,2025-09-13
270,U-12 (2014) Boys Pre Academy Orange,0.158,0.21,0.75,0.152,0.082,0.488,3,Provisional,2025-10-04
271,Las Vegas Elite FC B14 Gold,0.158,0.211,0.75,0.14,0.17,0.379,2,Provisional,2025-06-13
272,FC Sonora 14' B Dynamo,0.157,0.174,0.9,0.124,0.05,0.435,13,Active,2025-09-28
273,ALBION SC Las Vegas B13 Academy V,0.157,0.209,0.75,0.114,0.013,0.644,1,Provisional,2025-04-12
274,Madison FC 14 White Boys,0.156,0.208,0.75,0.225,0.129,0.302,7,Active,2025-09-13
275,VSC 2014 Boys White,0.155,0.172,0.9,0.132,0.083,0.366,18,Active,2025-09-21
276,13 Boys Navy,0.154,0.206,0.75,0.269,0.056,0.336,4,Provisional,2025-05-25
277,Phoenix Premier FC 14B Pre MLS Next AD,0.152,0.203,0.75,0.172,0.045,0.487,5,Provisional,2025-09-20
278,Hustle Hard 2014- Boys,0.15,0.15,1.0,0.083,0.063,0.38,29,Active,2025-04-13
279,CITY SC SW B14 White MV II,0.15,0.2,0.75,0.0,0.007,0.788,1,Provisional,2025-08-10
280,Phoenix Premier FC 14B SW White,0.149,0.198,0.75,0.259,0.097,0.26,2,Provisional,2025-10-04
281,Bala FC - 2014B,0.149,0.198,0.75,0.191,0.084,0.379,3,Provisional,2025-09-14
282,Platinum IE B14 Yanez 1037,0.149,0.199,0.75,0.096,0.069,0.548,1,Provisional,2025-08-09
283,AZSC 2014/2015B Navy,0.146,0.194,0.75,0.173,0.082,0.393,6,Active,2025-10-04
284,SCFC 2014,0.146,0.194,0.75,0.0,0.091,0.638,2,Provisional,2025-09-28
285,PSC 2014B,0.144,0.192,0.75,0.086,0.117,0.464,6,Active,2025-09-27
286,AZ Arsenal 13 Boys Teal DC,0.144,0.192,0.75,0.083,0.179,0.373,1,Provisional,2025-08-31
287,Cimarron FC,0.144,0.192,0.75,0.0,0.027,0.726,1,Provisional,2025-05-31
288,Jedi 14B,0.143,0.19,0.75,0.077,0.126,0.455,3,Provisional,2025-09-21
