Team,Goals_For,Games_Played,Goals_Against,First_Game,Last_Game,Wins,Losses,Ties,Offensive_Rating,Defensive_Rating,Goal_Differential,Goal_Diff_Per_Game
Sun Warriors 15/16 Boys,11,5,12,1/4/2025,9/14/2025,2,3,0,2.2,2.4,-1,-0.2
Synergy FC 14 B,95,60,247,1/11/2025,9/7/2025,8,43,9,1.5833333333333333,4.116666666666666,-152,-2.533333333333333
Tuzos 2014 Nava,97,31,146,1/11/2025,9/28/2024,10,19,2,3.129032258064516,4.709677419354839,-49,-1.5806451612903225
Tuzos Academy Mesa 2014,227,74,240,1/11/2025,9/7/2025,30,30,14,3.0675675675675675,3.2432432432432434,-13,-0.17567567567567569
Tuzos Chandler 2014 boys,24,10,52,10/4/2025,9/7/2025,2,8,0,2.4,5.2,-28,-2.8
Tuzos Halcones 2014,182,57,210,1/11/2025,9/7/2025,25,25,7,3.192982456140351,3.6842105263157894,-28,-0.49122807017543857
Tuzos Nogales 2014,4,6,14,9/20/2025,9/21/2025,0,6,0,0.6666666666666666,2.3333333333333335,-10,-1.6666666666666667
Tuzos Royals 14 Pre-Academy,217,69,110,1/18/2025,9/7/2025,51,16,2,3.1449275362318843,1.5942028985507246,107,1.5507246376811594
Tuzos Royals 2014,274,107,219,1/11/2025,9/7/2025,56,34,17,2.560747663551402,2.046728971962617,55,0.514018691588785
Tuzos Titanes 2014,39,22,86,1/11/2025,9/7/2025,5,14,3,1.7727272727272727,3.909090909090909,-47,-2.1363636363636362
U-12 (2014) Boys Pre Academy Blue,90,41,129,1/11/2025,9/8/2024,10,27,4,2.1951219512195124,3.1463414634146343,-39,-0.9512195121951219
U-12 (2014) Boys Yuma Pre Academy,47,18,38,1/25/2025,9/8/2024,9,9,0,2.611111111111111,2.111111111111111,9,0.5
VSC 2014 Boys Green,113,35,114,1/11/2025,9/21/2025,15,15,5,3.2285714285714286,3.257142857142857,-1,-0.02857142857142857
VSC 2014 Boys White,31,23,81,1/18/2025,9/22/2024,3,18,2,1.3478260869565217,3.5217391304347827,-50,-2.1739130434782608
Verde Valley United FC,54,25,44,3/29/2025,5/26/2024,10,7,8,2.16,1.76,10,0.4
West Valley 2014 Boys Martinez Pre-Elite64,204,59,111,1/11/2025,9/15/2024,33,24,2,3.457627118644068,1.88135593220339,93,1.576271186440678
