Team Name,Club,Team ID,Points,Wins,Losses,Ties,Games Played,Rank,State,Region,Win Percentage,State Rank,Regional Rank,Goal Ratio,Team URL,Last Activity,Gender,Age Group
PRFC North Valley 14B PreAcademy,Phoenix Rising FC North Valley,68446,17103,20,17,7,44,54,AZ,4,0.45454545454545453,11,17,0.9083333333333333,https://rankings.gotsport.com/teams/68446,2025-10-08,M,U12
AZEV B2014 (NAVY),AYSO United (AZ),342294,16981,28,7,4,39,55,AZ,4,0.717948717948718,12,18,2.5535714285714284,https://rankings.gotsport.com/teams/342294,2025-10-08,M,U12
Madison FC 14 Gold Boys,Madison FC,96965,15292,32,10,6,48,71,AZ,4,0.6666666666666666,13,22,2.2051282051282053,https://rankings.gotsport.com/teams/96965,2025-10-08,M,U12
AZ Arsenal Pre-ECNL B14,Arizona Arsenal Soccer Club,130653,14328,20,13,2,35,81,AZ,4,0.5714285714285714,14,24,1.5405405405405406,https://rankings.gotsport.com/teams/130653,2025-10-08,M,U12
14B JDeutsch Pre-MLS Next,RSL-AZ South,82303,13674,18,16,5,39,87,AZ,4,0.46153846153846156,15,25,1.125,https://rankings.gotsport.com/teams/82303,2025-10-08,M,U12
AZSC 14B Perez,Arizona Soccer Club,80004,13488,31,14,5,50,91,AZ,4,0.62,16,27,1.841121495327103,https://rankings.gotsport.com/teams/80004,2025-10-08,M,U12
Southeast 2014 Boys Blue,Next Level Soccer (AZ),448054,13120,19,12,2,33,102,AZ,4,0.5757575757575758,17,31,1.5526315789473684,https://rankings.gotsport.com/teams/448054,2025-10-08,M,U12
PRFC Scottsdale 14B Pre-Academy,Phoenix Rising FC,129148,13076,32,13,3,48,103,AZ,4,0.6666666666666666,18,32,2.6341463414634148,https://rankings.gotsport.com/teams/129148,2025-10-08,M,U12
14 Pre-MLSN #1,FC Tucson Youth Soccer,499119,12340,28,10,3,41,114,AZ,4,0.6829268292682927,19,34,2.2318840579710146,https://rankings.gotsport.com/teams/499119,2025-10-08,M,U12
Playmaker Futbol Academy 14B Black,Playmaker Futbol Academy,391035,11147,27,25,7,59,139,AZ,4,0.4576271186440678,20,40,1.026143790849673,https://rankings.gotsport.com/teams/391035,2025-10-08,M,U12
Brazas 2014 Boys Black Marcos,Brazas Futebol Club,138967,10955,17,12,4,33,144,AZ,4,0.5151515151515151,21,42,1.352112676056338,https://rankings.gotsport.com/teams/138967,2025-10-08,M,U12
Tuzos Royals 14 Pre-Academy,FBSL,435521,10140,38,18,1,57,158,AZ,4,0.6666666666666666,22,49,1.6,https://rankings.gotsport.com/teams/435521,2025-10-08,M,U12
14B Velasco,RSL-AZ South,82310,9461,18,15,5,38,172,AZ,4,0.47368421052631576,23,53,1.2112676056338028,https://rankings.gotsport.com/teams/82310,2025-10-08,M,U12
