Team Name,Is Arizona,Gender,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
Cachimbas FC 2014,False,M,1,1,0,0,100.0,2025-08-30,2025-08-30
Havasu Lions 13B Moran,False,M,1,0,1,0,0.0,2025-04-26,2025-04-26
Carlsbad B14 White - C. Oliveira,False,M,1,1,0,0,100.0,2025-08-16,2025-08-16
AZSC 13B Vargas Pre-E64RL,False,M,1,1,0,0,100.0,2025-04-27,2025-04-27
Peak FC - U9/U10/U11,False,M,1,0,1,0,0.0,2025-05-10,2025-05-10
ALBION SC Las Vegas B13 Academy V,False,M,1,0,1,0,0.0,2025-04-12,2025-04-12
AYSO United 15BlueB,False,M,1,0,1,0,0.0,2025-05-11,2025-05-11
B14 Premier,False,M,1,1,0,0,100.0,2025-08-08,2025-08-08
B-14 Hugo,False,M,1,1,0,0,100.0,2025-08-16,2025-08-16
AZ Arsenal 13 Boys Teal DC,False,M,1,0,0,1,0.0,2025-08-31,2025-08-31
JUSA Select Oftellie B14,False,M,1,0,1,0,0.0,2025-08-24,2025-08-24
Desert Communities Soccer Club,False,M,1,1,0,0,100.0,2025-08-09,2025-08-09
United SoCal Redlands B2014 White,False,M,1,0,1,0,0.0,2025-08-23,2025-08-23
Tuzos USA 2013,False,M,1,0,0,1,0.0,2025-04-12,2025-04-12
SWSC B2014 ELITE,False,M,1,1,0,0,100.0,2025-06-01,2025-06-01
CITY SC SW B14 White LE Rea,False,M,1,0,1,0,0.0,2025-08-09,2025-08-09
Park City SC B2014 Red,False,M,1,1,0,0,100.0,2025-08-30,2025-08-30
B2014 Blue,False,M,1,1,0,0,100.0,2025-08-09,2025-08-09
Fenomenos 2014,False,M,1,0,0,1,0.0,2025-05-17,2025-05-17
South County B2013 White,False,M,1,0,1,0,0.0,2025-08-23,2025-08-23
Borussia Del Mar Soccer Club Boys 2014,False,M,1,1,0,0,100.0,2025-08-23,2025-08-23
Galacticos FC Sonora,False,M,1,0,1,0,0.0,2025-09-06,2025-09-06
OJB FC 2014 Boys,False,M,1,0,1,0,0.0,2025-09-27,2025-09-27
Dallas Texans Pre ECNL B14 Salazar,False,M,1,0,1,0,0.0,2025-05-17,2025-05-17
PRFC WV 13B NL Premier 2 AZ,False,M,1,0,1,0,0.0,2025-08-30,2025-08-30
15 Pre-MLS Next Tier #1,False,M,1,0,1,0,0.0,2025-08-30,2025-08-30
EV-NSFC 15 Boys Perez(1),False,M,1,1,0,0,100.0,2025-04-14,2025-04-14
PSG 13B Blue E64RL,False,M,1,0,1,0,0.0,2025-08-30,2025-08-30
Phoenix Premier FC 13B Black,False,M,1,0,1,0,0.0,2025-08-30,2025-08-30
SWSC B2014 GOLD,False,M,1,0,1,0,0.0,2025-05-31,2025-05-31
CITY SC SW B14 White MV II,False,M,1,0,1,0,0.0,2025-08-10,2025-08-10
City SC Central Valley AV-B2014,False,M,1,0,0,1,0.0,2025-08-09,2025-08-09
City SC B14 Premier - O'Mahoney,False,M,1,0,0,1,0.0,2025-08-24,2025-08-24
Southeast 2013 Boys Blue,False,M,1,0,1,0,0.0,2025-09-28,2025-09-28
B14 EA,False,M,1,1,0,0,100.0,2025-08-08,2025-08-08
AZ Arsenal 14 Boys Flagstaff,False,M,1,1,0,0,100.0,2025-09-13,2025-09-13
South County B2013,False,M,1,1,0,0,100.0,2025-08-24,2025-08-24
Avalanche 14B Gray SL,False,M,1,0,1,0,0.0,2025-08-29,2025-08-29
PRFC Scottsdale 15B Pre-Academy,False,M,1,0,1,0,0.0,2025-08-31,2025-08-31
Catalyst 14 N,False,M,1,0,1,0,0.0,2025-05-16,2025-05-16
ALBION SC San Diego B14 Academy III,False,M,1,1,0,0,100.0,2025-08-09,2025-08-09
