Team Name,Is Arizona,Gender,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
14 Pre-MLSN #1,True,M,44,27,11,6,61.36363636363637,2024-08-31,2025-10-04
Southeast 2014 Boys Green,True,M,44,23,15,6,52.27272727272727,2024-08-31,2025-10-05
Eagles F.C.,True,M,44,19,16,9,43.18181818181818,2024-10-05,2025-09-21
CCV Stars 14 Boys North Orange,True,M,44,19,20,5,43.18181818181818,2024-09-07,2025-10-04
AZ Arsenal 14 Boys Teal CB,True,M,44,15,22,7,34.090909090909086,2024-08-30,2025-09-06
CCV Stars 14 Boys South Orange,True,M,43,6,29,8,13.953488372093023,2024-09-13,2025-10-04
State 48 FC Avondale 14 Black,True,M,43,20,18,5,46.51162790697674,2024-08-30,2025-10-04
East Valley NSFC 14 Boys Tiggs,True,M,42,1,39,2,2.380952380952381,2024-09-14,2025-09-13
Hustle Hard 2014- Boys,True,M,42,8,30,4,19.047619047619047,2024-09-13,2025-04-13
14B Antunez Pre-MLS Next,True,M,41,13,25,3,31.70731707317073,2024-04-21,2025-10-05
14B Velasco,True,M,41,21,15,5,51.21951219512195,2024-09-14,2025-09-27
CDO 14B Premier,True,M,40,16,20,4,40.0,2024-09-20,2025-10-05
AZSC 2014B Pre-NL Premier 2,True,M,40,26,9,5,65.0,2024-09-21,2025-09-20
CDO 14B Elite,True,M,40,22,7,11,55.00000000000001,2024-09-20,2025-09-21
Scottsdale 14 Sandsharks Black,True,M,40,17,15,8,42.5,2024-09-07,2025-09-13
Playmaker Futbol Academy PRE-ECNL B14,True,M,39,17,18,4,43.58974358974359,2024-04-20,2025-09-28
Scottsdale 14 Sandsharks Select,True,M,38,28,4,6,73.68421052631578,2024-08-30,2025-10-04
RSL-AZ Yuma 14 Boys Quinonez,True,M,37,21,14,2,56.75675675675676,2024-09-14,2025-10-04
CCV Stars 14 Boys South Pre-ECNL,True,M,37,17,17,3,45.94594594594595,2024-09-14,2025-10-05
14B Blue #1,True,M,37,13,22,2,35.13513513513514,2024-09-21,2025-09-21
Select 14B Red,True,M,37,12,23,2,32.432432432432435,2024-09-14,2025-10-04
Southeast 2014 Boys Black,True,M,36,25,6,5,69.44444444444444,2024-08-30,2025-09-14
14B Moyer,True,M,36,17,17,2,47.22222222222222,2024-04-27,2025-09-20
VSC 2014 Boys Green,True,M,36,16,15,5,44.44444444444444,2024-09-21,2025-09-21
Phoenix Premier FC 14B X-Factor,True,M,35,28,5,2,80.0,2024-10-26,2025-09-21
14B Rueda,True,M,35,11,23,1,31.428571428571427,2024-09-07,2025-10-04
Tuzos 2014 Nava,True,M,32,11,19,2,34.375,2024-09-14,2025-10-04
Phoenix Premier FC 14B SW Black,True,M,32,19,11,2,59.375,2024-09-07,2025-09-28
CCV Stars 14 Boys North Navy,True,M,32,12,18,2,37.5,2024-09-07,2025-10-04
FC Deportivo AZ 2014B (Gallegos),True,M,32,19,7,6,59.375,2024-11-09,2025-10-04
14B Negrete Pre MLS Next,True,M,31,13,13,5,41.935483870967744,2024-09-21,2025-10-04
2014 Tuzos Academy FV,True,M,31,22,7,2,70.96774193548387,2024-09-14,2025-10-04
Kingman SC B14 McGill,True,M,31,17,10,4,54.83870967741935,2024-12-07,2025-09-07
AZ Arsenal 14 Boys Select,True,M,31,18,11,2,58.06451612903226,2024-09-07,2025-10-04
Verde Valley United FC,True,M,30,12,9,9,40.0,2024-04-20,2025-05-25
14B Midhaan,True,M,29,5,20,4,17.24137931034483,2024-09-07,2025-09-14
14B JDeutsch Pre-MLS Next,True,M,29,14,11,4,48.275862068965516,2024-09-14,2025-09-19
CCV Stars 14 Boys East Pre-ECNL,True,M,29,10,15,4,34.48275862068966,2024-09-13,2025-09-14
14B Geoff,True,M,29,7,17,5,24.137931034482758,2024-09-20,2025-09-21
