Date,Team A,Team B,Score A,Score B,Result A,Result B,Event,Competition,Division,Venue,Location,Match ID,Original Team ID,Original Team Rank,Team A State,Team B State,Team A Gender,Team B Gender,Team A State Corrected,Team B State Corrected,Team A State Better,Team B State Better,Team A Is Arizona,Team B Is Arizona
2024-11-23,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,0,6,L,W,2024 Heritage Cup ,Heritage Cup,U12B 12u Boys Gold ,HC- Crossroads Park,"2155 E Knox Road , Gilbert, AZ 85296",18182559,238248,5,CA,UT,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2024-10-18,Southeast 2014 Boys Black,14B GSA,3,1,W,L,2024 The Fiesta Cup ,The Fiesta Cup ,U12B B-U12 GOLD,Bell 94 Soccer Complex (FC Arizona) ,"9390 E Bell Rd , Scottsdale , AZ 85255",17993653,238248,5,UT,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2024-10-13,FC ARIZONA 13 GFC CUEVAS,Southeast 2014 Boys Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825643,238248,5,AZ,UT,F,M,Non-AZ,AZ,AZ,AZ,False,True
2024-10-12,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,1,2,L,W,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U12B GOLD - U12,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825649,238248,5,UT,CA,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2024-09-29,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,3,L,W,The Derby (2024),The Derby,U12B Gold U12 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816391,238248,5,UT,CA,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2024-08-31,Southeast 2014 Boys Black,Playmaker Futbol Academy 13B Black,2,4,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371862,238248,5,UT,CA,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2024-08-30,PRFC North Valley 13B PreAcademy,Southeast 2014 Boys Black,1,2,L,W,Phoenix Rising Cup 2024,Phoenix Rising Cup,U12B U12 Boys Gold,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",17371869,238248,5,CA,UT,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-09-28,Playmaker Futbol Academy PRE-ECNL B14,14B GSA,1,3,L,W,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796057,404655,7,CA,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-28,Southeast 2015 Boys Red,14B GSA,1,2,L,W,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796061,404655,7,UT,Unknown,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-09-27,14B GSA,Excel Soccer Academy 14B Red,7,2,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796058,404655,7,Unknown,CA,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-27,14B GSA,Tuzos Royals 2014,3,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796052,404655,7,Unknown,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-07,14B GSA,Tuzos Royals 2014,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426333,404655,7,Unknown,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-07,14B GSA,Phoenix United 2015 Elite,4,3,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426331,404655,7,Unknown,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2025-09-06,14B GSA,Dynamos SC 14B SC,3,3,T,T,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426327,404655,7,Unknown,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-06,Tuzos Royals 2014,14B GSA,1,2,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426330,404655,7,UT,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-08-31,14B GSA,Phoenix Premier FC 14B Pre MLS AD,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380965,404655,7,Unknown,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2025-08-31,Playmaker Futbol Academy PRE-ECNL B14,14B GSA,2,6,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380966,404655,7,CA,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-08-30,14B GSA,Phoenix United 2015 Elite,4,2,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380961,404655,7,Unknown,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2025-08-30,PRFC Scottsdale 14B Pre-Academy,14B GSA,0,1,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - McGlynn,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380962,404655,7,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-05-03,14B GSA,Excel Soccer Academy 14 Red,2,5,L,W,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",20082704,404655,7,Unknown,CA,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2025-04-27,Brazas 2014 Boys Black Marcos,14B GSA,2,2,T,T,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916711,404655,7,AZ,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-04-26,14B GSA,14 ECNL #2,5,3,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916708,404655,7,Unknown,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2025-04-13,14B GSA,AZ Arsenal Pre-ECNL B14,5,1,W,L,2025 Arizona Presidents Cup,Arizona Presidents Cup ,U11B 11U Boys Gold - Driven by Desert Ford Dealers,Reach 11 (ASA),"2425 E. Deer Valley Rd, Phoenix, AZ 85050",19916703,404655,7,Unknown,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-03-30,14B GSA,Phoenix United 14 Elite,1,1,T,T,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20024179,404655,7,Unknown,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2025-03-29,14B GSA,Chelsea 13B,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",20024171,404655,7,Unknown,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2025-02-08,CCV STARS 14 Boys Orange PEO,14B GSA,0,3,L,W,Desert Classic 2025,Desert Classic,U12B U12 Boys Silver,Arizona Athletic Grounds,"1 Legacy Dr., Mesa, AZ 85212",18969285,404655,7,CA,Unknown,M,M,Non-AZ,AZ,AZ,AZ,False,True
2025-01-04,14B GSA,Sun Warriors 13/14 Boys,2,1,W,L,New Year's Futures Cup 2025,New Year's Futures Cup,U12B U12 Boys Cobalt,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",18592453,404655,7,Unknown,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2024-11-29,Legends FC AZ 14B FC,14B GSA,0,0,T,T,2024 Desert Super Cup,Tournaments Powered by Rated Sports ,U11B SUPER PRO - U11B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",18327414,404655,7,AZ,Unknown,F,M,Non-AZ,AZ,AZ,AZ,False,True
2024-10-12,14B GSA,PSG 14B Blue,8,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825605,404655,7,Unknown,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2024-10-12,Excel Soccer Academy 14 Red,14B GSA,3,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Scottsdale Sports Complex (Rated Sports),"8081 E Princess Dr , Scottsdale , AZ 85255",17825609,404655,7,CA,Unknown,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2024-10-11,14B GSA,Playmaker Futbol Academy 14B Gold,2,0,W,L,2024 Scottsdale Cup,Tournaments Powered by Rated Sports ,U11B GOLD - U11,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",17825613,404655,7,Unknown,CA,M,M,AZ,AZ,AZ,AZ,True,True
2024-09-29,Legends FC AZ 14B FC,14B GSA,2,3,L,W,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816295,404655,7,AZ,Unknown,F,M,Non-AZ,AZ,AZ,AZ,False,True
2024-09-29,14B GSA,Next Level Soccer Southeast 2014 Boys Red,4,0,W,L,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816294,404655,7,Unknown,UT,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2024-09-28,14B GSA,Tuzos Royals 2014,6,0,W,L,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816291,404655,7,Unknown,UT,M,M,AZ,AZ,AZ,AZ,True,True
2024-09-28,Next Level Soccer Northwest 2014 Boys,14B GSA,0,6,L,W,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816287,404655,7,Unknown,Unknown,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2024-09-27,14B GSA,Next Level Soccer Southeast 2014 Boys Red,1,1,T,T,The Derby (2024),The Derby,U11B Gold U11 Male,Bell 94 Sports Complex,"9390 E Bell Rd, Scottsdale, AZ 85260",17816280,404655,7,Unknown,UT,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2024-09-15,13B Flores,14B GSA,3,1,W,L,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674850,404655,7,FL,Unknown,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2024-09-14,14B GSA,Scottsdale 13 Sandsharks Select,0,1,L,W,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674843,404655,7,Unknown,AZ,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2024-09-13,Playmaker Futbol Academy 14B Black,14B GSA,2,6,L,W,2024 Cactus Kick Off,Cactus Kick Off,U12B U12 Boys Argentina,Reach 11 Sports Complex,"2425 E Deer Valley Dr , Phoenix, AZ 85050",17674847,404655,7,CA,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2024-04-21,14B GSA,Chelsea 13B,1,2,L,W,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600190,404655,7,Unknown,Unknown,M,M,AZ,Non-AZ,AZ,Unclear,True,False
2024-04-20,Juventus,14B GSA,0,5,L,W,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600184,404655,7,Unknown,Unknown,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2024-04-19,14B GSA,Tuzos Royals 2014,4,1,W,L,Schools Out For Summer 2024,Schools Out,U11B U11 Boys B,Bell94 Sports Complex,"9390 E Bell Road , Scottsdale, AZ 85260",15600186,404655,7,Unknown,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-10-04,Tuzos Royals 2014,14 Pre-MLSN #1,0,3,L,W,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544421,365177,8,UT,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-28,Tuzos Royals 2014,Southeast 2014 Boys Red,2,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796055,365177,8,UT,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-27,Southeast 2015 Boys Red,Tuzos Royals 2014,3,0,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796060,365177,8,UT,UT,M,M,Non-AZ,AZ,Non-AZ,AZ,False,True
2025-09-27,14B GSA,Tuzos Royals 2014,3,1,W,L,The Derby 2025,The Derby 2025,U12B Boys U12 Gold,Reata Sports Complex,"9809 E. McDowell Mountain Ranch Road, Scottsdale, AZ 85260",22796052,365177,8,Unknown,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-21,Excel Soccer Academy 14B Red,Tuzos Royals 2014,3,0,W,L,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544447,365177,8,CA,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-20,Tuzos Royals 2014,Southeast 2014 Boys Blue,0,2,L,W,2025-2026 ASA Advanced Leagues,ARIZONA ADVANCED LEAGUES,U12B 12U Boys APL,AZ Athletic Grounds (ASA),"1 Legacy Drive , Mesa, AZ 85212",21544441,365177,8,UT,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-07,Tuzos Royals 2014,Dynamos SC 14B SC,2,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426332,365177,8,UT,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-07,14B GSA,Tuzos Royals 2014,4,1,W,L,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426333,365177,8,Unknown,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-09-06,Phoenix United 2015 Elite,Tuzos Royals 2014,0,1,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426328,365177,8,AZ,UT,M,M,Non-AZ,AZ,AZ,AZ,False,True
2025-09-06,Tuzos Royals 2014,14B GSA,1,2,L,W,Tuzos Challenge 2025,Tuzos Challenge,U12B U12 Gold (9v9),West Valley Events Complex - Field,"10020 N. Ball Park Blvd., Glendale, AZ 85305",22426330,365177,8,UT,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-08-31,Dynamos SC 14B SC,Tuzos Royals 2014,0,2,L,W,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380482,365177,8,Unknown,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-08-30,Tuzos Royals 2014,14 Pre-MLSN #1,2,2,T,T,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380479,365177,8,UT,Unknown,M,M,AZ,AZ,AZ,AZ,True,True
2025-08-30,Southeast 2014 Boys Black,Tuzos Royals 2014,6,1,W,L,Phoenix Rising Cup 2025,Phoenix Rising Cup,U12B U12 Boys Gold - Tolkin,Reach 11 Sports Complex (PRC),"2425 E Deer Valley Dr , Phoenix , AZ 85050",22380480,365177,8,UT,UT,M,M,AZ,AZ,AZ,AZ,True,True
2025-08-09,City SC Central Valley AV-B2014,Tuzos Royals 2014,2,2,T,T,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614317,365177,8,Unknown,UT,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2025-08-09,Tuzos Royals 2014,Desert Communities Soccer Club,0,2,L,W,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614319,365177,8,UT,CO,M,M,AZ,Non-AZ,AZ,Non-AZ,True,False
2025-08-08,B14 EA,Tuzos Royals 2014,4,0,W,L,2025 Los Angeles Cup,Tournaments Powered by Rated Sports ,U12B U12 - Super Pro,Lancaster National Soccer Center,"43000 30th St E, Lancaster, CA 93535",21614322,365177,8,Unknown,UT,M,M,Non-AZ,AZ,Unclear,AZ,False,True
2025-04-27,Tuzos Royals 2014,Phoenix Premier FC 14B SW,3,0,W,L,Schools Out For Summer 2025,Schools Out,U11B U11 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473577,365177,8,UT,AZ,M,M,AZ,Non-AZ,AZ,AZ,True,False
2025-04-27,Tuzos Royals 2014,AZ Inferno 14 Boys Black,4,1,W,L,Schools Out For Summer 2025,Schools Out,U11B U11 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473575,365177,8,UT,AZ,M,M,AZ,AZ,AZ,AZ,True,True
2025-04-26,ESC - Boys Chandler 15/16,Tuzos Royals 2014,0,12,L,W,Schools Out For Summer 2025,Schools Out,U11B U11 Boys 1,Scottsdale Sports Complex (ASA),"8081 E. Princess Drive, Scottsdale, AZ 85225",20473571,365177,8,AZ,UT,M,M,AZ,AZ,AZ,AZ,True,True
