Date,Team,Opponent,Goals For,Goals Against,Opponent_BaseStrength,Opp_Off_norm,Opp_Def_norm,Opp_Power (final),GFPG_Snapshot,GAPG_Snapshot,Recency_Weight,Result,GD
2025-09-20,14 Boys Navy,2014 Boys Yellow,2,6,0.5418800043487337,0.5558441558441556,0.527915852853312,0.5806393106900819,1.3,3.8880487804878046,0.03626943005181347,L,-4
2025-05-25,14 Boys Navy,Playmaker Futbol Academy 14B Black,1,3,0.7144071606973512,0.7094260578131543,0.7193882635815483,0.7037502585556059,1.3,3.8880487804878046,0.03626943005181347,L,-2
2025-04-27,14 Boys Navy,Synergy FC 14 B,1,0,0.17516915919840828,0.03447461629279812,0.31586370210401843,0.19265585479142341,1.3,3.8880487804878046,0.03626943005181347,W,1
2025-04-26,14 Boys Navy,Milan,1,2,0.25311479142719484,0.12142857142857133,0.3848010114258184,0.2801327537607974,1.3,3.8880487804878046,0.03626943005181347,L,-1
2025-04-26,14 Boys Navy,Madison FC 14 Gold Boys,0,4,0.692223399306951,0.7020527859237534,0.6823940126901485,0.6132219435795043,1.3,3.8880487804878046,0.03626943005181347,L,-4
2025-04-13,14 Boys Navy,14B Negrete Pre MLS Next,0,6,0.4949125249554863,0.5870129870129868,0.4028120628979858,0.3955922611228064,1.3,3.8880487804878046,0.03626943005181347,L,-6
2025-04-12,14 Boys Navy,PRFC Scottsdale 14B Pre-Academy,0,4,0.8371009600339419,0.7416267942583729,0.9325751258095109,0.7541633063421593,1.3,3.8880487804878046,0.03626943005181347,L,-4
2025-04-05,14 Boys Navy,PRFC Southeast Valley 14B Predator-Central,1,6,0.3737491632181533,0.27886658795749697,0.4686317384788096,0.43890261428160005,1.3,3.8880487804878046,0.03626943005181347,L,-5
2025-04-05,14 Boys Navy,AZ Arsenal 14 Boys Teal SC,2,4,0.3681637581985002,0.17922077922077914,0.5571067371762213,0.43815642311847164,1.3,3.8880487804878046,0.03626943005181347,L,-2
2025-04-05,14 Boys Navy,AZ Arsenal 14 Boys Teal SC,2,4,0.3681637581985002,0.17922077922077914,0.5571067371762213,0.43815642311847164,1.3,3.8880487804878046,0.03626943005181347,L,-2
2025-04-05,14 Boys Navy,Brazas 2014 Boys Black Marcos,1,10,0.5880789745947604,0.5168831168831166,0.6592748323064043,0.5251128101749807,1.3,3.8880487804878046,0.015544041450777204,L,-9
2025-03-23,14 Boys Navy,14 Boys Navy,1,5,0.13543806907586342,0.0779220779220779,0.19295406022964892,0.2395980836309912,1.3,3.8880487804878046,0.015544041450777204,L,-4
2025-03-23,14 Boys Navy,14 Boys Navy,5,1,0.13543806907586342,0.0779220779220779,0.19295406022964892,0.2395980836309912,1.3,3.8880487804878046,0.015544041450777204,W,4
2025-03-23,14 Boys Navy,CCV Stars 14 Boys South Orange,5,1,0.27063829762937464,0.2883116883116882,0.25296490694706103,0.20674951143101594,1.3,3.8880487804878046,0.015544041450777204,W,4
2025-03-22,14 Boys Navy,State 48 FC Avondale 14 Black,1,3,0.38895952371257286,0.2562770562770562,0.5216419911480895,0.40358611927274507,1.3,3.8880487804878046,0.015544041450777204,L,-2
2025-03-22,14 Boys Navy,Real Arizona 2014,0,8,0.6608358948783071,0.7777365491651204,0.5439352405914939,0.595345839198447,1.3,3.8880487804878046,0.015544041450777204,L,-8
2025-03-22,14 Boys Navy,PRFC Southeast Valley 14B Predator-Central,0,0,0.3737491632181533,0.27886658795749697,0.4686317384788096,0.43890261428160005,1.3,3.8880487804878046,0.015544041450777204,T,0
2025-03-21,14 Boys Navy,2014 Boys Blue,1,4,0.3394475812246846,0.19811097992916166,0.48078418252020755,0.2666254979310678,1.3,3.8880487804878046,0.015544041450777204,L,-3
2025-03-16,14 Boys Navy,2014 Boys Yellow,0,0,0.5418800043487337,0.5558441558441556,0.527915852853312,0.5806393106900819,1.3,3.8880487804878046,0.015544041450777204,T,0
2025-03-15,14 Boys Navy,14B Engilman,2,4,0.4394162211874477,0.48571428571428554,0.39311815666060984,0.4395148316084503,1.3,3.8880487804878046,0.015544041450777204,L,-2
2025-03-15,14 Boys Navy,Tuzos Academy Mesa 2014,3,2,0.3920156774960527,0.4470588235294116,0.33697253146269374,0.4442133099580096,1.3,3.8880487804878046,0.015544041450777204,W,1
2025-03-15,14 Boys Navy,CCV Stars 14 Boys West Pre-ECNL,2,9,0.7793117420494535,0.6818181818181815,0.8768053022807254,0.49073468850250557,1.3,3.8880487804878046,0.015544041450777204,L,-7
2025-03-08,14 Boys Navy,AZ Arsenal 14 Boys Teal MC,0,6,0.3518623503849173,0.2935064935064934,0.4102182072633412,0.29065023774610826,1.3,3.8880487804878046,0.015544041450777204,L,-6
2025-03-08,14 Boys Navy,14B Rueda,7,0,0.13253905224713133,0.07532467532467531,0.18975342916958737,0.2144624090472823,1.3,3.8880487804878046,0.015544041450777204,W,7
2025-03-02,14 Boys Navy,U-12 (2014) Boys Pre Academy Blue,2,0,0.4011636547652009,0.40519480519480494,0.3971325043355968,0.40384932091764947,1.3,3.8880487804878046,0.015544041450777204,W,2
2025-03-01,14 Boys Navy,PRFC Scottsdale 14B Pre-Academy,0,7,0.8371009600339419,0.7416267942583729,0.9325751258095109,0.7541633063421593,1.3,3.8880487804878046,0.015544041450777204,L,-7
2025-03-01,14 Boys Navy,West Valley 2014 Boys Martinez Pre-Elite64,2,0,0.5777213241504823,0.4675324675324673,0.6879101807684972,0.5987625443779514,1.3,3.8880487804878046,0.015544041450777204,W,2
2025-03-01,14 Boys Navy,Monsters 2014,1,4,0.918961522181305,1.0,0.8379230443626101,0.5169158562269841,1.3,3.8880487804878046,0.015544041450777204,L,-3
2025-03-01,14 Boys Navy,CCV Stars 14 Boys East Pre-ECNL,3,11,0.47489182889318526,0.6493506493506491,0.3004330084357214,0.26712665375241673,1.3,3.8880487804878046,0.015544041450777204,L,-8
2025-02-22,14 Boys Navy,Phoenix Premier FC 14B White,4,1,0.36114629118925257,0.31948051948051936,0.4028120628979858,0.296541462392164,1.3,3.8880487804878046,0.015544041450777204,W,3
2025-02-21,14 Boys Navy,PRFC Scottsdale 14B Pre-Academy,2,4,0.8371009600339419,0.7416267942583729,0.9325751258095109,0.7541633063421593,1.3,3.8880487804878046,0.015544041450777204,L,-2
2025-02-15,14 Boys Navy,2014 Boys Yellow,3,2,0.5418800043487337,0.5558441558441556,0.527915852853312,0.5806393106900819,1.3,3.8880487804878046,0.015544041450777204,W,1
2025-02-15,14 Boys Navy,Phoenix United 2014 Academy,0,4,0.4873357969656765,0.43290043290043284,0.5417711610309202,0.41916314363723056,1.3,3.8880487804878046,0.015544041450777204,L,-4
2025-02-15,14 Boys Navy,14B Midhaan,4,1,0.29540729801062104,0.357142857142857,0.2336717388783851,0.16616660513097434,1.3,3.8880487804878046,0.015544041450777204,W,3
2025-02-08,14 Boys Navy,AZ Arsenal 14 Boys Select,1,3,0.6541349294189522,0.7376623376623374,0.570607521175567,0.46989493046092295,1.3,3.8880487804878046,0.015544041450777204,L,-2
2025-02-08,14 Boys Navy,Scottsdale 14 Sandsharks Black,0,0,0.3587792622979801,0.0779220779220779,0.6396364466738822,0.2689064381987852,1.3,3.8880487804878046,0.015544041450777204,T,0
2025-02-01,14 Boys Navy,PRFC West Valley 14B Predator,1,2,0.4192438326444976,0.5779220779220776,0.26056558736691754,0.4345631930019732,1.3,3.8880487804878046,0.015544041450777204,L,-1
2025-02-01,14 Boys Navy,Legends FC AZ 14B Black,2,1,0.7920646543418143,0.7048701298701295,0.879259178813499,0.7613507924954501,1.3,3.8880487804878046,0.015544041450777204,W,1
2025-02-01,14 Boys Navy,ASA 014B Magic,5,0,0.010027430283885023,0.0,0.020054860567770047,0.06599466292659499,1.3,3.8880487804878046,0.015544041450777204,W,5
2025-01-25,14 Boys Navy,Scottsdale 14 Sandsharks Select,0,1,0.7254093732354601,0.45081874647092024,1.0,0.7291757309448581,1.3,3.8880487804878046,0.015544041450777204,L,-1
2025-01-25,14 Boys Navy,Hustle Hard 2014- Boys,5,1,0.10228533633054232,0.0,0.20457067266108464,0.16416225798378362,1.3,3.8880487804878046,0.015544041450777204,W,4
2025-01-18,14 Boys Navy,FSC United 14 Boys,6,4,0.011688311688311694,0.023376623376623388,0.0,0.11836450164120982,1.3,3.8880487804878046,0.015544041450777204,W,2
2025-01-18,14 Boys Navy,Select 14B Red,1,1,0.5451165526975548,0.4653061224489794,0.62492698294613,0.408837414523166,1.3,3.8880487804878046,0.015544041450777204,T,0
2025-01-12,14 Boys Navy,AZ Arsenal 14 Boys Teal CB,2,2,0.1986552613310578,0.3220779220779219,0.07523260058419366,0.3036433019340746,1.3,3.8880487804878046,0.015544041450777204,T,0
2025-01-12,14 Boys Navy,AZEV B2014 (NAVY),0,4,0.6064837522855229,0.5282717282717282,0.6846957762993175,0.5084986014671741,1.3,3.8880487804878046,0.015544041450777204,L,-4
2025-01-12,14 Boys Navy,Amore 2014 Boys,0,6,0.38335312782797804,0.47012987012986995,0.2965763855260861,0.38072237880835436,1.3,3.8880487804878046,0.015544041450777204,L,-6
2025-01-12,14 Boys Navy,14B Hermanson AL,2,0,0.31339199003043383,0.21904761904761896,0.4077363610132487,0.3716055674901583,1.3,3.8880487804878046,0.015544041450777204,W,2
2025-01-11,14 Boys Navy,2014 Boys Blue,2,3,0.3394475812246846,0.19811097992916166,0.48078418252020755,0.2666254979310678,1.3,3.8880487804878046,0.015544041450777204,L,-1
2025-01-11,14 Boys Navy,Legends FC AZ 14B Black,0,4,0.7920646543418143,0.7048701298701295,0.879259178813499,0.7613507924954501,1.3,3.8880487804878046,0.015544041450777204,L,-4
2025-01-11,14 Boys Navy,West Valley 2014 Boys Martinez Pre-Elite64,1,4,0.5777213241504823,0.4675324675324673,0.6879101807684972,0.5987625443779514,1.3,3.8880487804878046,0.015544041450777204,L,-3
2025-01-10,14 Boys Navy,PRFC North Valley 14B Predator,5,1,0.3141744947888443,0.3259740259740258,0.3023749636036627,0.3830084785883675,1.3,3.8880487804878046,0.015544041450777204,W,4
2025-10-04,14 Cityzens,PRFC Desert Foothills 14B Predator,5,1,0.14993263915631977,0.12987012987012983,0.16999514844250974,0.2522582064094174,2.0814285714285714,2.8935714285714282,0.045454545454545435,W,4
2025-09-27,14 Cityzens,14B Laroussi,5,2,0.18181818181818174,0.3636363636363635,0.0,0.23516517771957426,2.0814285714285714,2.8935714285714282,0.045454545454545435,W,3
2025-09-14,14 Cityzens,State 48 FC Avondale 14 White,2,1,0.2617581085186047,0.10068754774637124,0.4228286692908381,0.3398818469461397,2.0814285714285714,2.8935714285714282,0.045454545454545435,W,1
2025-09-13,14 Cityzens,PSC 2014B,2,0,0.35606375201964785,0.0,0.7121275040392957,0.33149816566108364,2.0814285714285714,2.8935714285714282,0.045454545454545435,W,2
2025-09-13,14 Cityzens,PRFC Southeast Valley 14B Predator,2,5,0.4432436858362562,0.46493506493506465,0.42155230673744765,0.3863204070728365,2.0814285714285714,2.8935714285714282,0.045454545454545435,L,-3
2025-09-07,14 Cityzens,Excel Soccer Academy 14B Black,1,6,0.5485885952721281,0.5038961038961038,0.5932810866481523,0.5339957075559699,2.0814285714285714,2.8935714285714282,0.045454545454545435,L,-5
2025-09-06,14 Cityzens,Playmaker Futbol Academy 14B Black,1,6,0.7144071606973512,0.7094260578131543,0.7193882635815483,0.7037502585556059,2.0814285714285714,2.8935714285714282,0.045454545454545435,L,-5
2025-09-06,14 Cityzens,Madison FC 14 Blue Boys,2,7,0.40103089712151707,0.42077922077922064,0.38128257346381345,0.45500149778500004,2.0814285714285714,2.8935714285714282,0.045454545454545435,L,-5
2025-08-31,14 Cityzens,Madison FC 14 White Boys,0,3,0.5678858999288958,0.5936920222634506,0.5420797775943411,0.3194358187100039,2.0814285714285714,2.8935714285714282,0.045454545454545435,L,-3
2025-08-30,14 Cityzens,PRFC Scottsdale 14B Copa,0,5,0.24420650716442702,0.3058441558441558,0.18256885848469823,0.20444760033875178,2.0814285714285714,2.8935714285714282,0.045454545454545435,L,-5
2025-08-30,14 Cityzens,AZ Inferno 14 Boys Blue,3,1,0.22862482213754376,0.25974025974025966,0.19750938453482783,0.12860146245236836,2.0814285714285714,2.8935714285714282,0.019480519480519477,W,2
2025-04-19,14 Cityzens,Scottsdale 14 Sandsharks Select,0,6,0.7254093732354601,0.45081874647092024,1.0,0.7291757309448581,2.0814285714285714,2.8935714285714282,0.019480519480519477,L,-6
2025-04-19,14 Cityzens,Scottsdale 14 Sandsharks Select,0,6,0.7254093732354601,0.45081874647092024,1.0,0.7291757309448581,2.0814285714285714,2.8935714285714282,0.019480519480519477,L,-6
2025-04-17,14 Cityzens,AZSC 2014B Pre-NL Premier 2,1,2,0.6935064935064934,0.3870129870129869,1.0,0.563407107011568,2.0814285714285714,2.8935714285714282,0.019480519480519477,L,-1
2025-04-15,14 Cityzens,Southeast 2014 Boys Green,0,0,0.6182956450374286,0.5708291708291706,0.6657621192456867,0.5663244659526465,2.0814285714285714,2.8935714285714282,0.019480519480519477,T,0
2025-04-15,14 Cityzens,Southeast 2014 Boys Green,0,0,0.6182956450374286,0.5708291708291706,0.6657621192456867,0.5663244659526465,2.0814285714285714,2.8935714285714282,0.019480519480519477,T,0
2025-04-04,14 Cityzens,AZ Arsenal 14 Boys Select,3,0,0.6541349294189522,0.7376623376623374,0.570607521175567,0.46989493046092295,2.0814285714285714,2.8935714285714282,0.019480519480519477,W,3
