team,v51_rank,v51_score,v52_rank,v52_score,delta_rank,delta_score
ccv stars 14 boys north orange,99,0.326,25,0.141,74,-0.18500000000000003
2014 boys blue,100,0.325,80,0.121,20,-0.20400000000000001
select 14b,101,0.324,103,0.121,-2,-0.203
east valley nsfc 14 boys aguirre,102,0.324,29,0.132,73,-0.192
pumas tucson 14b,103,0.429,141,0.122,-38,-0.307
verde valley united fc,104,0.358,126,0.122,-22,-0.236
14b nl #1,105,0.358,132,0.12,-27,-0.238
prfc scottsdale 14b copa,106,0.319,73,0.121,33,-0.198
eagles f.c.,107,0.318,114,0.12,-7,-0.198
cac 14/15b (conroy),108,0.317,98,0.121,10,-0.196
nos santos 14 boys white,109,0.316,120,0.12,-11,-0.196
az arsenal 14 boys teal mc,110,0.316,78,0.121,32,-0.195
prfc north valley 14b copa,111,0.311,84,0.121,27,-0.19
fc elite arizona 2014 boys - urbina,112,0.346,6,0.335,106,-0.010999999999999954
phoenix valley soccer club boys 2014,113,0.307,102,0.121,11,-0.186
milan,114,0.302,105,0.121,9,-0.181
14b geoff,115,0.301,115,0.12,0,-0.181
synergy fc 14 b,116,0.299,112,0.12,4,-0.179
14b midhaan,117,0.298,93,0.121,24,-0.177
az arsenal 14 boys teal cb,118,0.297,50,0.122,68,-0.175
phoenix premier fc 14b white,119,0.293,106,0.121,13,-0.172
ccv stars 14 boys south orange,120,0.293,82,0.121,38,-0.172
esc - boys chandler 15/16,121,0.387,147,0.12,-26,-0.267
pima surf 2014 b blue,122,0.322,131,0.121,-9,-0.201
14 cityzens,123,0.286,68,0.122,55,-0.16399999999999998
northwest 2014 boys,124,0.286,39,0.126,85,-0.15999999999999998
14b rayados blue al,125,0.378,127,0.145,-2,-0.233
prfc southeast valley 14b pre-academy,126,0.284,96,0.121,30,-0.16299999999999998
14b rueda,127,0.282,121,0.12,6,-0.16199999999999998
tuzos titanes 2014,128,0.281,107,0.121,21,-0.16000000000000003
14b laroussi,129,0.305,136,0.12,-7,-0.185
vsc 2014 boys white,130,0.305,130,0.121,0,-0.184
prfc west valley 14b pre-academy,131,0.274,86,0.121,45,-0.15300000000000002
psc 2014/15b,132,0.363,14,0.246,118,-0.11699999999999999
prfc desert foothills 14b predator,133,0.269,92,0.121,41,-0.14800000000000002
jedi 14b,134,0.351,148,0.12,-14,-0.23099999999999998
spartak academy 2014 boys,135,0.35,16,0.222,119,-0.12799999999999997
deportivo mexico 14b,136,0.291,138,0.12,-2,-0.17099999999999999
bala fc - 2014b,137,0.34,12,0.259,125,-0.08100000000000002
tuzos nogales 2014,138,0.34,24,0.192,114,-0.14800000000000002
hustle hard 2014- boys,139,0.25,116,0.12,23,-0.13
azsc 2014/2015b navy,140,0.332,142,0.121,-2,-0.21100000000000002
america 14b,141,0.33,1,0.47,140,0.13999999999999996
psc 2014b,142,0.32,146,0.12,-4,-0.2
az inferno 14 boys blue,143,0.311,143,0.121,0,-0.19
state 48 fc avondale 14 white,144,0.309,145,0.121,-1,-0.188
fc sonora 14' b dynamo,145,0.253,4,0.378,141,0.125
tuzos chandler 2014 boys,146,0.295,139,0.143,7,-0.152
phoenix premier fc 14b pre mls next ad,147,0.266,15,0.237,132,-0.029000000000000026
asa 014b magic,148,0.204,135,0.12,13,-0.08399999999999999
