Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength,PS_A,PS_B,P_A_win,P_Draw,P_B_win,PredictedWinner,ActualWinner,A_win_actual
14,2025-04-12,Next Level Soccer Southeast 2014 Boys Blue,5,3,2,1.0,1.0,neutral,0.26,,,,,,Next Level Soccer Southeast 2014 Boys Blue,14,1
14,2025-04-12,Southeast 2014 Boys Blue,5,3,2,1.0,1.0,neutral,0.258,,0.2654,,,,Southeast 2014 Boys Blue,14,1
14,2025-04-12,Next Level Soccer Southeast 2014 Boys Red,2,1,1,0.5,0.5,neutral,0.235,,,,,,Next Level Soccer Southeast 2014 Boys Red,14,1
14,2025-04-12,Southeast 2014 Boys Red,2,1,1,0.5,0.5,neutral,0.231,,0.3809,,,,Southeast 2014 Boys Red,14,1
14,2025-03-09,Madison FC 14 Gold Boys Storm,3,3,0,0.0,0.0,neutral,0.346,,,,,,Madison FC 14 Gold Boys Storm,Draw,0
14,2025-03-09,Madison FC 14 Gold Boys,3,3,0,0.0,0.0,neutral,0.337,,0.3217,,,,Madison FC 14 Gold Boys,Draw,0
14,2025-03-08,14B JCFresquez Pre-MLS Next,2,1,1,0.5,0.5,neutral,0.198,,,,,,14B JCFresquez Pre-MLS Next,14,1
14,2025-03-08,14B Antunez Pre-MLS Next,2,1,1,0.5,0.5,neutral,0.178,,0.2657,,,,14B Antunez Pre-MLS Next,14,1
14,2025-03-01,AZEV B2014 (NAVY),4,8,-4,-2.0,-2.0,weak,0.331,,0.2473,,,,AZEV B2014 (NAVY),AZEV B2014 (NAVY),0
14,2025-02-22,Tuzos Titanes 2014,12,0,12,6.0,6.0,good,0.14,,0.085,,,,Tuzos Titanes 2014,14,1
14,2025-02-22,14B JCFresquez Pre-MLS Next,7,2,5,2.5,2.5,good,0.198,,,,,,14B JCFresquez Pre-MLS Next,14,1
14,2025-02-22,14B Antunez Pre-MLS Next,7,2,5,2.5,2.5,good,0.178,,0.2657,,,,14B Antunez Pre-MLS Next,14,1
14,2025-02-15,Legends FC AZ 14B Gold,9,1,8,4.0,4.0,good,0.186,,,,,,Legends FC AZ 14B Gold,14,1
14,2025-02-15,Dynamos SC 14B Gold,9,1,8,4.0,4.0,good,0.182,,0.1629,,,,Dynamos SC 14B Gold,14,1
14,2025-02-08,PRFC Southeast Valley 14B Pre-Academy,7,1,6,3.0,3.0,good,0.162,,0.1734,,,,PRFC Southeast Valley 14B Pre-Academy,14,1
14,2025-02-01,East Valley NSFC 14 Boys Aguirre,8,1,7,3.5,3.5,good,0.215,,0.2118,,,,East Valley NSFC 14 Boys Aguirre,14,1
14,2025-01-26,Next Level Soccer Southeast 2014 Boys Red,4,2,2,1.0,1.0,neutral,0.235,,,,,,Next Level Soccer Southeast 2014 Boys Red,14,1
14,2025-01-26,Southeast 2014 Boys Red,4,2,2,1.0,1.0,neutral,0.231,,0.3809,,,,Southeast 2014 Boys Red,14,1
14,2025-01-25,Phoenix Premier FC 14B Black,7,1,6,3.0,3.0,good,0.181,,0.2949,,,,Phoenix Premier FC 14B Black,14,1
14,2025-01-25,14B Jimmy,8,5,3,1.5,1.5,good,0.282,,,,,,14B Jimmy,14,1
14,2025-01-25,14B Velasco,8,5,3,1.5,1.5,good,0.259,,0.3453,,,,14B Velasco,14,1
14,2025-01-24,2014B West,6,3,3,1.5,1.5,good,0.31,,0.4007,,,,2014B West,14,1
14,2025-01-11,14B Engilman,4,1,3,1.5,1.5,good,0.203,,0.2413,,,,14B Engilman,14,1
14,2025-01-04,14B JCFresquez Pre-MLS Next,3,5,-2,-1.0,-1.0,neutral,0.198,,,,,,14B JCFresquez Pre-MLS Next,14B JCFresquez Pre-MLS Next,0
14,2025-01-04,14B Antunez Pre-MLS Next,3,5,-2,-1.0,-1.0,neutral,0.178,,0.2657,,,,14B Antunez Pre-MLS Next,14B Antunez Pre-MLS Next,0
14,2024-12-08,2014B West,1,4,-3,-1.5,-1.5,weak,0.31,,0.4007,,,,2014B West,2014B West,0
14,2024-12-07,NOS Santos 14 Boys Blue,5,2,3,1.5,1.5,good,0.224,,0.2952,,,,NOS Santos 14 Boys Blue,14,1
14,2024-12-07,PRFC West Valley 14B Pre-Academy,6,0,6,3.0,3.0,good,0.176,,0.1614,,,,PRFC West Valley 14B Pre-Academy,14,1
