team,v52a_rank,v52a_score,v52a_sao,v52a_sad,v52a_sos,v52a_gp,v52b_rank,v52b_score,v52b_sao,v52b_sad,v52b_sos,v52b_gp,delta_rank,delta_score
southeast 2014 boys black,1,0.769,0.8471913620839541,0.89912170453263,0.527,27,1,0.5059,0.8471913620839541,0.89912170453263,0.261,27,0,-0.2631
prfc scottsdale 14b pre-academy,2,0.723,0.8926568518956367,0.9075785341978954,0.311,30,8,0.3666,0.8926568518956367,0.9075785341978954,0.011,30,-6,-0.3564
phoenix premier fc 14b x-factor,3,0.712,0.870627523771158,0.9075785341978954,0.3,30,9,0.3556,0.870627523771158,0.9075785341978954,0.0,30,-6,-0.35639999999999994
2014b west,4,0.706,0.8460427836332428,0.8245339671926617,0.404,30,4,0.4007,0.8460427836332428,0.8245339671926617,0.111,30,0,-0.30529999999999996
phoenix united 2014 premier,5,0.693,0.8926568518956367,0.8290674185134075,0.3,30,12,0.3443,0.8926568518956367,0.8290674185134075,0.0,30,-7,-0.34869999999999995
psg 14b blue,6,0.679,0.8722421306821864,0.8116840536350814,0.3,30,14,0.3368,0.8722421306821864,0.8116840536350814,0.0,30,-8,-0.34220000000000006
14b gsa,7,0.655,0.723625447458323,0.7358222617366245,0.479,30,2,0.4119,0.723625447458323,0.7358222617366245,0.2,30,5,-0.24310000000000004
madison fc 14 gold boys,8,0.653,0.8670727291563294,0.7413869319042047,0.3,30,18,0.3217,0.8670727291563294,0.7413869319042047,0.0,30,-10,-0.33130000000000004
real arizona 2014,9,0.647,0.8926568518956367,0.6482540126779631,0.36,30,10,0.3454,0.8926568518956367,0.6482540126779631,0.062,30,-1,-0.30160000000000003
dynamos sc 14b sc,10,0.646,0.571856861342158,0.9075785341978954,0.427,30,6,0.3781,0.571856861342158,0.9075785341978954,0.137,30,4,-0.2679
14 pre-mlsn #2,11,0.641,0.8330744134965586,0.7410878025721048,0.3,30,20,0.3148,0.8330744134965586,0.7410878025721048,0.0,30,-9,-0.3262
fc elite arizona 2014 boys (archived),12,0.629,0.6296613921554582,0.9075785341978954,0.302,30,22,0.3086,0.6296613921554582,0.9075785341978954,0.002,30,-10,-0.3204
scottsdale 14 sandsharks select,13,0.623,0.616398808615404,0.9075785341978954,0.3,25,23,0.3048,0.616398808615404,0.9075785341978954,0.0,25,-10,-0.3182
14 pre-mlsn #1,14,0.611,0.6818090876636141,0.7196411367847456,0.401,30,13,0.3445,0.6818090876636141,0.7196411367847456,0.107,30,1,-0.2665
excel soccer academy 14b red,15,0.604,0.5399994736666602,0.79348498068674,0.457,30,7,0.3705,0.5399994736666602,0.79348498068674,0.173,30,8,-0.23349999999999999
kingman sc b14 mcgill,16,0.597,0.6807125570518644,0.7664748799022696,0.3,23,29,0.2894,0.6807125570518644,0.7664748799022696,0.0,23,-13,-0.3076
azsc 14b perez,17,0.595,0.7352532627162278,0.6188198317109951,0.403,30,15,0.3368,0.7352532627162278,0.6188198317109951,0.11,30,2,-0.2582
playmaker futbol academy 14b black,18,0.591,0.7046199805492358,0.6442105770829795,0.396,30,16,0.331,0.7046199805492358,0.6442105770829795,0.102,30,2,-0.25999999999999995
southeast 2014 boys red,19,0.589,0.5162942160760553,0.7460652744510213,0.49,30,5,0.3809,0.5162942160760553,0.7460652744510213,0.214,30,14,-0.20809999999999995
fc deportivo az 2014b (gallegos),20,0.588,0.8733459977722031,0.4662354653931891,0.396,24,17,0.3291,0.8733459977722031,0.4662354653931891,0.102,24,3,-0.25889999999999996
phoenix premier fc 14b sw black,21,0.585,0.8843355111621118,0.5297213586239855,0.3,24,33,0.2828,0.8843355111621118,0.5297213586239855,0.0,24,-12,-0.30219999999999997
azsc 2014b pre-nl premier 2,22,0.577,0.5838255327857234,0.8078601863036083,0.3,30,38,0.2783,0.5838255327857234,0.8078601863036083,0.0,30,-16,-0.29869999999999997
legends fc az 14b black,23,0.567,0.8344308273898748,0.515795296482,0.315,30,37,0.279,0.8344308273898748,0.515795296482,0.015,30,-14,-0.2879999999999999
brazas 2014 boys black marcos,24,0.565,0.6853622245204616,0.6460230371880199,0.329,27,32,0.2837,0.6853622245204616,0.6460230371880199,0.029,27,-8,-0.28129999999999994
14b negrete pre mls next,25,0.56,0.6978007109858205,0.6212073827085117,0.329,21,34,0.2812,0.6978007109858205,0.6212073827085117,0.029,21,-9,-0.27880000000000005
prfc desert foothills 14b pre-academy,26,0.543,0.6286023696655918,0.5623262896437161,0.419,30,21,0.315,0.6286023696655918,0.5623262896437161,0.128,30,5,-0.22800000000000004
2014 rush boys,27,0.539,0.7089539353617965,0.575193076671717,0.3,30,45,0.2568,0.7089539353617965,0.575193076671717,0.0,30,-18,-0.28220000000000006
ccv stars 14 boys west pre-ecnl,28,0.537,0.6043382277758875,0.6270133829441391,0.355,21,35,0.2799,0.6043382277758875,0.6270133829441391,0.056,21,-7,-0.25710000000000005
tuzos royals 14 pre-academy,29,0.53,0.499820694970478,0.738387115099243,0.321,30,43,0.2602,0.499820694970478,0.738387115099243,0.021,30,-14,-0.26980000000000004
2014 tuzos academy fv,30,0.674,0.8926568518956367,0.7761456916495664,0.3,17,42,0.3338,0.8926568518956367,0.7761456916495664,0.0,17,-12,-0.34020000000000006
