team,v52a_rank,v52a_score,v52a_sao,v52a_sad,v52a_sos,v52a_gp,v52b_rank,v52b_score,v52b_sao,v52b_sad,v52b_sos,v52b_gp,delta_rank,delta_score
nos santos 14 boys blue,31,0.525,0.7417563082815306,0.416194551866456,0.4,27,25,0.2952,0.7417563082815306,0.416194551866456,0.106,27,6,-0.2298
2014 boys yellow,32,0.525,0.479500912643406,0.6922264448130563,0.384,30,31,0.2871,0.479500912643406,0.6922264448130563,0.088,30,1,-0.2379
azev b2014 (navy),33,0.523,0.5651550401437209,0.6713158153109198,0.3,30,48,0.2473,0.5651550401437209,0.6713158153109198,0.0,30,-15,-0.27570000000000006
14b velasco,34,0.523,0.3527470527992418,0.7170017772387912,0.494,30,11,0.3453,0.3527470527992418,0.7170017772387912,0.219,30,23,-0.17770000000000002
2014 elite,35,0.72,0.8926568518956367,0.9075785341978954,0.3,16,44,0.36,0.8926568518956367,0.9075785341978954,0.0,16,-9,-0.36
14b moyer,36,0.513,0.464354321295225,0.7232030281137681,0.325,26,46,0.2525,0.464354321295225,0.7232030281137681,0.025,26,-10,-0.2605
phoenix premier fc 14b black,37,0.507,0.7054965810849504,0.3847680378578092,0.419,30,26,0.2949,0.7054965810849504,0.3847680378578092,0.128,30,11,-0.2121
az arsenal 14 boys select,38,0.506,0.579044526191679,0.6102688097153658,0.3,29,51,0.2379,0.579044526191679,0.6102688097153658,0.0,29,-13,-0.2681
prfc west valley 14b predator,39,0.504,0.7268057290857616,0.4568832554197796,0.3,30,52,0.2367,0.7268057290857616,0.4568832554197796,0.0,30,-13,-0.2673
14b engilman,40,0.503,0.6517015064075556,0.5157321239225553,0.313,30,50,0.2413,0.6517015064075556,0.5157321239225553,0.013,30,-10,-0.26170000000000004
west valley 2014 boys martinez pre-elite64,41,0.494,0.4507735116218408,0.5998965000185257,0.421,30,30,0.2881,0.4507735116218408,0.5998965000185257,0.13,30,11,-0.20589999999999997
rsl-az yuma 14 boys quinonez,42,0.492,0.7889282251118449,0.3477751679949599,0.315,22,53,0.2363,0.7889282251118449,0.3477751679949599,0.015,22,-11,-0.2557
tuzos royals 2014,43,0.491,0.239082191694287,0.6337261328713858,0.618,30,3,0.4056,0.239082191694287,0.6337261328713858,0.385,30,40,-0.08539999999999998
azev b2014 (white),44,0.485,0.8926568518956367,0.2320045665424069,0.305,30,54,0.2279,0.8926568518956367,0.2320045665424069,0.005,30,-10,-0.2571
southeast 2014 boys green,45,0.483,0.5380246672099037,0.5853992511191415,0.3,30,55,0.2247,0.5380246672099037,0.5853992511191415,0.0,30,-10,-0.2583
ccv stars 14 boys south pre-ecnl,46,0.478,0.4810373689779446,0.5000817579232428,0.448,27,27,0.2934,0.4810373689779446,0.5000817579232428,0.162,27,19,-0.1846
ccv stars 14 boys north pre-ecnl,47,0.544,0.2919539711673179,0.8528545047922339,0.479,18,24,0.349,0.2919539711673179,0.8528545047922339,0.2,18,23,-0.19500000000000006
scottsdale 14 sandsharks black,48,0.457,0.2406678257582155,0.8070537487243469,0.3,23,62,0.2095,0.2406678257582155,0.8070537487243469,0.0,23,-14,-0.24750000000000003
ccv stars 14 boys east pre-ecnl,49,0.451,0.717948094728742,0.3143945606133745,0.3,22,63,0.2065,0.717948094728742,0.3143945606133745,0.0,22,-14,-0.24450000000000002
southeast 2014 boys blue,50,0.45,0.4224667293430246,0.4996308661164942,0.425,30,41,0.2654,0.4224667293430246,0.4996308661164942,0.135,30,9,-0.1846
14b jdeutsch pre-mls next,51,0.449,0.375507806758668,0.539831986339792,0.428,21,39,0.2659,0.375507806758668,0.539831986339792,0.138,21,12,-0.18309999999999998
amore 2014 boys,52,0.443,0.6454449627936834,0.3638218626866373,0.3,30,64,0.2019,0.6454449627936834,0.3638218626866373,0.0,30,-12,-0.2411
ccv stars 14 boys west orange,53,0.442,0.3950600454331335,0.6093044159904115,0.3,22,65,0.2009,0.3950600454331335,0.6093044159904115,0.0,22,-12,-0.2411
az arsenal pre-ecnl b14,54,0.442,0.3436171293489379,0.4659148270543863,0.528,30,19,0.3191,0.3436171293489379,0.4659148270543863,0.262,30,35,-0.12290000000000001
playmaker futbol academy pre-ecnl b14,55,0.475,0.47813735396038,0.4793770172195059,0.467,19,36,0.3025,0.47813735396038,0.4793770172195059,0.185,19,19,-0.1725
prfc north valley 14b preacademy,56,0.438,0.2663011491468423,0.5656110272300615,0.488,30,28,0.293,0.2663011491468423,0.5656110272300615,0.211,30,28,-0.14500000000000002
14 boys navy,57,0.432,0.4319454161182728,0.5459531261963891,0.3,30,66,0.1956,0.4319454161182728,0.5459531261963891,0.0,30,-9,-0.2364
madison fc 14 blue boys,58,0.428,0.434001492721654,0.4922250384912717,0.345,30,58,0.2128,0.434001492721654,0.4922250384912717,0.046,30,0,-0.2152
vsc 2014 boys green,59,0.422,0.5186362589960423,0.4307977594898168,0.3,24,69,0.1899,0.5186362589960423,0.4307977594898168,0.0,24,-10,-0.23209999999999997
u-12 (2014) boys pre academy blue,60,0.419,0.4687973793133926,0.4123700113631806,0.368,30,56,0.2188,0.4687973793133926,0.4123700113631806,0.071,30,4,-0.2002
prfc southeast valley 14b predator,61,0.417,0.6753477756282373,0.1988416111030211,0.369,30,57,0.218,0.6753477756282373,0.1988416111030211,0.072,30,4,-0.19899999999999998
playmaker futbol academy 14b gold,62,0.412,0.5920271962221851,0.2778147072519413,0.36,30,60,0.2112,0.5920271962221851,0.2778147072519413,0.062,30,2,-0.20079999999999998
cdo 14b premier,63,0.411,0.4598842282337287,0.4077356770132669,0.359,30,61,0.2101,0.4598842282337287,0.4077356770132669,0.061,30,2,-0.20089999999999997
tuzos academy mesa 2014,64,0.41,0.5602526067986476,0.353888910685073,0.3,30,71,0.1828,0.5602526067986476,0.353888910685073,0.0,30,-7,-0.22719999999999999
state 48 fc avondale 14 black,65,0.398,0.2972080816795677,0.5714642122985959,0.313,30,72,0.1815,0.2972080816795677,0.5714642122985959,0.013,30,-7,-0.21650000000000003
excel soccer academy 14b black,66,0.554,0.6824772217334542,0.6424935146261573,0.3,16,68,0.265,0.6824772217334542,0.6424935146261573,0.0,16,-2,-0.28900000000000003
cdo 14b elite,67,0.459,0.542987887543441,0.5125095849680817,0.3,18,73,0.2111,0.542987887543441,0.5125095849680817,0.0,18,-6,-0.2479
select 14b red,68,0.391,0.3763079511571688,0.484072152223358,0.3,29,80,0.1721,0.3763079511571688,0.484072152223358,0.0,29,-12,-0.2189
ccv stars 14 boys north orange,69,0.38,0.2343330002658742,0.4520744937275217,0.467,30,47,0.2483,0.2343330002658742,0.4520744937275217,0.185,30,22,-0.1317
la academia 14b,70,0.444,0.7771190196181346,0.2338884609640712,0.3,18,78,0.2022,0.7771190196181346,0.2338884609640712,0.0,18,-8,-0.24180000000000001
az inferno 14 boys black,71,0.377,0.5575603670336537,0.2612104557148482,0.3,30,81,0.1638,0.5575603670336537,0.2612104557148482,0.0,30,-10,-0.2132
dynamos sc 14b gold,72,0.375,0.4521767762231657,0.3620897253643897,0.3,30,82,0.1629,0.4521767762231657,0.3620897253643897,0.0,30,-10,-0.2121
prfc southeast valley 14b predator-central,73,0.37,0.2944009512892649,0.4731034549225785,0.337,30,76,0.1757,0.2944009512892649,0.4731034549225785,0.037,30,-3,-0.1943
prfc scottsdale 14b predator,74,0.367,0.4037726736167742,0.3396868150998605,0.356,30,70,0.1835,0.4037726736167742,0.3396868150998605,0.058,30,4,-0.1835
az arsenal 14 boys teal sc,75,0.363,0.320832808703829,0.4182040011950871,0.347,30,75,0.1766,0.320832808703829,0.4182040011950871,0.048,30,0,-0.18639999999999998
tuzos halcones 2014,76,0.361,0.5185310089245674,0.2132759123057601,0.35,30,74,0.177,0.5185310089245674,0.2132759123057601,0.051,30,2,-0.184
prfc north valley 14b predator,77,0.36,0.375550314128168,0.3953295768920823,0.3,30,85,0.1542,0.375550314128168,0.3953295768920823,0.0,30,-8,-0.20579999999999998
u-12 (2014) boys yuma pre academy,78,0.501,0.2931287472101263,0.6993773486616147,0.511,16,49,0.3425,0.2931287472101263,0.6993773486616147,0.24,16,29,-0.15849999999999997
14b hermanson al,79,0.352,0.3089951090460793,0.4395038682179088,0.3,30,88,0.1497,0.3089951090460793,0.4395038682179088,0.0,30,-9,-0.20229999999999998
ccv stars 14 boys north navy,80,0.347,0.3665070409053238,0.3673546686627543,0.3,23,89,0.1468,0.3665070409053238,0.3673546686627543,0.0,23,-9,-0.20019999999999996
east valley nsfc 14 boys aguirre,81,0.347,0.3184245646554508,0.2994536442348348,0.435,30,59,0.2118,0.3184245646554508,0.2994536442348348,0.147,30,22,-0.1352
2014 boys blue,82,0.342,0.2880795886954854,0.4317045915695891,0.3,30,90,0.144,0.2880795886954854,0.4317045915695891,0.0,30,-8,-0.19800000000000004
14b antunez pre-mls next,83,0.34,0.2442053521687373,0.2680888330936026,0.535,26,40,0.2657,0.2442053521687373,0.2680888330936026,0.272,26,43,-0.07430000000000003
tuzos 2014 nava,84,0.427,0.7184821612736247,0.2452198062439569,0.3,17,86,0.1927,0.7184821612736247,0.2452198062439569,0.0,17,-2,-0.23429999999999998
14b hinds,85,0.335,0.3450342805901616,0.3553822490535788,0.3,30,91,0.1401,0.3450342805901616,0.3553822490535788,0.0,30,-6,-0.19490000000000002
select 14b,86,0.333,0.4309443670577817,0.2636901918147912,0.3,30,93,0.1389,0.4309443670577817,0.2636901918147912,0.0,30,-7,-0.19410000000000002
northwest 2014 boys,87,0.332,0.2122381092353676,0.3808801358064855,0.415,30,67,0.1924,0.2122381092353676,0.3808801358064855,0.123,30,20,-0.13960000000000003
az arsenal 14 boys teal cb,88,0.326,0.4680753564251787,0.1988416111030211,0.31,30,92,0.1394,0.4680753564251787,0.1988416111030211,0.01,30,-4,-0.18660000000000002
verde valley united fc,89,0.456,0.3239058600013638,0.7213606651419168,0.3,16,87,0.2091,0.3239058600013638,0.7213606651419168,0.0,16,2,-0.2469
az arsenal 14 boys teal mc,90,0.321,0.2942177300204739,0.3668806160112102,0.3,23,94,0.1322,0.2942177300204739,0.3668806160112102,0.0,23,-4,-0.1888
14b nl #1,91,0.407,0.4259628106839765,0.4495099651179018,0.336,17,84,0.1967,0.4259628106839765,0.4495099651179018,0.036,17,7,-0.21029999999999996
eagles f.c.,92,0.317,0.2122381092353676,0.4363384764750105,0.3,28,96,0.1297,0.2122381092353676,0.4363384764750105,0.0,28,-4,-0.1873
prfc southeast valley 14b pre-academy,93,0.311,0.2590238961738353,0.284064683423625,0.402,30,79,0.1734,0.2590238961738353,0.284064683423625,0.108,30,14,-0.1376
14 cityzens,94,0.309,0.2153118049817796,0.3213059552844244,0.404,30,77,0.1739,0.2153118049817796,0.3213059552844244,0.111,30,17,-0.1351
nos santos 14 boys white,95,0.308,0.3863960653964136,0.2361168120985213,0.3,29,99,0.1245,0.3863960653964136,0.2361168120985213,0.0,29,-4,-0.1835
cac 14/15b (conroy),96,0.305,0.41003732730657,0.2043975721076053,0.3,30,100,0.1229,0.41003732730657,0.2043975721076053,0.0,30,-4,-0.18209999999999998
prfc west valley 14b pre-academy,97,0.305,0.2122381092353676,0.3308746301621043,0.384,30,83,0.1614,0.2122381092353676,0.3308746301621043,0.088,30,14,-0.1436
synergy fc 14 b,98,0.304,0.2128105117980144,0.3997129502319052,0.3,30,102,0.1225,0.2128105117980144,0.3997129502319052,0.0,30,-4,-0.1815
prfc north valley 14b copa,99,0.301,0.4044878222410449,0.1988416111030211,0.3,30,103,0.1207,0.4044878222410449,0.1988416111030211,0.0,30,-4,-0.1803
fsc united 14 boys,100,0.294,0.385030455772433,0.1988416111030211,0.3,30,105,0.1168,0.385030455772433,0.1988416111030211,0.0,30,-5,-0.17719999999999997
prfc scottsdale 14b copa,101,0.289,0.3562196658320086,0.2133341739603408,0.3,30,106,0.1139,0.3562196658320086,0.2133341739603408,0.0,30,-5,-0.17509999999999998
14b geoff,102,0.282,0.2438892974410156,0.3044492032882372,0.3,24,108,0.1097,0.2438892974410156,0.3044492032882372,0.0,24,-6,-0.17229999999999995
milan,103,0.281,0.2122381092353676,0.3336288551002177,0.3,28,110,0.1092,0.2122381092353676,0.3336288551002177,0.0,28,-7,-0.1718
14b blue #1,104,0.392,0.2813485924733162,0.5813593784808202,0.3,16,101,0.1725,0.2813485924733162,0.5813593784808202,0.0,16,3,-0.21950000000000003
hustle hard 2014- boys,105,0.28,0.2122381092353676,0.330946947517012,0.3,24,111,0.1086,0.2122381092353676,0.330946947517012,0.0,24,-6,-0.17140000000000002
14b rueda,106,0.276,0.224654196491039,0.2797089386953463,0.331,24,104,0.1195,0.224654196491039,0.2797089386953463,0.031,24,2,-0.15650000000000003
14b felix nogales,107,0.466,0.6710359429797432,0.4032119310514485,0.3,14,98,0.2148,0.6710359429797432,0.4032119310514485,0.0,14,9,-0.25120000000000003
ccv stars 14 boys south orange,108,0.273,0.2847420497021485,0.2380564828823795,0.3,30,112,0.1046,0.2847420497021485,0.2380564828823795,0.0,30,-4,-0.16840000000000002
sfc xolos arizona 2014,109,0.585,0.8201787506949527,0.5928040328475748,0.3,12,95,0.2826,0.8201787506949527,0.5928040328475748,0.0,12,14,-0.30239999999999995
14b midhaan,110,0.272,0.3106901135800781,0.2094043535176658,0.3,26,113,0.104,0.3106901135800781,0.2094043535176658,0.0,26,-3,-0.16800000000000004
phoenix premier fc 14b white,111,0.272,0.243673758454809,0.263473265009413,0.315,28,109,0.1104,0.243673758454809,0.263473265009413,0.015,28,2,-0.16160000000000002
phoenix valley soccer club boys 2014,112,0.262,0.2402045190788663,0.2200637552707985,0.335,30,107,0.1131,0.2402045190788663,0.2200637552707985,0.035,30,5,-0.1489
east valley nsfc 14 boys tiggs,113,0.261,0.288377082619944,0.1988416111030211,0.3,27,116,0.0974,0.288377082619944,0.1988416111030211,0.0,27,-3,-0.16360000000000002
fc elite arizona 2014 boys - martinez,114,0.72,0.8926568518956367,0.9075785341978954,0.3,10,97,0.36,0.8926568518956367,0.9075785341978954,0.0,10,17,-0.36
prfc desert foothills 14b predator,115,0.254,0.2462931989205635,0.2059597538222023,0.318,29,115,0.1013,0.2462931989205635,0.2059597538222023,0.018,29,0,-0.1527
tuzos titanes 2014,116,0.239,0.2122381092353676,0.2127927523165577,0.3,23,123,0.085,0.2122381092353676,0.2127927523165577,0.0,23,-7,-0.15399999999999997
deportivo mexico 14b,117,0.31,0.3029806462078334,0.3256796229449104,0.3,16,119,0.1257,0.3029806462078334,0.3256796229449104,0.0,16,-2,-0.1843
14b nl #2,118,0.6,0.5505211953147257,0.9075785341978954,0.3,10,114,0.2916,0.5505211953147257,0.9075785341978954,0.0,10,4,-0.30839999999999995
vsc 2014 boys white,119,0.337,0.296826440370636,0.4086957740954188,0.3,14,124,0.1411,0.296826440370636,0.4086957740954188,0.0,14,-5,-0.19590000000000002
fc arizona 14b black gfc suenaga u12,120,0.593,0.882579521841985,0.5557929465407723,0.3,9,121,0.2877,0.882579521841985,0.5557929465407723,0.0,9,-1,-0.30529999999999996
monsters 2014,121,0.696,0.8926568518956367,0.838149749690674,0.3,8,120,0.3462,0.8926568518956367,0.838149749690674,0.0,8,1,-0.34979999999999994
fc elite arizona 2014 boys - urbina,122,0.424,0.311136755544187,0.6116729223553502,0.338,11,122,0.208,0.311136755544187,0.6116729223553502,0.039,11,0,-0.216
14b laroussi,123,0.294,0.3843221194535602,0.1988416111030211,0.3,14,126,0.1166,0.3843221194535602,0.1988416111030211,0.0,14,-3,-0.1774
pima surf 2014 b blue,124,0.364,0.3760944903544818,0.4061898692157362,0.3,12,125,0.1565,0.3760944903544818,0.4061898692157362,0.0,12,-1,-0.2075
asa 014b magic,125,0.234,0.2122381092353676,0.1988416111030211,0.3,15,129,0.0822,0.2122381092353676,0.1988416111030211,0.0,15,-4,-0.15180000000000002
rsl-az yuma 14 boys rodriguez,126,0.42,0.4390874832779961,0.3821311503057443,0.442,10,118,0.2572,0.4390874832779961,0.3821311503057443,0.155,10,8,-0.1628
14b rayados blue al,127,0.467,0.4717184191548155,0.451687382716998,0.478,9,117,0.3041,0.4717184191548155,0.451687382716998,0.199,9,10,-0.16290000000000004
fc sonora 14' b dynamo,128,0.277,0.2560904621692408,0.2793098688150084,0.3,11,132,0.1071,0.2560904621692408,0.2793098688150084,0.0,11,-4,-0.16990000000000002
madison fc 14 white boys,129,0.501,0.6275501612486181,0.5476558954988375,0.3,7,130,0.235,0.6275501612486181,0.5476558954988375,0.0,7,-1,-0.266
america 14b,130,0.402,0.5527183365792354,0.3300479218949432,0.311,8,131,0.1832,0.5527183365792354,0.3300479218949432,0.011,8,-1,-0.21880000000000002
az inferno 14 boys blue,131,0.359,0.4356699584045065,0.3330268716790421,0.3,8,134,0.1537,0.4356699584045065,0.3330268716790421,0.0,8,-3,-0.20529999999999998
psc 2014b,132,0.43,0.2551577883649569,0.6873579871377323,0.334,6,135,0.2089,0.2551577883649569,0.6873579871377323,0.034,6,-3,-0.2211
azsc 2014/2015b navy,133,0.382,0.456871754193516,0.3777656620072701,0.3,6,137,0.1669,0.456871754193516,0.3777656620072701,0.0,6,-4,-0.2151
tuzos chandler 2014 boys,134,0.381,0.4027793701560029,0.2769827415955502,0.478,6,133,0.2554,0.4027793701560029,0.2769827415955502,0.199,6,1,-0.1256
state 48 fc avondale 14 white,135,0.346,0.3001248541775228,0.4316408703704715,0.3,6,139,0.1464,0.3001248541775228,0.4316408703704715,0.0,6,-4,-0.19959999999999997
psc 2014/15b,136,0.445,0.2753524941682047,0.2974015038999141,0.815,5,127,0.525,0.2753524941682047,0.2974015038999141,0.684,5,9,0.08000000000000002
fc arizona pre ecnl rl b14,137,0.606,0.5525318983731065,0.871558016338415,0.358,4,136,0.3208,0.5525318983731065,0.871558016338415,0.06,4,1,-0.2852
gila valley ninjas,138,0.575,0.6751922510940334,0.7118966173583657,0.3,4,138,0.2774,0.6751922510940334,0.7118966173583657,0.0,4,0,-0.2976
pumas tucson 14b,139,0.507,0.5185091954717289,0.6586147138690961,0.317,4,141,0.2456,0.5185091954717289,0.6586147138690961,0.017,4,-2,-0.26139999999999997
phoenix premier fc 14b pre mls next ad,140,0.359,0.3824839194987967,0.3247736046330814,0.371,5,140,0.1859,0.3824839194987967,0.3247736046330814,0.074,5,0,-0.17309999999999998
pima surf 2014 b white,141,0.49,0.2736623139326739,0.2678948742581393,1.0,4,128,0.7083,0.2736623139326739,0.2678948742581393,1.0,4,13,0.21830000000000005
scum east valley 14b ninjas,142,0.234,0.2122381092353676,0.1988416111030211,0.3,6,143,0.0822,0.2122381092353676,0.1988416111030211,0.0,6,-1,-0.15180000000000002
spartak academy 2014 boys,143,0.365,0.454201206674038,0.3319755858321915,0.3,4,142,0.1572,0.454201206674038,0.3319755858321915,0.0,4,1,-0.20779999999999998
bala fc - 2014b,144,0.415,0.4696118082295974,0.458791405509848,0.3,3,144,0.1857,0.4696118082295974,0.458791405509848,0.0,3,0,-0.22929999999999998
jedi 14b,145,0.413,0.3311668636665809,0.5752402515929763,0.319,3,145,0.1927,0.3311668636665809,0.5752402515929763,0.019,3,0,-0.22029999999999997
esc - boys chandler 15/16,146,0.265,0.248703276239102,0.2514497395384056,0.3,4,148,0.1,0.248703276239102,0.2514497395384056,0.0,4,-2,-0.165
tuzos nogales 2014,147,0.38,0.301706156509822,0.526341658037961,0.3,3,146,0.1656,0.301706156509822,0.526341658037961,0.0,3,1,-0.2144
milan b,148,0.316,0.272359707207236,0.2932560977920759,0.393,3,147,0.1719,0.272359707207236,0.2932560977920759,0.098,3,1,-0.1441
