Rank,Team,PowerScore_adj,PowerScore,GP_Mult,Off_norm,Def_norm,SOS_norm,GamesPlayed,Status,LastGame
1,AZ Arsenal Pre-ECNL B14,0.749,0.749,1.0,1.0,0.331,1.0,20,Active,2025-09-28
2,PFC Danger B2014 Blue,0.69,0.92,0.75,0.826,0.983,0.967,1,Provisional,2025-08-09
3,Phoenix United 2014 Premier,0.688,0.688,1.0,0.771,0.423,0.961,20,Active,2025-09-28
5,AZEV B2014 (WHITE),0.678,0.678,1.0,0.868,0.281,0.987,20,Active,2025-09-27
6,FC Elite Arizona 2014 Boys - Martinez,0.662,0.882,0.75,0.72,1.0,0.947,6,Active,2025-09-28
7,PRFC Scottsdale 14B Pre-Academy,0.661,0.661,1.0,0.687,0.466,0.914,20,Active,2025-10-05
8,14 Pre-MLSN #2,0.658,0.658,1.0,0.733,0.385,0.954,20,Active,2025-10-04
9,2014 Elite,0.611,0.679,0.9,0.697,0.496,0.928,10,Active,2025-09-28
10,2014B West,0.607,0.607,1.0,0.683,0.331,0.908,20,Active,2025-09-28
11,Playmaker Futbol Academy 14B Black,0.604,0.604,1.0,0.717,0.267,0.941,20,Active,2025-09-28
12,FC Deportivo AZ 2014B (Gallegos),0.594,0.66,0.9,0.867,0.24,0.98,18,Active,2025-09-20
13,Phoenix Premier FC 14B X-Factor,0.592,0.592,1.0,0.56,0.497,0.783,20,Active,2025-09-21
14,Madison FC 14 Gold Boys,0.586,0.586,1.0,0.656,0.32,0.882,20,Active,2025-10-04
15,SFC XOLOS ARIZONA 2014,0.584,0.649,0.9,0.863,0.217,0.974,11,Active,2025-10-04
16,PSG 14B Blue,0.584,0.584,1.0,0.669,0.291,0.895,20,Active,2025-09-28
17,14 Pre-MLSN #1,0.578,0.578,1.0,0.7,0.22,0.934,20,Active,2025-10-04
18,Scottsdale 14 Sandsharks Select,0.573,0.573,1.0,0.515,0.538,0.711,20,Active,2025-10-04
19,Legends FC AZ 14B Black,0.567,0.567,1.0,0.613,0.347,0.829,20,Active,2025-05-04
20,Real Arizona 2014,0.564,0.564,1.0,0.663,0.249,0.888,20,Active,2025-04-26
21,AZSC 14B Perez,0.545,0.545,1.0,0.649,0.225,0.868,20,Active,2025-04-27
22,Phoenix Premier FC 14B SW Black,0.536,0.536,1.0,0.613,0.258,0.836,20,Active,2025-09-28
23,Phoenix Premier FC 14B Black,0.535,0.535,1.0,0.652,0.191,0.875,20,Active,2025-10-04
24,AZSC 2014B Pre-NL Premier 2,0.531,0.531,1.0,0.512,0.448,0.684,20,Active,2025-09-13
25,Brazas 2014 Boys Black Marcos,0.517,0.517,1.0,0.578,0.266,0.803,20,Active,2025-04-27
26,Southeast 2014 Boys Black,0.516,0.573,0.9,0.649,0.305,0.862,19,Active,2025-09-14
27,CCV Stars 14 Boys West Pre-ECNL,0.514,0.571,0.9,0.69,0.219,0.921,11,Active,2025-09-13
28,2014 Boys Yellow,0.509,0.509,1.0,0.585,0.233,0.809,20,Active,2025-09-20
29,Excel Soccer Academy 14B Black,0.506,0.562,0.9,0.68,0.218,0.901,16,Active,2025-10-04
30,PRFC West Valley 14B Predator,0.506,0.506,1.0,0.629,0.149,0.855,20,Active,2025-10-04
31,FC Elite Arizona 2014 Boys (ARCHIVED),0.505,0.505,1.0,0.492,0.437,0.625,20,Active,2025-04-27
32,Tuzos Royals 14 Pre-Academy,0.499,0.499,1.0,0.522,0.326,0.724,20,Active,2025-09-14
33,Monsters 2014,0.492,0.656,0.75,0.534,0.714,0.75,8,Active,2025-09-20
34,Southeast 2014 Boys Red,0.488,0.488,1.0,0.503,0.347,0.678,20,Active,2025-10-05
35,Southeast 2014 Boys Green,0.484,0.484,1.0,0.525,0.279,0.73,20,Active,2025-10-05
36,14B Negrete Pre MLS Next,0.483,0.537,0.9,0.626,0.241,0.849,16,Active,2025-10-04
37,Dynamos SC 14B Gold,0.471,0.471,1.0,0.536,0.214,0.757,20,Active,2025-10-05
38,PRFC Desert Foothills 14B Pre-Academy,0.47,0.47,1.0,0.55,0.19,0.77,20,Active,2025-10-05
39,NOS Santos 14 Boys Blue,0.457,0.457,1.0,0.549,0.161,0.763,20,Active,2025-10-04
40,2014 Rush Boys,0.457,0.457,1.0,0.497,0.288,0.651,20,Active,2025-10-04
41,14B Engilman,0.455,0.455,1.0,0.528,0.189,0.743,20,Active,2025-09-20
42,Excel Soccer Academy 14B Red,0.451,0.451,1.0,0.515,0.218,0.704,20,Active,2025-10-05
43,AZ Inferno 14 Boys Black,0.448,0.448,1.0,0.52,0.196,0.717,20,Active,2025-10-04
44,West Valley 2014 Boys Martinez Pre-Elite64,0.445,0.445,1.0,0.491,0.283,0.618,20,Active,2025-04-27
45,Dynamos SC 14B SC,0.445,0.445,1.0,0.48,0.315,0.586,20,Active,2025-09-28
46,14B NL #1,0.444,0.493,0.9,0.527,0.296,0.737,11,Active,2025-09-21
47,14B Velasco,0.442,0.442,1.0,0.502,0.228,0.671,20,Active,2025-09-27
48,Tuzos Halcones 2014,0.44,0.44,1.0,0.572,0.076,0.789,20,Active,2025-10-05
49,AZ Thundercats 2014,0.439,0.585,0.75,0.555,0.488,0.776,2,Provisional,2025-05-24
50,Tuzos 2014 Nava,0.436,0.484,0.9,0.626,0.103,0.842,16,Active,2025-10-04
51,14B Moyer,0.434,0.434,1.0,0.5,0.215,0.664,20,Active,2025-09-14
52,La Academia 14B,0.431,0.479,0.9,0.603,0.126,0.822,15,Active,2025-10-04
53,RSL-AZ Yuma 14 Boys Quinonez,0.428,0.476,0.9,0.588,0.137,0.816,15,Active,2025-10-04
54,14B GSA,0.426,0.426,1.0,0.496,0.21,0.645,20,Active,2025-09-28
55,CCV Stars 14 Boys South Pre-ECNL,0.426,0.426,1.0,0.486,0.246,0.605,20,Active,2025-10-05
56,AZEV B2014 (NAVY),0.421,0.421,1.0,0.446,0.321,0.533,20,Active,2025-10-04
57,PRFC Southeast Valley 14B Predator,0.42,0.42,1.0,0.512,0.147,0.691,20,Active,2025-10-04
58,14B NL #2,0.41,0.455,0.9,0.236,0.858,0.178,10,Active,2025-09-21
59,PRFC Scottsdale 14B Predator,0.405,0.405,1.0,0.485,0.195,0.599,20,Active,2025-09-20
60,CDO 14B Premier,0.405,0.405,1.0,0.484,0.201,0.592,20,Active,2025-10-05
61,Madison FC 14 Blue Boys,0.404,0.404,1.0,0.49,0.18,0.612,20,Active,2025-09-20
62,Select 14B,0.401,0.401,1.0,0.496,0.149,0.638,20,Active,2025-10-04
63,FC Arizona 14B Black GFC Suenaga U12,0.398,0.53,0.75,0.577,0.306,0.796,7,Active,2025-10-04
64,Playmaker Futbol Academy 14B Gold,0.398,0.398,1.0,0.495,0.146,0.632,20,Active,2025-09-28
65,Playmaker Futbol Academy PRE-ECNL B14,0.394,0.438,0.9,0.513,0.189,0.697,15,Active,2025-09-28
66,U-12 (2014) Boys Pre Academy Blue,0.393,0.393,1.0,0.473,0.189,0.579,20,Active,2025-10-05
67,Select 14B Red,0.392,0.392,1.0,0.38,0.366,0.447,20,Active,2025-10-04
68,Phoenix United 2014 Academy,0.389,0.389,1.0,0.431,0.273,0.5,20,Active,2025-04-27
69,PRFC North Valley 14B Predator,0.377,0.377,1.0,0.468,0.155,0.572,20,Active,2025-09-27
70,Tuzos Academy Mesa 2014,0.369,0.369,1.0,0.454,0.158,0.559,20,Active,2025-10-05
71,CCV Stars 14 Boys East Pre-ECNL,0.369,0.41,0.9,0.385,0.402,0.461,13,Active,2025-09-14
72,PRFC North Valley 14B PreAcademy,0.368,0.368,1.0,0.421,0.236,0.487,20,Active,2025-10-04
73,Amore 2014 Boys,0.362,0.362,1.0,0.452,0.149,0.546,20,Active,2025-09-07
74,Kingman SC B14 McGill,0.358,0.398,0.9,0.432,0.292,0.507,18,Active,2025-09-07
75,FC ARIZONA PRE ECNL RL B14,0.356,0.475,0.75,0.384,0.579,0.454,4,Provisional,2025-09-28
76,14B Hinds,0.355,0.355,1.0,0.339,0.374,0.349,20,Active,2025-09-21
77,AZ Arsenal 14 Boys Select,0.353,0.392,0.9,0.441,0.263,0.513,17,Active,2025-10-04
78,PRFC Southeast Valley 14B Predator-Central,0.352,0.352,1.0,0.422,0.188,0.493,20,Active,2025-09-13
79,Pima Surf 2014 B Blue,0.337,0.374,0.9,0.445,0.203,0.526,15,Active,2025-10-05
80,CDO 14B Elite,0.336,0.336,1.0,0.378,0.229,0.434,20,Active,2025-09-21
81,Gila Valley Ninjas,0.334,0.445,0.75,0.251,0.804,0.197,3,Provisional,2025-09-21
82,14B Laroussi,0.332,0.369,0.9,0.5,0.046,0.658,11,Active,2025-09-27
83,State 48 FC Avondale 14 Black,0.331,0.331,1.0,0.364,0.238,0.421,20,Active,2025-10-04
84,AZ Arsenal 14 Boys Teal CB,0.328,0.328,1.0,0.451,0.065,0.539,20,Active,2025-09-06
85,14B Midhaan,0.327,0.363,0.9,0.452,0.146,0.553,17,Active,2025-09-14
86,CCV Stars 14 Boys North Navy,0.327,0.327,1.0,0.399,0.157,0.474,20,Active,2025-10-04
87,14B Felix Nogales,0.326,0.362,0.9,0.443,0.176,0.52,12,Active,2025-09-28
88,Phoenix Premier FC 14B White,0.322,0.322,1.0,0.358,0.23,0.408,20,Active,2025-10-04
89,VSC 2014 Boys Green,0.319,0.319,1.0,0.353,0.235,0.395,20,Active,2025-09-21
90,14B Hermanson AL,0.313,0.313,1.0,0.352,0.224,0.388,20,Active,2025-10-04
91,Tuzos Royals 2014,0.308,0.308,1.0,0.351,0.226,0.368,20,Active,2025-10-04
92,East Valley NSFC 14 Boys Aguirre,0.304,0.304,1.0,0.394,0.106,0.467,20,Active,2025-09-13
93,PRFC Scottsdale 14B Copa,0.304,0.304,1.0,0.379,0.137,0.441,20,Active,2025-08-31
94,CCV Stars 14 Boys North Pre-ECNL,0.303,0.337,0.9,0.32,0.355,0.336,12,Active,2025-10-04
95,NOS Santos 14 Boys White,0.293,0.293,1.0,0.361,0.144,0.414,20,Active,2025-10-04
96,Phoenix Valley Soccer Club boys 2014,0.288,0.288,1.0,0.367,0.115,0.428,20,Active,2025-09-20
97,CAC 14/15B (Conroy),0.288,0.288,1.0,0.352,0.165,0.375,20,Active,2025-09-28
98,U-12 (2014) Boys Yuma Pre Academy,0.284,0.316,0.9,0.352,0.235,0.382,10,Active,2025-09-07
99,Madison FC 14 White Boys,0.284,0.379,0.75,0.311,0.497,0.303,7,Active,2025-09-13
100,CCV Stars 14 Boys South Orange,0.278,0.278,1.0,0.342,0.163,0.355,20,Active,2025-10-04
101,PRFC Southeast Valley 14B Pre-Academy,0.276,0.276,1.0,0.354,0.116,0.401,20,Active,2025-10-04
102,14B Rayados Blue AL,0.274,0.365,0.75,0.467,0.129,0.566,8,Active,2025-10-05
103,America 14b,0.269,0.359,0.75,0.405,0.233,0.48,7,Active,2025-09-28
104,14 Cityzens,0.269,0.269,1.0,0.319,0.18,0.329,20,Active,2025-10-04
105,AZ Arsenal 14 Boys Teal SC,0.269,0.269,1.0,0.303,0.23,0.276,20,Active,2025-10-04
106,RSL-AZ Yuma 14 Boys Rodriguez,0.265,0.354,0.75,0.318,0.411,0.322,4,Provisional,2025-08-17
107,2014 Boys Blue,0.261,0.261,1.0,0.272,0.274,0.224,20,Active,2025-09-20
108,CCV Stars 14 Boys North Orange,0.255,0.255,1.0,0.31,0.172,0.296,20,Active,2025-10-04
109,14B JDeutsch Pre-MLS Next,0.253,0.281,0.9,0.344,0.164,0.362,13,Active,2025-09-14
110,AZ Arsenal 14 Boys Teal MC,0.253,0.281,0.9,0.29,0.285,0.263,15,Active,2025-09-21
111,Southeast 2014 Boys Blue,0.252,0.252,1.0,0.292,0.201,0.27,20,Active,2025-10-04
112,Verde Valley United FC,0.248,0.275,0.9,0.256,0.337,0.211,11,Active,2025-05-25
113,Scottsdale 14 Sandsharks Black,0.242,0.242,1.0,0.212,0.349,0.125,20,Active,2025-09-13
114,Deportivo Mexico 14B,0.24,0.267,0.9,0.312,0.193,0.309,13,Active,2025-09-28
115,14B Blue #1,0.235,0.261,0.9,0.209,0.417,0.105,16,Active,2025-09-21
116,State 48 FC Avondale 14 White,0.234,0.234,1.0,0.269,0.211,0.217,20,Active,2025-09-14
117,PRFC Desert Foothills 14B Predator,0.233,0.233,1.0,0.315,0.095,0.316,20,Active,2025-10-04
118,CCV Stars 14 Boys West Orange,0.229,0.254,0.9,0.274,0.249,0.23,17,Active,2025-09-20
119,Eagles F.C.,0.227,0.227,1.0,0.2,0.344,0.092,20,Active,2025-09-21
120,Bala FC - 2014B,0.22,0.294,0.75,0.32,0.237,0.342,3,Provisional,2025-09-14
121,Tuzos Nogales 2014,0.22,0.293,0.75,0.046,0.722,0.02,3,Provisional,2025-09-21
122,PRFC North Valley 14B Copa,0.218,0.218,1.0,0.307,0.083,0.289,20,Active,2025-04-27
123,Pumas Tucson 14B,0.218,0.291,0.75,0.212,0.476,0.132,3,Provisional,2025-09-21
124,Northwest 2014 Boys,0.212,0.212,1.0,0.282,0.12,0.243,20,Active,2025-04-26
125,Milan,0.205,0.205,1.0,0.229,0.213,0.158,20,Active,2025-09-28
126,14B Antunez Pre-MLS Next,0.204,0.227,0.9,0.287,0.151,0.25,19,Active,2025-10-05
127,14B Rueda,0.2,0.2,1.0,0.255,0.143,0.204,20,Active,2025-10-04
128,14B Geoff,0.197,0.197,1.0,0.215,0.213,0.145,20,Active,2025-09-21
129,PRFC West Valley 14B Pre-Academy,0.19,0.19,1.0,0.25,0.129,0.191,20,Active,2025-09-21
130,FC Elite Arizona 2014 Boys - Urbina,0.187,0.208,0.9,0.222,0.233,0.151,10,Active,2025-09-28
131,Tuzos Chandler 2014 boys,0.178,0.237,0.75,0.306,0.137,0.283,5,Provisional,2025-10-04
132,VSC 2014 Boys White,0.177,0.197,0.9,0.231,0.185,0.164,11,Active,2025-09-21
133,Jedi 14B,0.176,0.234,0.75,0.103,0.494,0.039,3,Provisional,2025-09-21
134,Spartak Academy 2014 Boys,0.166,0.222,0.75,0.287,0.135,0.257,4,Provisional,2025-10-04
135,AZSC 2014/2015B Navy,0.165,0.22,0.75,0.213,0.283,0.138,4,Provisional,2025-09-20
137,AZ Inferno 14 Boys Blue,0.159,0.212,0.75,0.174,0.351,0.059,7,Active,2025-10-04
138,Phoenix Premier FC 14B Pre MLS Next AD,0.157,0.209,0.75,0.278,0.121,0.237,8,Active,2025-09-20
139,PSC 2014B,0.153,0.204,0.75,0.135,0.374,0.053,6,Active,2025-09-27
140,Synergy FC 14 B,0.152,0.152,1.0,0.178,0.184,0.066,20,Active,2025-09-20
141,14 Boys Navy,0.15,0.15,1.0,0.209,0.115,0.112,20,Active,2025-09-20
142,Hustle Hard 2014- Boys,0.148,0.148,1.0,0.185,0.158,0.079,20,Active,2025-04-13
143,FC Sonora 14' B Dynamo,0.147,0.163,0.9,0.208,0.161,0.099,11,Active,2025-09-28
144,Sun Warriors 15/16 Boys,0.146,0.195,0.75,0.209,0.232,0.118,4,Provisional,2025-09-14
145,East Valley NSFC 14 Boys Tiggs,0.14,0.14,1.0,0.232,0.026,0.171,20,Active,2025-09-13
146,Tuzos Titanes 2014,0.128,0.142,0.9,0.18,0.151,0.072,19,Active,2025-09-13
147,FSC United 14 Boys,0.11,0.11,1.0,0.191,0.044,0.086,20,Active,2025-09-28
148,PSC 2014/15B,0.104,0.138,0.75,0.107,0.231,0.046,3,Provisional,2025-09-20
149,SCFC - 2014,0.059,0.079,0.75,0.0,0.21,0.0,2,Provisional,2025-09-28
150,ASA 014B Magic,0.048,0.053,0.9,0.076,0.044,0.033,11,Active,2025-09-20
151,ESC - Boys Chandler 15/16,0.029,0.039,0.75,0.037,0.057,0.013,3,Provisional,2025-04-27
152,Milan B,0.018,0.024,0.75,0.047,0.001,0.026,3,Provisional,2025-09-28
