Team,Rank_v53,Rank_v53e,Rank_Movement,PowerScore_v53,PowerScore_v53e,PowerScore_Change,Abs_Rank_Movement,Abs_PowerScore_Change
Phoenix United 2014 Premier Phoenix United Futbol Club,2,5,-3,0.3612,0.3401,-0.021100000000000008,3,0.021100000000000008
14B Felix Nogales RSL-AZ Southern AZ,96,93,3,0.2098,0.2226,0.012800000000000006,3,0.012800000000000006
2014 Elite Phoenix United Futbol Club,29,32,-3,0.3612,0.3498,-0.011400000000000021,3,0.011400000000000021
CCV Stars 14 Boys North Navy CCV STARS,72,69,3,0.1633,0.1714,0.008099999999999996,3,0.008099999999999996
U-12 (2014) Boys Pre Academy Blue SC del Sol,65,62,3,0.177,0.1893,0.012300000000000005,3,0.012300000000000005
PRFC Desert Foothills 14B Pre-Academy Phoenix Rising Desert Foothills,39,36,3,0.2331,0.2455,0.012399999999999994,3,0.012399999999999994
Phoenix Premier FC 14B Black Phoenix Premier FC,43,40,3,0.2208,0.2333,0.012500000000000011,3,0.012500000000000011
PRFC West Valley 14B Pre-Academy Phoenix Rising FC,108,111,-3,0.1067,0.0962,-0.01050000000000001,3,0.01050000000000001
14B Rueda RSL-AZ South,113,110,3,0.1007,0.096,-0.004699999999999996,3,0.004699999999999996
14B NL #1 FC Tucson Youth Soccer,89,86,3,0.174,0.1808,0.0068000000000000005,3,0.0068000000000000005
Eagles F.C. Renegades Soccer Club,94,97,-3,0.1271,0.1131,-0.013999999999999985,3,0.013999999999999985
CCV Stars 14 Boys South Orange CCV STARS,107,104,3,0.1071,0.1061,-0.0010000000000000009,3,0.0010000000000000009
PRFC Scottsdale 14B Predator Phoenix Rising FC,76,73,3,0.1518,0.1636,0.011800000000000005,3,0.011800000000000005
FC Arizona 14B Black GFC Suenaga U12 FC Arizona,121,118,3,0.2859,0.292,0.006099999999999994,3,0.006099999999999994
Brazas 2014 Boys Black Marcos Brazas Futebol Club,20,23,-3,0.2711,0.2729,0.0017999999999999683,3,0.0017999999999999683
AZEV B2014 (WHITE) AYSO United (AZ),4,1,3,0.3544,0.3643,0.00990000000000002,3,0.00990000000000002
Monsters 2014 United Latinos SC,120,117,3,0.3455,0.3477,0.0022000000000000353,3,0.0022000000000000353
Playmaker Futbol Academy 14B Black Playmaker Futbol Academy,24,22,2,0.2684,0.2726,0.0041999999999999815,2,0.0041999999999999815
Legends FC AZ 14B Black Dynamos SC,22,20,2,0.269,0.2778,0.008799999999999975,2,0.008799999999999975
CCV Stars 14 Boys West Pre-ECNL CCV STARS,31,29,2,0.2491,0.2599,0.010800000000000032,2,0.010800000000000032
AZ Arsenal 14 Boys Select Arizona Arsenal Soccer Club,27,25,2,0.2621,0.2711,0.009000000000000008,2,0.009000000000000008
2014 Tuzos Academy FV FBSL,28,26,2,0.333,0.343,0.010000000000000009,2,0.010000000000000009
Southeast 2014 Boys Red Next Level Soccer (AZ),32,34,-2,0.2479,0.2477,-0.00020000000000000573,2,0.00020000000000000573
FC Deportivo AZ 2014B (Gallegos) FC Deportivo Arizona,26,28,-2,0.2621,0.2675,0.005400000000000016,2,0.005400000000000016
Kingman SC B14 McGill Kingman SC,16,14,2,0.2944,0.2988,0.004400000000000015,2,0.004400000000000015
Madison FC 14 Gold Boys Madison FC,8,10,-2,0.3249,0.3182,-0.006700000000000039,2,0.006700000000000039
FC Elite Arizona 2014 Boys (ARCHIVED) FC Elite Arizona,11,9,2,0.3083,0.3212,0.012899999999999967,2,0.012899999999999967
PSG 14B Blue Paris Saint-Germain Academy Phoenix,6,8,-2,0.3299,0.3271,-0.0028000000000000247,2,0.0028000000000000247
AZSC 2014B Pre-NL Premier 2 Arizona Soccer Club,15,13,2,0.296,0.3062,0.010200000000000042,2,0.010200000000000042
2014 Rush Boys Phoenix Rush,19,21,-2,0.2756,0.2778,0.0021999999999999797,2,0.0021999999999999797
PRFC North Valley 14B Predator Phoenix Rising FC North Valley,77,79,-2,0.1525,0.1552,0.002700000000000008,2,0.002700000000000008
SFC XOLOS ARIZONA 2014 Spartans FC (AZ),88,90,-2,0.2938,0.2926,-0.0011999999999999789,2,0.0011999999999999789
Milan AYSO 350 Alliance,112,114,-2,0.1053,0.0945,-0.010800000000000004,2,0.010800000000000004
PSC 2014B Paladin Soccer Club,133,135,-2,0.1791,0.1683,-0.010800000000000004,2,0.010800000000000004
14 Cityzens Scottsdale City FC,111,109,2,0.105,0.0997,-0.005299999999999999,2,0.005299999999999999
PRFC Desert Foothills 14B Predator Phoenix Rising Desert Foothills,117,115,2,0.09,0.0926,0.002600000000000005,2,0.002600000000000005
Playmaker Futbol Academy PRE-ECNL B14 Playmaker Futbol Academy,63,61,2,0.1934,0.204,0.010599999999999998,2,0.010599999999999998
Select 14B Red AZFC,68,70,-2,0.1722,0.1704,-0.001799999999999996,2,0.001799999999999996
Southeast 2014 Boys Blue Next Level Soccer (AZ),60,58,2,0.1834,0.1929,0.00949999999999998,2,0.00949999999999998
2014 Boys Yellow Thunderbird FC,40,38,2,0.2334,0.2388,0.005400000000000016,2,0.005400000000000016
Excel Soccer Academy 14B Red Excel Soccer Academy,21,19,2,0.2698,0.2789,0.009099999999999997,2,0.009099999999999997
PRFC Scottsdale 14B Pre-Academy Phoenix Rising FC,1,2,-1,0.3612,0.3512,-0.010000000000000009,1,0.010000000000000009
Phoenix Premier FC 14B SW Black Phoenix Premier FC,17,18,-1,0.2922,0.2832,-0.009000000000000008,1,0.009000000000000008
Real Arizona 2014 Real Arizona FC,12,11,1,0.307,0.3135,0.006500000000000006,1,0.006500000000000006
Southeast 2014 Boys Black Next Level Soccer (AZ),5,6,-1,0.352,0.333,-0.01899999999999996,1,0.01899999999999996
Dynamos SC 14B SC Dynamos SC,13,12,1,0.2994,0.3126,0.01319999999999999,1,0.01319999999999999
14 Pre-MLSN #1 FC Tucson Youth Soccer,18,17,1,0.2836,0.2891,0.005500000000000005,1,0.005500000000000005
SCUM East Valley 14B Ninjas SC Union Maricopa Academy,134,133,1,0.174,0.1844,0.01040000000000002,1,0.01040000000000002
AZSC 2014/2015B Navy Arizona Soccer Club,135,134,1,0.1677,0.168,0.00030000000000002247,1,0.00030000000000002247
14B GSA RSL-AZ North,14,15,-1,0.2964,0.2924,-0.0040000000000000036,1,0.0040000000000000036
RSL-AZ Yuma 14 Boys Rodriguez RSL-AZ Yuma,129,128,1,0.1617,0.1714,0.009699999999999986,1,0.009699999999999986
14B Blue #1 FC Tucson Youth Soccer,98,99,-1,0.1702,0.156,-0.01419999999999999,1,0.01419999999999999
14B Antunez Pre-MLS Next RSL-AZ North,115,116,-1,0.0919,0.0928,0.000899999999999998,1,0.000899999999999998
PRFC Southeast Valley 14B Pre-Academy Phoenix Rising FC,106,105,1,0.1075,0.1055,-0.0020000000000000018,1,0.0020000000000000018
Phoenix Valley Soccer Club boys 2014 Phoenix Valley,114,113,1,0.0931,0.0941,0.0010000000000000009,1,0.0010000000000000009
Southeast 2014 Boys Green Next Level Soccer (AZ),42,41,1,0.2251,0.2332,0.008099999999999996,1,0.008099999999999996
NOS Santos 14 Boys White NOS Santos SC,47,46,1,0.2122,0.2207,0.008500000000000008,1,0.008500000000000008
NOS Santos 14 Boys Blue NOS Santos SC,36,37,-1,0.2384,0.242,0.003599999999999992,1,0.003599999999999992
RSL-AZ Yuma 14 Boys Quinonez RSL-AZ Yuma,38,39,-1,0.2336,0.2351,0.0015000000000000013,1,0.0015000000000000013
14B Negrete Pre MLS Next RSL-AZ Southern AZ,25,24,1,0.263,0.2706,0.007599999999999996,1,0.007599999999999996
Tuzos Titanes 2014 FBSL,119,120,-1,0.0879,0.086,-0.0019000000000000128,1,0.0019000000000000128
AZ Arsenal 14 Boys Teal SC Arizona Arsenal Soccer Club,80,81,-1,0.1505,0.1499,-0.0005999999999999894,1,0.0005999999999999894
14 Boys Navy FC Batavia,56,57,-1,0.188,0.1939,0.005899999999999989,1,0.005899999999999989
Pima Surf 2014 B Blue Pima County Surf Soccer Club,124,123,1,0.1598,0.1631,0.0032999999999999974,1,0.0032999999999999974
ASA 014B Magic Arizona Soccer Academy,123,124,-1,0.1194,0.1148,-0.004600000000000007,1,0.004600000000000007
14B Rayados Blue AL RSL-AZ Southern AZ,128,129,-1,0.1885,0.1962,0.007700000000000012,1,0.007700000000000012
Phoenix Premier FC 14B X-Factor Phoenix Premier FC,3,3,0,0.3566,0.3402,-0.01639999999999997,0,0.01639999999999997
2014B West Phoenix United Futbol Club,7,7,0,0.3303,0.3276,-0.00269999999999998,0,0.00269999999999998
Tuzos Royals 14 Pre-Academy FBSL,30,30,0,0.2495,0.2528,0.003300000000000025,0,0.003300000000000025
AZEV B2014 (NAVY) AYSO United (AZ),33,33,0,0.2442,0.2504,0.006200000000000011,0,0.006200000000000011
Excel Soccer Academy 14B Black Excel Soccer Academy,52,52,0,0.2747,0.2784,0.003699999999999981,0,0.003699999999999981
FC Elite Arizona 2014 Boys - Martinez FC Elite Arizona,82,82,0,0.417,0.4078,-0.009199999999999986,0,0.009199999999999986
AZ Arsenal Pre-ECNL B14 Arizona Arsenal Soccer Club,75,75,0,0.1592,0.1602,0.0010000000000000009,0,0.0010000000000000009
West Valley 2014 Boys Martinez Pre-Elite64 RSL-AZ West Valley,45,45,0,0.2139,0.2229,0.00899999999999998,0,0.00899999999999998
AZ Arsenal 14 Boys Teal MC Arizona Arsenal Soccer Club,92,92,0,0.1326,0.131,-0.0015999999999999903,0,0.0015999999999999903
AZ Inferno 14 Boys Blue AZ Inferno,127,127,0,0.2331,0.2434,0.010300000000000004,0,0.010300000000000004
VSC 2014 Boys White Vail SC,122,122,0,0.138,0.1336,-0.004400000000000015,0,0.004400000000000015
Pima Surf 2014 B White Pima County Surf Soccer Club,126,126,0,0.7081,0.7116,0.0035000000000000586,0,0.0035000000000000586
FC Elite Arizona 2014 Boys - Urbina FC Elite Arizona,125,125,0,0.1817,0.1696,-0.0121,0,0.0121
FC Sonora 14' B Dynamo FC Sonora,132,132,0,0.107,0.1021,-0.004900000000000002,0,0.004900000000000002
Madison FC 14 White Boys Madison FC,131,131,0,0.2359,0.2338,-0.0020999999999999908,0,0.0020999999999999908
America 14b Renegades Soccer Club,130,130,0,0.2006,0.2231,0.022499999999999992,0,0.022499999999999992
FC ARIZONA PRE ECNL RL B14 FC Arizona,136,136,0,0.298,0.2785,-0.019499999999999962,0,0.019499999999999962
Gila Valley Ninjas AYSO 350 Alliance,137,137,0,0.2759,0.2609,-0.014999999999999958,0,0.014999999999999958
State 48 FC Avondale 14 White State 48 FC,138,138,0,0.1461,0.1415,-0.004600000000000021,0,0.004600000000000021
PSC 2014/15B Paladin Soccer Club,139,139,0,0.1888,0.1875,-0.0012999999999999956,0,0.0012999999999999956
Tuzos Chandler 2014 boys FBSL,140,140,0,0.1355,0.1348,-0.0007000000000000062,0,0.0007000000000000062
Pumas Tucson 14B Renegades Soccer Club,141,141,0,0.2321,0.2268,-0.005299999999999999,0,0.005299999999999999
Phoenix Premier FC 14B Pre MLS Next AD Phoenix Premier FC,142,142,0,0.139,0.1361,-0.0029000000000000137,0,0.0029000000000000137
ESC - Boys Chandler 15/16 Epic Soccer Club,143,143,0,0.1742,0.1827,0.008500000000000008,0,0.008500000000000008
Bala FC - 2014B Bala FC,144,144,0,0.2573,0.2555,-0.0017999999999999683,0,0.0017999999999999683
Spartak Academy 2014 Boys Spartak Academy,145,145,0,0.1543,0.1478,-0.006500000000000006,0,0.006500000000000006
Milan B AYSO 350 Alliance,146,146,0,0.2048,0.2143,0.00949999999999998,0,0.00949999999999998
Jedi 14B Renegades Soccer Club,147,147,0,0.1793,0.1893,0.010000000000000009,0,0.010000000000000009
Tuzos Nogales 2014 FBSL,148,148,0,0.167,0.179,0.011999999999999983,0,0.011999999999999983
