Team,Date,Opponent,GoalsFor,GoalsAgainst,GoalDiff,expected_gd,gd_delta,impact_bucket,Opponent_BaseStrength
14B Blue #1,2025-02-08,Deportivo Mexico 14B,2,0,2,1.0,1.0,neutral,0.158
14B Blue #1,2024-11-16,VSC 2014 Boys Green,4,3,1,0.5,0.5,neutral,0.214
14B Blue #1,2024-11-02,FC Sonora 14' B Dynamo,5,0,5,2.5,2.5,good,0.107
14B Blue #1,2024-10-26,14B NL #2,0,3,-3,-1.5,-1.5,weak,0.325
14B Blue #1,2024-10-20,Eagles F.C.,0,2,-2,-1.0,-1.0,neutral,0.188
14B Blue #1,2024-10-19,14B Geoff,2,0,2,1.0,1.0,neutral,0.15
14B Blue #1,2024-10-19,CAC 14/15B (Conroy),0,3,-3,-1.5,-1.5,weak,0.141
14B Blue #1,2024-09-28,Deportivo Mexico 14B,1,5,-4,-2.0,-2.0,weak,0.158
14B Blue #1,2024-09-22,VSC 2014 Boys White,5,1,4,2.0,2.0,good,0.155
14B Blue #1,2024-09-22,14B Hinds,1,0,1,0.5,0.5,neutral,0.215
14B Blue #1,2024-09-21,14B Hinds,0,2,-2,-1.0,-1.0,neutral,0.215
14B Bratcher,2025-04-19,AZ Arsenal 14 Boys Select,1,3,-2,-1.0,-1.0,neutral,0.243
14B Bratcher,2025-04-19,PRFC Scottsdale 14B Copa,3,1,2,1.0,1.0,neutral,0.119
14B Bratcher,2025-04-18,East Valley NSFC 14 Boys Tiggs,4,3,1,0.5,0.5,neutral,0.085
14B Bratcher,2025-03-01,AZ Arsenal 14 Boys Select,0,1,-1,-0.5,-0.5,neutral,0.243
14B Bratcher,2025-02-22,PRFC Southeast Valley 14B Predator,2,3,-1,-0.5,-0.5,neutral,0.163
14B Bratcher,2025-02-15,CCV Stars 14 Boys South Orange,1,4,-3,-1.5,-1.5,weak,0.147
14B Bratcher,2025-02-08,ASA 014B Magic,5,0,5,2.5,2.5,good,0.054
14B Bratcher,2025-01-31,AZ Arsenal 14 Boys Teal MC,2,3,-1,-0.5,-0.5,neutral,0.173
14B Bratcher,2025-01-25,Select 14B Red,1,6,-5,-2.5,-2.5,weak,0.207
14B Bratcher,2025-01-11,CCV Stars 14 Boys East Pre-ECNL,1,5,-4,-2.0,-2.0,weak,0.236
14B Bratcher,2024-12-06,ASA 014B Magic,7,3,4,2.0,2.0,good,0.054
14B Bratcher,2024-11-23,AZ Arsenal 14 Boys Select,2,9,-7,-3.5,-3.5,weak,0.243
14B Bratcher,2024-11-10,AZSC 2014B Pre-NL Premier 2,0,3,-3,-1.5,-1.5,weak,0.32
14B Bratcher,2024-11-09,14 Boys Navy,1,5,-4,-2.0,-2.0,weak,0.231
14B Bratcher,2024-11-08,Select 14B Red,2,5,-3,-1.5,-1.5,weak,0.207
