Rank,Team,Club,Team_ID,State,Gender,Age_Group,Games Played,Wins,Losses,Ties,Goals For,Goals Against,Goal Differential,Goals For/Game,Goals Against/Game,Offense Score,Adj Defense Score,SOS,Raw Power,Power Score,Opponents_Count
1,FC Elite Arizona 2014 Boys - Martinez,FC Elite Arizona,631446,AZ,M,U12,11,11,0,0,79,6,73,4.7727272727272725,0.34545454545454546,4.7727272727272725,0.6545454545454545,1.434869188782232,2.3939445699228306,2.1545501129305475,11
2,PFC Danger B2014 Blue,Paris United FC,638992,AZ,M,U12,1,1,0,0,6,0,6,4.199999999999999,0.0,4.199999999999999,1.0,1.5927536231884059,2.348188405797101,1.761141304347826,1
3,2014 Elite,Phoenix United Futbol Club,579284,AZ,M,U12,10,8,1,1,50,11,39,3.5,0.7699999999999999,3.5,0.2300000000000001,1.4153783336020147,1.7525945834005037,1.5773351250604533,10
4,Monsters 2014,United Latinos SC,380328,AZ,M,U12,20,15,3,2,111,54,57,2.745,0.9700000000000001,2.745,0.029999999999999916,0.924924490246854,1.2718561225617133,1.2718561225617133,20
5,2014 Tuzos Academy FV,FBSL,308708,AZ,M,U12,26,18,6,2,151,41,110,2.542307692307692,1.0269230769230768,2.542307692307692,-0.026923076923076827,1.210944210352317,1.2460052833573099,1.2460052833573099,26
6,Phoenix Premier FC 14B X-Factor,Phoenix Premier FC,250009,AZ,M,U12,27,21,4,2,124,39,85,2.0296296296296297,0.5370370370370371,2.0296296296296297,0.4629629629629629,0.8804099137094175,1.1548247006495767,1.1548247006495767,27
7,Southeast 2014 Boys Black,Next Level Soccer (AZ),238248,AZ,M,U12,28,18,6,4,95,42,53,1.6464285714285716,0.5071428571428572,1.6464285714285716,0.49285714285714277,1.278838319923946,1.1219417228381294,1.1219417228381294,28
8,AZ Thundercats 2014,FBSL,434312,AZ,M,U12,2,2,0,0,6,1,5,2.0999999999999996,0.35,2.0999999999999996,0.65,1.5523839931885908,1.4193459982971477,1.0645094987228607,2
9,FC Deportivo AZ 2014B (Gallegos),FC Deportivo Arizona,523920,AZ,M,U12,26,16,5,5,122,66,56,2.069230769230769,1.0538461538461539,2.069230769230769,-0.05384615384615388,1.1705588827907407,1.0484089514669157,1.0484089514669157,26
10,FC Arizona 14B Black GFC Suenaga U12,FC Arizona,371742,AZ,M,U12,12,5,5,2,62,37,25,3.416666666666666,2.058333333333333,3.416666666666666,-1.0583333333333331,1.0882905854524247,1.1564476463631062,1.0408028817267956,12
11,Scottsdale 14 Sandsharks Select,North Scottsdale Soccer Club,152739,AZ,M,U12,67,50,8,9,241,38,203,1.2104477611940299,0.21791044776119406,1.2104477611940299,0.7820895522388059,1.1680912421989609,1.0392243030870536,1.0392243030870536,67
12,Excel Soccer Academy 14B Black,Excel Soccer Academy,419768,AZ,M,U12,25,14,6,5,89,47,42,1.676,0.7240000000000001,1.676,0.2759999999999999,1.149784435705348,1.019446108926337,1.019446108926337,25
