team,v52_rank,v52_score,v52_sao,v52_sad,v52_sos,v52_gp,v52a_rank,v52a_score,v52a_sao,v52a_sad,v52a_sos,v52a_gp,delta_rank,delta_score
az arsenal pre-ecnl b14,19,0.16,0.004,0.0,0.528,30,54,0.442,0.3436171293489379,0.4659148270543863,0.528,30,-35,0.28200000000000003
14b velasco,20,0.149,0.003,0.0,0.494,30,34,0.523,0.3527470527992418,0.7170017772387912,0.494,30,-14,0.374
prfc north valley 14b preacademy,21,0.148,0.004,0.0,0.488,30,56,0.438,0.2663011491468423,0.5656110272300615,0.488,30,-35,0.29000000000000004
southeast 2014 boys red,22,0.148,0.002,0.0,0.49,30,19,0.589,0.5162942160760553,0.7460652744510213,0.49,30,3,0.44099999999999995
14b gsa,23,0.146,0.006,0.0,0.479,30,7,0.655,0.723625447458323,0.7358222617366245,0.479,30,16,0.509
tuzos nogales 2014,24,0.192,0.0,0.205,0.4,3,147,0.38,0.301706156509822,0.526341658037961,0.3,3,-123,0.188
ccv stars 14 boys north orange,25,0.141,0.002,0.0,0.467,30,69,0.38,0.2343330002658742,0.4520744937275217,0.467,30,-44,0.23900000000000002
excel soccer academy 14b red,26,0.139,0.005,0.0,0.457,30,15,0.604,0.5399994736666602,0.79348498068674,0.457,30,11,0.46499999999999997
u-12 (2014) boys yuma pre academy,27,0.154,0.003,0.0,0.511,16,78,0.501,0.2931287472101263,0.6993773486616147,0.511,16,-51,0.347
ccv stars 14 boys south pre-ecnl,28,0.136,0.004,0.0,0.448,27,46,0.478,0.4810373689779446,0.5000817579232428,0.448,27,-18,0.34199999999999997
east valley nsfc 14 boys aguirre,29,0.132,0.005,0.0,0.435,30,81,0.347,0.3184245646554508,0.2994536442348348,0.435,30,-52,0.21499999999999997
dynamos sc 14b sc,30,0.131,0.007,0.0,0.427,30,10,0.646,0.571856861342158,0.9075785341978954,0.427,30,20,0.515
14b jdeutsch pre-mls next,31,0.13,0.006,0.0,0.428,21,51,0.449,0.375507806758668,0.539831986339792,0.428,21,-20,0.319
southeast 2014 boys blue,32,0.13,0.006,0.0,0.425,30,50,0.45,0.4224667293430246,0.4996308661164942,0.425,30,-18,0.32
ccv stars 14 boys north pre-ecnl,33,0.145,0.005,0.0,0.479,18,47,0.544,0.2919539711673179,0.8528545047922339,0.479,18,-14,0.399
west valley 2014 boys martinez pre-elite64,34,0.128,0.005,0.0,0.421,30,41,0.494,0.4507735116218408,0.5998965000185257,0.421,30,-7,0.366
playmaker futbol academy pre-ecnl b14,35,0.142,0.004,0.0,0.467,19,55,0.475,0.47813735396038,0.4793770172195059,0.467,19,-20,0.33299999999999996
phoenix premier fc 14b black,36,0.127,0.005,0.0,0.419,30,37,0.507,0.7054965810849504,0.3847680378578092,0.419,30,-1,0.38
scum east valley 14b ninjas,37,0.169,0.0,0.141,0.4,6,142,0.234,0.2122381092353676,0.1988416111030211,0.3,6,-105,0.065
2014b west,38,0.126,0.015,0.0,0.404,30,4,0.706,0.8460427836332428,0.8245339671926617,0.404,30,34,0.58
northwest 2014 boys,39,0.126,0.003,0.0,0.415,30,87,0.332,0.2122381092353676,0.3808801358064855,0.415,30,-48,0.20600000000000002
prfc desert foothills 14b pre-academy,40,0.126,0.002,0.0,0.419,30,26,0.543,0.6286023696655918,0.5623262896437161,0.419,30,14,0.41700000000000004
ccv stars 14 boys west pre-ecnl,41,0.124,0.011,0.0,0.4,21,28,0.537,0.6043382277758875,0.6270133829441391,0.355,21,13,0.41300000000000003
azev b2014 (white),42,0.124,0.01,0.0,0.4,30,44,0.485,0.8926568518956367,0.2320045665424069,0.305,30,-2,0.361
phoenix premier fc 14b x-factor,43,0.124,0.01,0.0,0.4,30,3,0.712,0.870627523771158,0.9075785341978954,0.3,30,40,0.588
madison fc 14 gold boys,44,0.123,0.009,0.0,0.4,30,8,0.653,0.8670727291563294,0.7413869319042047,0.3,30,36,0.53
14 pre-mlsn #1,45,0.123,0.008,0.0,0.401,30,14,0.611,0.6818090876636141,0.7196411367847456,0.401,30,31,0.488
az arsenal 14 boys select,46,0.123,0.008,0.0,0.4,29,38,0.506,0.579044526191679,0.6102688097153658,0.3,29,8,0.383
fc deportivo az 2014b (gallegos),47,0.123,0.008,0.0,0.4,24,20,0.588,0.8733459977722031,0.4662354653931891,0.396,24,27,0.46499999999999997
ccv stars 14 boys east pre-ecnl,48,0.123,0.008,0.0,0.4,22,49,0.451,0.717948094728742,0.3143945606133745,0.3,22,-1,0.328
azsc 14b perez,49,0.123,0.007,0.0,0.403,30,17,0.595,0.7352532627162278,0.6188198317109951,0.403,30,32,0.472
az arsenal 14 boys teal cb,50,0.122,0.007,0.0,0.4,30,88,0.326,0.4680753564251787,0.1988416111030211,0.31,30,-38,0.20400000000000001
azsc 2014b pre-nl premier 2,51,0.122,0.007,0.0,0.4,30,22,0.577,0.5838255327857234,0.8078601863036083,0.3,30,29,0.45499999999999996
real arizona 2014,52,0.122,0.007,0.0,0.4,30,9,0.647,0.8926568518956367,0.6482540126779631,0.36,30,43,0.525
rsl-az yuma 14 boys rodriguez,53,0.135,0.006,0.0,0.442,10,126,0.42,0.4390874832779961,0.3821311503057443,0.442,10,-73,0.285
14 pre-mlsn #2,54,0.122,0.006,0.0,0.4,30,11,0.641,0.8330744134965586,0.7410878025721048,0.3,30,43,0.519
fsc united 14 boys,55,0.122,0.006,0.0,0.4,30,100,0.294,0.385030455772433,0.1988416111030211,0.3,30,-45,0.172
legends fc az 14b black,56,0.122,0.006,0.0,0.4,30,23,0.567,0.8344308273898748,0.515795296482,0.315,30,33,0.44499999999999995
prfc southeast valley 14b predator,57,0.122,0.006,0.0,0.4,30,61,0.417,0.6753477756282373,0.1988416111030211,0.369,30,-4,0.295
nos santos 14 boys blue,58,0.122,0.006,0.0,0.4,27,31,0.525,0.7417563082815306,0.416194551866456,0.4,27,27,0.403
kingman sc b14 mcgill,59,0.122,0.006,0.0,0.4,23,16,0.597,0.6807125570518644,0.7664748799022696,0.3,23,43,0.475
ccv stars 14 boys west orange,60,0.122,0.006,0.0,0.4,22,53,0.442,0.3950600454331335,0.6093044159904115,0.3,22,7,0.32
14b engilman,61,0.122,0.005,0.0,0.4,30,40,0.503,0.6517015064075556,0.5157321239225553,0.313,30,21,0.381
2014 rush boys,62,0.122,0.005,0.0,0.4,30,27,0.539,0.7089539353617965,0.575193076671717,0.3,30,35,0.41700000000000004
fc elite arizona 2014 boys (archived),63,0.122,0.005,0.0,0.4,30,12,0.629,0.6296613921554582,0.9075785341978954,0.302,30,51,0.507
prfc scottsdale 14b pre-academy,64,0.122,0.005,0.0,0.4,30,2,0.723,0.8926568518956367,0.9075785341978954,0.311,30,62,0.601
brazas 2014 boys black marcos,65,0.122,0.005,0.0,0.4,27,24,0.565,0.6853622245204616,0.6460230371880199,0.329,27,41,0.44299999999999995
rsl-az yuma 14 boys quinonez,66,0.122,0.005,0.0,0.4,22,42,0.492,0.7889282251118449,0.3477751679949599,0.315,22,24,0.37
14b negrete pre mls next,67,0.122,0.005,0.0,0.4,21,25,0.56,0.6978007109858205,0.6212073827085117,0.329,21,42,0.43800000000000006
14 cityzens,68,0.122,0.001,0.0,0.404,30,94,0.309,0.2153118049817796,0.3213059552844244,0.404,30,-26,0.187
2014 boys yellow,69,0.121,0.004,0.0,0.4,30,32,0.525,0.479500912643406,0.6922264448130563,0.384,30,37,0.404
az inferno 14 boys black,70,0.121,0.004,0.0,0.4,30,71,0.377,0.5575603670336537,0.2612104557148482,0.3,30,-1,0.256
azev b2014 (navy),71,0.121,0.004,0.0,0.4,30,33,0.523,0.5651550401437209,0.6713158153109198,0.3,30,38,0.402
madison fc 14 blue boys,72,0.121,0.004,0.0,0.4,30,58,0.428,0.434001492721654,0.4922250384912717,0.345,30,14,0.307
prfc scottsdale 14b copa,73,0.121,0.004,0.0,0.4,30,101,0.289,0.3562196658320086,0.2133341739603408,0.3,30,-28,0.16799999999999998
prfc scottsdale 14b predator,74,0.121,0.004,0.0,0.4,30,74,0.367,0.4037726736167742,0.3396868150998605,0.356,30,0,0.246
tuzos halcones 2014,75,0.121,0.004,0.0,0.4,30,76,0.361,0.5185310089245674,0.2132759123057601,0.35,30,-1,0.24
east valley nsfc 14 boys tiggs,76,0.121,0.004,0.0,0.4,27,113,0.261,0.288377082619944,0.1988416111030211,0.3,27,-37,0.14
scottsdale 14 sandsharks select,77,0.121,0.004,0.0,0.4,25,13,0.623,0.616398808615404,0.9075785341978954,0.3,25,64,0.502
az arsenal 14 boys teal mc,78,0.121,0.004,0.0,0.4,23,90,0.321,0.2942177300204739,0.3668806160112102,0.3,23,-12,0.2
14 boys navy,79,0.121,0.003,0.0,0.4,30,57,0.432,0.4319454161182728,0.5459531261963891,0.3,30,22,0.311
2014 boys blue,80,0.121,0.003,0.0,0.4,30,82,0.342,0.2880795886954854,0.4317045915695891,0.3,30,-2,0.22100000000000003
az arsenal 14 boys teal sc,81,0.121,0.003,0.0,0.4,30,75,0.363,0.320832808703829,0.4182040011950871,0.347,30,6,0.242
ccv stars 14 boys south orange,82,0.121,0.003,0.0,0.4,30,108,0.273,0.2847420497021485,0.2380564828823795,0.3,30,-26,0.15200000000000002
dynamos sc 14b gold,83,0.121,0.003,0.0,0.4,30,72,0.375,0.4521767762231657,0.3620897253643897,0.3,30,11,0.254
prfc north valley 14b copa,84,0.121,0.003,0.0,0.4,30,99,0.301,0.4044878222410449,0.1988416111030211,0.3,30,-15,0.18
prfc southeast valley 14b predator-central,85,0.121,0.003,0.0,0.4,30,73,0.37,0.2944009512892649,0.4731034549225785,0.337,30,12,0.249
prfc west valley 14b pre-academy,86,0.121,0.003,0.0,0.4,30,97,0.305,0.2122381092353676,0.3308746301621043,0.384,30,-11,0.184
playmaker futbol academy 14b black,87,0.121,0.003,0.0,0.4,30,18,0.591,0.7046199805492358,0.6442105770829795,0.396,30,69,0.47
southeast 2014 boys green,88,0.121,0.003,0.0,0.4,30,45,0.483,0.5380246672099037,0.5853992511191415,0.3,30,43,0.362
state 48 fc avondale 14 black,89,0.121,0.003,0.0,0.4,30,65,0.398,0.2972080816795677,0.5714642122985959,0.313,30,24,0.277
