team,v5_rank,v5_score,v51_rank,v51_score,delta_rank,delta_score
prfc scottsdale 14b pre-academy,1,0.689,1,0.618,0,-0.07099999999999995
scottsdale 14 sandsharks select,5,0.604,2,0.582,3,-0.02200000000000002
2014 elite,4,0.689,3,0.644,1,-0.04499999999999993
fc elite arizona 2014 boys - martinez,2,0.705,4,0.626,-2,-0.07899999999999996
southeast 2014 boys black,3,0.624,5,0.563,-2,-0.061000000000000054
phoenix premier fc 14b x-factor,7,0.582,6,0.552,1,-0.029999999999999916
phoenix united 2014 premier,9,0.568,7,0.522,2,-0.04599999999999993
14b nl #2,28,0.525,8,0.56,20,0.03500000000000003
madison fc 14 gold boys,14,0.523,9,0.497,5,-0.026000000000000023
psg 14b blue,11,0.546,10,0.49,1,-0.05600000000000005
real arizona 2014,10,0.55,11,0.487,-1,-0.06300000000000006
2014b west,8,0.572,12,0.483,-4,-0.08899999999999997
14b gsa,12,0.535,13,0.481,-1,-0.05400000000000005
dynamos sc 14b sc,15,0.52,14,0.479,1,-0.041000000000000036
fc elite arizona 2014 boys (archived),18,0.498,15,0.474,3,-0.02400000000000002
2014 tuzos academy fv,6,0.647,16,0.521,-10,-0.126
monsters 2014,17,0.669,17,0.616,0,-0.05300000000000005
fc deportivo az 2014b (gallegos),13,0.534,18,0.458,-5,-0.07600000000000001
azev b2014 (white),19,0.496,19,0.451,0,-0.044999999999999984
ccv stars 14 boys west pre-ecnl,27,0.475,20,0.448,7,-0.02699999999999997
excel soccer academy 14b red,23,0.485,21,0.447,2,-0.03799999999999998
kingman sc b14 mcgill,30,0.467,22,0.445,8,-0.02200000000000002
southeast 2014 boys red,26,0.478,23,0.443,3,-0.034999999999999976
sfc xolos arizona 2014,29,0.524,24,0.489,5,-0.03500000000000003
azsc 14b perez,20,0.493,25,0.439,-5,-0.05399999999999999
14 pre-mlsn #2,16,0.509,26,0.439,-10,-0.07
azsc 2014b pre-nl premier 2,36,0.452,27,0.436,9,-0.016000000000000014
14 pre-mlsn #1,21,0.492,28,0.433,-7,-0.059
legends fc az 14b black,24,0.482,29,0.429,-5,-0.05299999999999999
2014 rush boys,46,0.422,30,0.429,16,0.007000000000000006
playmaker futbol academy 14b black,22,0.485,31,0.426,-9,-0.059
