team,v52b_rank,v52b_score,v53_rank,v53_score,delta_rank,delta_score
phoenix premier fc 14b black phoenix premier fc,26,0.2956,25,0.2997,1,0.004100000000000048
kingman sc b14 mcgill kingman sc,29,0.2896,26,0.2961,3,0.00649999999999995
west valley 2014 boys martinez pre-elite64 rsl-az west valley,30,0.2904,27,0.2947,3,0.004300000000000026
ccv stars 14 boys north pre-ecnl ccv stars,24,0.3492,28,0.3446,-4,-0.004599999999999993
ccv stars 14 boys south pre-ecnl ccv stars,27,0.2932,29,0.2931,-2,-9.999999999998899e-05
prfc north valley 14b preacademy phoenix rising fc north valley,28,0.2933,30,0.289,-2,-0.004300000000000026
brazas 2014 boys black marcos brazas futebol club,32,0.2852,31,0.2883,1,0.0030999999999999917
ccv stars 14 boys west pre-ecnl ccv stars,36,0.2803,32,0.2839,4,0.003599999999999992
playmaker futbol academy pre-ecnl b14 playmaker futbol academy,35,0.305,33,0.303,2,-0.0020000000000000018
phoenix premier fc 14b sw black phoenix premier fc,33,0.2842,34,0.2802,-1,-0.0040000000000000036
legends fc az 14b black dynamos sc,37,0.2787,35,0.2801,2,0.0014000000000000123
14b negrete pre mls next rsl-az southern az,34,0.2821,36,0.2804,-2,-0.0017000000000000348
2014 boys yellow thunderbird fc,31,0.2886,37,0.2798,-6,-0.00880000000000003
azsc 2014b pre-nl premier 2 arizona soccer club,38,0.2787,38,0.2767,0,-0.0020000000000000018
2014 rush boys phoenix rush,44,0.2579,39,0.2757,5,0.017799999999999983
14b jdeutsch pre-mls next rsl-az south,40,0.2665,40,0.2664,0,-9.999999999998899e-05
tuzos royals 14 pre-academy fbsl,43,0.2609,41,0.2652,2,0.0042999999999999705
southeast 2014 boys blue next level soccer (az),39,0.2664,42,0.2634,-3,-0.0030000000000000027
2014 elite phoenix united futbol club,45,0.3596,43,0.3609,2,0.0013000000000000234
2014 tuzos academy fv fbsl,42,0.3351,44,0.3257,-2,-0.00940000000000002
14b antunez pre-mls next rsl-az north,41,0.2662,45,0.2544,-4,-0.011799999999999977
