Team Name,Total Games,Wins,Losses,Ties,Win Percentage,First Game,Last Game
Next Level Soccer Northwest 2014 Boys,45,11,29,5,24.444444444444443,2024-08-30,2025-04-26
RSL-AZ Yuma 14 Boys Quinonez,45,26,16,3,57.77777777777777,2024-09-14,2025-10-04
CCV Stars 14 Boys South Pre-ECNL,45,20,21,4,44.44444444444444,2024-09-13,2025-10-05
Scottsdale 14 Sandsharks Select,45,34,5,6,75.55555555555556,2024-04-20,2025-10-04
Select 14B Red,44,12,29,3,27.27272727272727,2024-09-14,2025-10-04
14B Geoff,44,11,26,7,25.0,2024-09-20,2025-09-21
FC Deportivo AZ 2014B (Gallegos),43,26,10,7,60.46511627906976,2024-10-26,2025-10-04
Playmaker Futbol Academy PRE-ECNL B14,43,19,19,5,44.18604651162791,2024-04-20,2025-09-28
CCV Stars 14 Boys North Pre-ECNL,42,18,18,6,42.857142857142854,2024-04-20,2025-10-04
CCV Stars 14 Boys North Navy,42,15,25,2,35.714285714285715,2024-09-07,2025-10-04
14 ECNL #1,42,31,9,2,73.80952380952381,2024-08-31,2025-05-25
14 ECNL #2,41,26,11,4,63.41463414634146,2024-08-31,2025-05-25
14B Negrete Pre MLS Next,41,19,15,7,46.34146341463415,2024-09-21,2025-10-04
AZ Arsenal 14 Boys Select,40,22,16,2,55.00000000000001,2024-09-07,2025-10-04
CCV Stars 14 Boys West Pre-ECNL,40,17,17,6,42.5,2024-09-07,2025-09-13
14B JDeutsch Pre-MLS Next,40,20,15,5,50.0,2024-09-14,2025-09-19
AZ Arsenal 14 Boys Teal MC,40,11,27,2,27.500000000000004,2024-08-31,2025-09-21
Deportivo Mexico 14B,39,8,19,12,20.51282051282051,2024-09-28,2025-09-28
Legends FC AZ 14B FC,39,27,9,3,69.23076923076923,2024-04-19,2025-05-04
14B Blue #2,39,5,30,4,12.82051282051282,2024-09-28,2025-03-08
CCV Stars 14 Boys East Pre-ECNL,39,17,18,4,43.58974358974359,2024-09-13,2025-09-14
Brazas 2014 Boys Gold Rigo,39,17,19,3,43.58974358974359,2024-09-14,2025-03-30
Tuzos 2014 Nava,38,13,20,5,34.21052631578947,2024-09-14,2025-10-04
Phoenix United 2015 Academy,38,21,10,7,55.26315789473685,2024-08-30,2025-04-27
CCV Stars 14 Boys West Orange,38,12,18,8,31.57894736842105,2024-09-07,2025-09-20
Next Level Soccer Southeast 2014 Boys Red,38,19,17,2,50.0,2024-08-31,2025-04-19
AZ Arsenal 14 Boys Teal 2 SC,38,15,18,5,39.473684210526315,2024-09-13,2025-04-13
